audit_id	audit_scope	active_target	previous_active_target	evidence	reviewer_safe_reading	still_blocked	paper_use
PCSA3-001	canonical_profile	results/attestation/shared-release-bundle-manifest-v0.3.tsv	results/attestation/shared-release-bundle-manifest-v0.2.tsv	attestation/limen-envelope-profile-v0.1.md	The canonical profile now treats v0.3 as the active local publication object after post-v0.2 shared-surface drift and keeps v0.2 as an intermediate historical refresh rather than the live target.	This does not add detached-signature, transparency, VC, truth, legality, compliance, certification, or safety witness.	Methods appendix note on active-vs-historical Route C bundle state
PCSA3-002	route_c_readiness	results/attestation/shared-release-bundle-manifest-v0.3.tsv; results/attestation/live-shared-release-bundle-envelope-v0.3.json	results/attestation/shared-release-bundle-manifest-v0.2.tsv; results/attestation/live-shared-release-bundle-envelope-v0.2.json	results/attestation/route-c-readiness-audit-v0.1.tsv	The readiness audit now points its live bundle evidence to the refreshed v0.3 receipt stack.	Companion-ready local bundle only remains the ceiling; no stronger witness is present.	Table 1G / route-readiness support
PCSA3-003	claim_support_register	results/attestation/live-shared-release-bundle-envelope-v0.3.json; results/attestation/live-shared-release-bundle-validation-v0.3.md	results/attestation/live-shared-release-bundle-envelope-v0.2.json; results/attestation/live-shared-release-bundle-validation-v0.2.md	results/attestation/attestation-claim-support-register-v0.1.tsv	The shared attestation claim now cites the current local publication object rather than the superseded v0.2 receipt stack.	The claim remains observation-and-processing provenance only.	Shared claim-support row for manuscript/dashboard/thesis reuse
PCSA3-004	action_live_index	results/attestation/live-shared-release-bundle-envelope-v0.3.json; results/attestation/live-shared-release-bundle-validation-v0.3.md	results/attestation/live-shared-release-bundle-envelope-v0.2.json; results/attestation/live-shared-release-bundle-validation-v0.2.md	results/attestation/action-live-evidence-index-v0.1.tsv	The published-action row now resolves to the current v0.3 local publication object.	The row still does not imply detached-signature integrity, transparency inclusion, VC issuance, or external publication witness.	Lifecycle evidence index for reviewer lookup
PCSA3-005	dashboard_table1g	results/attestation/shared-release-bundle-manifest-v0.3.tsv; results/attestation/live-shared-release-bundle-validation-v0.3.md	results/attestation/shared-release-bundle-manifest-v0.2.tsv; results/attestation/live-shared-release-bundle-validation-v0.2.md	results/dashboard-paper/attestation-trust-surface-readiness-v0.1.tsv	The Table 1G main row now cites the current local bundle and keeps present-local-only state explicit.	The table still cannot be read as external witness, signer trust, truth, legality, compliance, certification, or safety evidence.	Shared dashboard/manuscript control surface
PCSA3-006	caption_control	results/attestation/shared-release-bundle-manifest-v0.3.tsv; results/attestation/live-shared-release-bundle-validation-v0.3.md	results/attestation/shared-release-bundle-manifest-v0.2.tsv; results/attestation/live-shared-release-bundle-validation-v0.2.md	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-021	The shared caption-control row now gates stronger Route C rhetoric against the current v0.3 bundle.	Caption refresh alone does not widen the trust posture beyond project_shared_local_bundle_only.	Reviewer-safe table caption and thesis legend
PCSA3-007	article_architecture	results/attestation/shared-release-bundle-manifest-v0.3.tsv; results/attestation/live-shared-release-bundle-envelope-v0.3.json; results/attestation/live-shared-release-bundle-validation-v0.3.md	results/attestation/shared-release-bundle-manifest-v0.2.tsv; results/attestation/live-shared-release-bundle-envelope-v0.2.json; results/attestation/live-shared-release-bundle-validation-v0.2.md	papers/article-architecture-v0.1.md	Route C manuscript prose now binds present-tense local-bundle wording to the refreshed v0.3 object.	Route C remains companion-only until a stronger witness exists.	Article/thesis route discipline
PCSA3-008	experiment_handoff	results/attestation/shared-release-bundle-manifest-v0.3.tsv	results/attestation/shared-release-bundle-manifest-v0.2.tsv	results/attestation/detached-signature-verifier-experiment-request-v0.1.json	Any future detached-signature or transparency-witness attempt is now aimed at the refreshed v0.3 bundle.	No safe signer material is present in the package today.	Operational reproducibility / next-step appendix
PCSA3-009	blocker_note	results/attestation/shared-release-bundle-manifest-v0.3.tsv	results/attestation/shared-release-bundle-manifest-v0.2.tsv	results/attestation/detached-signature-blocker-note-v0.1.md	The negative result remains current because it now names the active v0.3 bundle while preserving the fail-closed boundary.	Tool availability still does not justify any signature or trust-anchor claim.	Limitations paragraph / reviewer-response note
PCSA3-010	brief_conformance	results/attestation/shared-release-bundle-manifest-v0.3.tsv	results/attestation/shared-release-bundle-manifest-v0.2.tsv	results/attestation/profile-brief-conformance-note-v0.1.md	The compact brief summary now names the refreshed v0.3 bundle as the next valid witness target.	The package still cannot claim external publication witness or issued VC portability.	Thesis exhibit or route-conformance appendix
PCSA3-011	status_surface	results/attestation/shared-release-bundle-manifest-v0.3.tsv	results/attestation/shared-release-bundle-manifest-v0.2.tsv	results/attestation/status.md	The status note now records the v0.3 propagation audit and keeps the active/historical split explicit for Route C reuse.	Status refresh alone does not widen the trust posture beyond project_shared_local_bundle_only.	Front-door status / dashboard provenance legend
PCSA3-012	next_route_note	results/attestation/shared-release-bundle-manifest-v0.3.tsv	results/attestation/shared-release-bundle-manifest-v0.2.tsv	next.md	The current next-route note now names v0.3 as the active Route C local bundle after post-v0.2 drift closure.	The next substantive gain is still one stronger witness or another real drift event.	Operational next-step front door
