row_id	control_id	profile_or_schema_requirement	evidence_surface	enforcement_level	evidence_confirmed	paper_or_dashboard_use	caution
PSM-001	core_scope_lock	claim scope fixed to observation_and_processing_only	profile text + schema const	full_schema_enforced	yes	Shared claims sentence; hostile-reviewer boundary box	Do not infer truth, legality, compliance, certification, or safety from structural validity alone
PSM-002	non_claims_required	non_claims array required with six baseline values plus conditional authenticity_finality for C2PA/media-provenance states	profile text + schema contains/enum guards	full_schema_enforced	yes	Methods appendix field-definition table	Translation caution still needs reviewer discipline even when non-claims are structurally complete
PSM-003	action_vocabulary	action controlled vocabulary observed/extracted/classified/reviewed/clustered/published/superseded	profile section 3 + schema enum	full_schema_enforced	yes	Lifecycle coverage chart and attestation timeline	One valid action only proves one bounded processing step
PSM-004	minimum_trace	at least one input or one output must be present	profile minimum fields + schema anyOf	full_schema_enforced	yes	Reviewer-safe provenance sufficiency check	Receipts may still be incomplete on hashes or authority depth even when one trace object exists
PSM-005	published_artifact_guard	published envelopes must target artifact subject and emit at least one output	profile action-subject guidance + schema if/then	full_schema_enforced	yes	Route C / Table 1G publication-object wording	Do not paraphrase local publication object as external witness or truth claim
PSM-005A	observed_subject_guard	observed envelopes restricted to source_record subjects	profile action-subject guidance + schema if/then	full_schema_enforced	yes	Source-capture provenance methods note	Observation receipts still attest retrieval/provenance only, not source truth or authority sufficiency
PSM-005B	extracted_subject_guard	extracted envelopes restricted to source_record subjects	profile action-subject guidance + schema if/then	full_schema_enforced	yes	Normalization/extraction provenance appendix row	Extraction receipts show bounded transformation from source material, not substantive correctness of extracted interpretation
PSM-005C	classified_subject_guard	classified envelopes restricted to case_record or crosswalk_row subjects	profile action-subject guidance + schema if/then	full_schema_enforced	yes	Classification/crosswalk methods note	Classification assignment does not prove truth, legality, or final taxonomy correctness beyond the recorded process
PSM-006	reviewed_state_guard	reviewed envelopes require case_record or crosswalk_row subject, review_status, and at least one review_note	profile guidance + schema if/then	full_schema_enforced	yes	Review-discipline methods note	Review sufficiency is procedural, not substantive correctness
PSM-007	clustered_subject_guard	clustered envelopes restricted to duplicate_cluster or case_record	profile guidance + schema if/then	full_schema_enforced	yes	Duplicate-control appendix and graph legend	Cluster membership does not prove same-event truth beyond documented linkage logic
PSM-008	superseded_correction_guard	superseded envelopes require artifact or case_record subject, replacement output, and review note	profile guidance + schema if/then	full_schema_enforced	yes	Correction-path methods note	Supersession shows bounded correction handling, not unrecoverable prior error in substantive claims
PSM-009	transparency_status_guard	logged/proof_pending/proof_verified transparency states require log system, receipt URI, and receipt hash	profile trust-surface section + schema if/then	full_schema_enforced	yes	Standards/interoperability appendix row	Presence of fields is not proof of real inclusion unless verifier evidence exists
PSM-010	vc_status_guard	issued/revoked/superseded VC states require credential_id and issuer	profile VC mapping + schema if/then	full_schema_enforced	yes	Future-work interoperability note	VC issuance cannot be paraphrased as certification or legal validation
PSM-011	signature_status_guard	placeholder/signed signature states require signing scheme and signature ref; signed_verified also requires trust anchor ref and verifier note	profile signature placeholder discussion + schema if/then	full_schema_enforced	yes	Release-integrity limitations note	Placeholder metadata must not be paraphrased as a live verified signature
PSM-012	subject_identity_model	subject kinds limited to case_record/source_record/duplicate_cluster/crosswalk_row/artifact	profile subject model + schema enum	full_schema_enforced	yes	Field dictionary for reviewers and dashboard engineers	Subject typing keeps source, case, cluster, and artifact claims separate
PSM-013	assertion_shape	assertions must be non-empty and use typed small entries	profile assertion model + schema structure	partially_schema_enforced	yes	Methods appendix exemplar note	Schema can require shape, but process-level wording still needs human review
PSM-014	translation_caution	machine translation should not justify final legal or policy interpretation alone	profile prose-only caution	prose_only	yes	Multilingual limitations note	Requires reviewer discipline, not just schema validation
PSM-015	dashboard_hook_contract	dashboard_hooks use controlled observatory-view vocabulary	profile dashboard hook section + schema enum	full_schema_enforced	yes	Dashboard provenance wiring and legend	Hook presence does not validate downstream figure correctness
PSM-016	claim_ceiling_on_external_layers	stronger packaging layers cannot silently mutate core non-claims around truth, legality, compliance, certification, or safety	profile trust-claim ladder prose	prose_with_negative_control_tables	yes	Shared manuscript/dashboard/thesis caution sentence	Must remain explicit whenever signature, transparency, VC, or C2PA rows are discussed
PSM-008A	supersession_chain_guard	superseded envelopes require explicit prior receipt ID, superseded locator, superseded hash, reason code, and replacement scope	profile supersession guidance + schema if/then + dedicated supersession object	full_schema_enforced	yes	Correction-lineage appendix row and reviewer-facing change-log legend	Correction lineage still attests bounded process replacement only, not global finality or substantive truth
