artifact_id	artifact_family	artifact_path	current_state	role_in_profile	observatory_or_paper_use	note
PSAI-001	canonical_profile	attestation/limen-envelope-profile-v0.1.md	active	Normative long-form contract for lifecycle, claim scope, non-claims, and bounded external analogues.	Methods section; appendix profile; thesis attestation chapter	Primary profile; read with schema and status.
PSAI-002	schema	schema/limen-envelope.schema.json	active	Machine-checkable structure and action/state guards.	Reproducibility appendix; validator note; implementation bridge	JSON-parseable schema for the same envelope type.
PSAI-003	front_door_status	results/attestation/status.md	active	Current Route C state, blocker, and last-cycle summary.	Reviewer response; dashboard provenance legend; thesis progress note	Front-door status surface for the attestation package.
PSAI-004	brief_conformance	results/attestation/profile-brief-conformance-note-v0.1.md	active	Compact lane-brief compliance summary.	Methods checklist; appendix bridge; reviewer-safe scope note	Shortest front-door statement of what the lane already covers.
PSAI-005	lifecycle_live_index	results/attestation/action-live-evidence-index-v0.1.tsv	active	Maps each lifecycle action to one live receipt and bounded claim ceiling.	Figure caption support; action-by-action appendix table	Useful when a reader asks for a concrete live receipt instead of prose only.
PSAI-006	lifecycle_coverage	results/attestation/lifecycle-live-coverage-v0.1.tsv	active	Shows that all lifecycle states have live local coverage.	Coverage table; methods denominator note	Coverage artifact, not a stronger trust witness.
PSAI-007	role_crosswalk	results/attestation/limen-attestation-role-crosswalk-v0.1.tsv	active	Maps LIMEN actions to bounded RATS-style roles and external packaging analogues.	Standards note; interoperability appendix	Analogy table only; does not imply hardware or enclave attestation.
PSAI-008	field_claim_matrix	results/attestation/envelope-field-role-claim-matrix-v0.1.tsv	active	Explains what each envelope block can and cannot support as a claim.	Claim-boundary table; reviewer-safe legend	Best field-level anti-overread surface.
PSAI-009	dashboard_contract	results/attestation/dashboard-consumer-field-matrix-v0.1.tsv	active	Ties dashboard hooks to minimum visible receipt fields and blocked caption overreads.	Observatory consumer contract; figure legend discipline	Primary dashboard-facing attestation bridge.
PSAI-010	parity_audit	results/attestation/profile-schema-parity-audit-v0.1.tsv	active	Checks that profile and schema still share vocabulary on actions, subjects, hooks, non-claims, and claim scope.	Methods validation note; reviewer coherence check	Protects against prose/schema drift.
PSAI-011	enforcement_matrix	results/attestation/profile-schema-enforcement-matrix-v0.1.tsv	active	Separates machine-enforced guards from documentary controls.	Schema methods note; limitations section	Useful for answering what the validator actually proves.
PSAI-012	requirement_audit	results/attestation/profile-requirement-audit-v0.1.tsv	active	Maps lane objectives and boundaries to current support artifacts.	Appendix traceability table; thesis claim-support map	Best bridge back to the lane brief itself.
PSAI-013	witness_gate	results/attestation/stronger-witness-gate-matrix-v0.1.tsv	active	Records approval gates and bounded claim deltas for detached-signature, transparency, VC, and C2PA routes.	Future-work note; governance appendix	Operational gate artifact, not proof that any stronger route is live.
PSAI-014	negative_result	results/attestation/detached-signature-feasibility-audit-v0.1.tsv	active	Fail-closed evidence that no safe local signature witness was found for the current shared bundle.	Limitations note; blocker register	Important negative evidence preserving the current claim ceiling.
PSAI-015	current_publication_object	results/attestation/shared-release-bundle-manifest-v0.10.tsv	active	Current shared local publication object with exact bundle members and hashes.	Appendix bundle citation; reproducibility note	Treat v0.1-v0.9 as chronology only; v0.10 is the live local object.
PSAI-016	current_publication_receipt	results/attestation/live-shared-release-bundle-envelope-v0.10.json	active	Schema-valid published receipt wrapping the current shared local publication object.	Receipt example; machine-validation appendix	Published-state evidence without external witness.
PSAI-017	current_publication_validation	results/attestation/live-shared-release-bundle-validation-v0.10.md	active	Validation note for the current published receipt.	Validation appendix; reviewer-safe methods note	Companion to the current publication receipt.
PSAI-018	refresh_diff	results/attestation/shared-release-bundle-refresh-audit-v0.10.tsv	active	Machine-readable diff from the earlier shared local publication object to the current one.	Chronology table; bundle-currentness appendix	Explains why the live publication object had to be refreshed.
PSAI-019	sync_ledger	results/attestation/shared-release-bundle-refresh-audit-v0.10.tsv	active	Front-door synchronization and drift ledger for the v0.10 shared-bundle refresh.	Shared-surface currentness appendix; reviewer routing check	Confirms the active bundle records the exact v0.9-to-v0.10 shared-surface drift.
PSAI-020	required_output_snapshot	results/attestation/profile-required-output-snapshot-v0.12.tsv	active	Current hash-bound snapshot of the required front-door lane outputs.	Appendix integrity table; thesis reproducibility note	Refresh this when any required front-door artifact changes.
PSAI-021	historical_publication_start	results/attestation/shared-release-bundle-manifest-v0.1.tsv	historical	Anchor for the historical Route C chronology.	Chronology appendix	Read as lineage context only, not as the active publication object.
PSAI-022	historical_publication_prior	results/attestation/shared-release-bundle-manifest-v0.9.tsv	historical	Immediate predecessor to the active v0.10 shared local publication object.	Chronology appendix; change-diff context	Useful when explaining the last currentness refresh.
