surface_id	surface_path	prior_reference	current_reference	sync_state	paper_use
route_c_current_publication_object	results/attestation/shared-release-bundle-manifest-v0.7.tsv	results/attestation/shared-release-bundle-manifest-v0.6.tsv	results/attestation/shared-release-bundle-manifest-v0.7.tsv	updated	Active Route C local publication object
attestation_profile	attestation/limen-envelope-profile-v0.1.md	results/attestation/shared-release-bundle-manifest-v0.6.tsv	results/attestation/shared-release-bundle-manifest-v0.7.tsv	updated	Canonical profile routing note
attestation_status	results/attestation/status.md	results/attestation/shared-release-bundle-manifest-v0.6.tsv	results/attestation/shared-release-bundle-manifest-v0.7.tsv	updated	Reviewer-facing status note
attestation_claim_support	results/attestation/attestation-claim-support-register-v0.1.tsv	results/attestation/live-shared-release-bundle-envelope-v0.6.json	results/attestation/live-shared-release-bundle-envelope-v0.7.json	updated	Shared claim-support evidence row
route_c_readiness_audit	results/attestation/route-c-readiness-audit-v0.1.tsv	results/attestation/shared-release-bundle-manifest-v0.6.tsv	results/attestation/shared-release-bundle-manifest-v0.7.tsv	updated	Route C readiness table
action_live_index	results/attestation/action-live-evidence-index-v0.1.tsv	results/attestation/live-shared-release-bundle-envelope-v0.6.json	results/attestation/live-shared-release-bundle-envelope-v0.7.json	updated	Lifecycle-action lookup table
table_1g_shared_control	results/dashboard-paper/attestation-trust-surface-readiness-v0.1.tsv	results/attestation/shared-release-bundle-manifest-v0.6.tsv	results/attestation/shared-release-bundle-manifest-v0.7.tsv	updated	Table 1G shared control row
caption_control	results/dashboard-paper/caption-control-register-v0.1.tsv	results/attestation/shared-release-bundle-manifest-v0.6.tsv	results/attestation/shared-release-bundle-manifest-v0.7.tsv	updated	Shared caption control row CCR-021
article_architecture	papers/article-architecture-v0.1.md	results/attestation/shared-release-bundle-manifest-v0.6.tsv	results/attestation/shared-release-bundle-manifest-v0.7.tsv	updated	Shared manuscript routing surface
dashboard_spec	dashboard/limen-dashboard-spec-v0.1.md	results/attestation/shared-release-bundle-manifest-v0.6.tsv	results/attestation/shared-release-bundle-manifest-v0.7.tsv	updated	Shared dashboard routing surface
detached_signature_request	results/attestation/detached-signature-verifier-experiment-request-v0.1.json	results/attestation/shared-release-bundle-manifest-v0.6.tsv	results/attestation/shared-release-bundle-manifest-v0.7.tsv	updated	Witness-upgrade handoff surface
detached_signature_blocker	results/attestation/detached-signature-blocker-note-v0.1.md	results/attestation/shared-release-bundle-manifest-v0.6.tsv	results/attestation/shared-release-bundle-manifest-v0.7.tsv	updated	Fail-closed blocker note
next_route_note	next.md	results/attestation/shared-release-bundle-manifest-v0.6.tsv	results/attestation/shared-release-bundle-manifest-v0.7.tsv	updated	Project routing note
