as_of_utc	claim_id	claim_focus	primary_visual_slot	primary_visual_id	best_route_now	secondary_route	current_manuscript_or_thesis_use	required_control_bundle	forbidden_overread_or_caution	threshold_or_next_gate	visualization_dashboard_hook	evidence_basis
2026-06-07T15:40:50Z	LIMEN-C-004A	U.S. institutional-response governance framing for AI impersonation / provenance confusion	Table 1F provenance-confusion publication-cell ladder	LIMEN-VIS-014	ROUTE-C core companion	ROUTE-A methods/results appendix support	Use as one bounded governance-response cell package showing anchors, governance context, one FCC lifecycle row, and multilingual limitations without turning shard 007 into a prevalence panel.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013; results/boost/limen-boost-007/provenance-confusion-manuscript-bundle.tsv; results/boost/limen-boost-055/claim-defense-crosswalk.tsv; results/boost/limen-boost-019/provenance-confusion-publication-cells.tsv	Do not flatten coalition, FTC, and FCC sources into one deepfake-case count; do not promote Finland or Lithuania beyond limitations-only status.	A second non-telecom direct-authority event family or one Finland/New Hampshire threshold-clearing public upgrade.	Default-view publication-cell ladder with anchors/context/results/limitations split; safe shard-007 rebuttal map.	claims.md:LIMEN-C-004A; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-014; results/dashboard-paper/publication-route-matrix-v0.1.tsv:ROUTE-C
2026-06-07T15:40:50Z	LIMEN-C-004B	FCC disposition-stage lifecycle closure for provenance confusion / telecom governance	Table 1F provenance-confusion publication-cell ladder	LIMEN-VIS-014	ROUTE-C core companion	ROUTE-A boxed results exemplar	Use as the sole default shard-007 results-grade row when the manuscript needs one document-visible lifecycle from rule anchor to consent decree closure.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013; results/boost/limen-boost-043/claim-support-bridge.tsv; results/boost/limen-boost-019/provenance-confusion-publication-cells.tsv	Do not convert FCC closure into criminal guilt, general deepfake deterrence, or broad non-telecom closure.	One second non-telecom direct-authority event family before promoting shard 007 into a multi-row substantive results panel.	Lifecycle-closure row; default-visible results cell for provenance-confusion ladder.	claims.md:LIMEN-C-004B; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-014; papers/article-architecture-v0.1.md Result block 7 fragment
2026-06-07T15:40:50Z	LIMEN-C-005	Settled AI-washing exemplars remain narrow and finance-concentrated	Table 1C AI-washing posture ladder	LIMEN-VIS-009	ROUTE-B supporting shard result	ROUTE-A boxed subtype exemplar	Use as the settled-support half of the posture ladder when explaining why AI-washing evidence is real but still too narrow for cross-sector generalization.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-003; results/dashboard-paper/ai-washing-posture-table-v0.1.tsv; results/boost/limen-boost-057/core-table-revision-register.tsv	Do not treat SEC settlements as judicial merits findings or cross-sector prevalence evidence.	One non-finance regulator-final or adjudicated hidden-human exemplar and broader sector diversification.	Posture-aware settled-vs-charge-stage ladder; finance-concentration caution badge.	claims.md:LIMEN-C-005; results/boost/limen-boost-024/canonical-figure-table-registry.tsv:LIMEN-VIS-009; papers/article-architecture-v0.1.md Result block 6C
2026-06-07T15:40:50Z	LIMEN-C-006	Charging-stage hidden-human-behind-AI row outside finance	Table 1C AI-washing posture ladder	LIMEN-VIS-009	ROUTE-B supporting shard result	ROUTE-A appendix caution exemplar	Use as the accusation-bounded rung that keeps the hidden-human problem visible without silently upgrading it to adjudicated fact.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-003; results/boost/limen-boost-057/core-table-shared-surface-sync-audit.tsv; results/boost/limen-boost-021/nonfinance-subtype-branch-register.tsv	Presumption-of-innocence wording must travel; do not convert charging-stage allegations into settled hidden-human counts.	A regulator-final or adjudicated hidden-human-as-AI exemplar plus cleaner exact docket metadata.	Charge-stage rung and explicit queue-visible subtype branch.	claims.md:LIMEN-C-006; results/dashboard-paper/ai-washing-posture-table-v0.1.tsv; papers/article-architecture-v0.1.md Result block 6C
2026-06-07T16:35:36Z	LIMEN-C-007	Security evidence-layer asymmetry and explicit remaining peer-reviewed gap	Table 6 security publication-bucket and zero-state ladder	LIMEN-VIS-015	ROUTE-B core	ROUTE-A supporting limitations bridge	Use as the main security shard table when the paper needs the bounded 3 / 6 / 1 / 1 split and explicit separation between evidence architecture and prevalence claims.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-017; results/security/security-agentic-manuscript-bundle-v0.1.tsv; results/boost/limen-boost-040/table6-control-travel-kit.tsv	Do not flatten publication buckets, exact AVID linkage, or the remaining explicit gap row into comparative product-safety rhetoric.	One incident-specific peer-reviewed/conference-grade attachment to a live row.	Security publication-bucket panel; zero-state overlay; chart-ready observatory cells companion.	claims.md:LIMEN-C-007; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-015; results/dashboard-paper/publication-route-matrix-v0.1.tsv:ROUTE-B
2026-06-07T15:40:50Z	LIMEN-C-008	Procedural contamination / research-integrity source-depth heterogeneity	Table 1E source-depth panel	LIMEN-VIS-012	ROUTE-A supporting methods/results panel	ROUTE-B appendix comparator	Use as a reviewer-safe evidence-depth ladder showing that procedural-contamination and research-integrity rows are visible but not count-ready or sanction-ready.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-010; results/boost/limen-boost-008/table1e-manuscript-integration-bridge.tsv; results/boost/limen-boost-020/table1e-control-travel-kit.tsv	Do not restate the panel as prevalence, misconduct tally, sanction inventory, or system-wide legal-process evidence.	One non-Springer direct notice or one second document-grade process-integrity family before stronger family-level rhetoric.	Table 1E companion panel; reviewer-safe source-depth ladder.	claims.md:LIMEN-C-008; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-012; papers/article-architecture-v0.1.md shard-008 fragment
2026-06-07T15:40:50Z	LIMEN-C-009	UK biometric-governance document-grade comparative claim	Table 1A authoritative document-depth facet	LIMEN-VIS-007	ROUTE-A supporting authoritative package claim	ROUTE-B comparator support	Use through the authoritative document-depth facet when the paper needs a document-grade comparator inside the broader authoritative package without inflating it into a multi-country biometric pattern.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009; results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv; results/boost/limen-boost-039/table1a-control-travel-kit.tsv	Do not turn two UK ICO matters into sector-wide prevalence, harmonized liability, or broader legality conclusions.	One additional non-UK or non-ICO authoritative comparator before stronger biometric-comparator rhetoric.	Authoritative document-depth facet and authoritative package comparator slice.	claims.md:LIMEN-C-009; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-007; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-004
2026-06-07T15:40:50Z	LIMEN-C-010	Authoritative package document-depth heterogeneity	Table 1A authoritative document-depth facet	LIMEN-VIS-007	ROUTE-A core supporting table	ROUTE-C anchor-depth support	Use as the compact claim-support table for why direct-document, normalization-limited, and summary-only authoritative rows should not be narrated as one class.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009; results/boost/limen-boost-039/table1a-manuscript-integration-bridge.tsv; results/authoritative-scout/authoritative-evidence-funnel-v0.1.tsv	Do not flatten all authoritative rows into one quote-ready support class.	One captured court-facing text for LIMEN-000002 and one cleaner caption source for LIMEN-000005.	Authoritative depth facet; authority-posture legend; blocker-class dashboard slice.	claims.md:LIMEN-C-010; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-007; results/dashboard-paper/publication-route-visual-bridge-v0.1.tsv:LIMEN-VIS-007
2026-06-07T15:40:50Z	LIMEN-C-011	Shared claims-layer authoritative text anchor bundle	Figure 8 authority-geography concentration panel + Table 1A authoritative depth facet	LIMEN-VIS-013 + LIMEN-VIS-007	ROUTE-A supporting limitations pair	ROUTE-B context for governance/legal posture	Use Figure 8 plus Table 1A together when the manuscript needs both geography concentration and posture-aware document depth for the authoritative package.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-011; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009; results/boost/limen-boost-027/figure8-control-travel-kit.tsv	Do not treat regulator orders, notices, reprimands, and consent decrees as interchangeable with judicial merits findings or global coverage.	One additional clearly public non-U.S./non-UK document-grade follow-through row plus the standing LIMEN-000002 / LIMEN-000005 blockers.	Authority-geography concentration panel paired with document-depth facet.	claims.md:LIMEN-C-011; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-013; results/dashboard-paper/publication-route-visual-bridge-v0.1.tsv:LIMEN-VIS-007
2026-06-07T15:40:50Z	LIMEN-C-012	Public-sector disclosure-surface heterogeneity	Table 1B public-sector disclosure asymmetry comparison	LIMEN-VIS-008	ROUTE-B core	ROUTE-A supporting bounded slice	Use as the main public-sector panel when showing that register entries, regulator packages, and official project pages expose different reconstruction fields and proof ceilings.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv; results/boost/limen-boost-054/table1b-control-travel-kit.tsv; results/boost/limen-boost-042/public-sector-claim-support-bridge.tsv	Do not narrate Amsterdam as buyer-side resolved, Helsinki as exact row-linked procurement proof, or the five-row panel as a denominator-ready prevalence/count surface.	One exact row-linked procurement, contract, DPIA, or public impact-assessment companion for the register rows.	Public-sector disclosure asymmetry panel; traceability-ladder overlay; compact observatory cells companion.	claims.md:LIMEN-C-012; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-008; results/dashboard-paper/publication-route-matrix-v0.1.tsv:ROUTE-B
2026-06-07T15:40:50Z	LIMEN-C-013	Multilingual evidence-maturity asymmetry across under-covered languages	Table 1D multilingual evidence-quality ladder + Figure 6 jurisdiction/language visibility map	LIMEN-VIS-011 + LIMEN-VIS-006	ROUTE-A supporting methods/limitations pair	ROUTE-B context only until stronger authority	Use Table 1D plus Figure 6 together when the paper needs one bounded substantive multilingual row, two appendix/methods rows, three queue-only rows, and explicit translation-review burden.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-006; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-016; results/multilingual/multilingual-publication-routing-matrix-v0.1.tsv; results/boost/limen-boost-029/table1d-control-travel-kit.tsv	Do not convert the package into country ranking, prevalence, legal/compliance comparison, or proof that the high-undercovered rows are resolved.	One clearly compliant direct-source upgrade or human-reviewed translation pass for a queue-only row.	Jurisdiction/language map legend; authority-upgrade funnel; blocker-class matrix; multilingual ladder.	claims.md:LIMEN-C-013; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-011; results/dashboard-paper/publication-route-visual-bridge-v0.1.tsv:LIMEN-VIS-006
2026-06-07T15:40:50Z	LIMEN-C-014	Attestation local-bundle-present versus stronger-trust-absent split	Table 1G attestation trust-surface readiness ladder	LIMEN-VIS-016	ROUTE-C core companion	ROUTE-A methods appendix support	Use as the canonical attestation table when the manuscript needs one live local shared-bundle state plus three explicitly absent stronger trust surfaces.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-021; results/attestation/attestation-manuscript-bundle-v0.1.tsv; results/attestation/route-c-readiness-audit-v0.1.tsv	Do not turn schema enforcement or local bundle presence into detached-signature, transparency-log, VC, trust-anchor, legality, certification, or truth claims.	A real detached-signature verifier note, transparency/publication receipt, or issued VC bound to the shared bundle manifest.	Route-C trust-surface ladder; local-bundle-versus-external-witness legend.	claims.md:LIMEN-C-014; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-016; results/dashboard-paper/publication-route-matrix-v0.1.tsv:ROUTE-C
