visual_id	canonical_slot	title	current_source_path	preprint_state	dashboard_spec_state	article_architecture_state	shared_surface_state	remaining_gap	next_smallest_publishability_move
LIMEN-VIS-001	Figure 1	Source-family saturation map	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	slot_and_title	slot_and_title	slot_and_title	fully_named	no immediate shared-surface gap	hold and re-audit only if figure order or caption controls change
LIMEN-VIS-002	Figure 2	Taxonomy support heatmap	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	slot_only	slot_only	slot_and_title	partial_coverage	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	leave as is unless a stricter manuscript-facing registry is needed
LIMEN-VIS-003	Figure 3	Legal uncertainty matrix	results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	slot_only	title_only	slot_and_title	partial_coverage	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	leave as is unless a stricter manuscript-facing registry is needed
LIMEN-VIS-004	Figure 4	Duplicate-review quality-control graph	results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv	slot_and_title	slot_and_title	slot_and_title	fully_named	no immediate shared-surface gap	leave as is unless a stricter manuscript-facing registry is needed
LIMEN-VIS-005	Figure 5	Publication-safe evidence-tier funnel	results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv	slot_and_title	slot_only	slot_and_title	partial_coverage	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	leave as is unless a stricter manuscript-facing registry is needed
LIMEN-VIS-006	Figure 6	Jurisdiction/language visibility map	results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv	slot_and_title	title_only	slot_and_title	partial_coverage	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	leave as is unless a stricter manuscript-facing registry is needed
LIMEN-VIS-007	Table 1A	Authoritative document-depth facet	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	slot_and_title	title_only	slot_and_title	partial_coverage	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	leave as is unless a stricter manuscript-facing registry is needed
LIMEN-VIS-008	Table 1B	Public-sector disclosure asymmetry comparison	results/boost/limen-continuous-experiments/public-sector-disclosure-comparison-v0.1.tsv	slot_and_title	slot_and_title	slot_and_title	fully_named	no immediate shared-surface gap	leave as is unless a stricter manuscript-facing registry is needed
LIMEN-VIS-009	Table 1C	AI-washing posture ladder	results/dashboard-paper/ai-washing-posture-table-v0.1.tsv	title_only	title_only	slot_and_title	partial_coverage	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	leave as is unless a stricter manuscript-facing registry is needed
LIMEN-VIS-010	Figure 7	Authority-balance composition panel	results/boost/limen-boost-011/source-authority-balance.tsv	slot_and_title	title_only	slot_and_title	partial_coverage	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	leave as is unless a stricter manuscript-facing registry is needed
LIMEN-VIS-011	Table 1D	Multilingual evidence-quality ladder	results/boost/limen-boost-017/multilingual-shared-table-register.tsv	slot_and_title	title_only	slot_and_title	partial_coverage	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	leave as is unless a stricter manuscript-facing registry is needed
LIMEN-VIS-012	Table 1E	Procedural-contamination and research-integrity source-depth panel	results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv	slot_and_title	slot_and_title	slot_and_title	fully_named	no immediate shared-surface gap	leave as is unless a stricter manuscript-facing registry is needed
LIMEN-VIS-013	Figure 8	Authority-geography concentration panel	results/boost/limen-boost-027/authority-geography-panel.tsv	slot_and_title	title_only	slot_and_title	partial_coverage	shared prose is usable but still mixes canonical slot labels with title-only or slot-only mentions	leave as is unless a stricter manuscript-facing registry is needed
