queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00601	LIMEN-SIGNAL-5ED1DAB9977D797F	regulatory_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv	107	score/delta wrapper mentions official sources but does not expose one named reviewable surface here	surface existence cannot exceed the local wrapper/derived wording	extract the named official sandbox source from local supporting materials
BPSE-00602	LIMEN-SIGNAL-5EDB0733010A3143	country_index_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	61	country index row is a wrapper with flags, not a named reviewable source surface	surface existence cannot exceed the local wrapper/derived wording	extract one named source from the local country wrapper
BPSE-00603	LIMEN-SIGNAL-5EE5BC8210587747	research_queue_country_row	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	66	research-queue row lists desired source families but no named reviewable source surface	surface existence cannot exceed the local wrapper/derived wording	extract one named source from the local research queue
BPSE-00604	LIMEN-SIGNAL-5EEECFD60303465A	country_review_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_REVIEW_LOAD.csv	31	country review-load row mentions sources generically but does not expose one named reviewable surface here	surface existence cannot exceed the local wrapper/derived wording	extract one named source from the local country review row
BPSE-00605	LIMEN-SIGNAL-5EF91191D3038DEF	country_delta_wrapper	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_9_CANDIDATE_MATRIX_DELTA.csv	29	country delta row mentions hardened sources but does not expose one named reviewable surface here	surface existence cannot exceed the local wrapper/derived wording	extract the named official source from the local delta row
BPSE-00606	LIMEN-SIGNAL-5F00790CB44506FC	research_queue_country_row	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	75	research-queue row lists desired source families but no named reviewable source surface	surface existence cannot exceed the local wrapper/derived wording	extract one named source from the local research queue
BPSE-00607	LIMEN-SIGNAL-5F4992CD999A7C9F	country_index_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	45	country index row is a wrapper with flags, not a named reviewable source surface	surface existence cannot exceed the local wrapper/derived wording	extract one named source from the local country wrapper
BPSE-00608	LIMEN-SIGNAL-5F64FBF26EDA4347	country_index_wrapper	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	195	country index row is a wrapper with flags, not a named reviewable source surface	surface existence cannot exceed the local wrapper/derived wording	extract one named source from the local country wrapper
BPSE-00609	LIMEN-SIGNAL-5F7EA14E030BA335	research_queue_country_row	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	24	research-queue row lists desired source families but no named reviewable source surface	surface existence cannot exceed the local wrapper/derived wording	extract one named source from the local research queue
BPSE-00610	LIMEN-SIGNAL-5F8DC723F3104CB9	country_delta_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_CANDIDATE_MATRIX_DELTA.csv	72	country delta row mentions hardened sources but does not expose one named reviewable surface here	surface existence cannot exceed the local wrapper/derived wording	extract the named official source from the local delta row
