queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTR-00081	LIMEN-SIGNAL-3AF9BC9D7CA38642	translation_sensitive_official_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_SOURCE_REFRESH.csv	171	Local metadata names a plausible official surface, but the evidence is materially non-English or translation-sensitive.	source-surface existence only pending translation-aware review; no substantive legal or policy conclusion	route to translation-aware source review using the local official page or file only
BTR-00082	LIMEN-SIGNAL-3DD68035069AF300	official_strategy_non_english	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	146	named Brazilian government strategy is a plausible direct surface but Portuguese	translation-sensitive surface existence only; no substantive conclusion from machine translation	route to translation-aware source review
BTR-00083	LIMEN-SIGNAL-3DE3A550596A3811	foreign_language_digest	P1_official_or_regulator_review	legal-research	court AI	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	8702	named court AI project is translation-sensitive and needs language-aware review	translation-sensitive surface existence only; no substantive conclusion from machine translation	route to translation-aware source review
BTR-00084	LIMEN-SIGNAL-3EA0172CCBAACB0D	official_surface_non_english	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-018/rare-language-exemplar-packet-contract-v0.1.csv	5	named Bahrain parliamentary chatbot use case is translation-sensitive	translation-sensitive surface existence only; no substantive conclusion from machine translation	route to translation-aware source review
BTR-00085	LIMEN-SIGNAL-3F4E281B6FC7630B	foreign_language_digest	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/site/gaia-agent-atlas/public/data/foreign-language-digest.json	7394	named Chinese deep-synthesis provisions are translation-sensitive	translation-sensitive surface existence only; no substantive conclusion from machine translation	route to translation-aware source review
BTR-00086	LIMEN-SIGNAL-40996930238FE5A9	translation_sensitive_surface	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json	7650	Plausible direct source surface, but local evidence is translation-sensitive.	Translation-sensitive surface only; no legal or policy conclusion from machine translation.	Route to translation-aware source review.
BTR-00087	LIMEN-SIGNAL-40A23217A6233D4A	translation_sensitive_official_policy	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_SOURCE_PACK.csv	362	Plausible official ministry strategy page, but local evidence is translation-sensitive.	Translation-sensitive surface only; no legal or policy conclusion from machine translation.	Route to translation-aware source review.
BTR-00088	LIMEN-SIGNAL-41448F5417C018A8	translation_sensitive_legal_text	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/analysis/verification/p0-source-packs/raw/verify-gdpr-data-governance-evidence/b70dd85399aee628.txt	1	EUR-Lex/GDPR witness is still translation-sensitive review material in this queue.	Translation-sensitive surface only; no legal or policy conclusion from machine translation.	Route to translation-aware source review.
BTR-00089	LIMEN-SIGNAL-4194AEBF4E86F541	translation_sensitive_official_policy	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	892	Official Swedish policy page is plausible, but local evidence is materially non-English.	Translation-sensitive surface only; no legal or policy conclusion from machine translation.	Route to translation-aware source review.
BTR-00090	LIMEN-SIGNAL-41C8C042D7169F0D	translation_sensitive_source_log	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/turkish-hebrew-language-latest.jsonl	1	Multilingual official-source log requires translation-aware review.	Translation-sensitive surface only; no legal or policy conclusion from machine translation.	Route to translation-aware source review.
BTR-00091	LIMEN-SIGNAL-4339114D4FAB8725	translation_sensitive_official_law_page	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_4_SOURCE_REFRESH.csv	218	Official procurement-law page is plausible, but the local evidence is materially non-English.	Translation-sensitive surface only; no legal or policy conclusion from machine translation.	Route to translation-aware source review.
BTR-00092	LIMEN-SIGNAL-433EC03ADCFC7DEE	translation_sensitive_regulator_sandbox	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	297	Named regulator sandbox page is plausible, but local evidence is materially non-English.	Translation-sensitive surface only; no legal or policy conclusion from machine translation.	Route to translation-aware source review.
BTR-00093	LIMEN-SIGNAL-434650A7398EFCEE	translation_sensitive_official_policy	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	254	Official Czech strategy section is plausible, but local evidence is materially non-English.	Translation-sensitive surface only; no legal or policy conclusion from machine translation.	Route to translation-aware source review.
BTR-00094	LIMEN-SIGNAL-43C6B1AFD1511E6E	translation_sensitive_ministry_rule	P1_official_or_regulator_review	identity-provenance	synthetic media	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_11_SOURCE_REFRESH.csv	47	Named CAC rule page is plausible, but local evidence is materially non-English.	Translation-sensitive surface only; no legal or policy conclusion from machine translation.	Route to translation-aware source review.
BTR-00095	LIMEN-SIGNAL-43C9882D180A7FDE	translation_sensitive_court_surface	P1_official_or_regulator_review	legal-research	court AI	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	8404	Digest points to a plausible court judgment surface, but translation-aware review is required.	Translation-sensitive surface only; no legal or policy conclusion from machine translation.	Route to translation-aware source review.
BTR-00096	LIMEN-SIGNAL-43DA64CA6D6ED850	translation_sensitive_source_log	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/persian-urdu-language-history.jsonl	20	Persian/Urdu official-source log requires translation-aware review.	Translation-sensitive surface only; no legal or policy conclusion from machine translation.	Route to translation-aware source review.
