queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
BTR-00081	LIMEN-SIGNAL-3AF9BC9D7CA38642	source_surface_only_no_case	English metadata over Ethiopian official surfaces	https://www.ethiopia.gov.et/; https://aii.et/; https://www.ppa.gov.et/	Ethiopia government / MInT / EAII / PPA targeted register search	Local row is negative targeted-search metadata for algorithm-register absence, not an original non-English case source.	Public-source gap/search-state context only; no absence, readiness, legal, policy, or case claim.	Keep as search-state warning; inspect original official surfaces before any substantive Ethiopia claim.
BTR-00082	LIMEN-SIGNAL-3DD68035069AF300	source_surface_only_no_case	Portuguese / local English metadata	https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/estrategia-de-governo-digital	Estratégia de Governo Digital	Official Brazilian digital-government strategy supports general governance context, not an AI procurement case.	Digital-government/source-surface context only; no AI procurement, compliance, implementation, or case claim.	Use only as parent context; seek AI-specific procurement or implementation source separately.
BTR-00083	LIMEN-SIGNAL-3DE3A550596A3811	candidate_for_parent_source_extraction	Spanish / local English digest metadata	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	Corte Constitucional de Colombia T-323/24 / PretorIA digest record	Local digest explicitly names PretorIA in a Colombian Constitutional Court judgment, but translation status remains human-review-needed.	Candidate source-level court-AI surface only; no legal holding, due-process finding, deployment status, or promotion claim.	Extract as parent/source candidate with Spanish original-language verification and explicit citation caveat.
BTR-00084	LIMEN-SIGNAL-3EA0172CCBAACB0D	needs_original_language_source	Arabic / local English metadata	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-018/rare-language-exemplar-packet-contract-v0.1.csv:5	Bahrain parliamentary chatbot exemplar packet row	Packet row is a workload/routing question and names source IDs, but does not expose a reviewed Arabic source surface.	Translation-review workload only; no chatbot deployment, inventory, audit, legal, or country claim.	Retrieve and review the authoritative Arabic anchor before any extraction.
BTR-00085	LIMEN-SIGNAL-3F4E281B6FC7630B	machine_translation_hold	Chinese / local English digest metadata	https://www.cac.gov.cn/2022-12/11/c_1672221949318230.htm	Provisions on the Administration of Deep Synthesis Internet Information Services	Digest contains English paraphrase of Chinese CAC provisions with human-review-needed status and no stored original excerpt path.	Source locator and translation-status only; no binding-law interpretation, compliance, safety, or policy conclusion.	Review the Chinese original or cached official text before substantive legal/policy extraction.
BTR-00086	LIMEN-SIGNAL-40996930238FE5A9	cross_project_duplicate	Chinese / local English digest metadata	https://www.cac.gov.cn/2022-12/11/c_1672221949318230.htm	Provisions on the Administration of Deep Synthesis Internet Information Services	Submission digest repeats the same Chinese deep-synthesis provision record already represented in the local release digest.	Duplicate source-surface reference only; no additional legal, safety, compliance, or case claim.	Deduplicate to the canonical CAC provision record and review the Chinese original once.
BTR-00087	LIMEN-SIGNAL-40A23217A6233D4A	source_surface_only_no_case	Lao / local English metadata	https://mtc.gov.la/index.php?r=site/contents&id=29	National Digital Economy Development Vision Strategy and Plan - open government data project	Official strategy row describes planned open-government data context and explicitly notes no public algorithm register found.	Planning/source-surface and search-state context only; no algorithm-register absence, implementation, or AI case claim.	Keep as context; perform Lao-language follow-up for concrete register or AI-use evidence.
BTR-00088	LIMEN-SIGNAL-41448F5417C018A8	translation_source_reviewed	English EUR-Lex page with multilingual interface	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/analysis/verification/p0-source-packs/raw/verify-gdpr-data-governance-evidence/b70dd85399aee628.txt:1	EUR-Lex GDPR witness page	Local file is an English EUR-Lex GDPR page/interface witness, not a machine-translation factual source.	Legal-text/source locator only; no GDPR interpretation, applicability, compliance, or automated-decision finding.	Use only as locator/witness; cite official article text separately for any substantive claim.
BTR-00089	LIMEN-SIGNAL-4194AEBF4E86F541	candidate_for_parent_source_extraction	Swedish / local English metadata	https://www.regeringen.se/regeringens-politik/sveriges-ai-strategi/handlingsplan-for-sveriges-ai-strategi/	Handlingsplan för Sveriges AI-strategi	Official Swedish AI strategy/action-plan page supports public AI governance context but not a comprehensive algorithm register.	AI-governance parent/source context only; no register, prevalence, compliance, or implementation ranking claim.	Extract as parent context with Swedish original-language verification and no-register caveat.
BTR-00090	LIMEN-SIGNAL-41C8C042D7169F0D	machine_translation_hold	Hebrew and Turkish source-log metadata	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/turkish-hebrew-language-latest.jsonl:1	Turkish/Hebrew multilingual official-source log	JSONL record is a curated source log with fetch errors and translation_needed flags, not reviewed original-language content.	Processing/log metadata only; no policy, public-sector AI, legal, or implementation claim.	Review each underlying official source in original language before extraction.
