queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
BTR-00801	LIMEN-SIGNAL-CAE9B0F37DC4E033	translation_source_reviewed	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Zylab Disclosure Support	Local Dutch Algorithm Register English auto-translation names NER/document-disclosure support and human final review; treat as source-surface only.	source-surface/context only; no incident truth, legal/policy/safety/compliance/prevalence claim	If used beyond surface metadata, verify against the original Dutch register page.
BTR-00802	LIMEN-SIGNAL-CD604E267FE9076C	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Zylab Disclosure Support	Gap-map row duplicates the same Zylab register record already reviewed in BTR-00801.	duplicate source-surface/context only; no case-level promotion	Deduplicate to the parent Zylab record; verify original Dutch before extraction.
BTR-00803	LIMEN-SIGNAL-CE34C7F838DECC03	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Zylab Disclosure Support	Preview sample row duplicates the same Zylab register record already reviewed in BTR-00801.	duplicate source-surface/context only; no case-level promotion	Deduplicate to the parent Zylab record; verify original Dutch before extraction.
BTR-00804	LIMEN-SIGNAL-D118A7C762596D2B	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Zylab Disclosure Support	Preview gap-map row duplicates the same Zylab register record already reviewed in BTR-00801.	duplicate source-surface/context only; no case-level promotion	Deduplicate to the parent Zylab record; verify original Dutch before extraction.
BTR-00805	LIMEN-SIGNAL-D6052163C3EC2C6C	needs_original_language_source	English register URL / Dutch registry source not locally present	https://algoritmes.overheid.nl/en/algoritme/88456515	Sounding language	Local accession row only states a Dutch Algorithm Register entry with In use status; no original-language row text is available locally.	accession/source-surface only; no deployment, legal, safety, compliance, or case claim	Retrieve or attach the original Dutch register record before any substantive extraction.
BTR-00806	LIMEN-SIGNAL-D91DE6CB9ABCF2D3	translation_source_reviewed	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Datamask	Local Dutch Algorithm Register English auto-translation names document masking/anonymisation support and human checking; treat as source-surface only.	source-surface/context only; no incident truth, legal/policy/safety/compliance/prevalence claim	If used beyond surface metadata, verify against the original Dutch register page.
BTR-00807	LIMEN-SIGNAL-DBFC671B7E95057C	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Datamask	Gap-map row duplicates the same Datamask register record already reviewed in BTR-00806.	duplicate source-surface/context only; no case-level promotion	Deduplicate to the parent Datamask record; verify original Dutch before extraction.
BTR-00808	LIMEN-SIGNAL-E0B0C8D4B54FCAB4	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Datamask	Repeated gap-map row duplicates the same Datamask register record already reviewed in BTR-00806.	duplicate source-surface/context only; no case-level promotion	Deduplicate to the parent Datamask record; verify original Dutch before extraction.
BTR-00809	LIMEN-SIGNAL-E2CCAC823DA9932E	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Zylab Disclosure Support	Preview sample row duplicates the same Zylab register record already reviewed in BTR-00801.	duplicate source-surface/context only; no case-level promotion	Deduplicate to the parent Zylab record; verify original Dutch before extraction.
BTR-00810	LIMEN-SIGNAL-E6A3C08AD09792C5	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Datamask	Sample row duplicates the same Datamask register record already reviewed in BTR-00806.	duplicate source-surface/context only; no case-level promotion	Deduplicate to the parent Datamask record; verify original Dutch before extraction.
BTR-00811	LIMEN-SIGNAL-E8129487609075B8	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Datamask	Sample row duplicates the same Datamask register record already reviewed in BTR-00806.	duplicate source-surface/context only; no case-level promotion	Deduplicate to the parent Datamask record; verify original Dutch before extraction.
BTR-00812	LIMEN-SIGNAL-E81D032F7730E1B9	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Datamask	Later package sample row duplicates the same Datamask register record already reviewed in BTR-00806.	duplicate source-surface/context only; no case-level promotion	Deduplicate to the parent Datamask record; verify original Dutch before extraction.
BTR-00813	LIMEN-SIGNAL-EFD17F7490B43419	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Datamask	Preview gap-map row duplicates the same Datamask register record already reviewed in BTR-00806.	duplicate source-surface/context only; no case-level promotion	Deduplicate to the parent Datamask record; verify original Dutch before extraction.
BTR-00814	LIMEN-SIGNAL-F4F2201057B5279A	translation_source_reviewed	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Octobox Anonymisation	Local Dutch Algorithm Register English auto-translation names anonymisation setup/rules and human verification; treat as source-surface only.	source-surface/context only; no incident truth, legal/policy/safety/compliance/prevalence claim	If used beyond surface metadata, verify against the original Dutch register page.
BTR-00815	LIMEN-SIGNAL-FDFEBE07F35D909A	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Zylab Disclosure Support	Gap-map row duplicates the same Zylab register record already reviewed in BTR-00801.	duplicate source-surface/context only; no case-level promotion	Deduplicate to the parent Zylab record; verify original Dutch before extraction.
BTR-00816	LIMEN-SIGNAL-FFFCFD5E3E03F06F	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Zylab Disclosure Support	Sample row duplicates the same Zylab register record already reviewed in BTR-00801.	duplicate source-surface/context only; no case-level promotion	Deduplicate to the parent Zylab record; verify original Dutch before extraction.
