bridge_id	limen_field	limen_role	aiid	aiid_mapping	oecd_aim	oecd_mapping	avid	avid_mapping	mitre_atlas	mitre_atlas_mapping	mit_ai_risk	mit_ai_risk_mapping	cset_harm	cset_harm_mapping	paper_use	visualization_hook	uncertainty	next_smallest_move
LIMEN-002-FB-001	case_id	Canonical local record identifier	direct_external_id_slot	Map LIMEN `crosswalks.aiid_ids` to AIID report/incident identifiers when stable snapshot payload is confirmed.	direct_external_id_slot	Map LIMEN `crosswalks.oecd_aim_ids` to OECD incident identifiers after stable record endpoint verification.	direct_external_id_slot	Map LIMEN `crosswalks.avid_ids` to AVID vulnerability/report IDs from distributed JSON.	indirect_external_id_slot	Map LIMEN `crosswalks.mitre_atlas` to ATLAS case-study, tactic, technique, or mitigation IDs rather than a universal incident ID.	no_case_id_layer	MIT AI Risk is not an incident registry; use `crosswalks.mit_ai_risk` only for risk/taxonomy concept IDs.	no_case_id_layer	CSET material is a citation/manual harm taxonomy support surface, not a case ID registry.	Methods section on why LIMEN preserves local IDs while storing source-specific bridge IDs.	Interoperability readiness board: which frameworks support direct ID joins versus conceptual-only joins.	AIID/OECD live payload structure still needs verification from this lane; ATLAS identifiers are not equivalent to general incident IDs.	Verify one stable public identifier example for AIID and OECD, then add an ID-format note.
LIMEN-002-FB-002	title	Human-readable case label	direct_metadata	Expected to map to incident title/headline fields in snapshots or GraphQL if accessible.	direct_metadata	Expected to map to incident title/summary label in OECD public incident records.	direct_metadata	Maps to AVID report or vulnerability title fields.	partial_metadata	ATLAS case studies have names/titles, but they represent security examples rather than a general incident headline layer.	concept_label_only	MIT AI Risk categories provide risk labels, not case titles.	concept_label_only	CSET provides harm-concept labels, not case titles.	Reviewer-facing table showing which comparison sources preserve recognizable case naming.	Field-support heatmap for title/name interoperability.	AIID/OECD title-field exact names were not verified in this cycle.	Confirm exact field names from one public payload sample per source.
LIMEN-002-FB-003	event_dates.reported_on	Date of first public reporting or record posting	direct_metadata	Likely incident/report date field in case records.	direct_metadata	Likely incident publication/record date field in OECD monitor records.	direct_metadata	AVID distributed JSON supports report/vulnerability dating fields.	partial_metadata	ATLAS case studies may include dates but are not optimized for incident chronology.	no_case_date_layer	MIT AI Risk is a taxonomy/definition resource, not an event chronology source.	no_case_date_layer	CSET overview article is not a record-level date source.	Supports a chronology-limitation paragraph: some frameworks enable time-series joins, others do not.	Timeline readiness matrix by source.	Date-field exact semantics differ: occurrence date, disclosure date, and repository entry date are not interchangeable.	Document date-role normalization rules before any merged time-series figure.
LIMEN-002-FB-004	jurisdictions	Country or jurisdiction tags	partial_metadata	AIID likely supports location metadata, but exact country-field stability is unverified.	direct_metadata	OECD already exposes country-oriented incident metadata and country endpoint behavior.	partial_metadata	AVID may expose affected-organization or location context, but jurisdiction is not its core organizing field.	no_primary_support	ATLAS is technique-centric and should not be treated as a jurisdiction registry.	no_primary_support	MIT AI Risk is concept-centric, not jurisdiction-centric.	no_primary_support	CSET overview is concept-centric, not jurisdiction-centric.	Strengthens a methods claim that OECD is the best current external baseline for country/jurisdiction comparators.	Jurisdiction/language coverage comparison panel.	OECD record-level country join is strongly suggested but exact case endpoint still needs verification.	Verify one OECD incident payload that includes country fields and record ID together.
LIMEN-002-FB-005	languages	Language-of-source or record surface	no_clear_support	AIID may contain source URLs but language-normalized metadata was not verified.	direct_metadata	OECD language endpoint behavior is already observed and is likely the strongest source for language-aware comparison.	no_primary_support	AVID is predominantly English technical reporting; language metadata is not a core structured field.	no_primary_support	ATLAS is not designed for language coverage analysis.	no_primary_support	MIT AI Risk is not a multilingual incident surface.	no_primary_support	CSET overview is not a multilingual incident surface.	Supports LIMEN's dashboard claim that external frameworks vary sharply in language-aware observability.	Language-coverage bar or map with OECD highlighted as primary comparator.	The lane has endpoint evidence for OECD language lists but not yet for per-record language joins.	Verify whether OECD incident records expose per-record language or only platform-level language facets.
LIMEN-002-FB-006	evidence_tier	Strength of supporting public evidence	partial_inference	AIID record presence can support visibility, but LIMEN evidence tier still requires local source evaluation.	partial_inference	OECD listing can support visibility, but not automatic promotion of evidence tier.	partial_inference	AVID report/vulnerability presence can support technical relevance, but not a direct LIMEN tier mapping by itself.	partial_inference	ATLAS case-study presence indicates security relevance, not incident-proof strength.	no_direct_mapping	MIT AI Risk has no incident evidence tier system analogous to LIMEN.	no_direct_mapping	CSET overview has no incident evidence tier system analogous to LIMEN.	Protects against reviewer criticism that crosswalk presence is being mistaken for truth or authority.	Evidence-tier caution panel in methods/dashboard.	Crosswalk inclusion must not auto-upgrade case confidence or legality claims.	Write a short rule note: external appearance is a feature, not an evidence-tier override.
LIMEN-002-FB-007	classification.limen_categories	Primary LIMEN edge-case categories	partial_taxonomy	AIID taxonomy labels can likely support category comparison once verified.	partial_taxonomy	OECD monitor themes likely support broad incident-topic comparison, but exact controlled vocabulary is unverified.	partial_taxonomy	AVID failure-mode/vulnerability fields can inform security and agentic-control categories.	direct_taxonomy	ATLAS tactics/techniques/mitigations are strong structured inputs for security-risk and agentic-control-failure mapping.	direct_taxonomy	MIT AI Risk is a strong structured comparator for risk/hazard category overlap and residuals.	manual_taxonomy	CSET is suitable for manual harm/category interpretation only.	Central methods and results table on where LIMEN extends or departs from existing taxonomies.	Category crosswalk heatmap across LIMEN, ATLAS, MIT AI Risk, and optional AIID/OECD labels.	AIID/OECD controlled vocabularies were not locally captured in this cycle, so those columns remain provisional.	Prioritize a category-only bridge sample using AVID, ATLAS, and MIT AI Risk before any AIID/OECD bulk pass.
LIMEN-002-FB-008	classification.harm_types	Observed harm or hazard dimension	partial_taxonomy	AIID may carry incident/harm descriptors, but this needs payload confirmation.	partial_taxonomy	OECD likely supports incident-topic harm context, but not yet verified as a controlled harm taxonomy.	partial_taxonomy	AVID vulnerability/failure metadata can support cybersecurity and technical-hazard harm alignment.	partial_taxonomy	ATLAS mitigations and techniques can support cybersecurity-harm interpretation but not a complete harm ontology.	direct_taxonomy	MIT AI Risk is a strong risk/harm definition layer for aligned harm vocabularies.	manual_taxonomy	CSET overview is directly relevant as a conceptual harm taxonomy source, but manual extraction only.	Supports a related-work/results table on harm framing differences across security, incident, and policy sources.	Harm-taxonomy lattice or Sankey from LIMEN harm types to MIT/CSET support surfaces.	Conceptual mapping is stronger than machine-ready field reuse for MIT/CSET.	Add a small manual harm-bridge note for the most used LIMEN harm labels.
LIMEN-002-FB-009	system_context.ai_system_type	System or modality involved	partial_metadata	AIID likely captures system/application descriptors.	partial_metadata	OECD likely captures sector/system descriptors but exact fields were not verified.	direct_metadata	AVID records are expected to expose model/system context useful for technical system typing.	partial_metadata	ATLAS case studies may expose target/asset context, but not as a general AI system-type taxonomy.	partial_taxonomy	MIT AI Risk can support conceptual system-risk framing but not record-level system typing.	no_primary_support	CSET overview is not a system-type registry.	Useful for a methods note on why AVID is especially valuable for technical-system normalization.	System-type interoperability panel.	Need exact AVID field names and whether they separate model, provider, and application context.	Inspect one bounded AVID JSON sample to confirm the safest transferable fields.
LIMEN-002-FB-010	source_claims	Traceable source-specific factual claims	direct_linkage	AIID source URLs and incident narrative can be stored as external support references, not substituted for LIMEN claim-status judgments.	direct_linkage	OECD incident URLs/summaries can be stored as external support references with rights-aware restraint.	direct_linkage	AVID report/vulnerability references can be stored as source-level support for technical claims.	partial_linkage	ATLAS case studies can support attack-pattern and mitigation claims, but may summarize rather than originate primary incident evidence.	no_primary_claim_layer	MIT AI Risk definitions support interpretive framing, not case-fact claims.	no_primary_claim_layer	CSET overview supports interpretive framing, not case-fact claims.	Reinforces the separation of evidence provenance from conceptual crosswalks.	Provenance graph: case -> source claim -> framework bridge.	Source authority varies sharply across frameworks; conceptual sources should not be cited as incident-proof sources.	Add source-authority tags to any future imported bridge rows.
