check_id	case_id	cve_id	platform	source_family	live_public_repo_anchor	match_class	promotion_result	reviewer_safe_reading	paper_thesis_use	dashboard_hook	next_smallest_move	access_date
SFE-002-001	LIMEN-000004	CVE-2026-2285	CrewAI	AVID	no_hit_in_/tmp/tyche-avid-db	no_public_product_or_cve_hit	not_promoted	Bounded live AVID repo scan found no exact CVE and no CrewAI product-family report for the local-file-read row.	Negative-result support for keeping the CrewAI file-read row outside the exact-AVID join panel.	zero_hit_guardrail; crewai_frontier	Reopen only if a future AVID report names CrewAI or the exact CVE.	2026-06-07
SFE-002-002	LIMEN-000004	CVE-2026-2285	CrewAI	MITRE ATLAS	no_hit_in_/tmp/tyche-atlas-data/dist	no_public_product_or_cve_hit	not_promoted	Bounded live ATLAS distribution scan found no exact CVE, no CrewAI product-family case-study text, and no stronger direct-case anchor for the local-file-read row.	Keeps the CrewAI file-read row at technique-only ATLAS handling.	zero_hit_guardrail; crewai_frontier	Reopen only if a future ATLAS case study or stronger product-specific anchor appears.	2026-06-07
SFE-002-003	LIMEN-000005	CVE-2026-2286	CrewAI	AVID	no_hit_in_/tmp/tyche-avid-db	no_public_product_or_cve_hit	not_promoted	Bounded live AVID repo scan found no exact CVE and no CrewAI product-family report for the SSRF / internal-resource-acquisition row.	Negative-result support for keeping the CrewAI SSRF row outside the exact-AVID join panel.	zero_hit_guardrail; crewai_frontier	Reopen only if a future AVID report names CrewAI or the exact CVE.	2026-06-07
SFE-002-004	LIMEN-000005	CVE-2026-2286	CrewAI	MITRE ATLAS	no_hit_in_/tmp/tyche-atlas-data/dist	no_public_product_or_cve_hit	not_promoted	Bounded live ATLAS distribution scan found no exact CVE, no CrewAI product-family case-study text, and no stronger direct-case anchor for the SSRF row.	Keeps the CrewAI SSRF row at technique-only ATLAS handling.	zero_hit_guardrail; crewai_frontier	Reopen only if a future ATLAS case study or stronger product-specific anchor appears.	2026-06-07
SFE-002-005	LIMEN-000008	CVE-2026-44843	LangChain	AVID	reports/2023/AVID-2023-R0003.json; reports/2026/AVID-2026-R0016.json; reports/2026/AVID-2026-R1252.json; reports/2026/AVID-2026-R1253.json; reports/2026/AVID-2026-R1269.json; reports/2026/AVID-2026-R1283.json	platform_family_other_cves_and_mechanisms	not_promoted	Live AVID repo contains multiple LangChain-family reports, but none carries the exact LIMEN CVE-2026-44843 or a same-case report/vulnerability identifier for the broad load()/state-poisoning row.	Shows that the LangChain frontier remains richer at the family level than at the exact seeded-row level for this newer state-contamination case.	platform_analogue_guardrail; langchain_frontier	Require an exact CVE or otherwise case-specific LangChain bridge before any AVID promotion.	2026-06-07
SFE-002-006	LIMEN-000008	CVE-2026-44843	LangChain	MITRE ATLAS	ATLAS.yaml; ATLAS-latest.yaml; v6/ATLAS-2026.03.yaml; v6/ATLAS-2026.04.yaml; v6/ATLAS-2026.05.yaml	generalized_framework_mentions_only	not_promoted	Live ATLAS distributions mention LangChain in generalized framework lists and the multi-framework RCE exercise context, but no exact case-study ID or same-incident anchor was found for CVE-2026-44843.	Preserves cautious ATLAS treatment for the LangChain state-poisoning row.	atlas_context_guardrail; langchain_frontier	Keep ATLAS at cautious technique/context use unless a direct case-study anchor emerges.	2026-06-07
SFE-002-007	LIMEN-000009	CVE-2026-47413	PraisonAI	AVID	no_hit_in_/tmp/tyche-avid-db	no_public_product_or_cve_hit	not_promoted	Bounded live AVID repo scan found no exact CVE and no PraisonAI product-family report for the workspace-owner escalation row.	Negative-result support for keeping the PraisonAI row outside the exact-AVID join panel.	zero_hit_guardrail; praisonai_frontier	Reopen only if a future AVID report names PraisonAI or the exact CVE.	2026-06-07
SFE-002-008	LIMEN-000009	CVE-2026-47413	PraisonAI	MITRE ATLAS	no_hit_in_/tmp/tyche-atlas-data/dist	no_public_product_or_cve_hit	not_promoted	Bounded live ATLAS distribution scan found no exact CVE, no PraisonAI product-family case-study text, and no stronger direct-case anchor for the workspace-owner escalation row.	Keeps the PraisonAI row at cautious non-ATLAS status rather than forcing a graph match.	zero_hit_guardrail; praisonai_frontier	Reopen only if a future ATLAS case study or stronger product-specific anchor appears.	2026-06-07
SFE-002-009	LIMEN-000012	CVE-2025-9611	Playwright MCP	AVID	reports/2026/AVID-2026-R0233.json; reports/2026/AVID-2026-R0414.json; reports/2026/AVID-2026-R0417.json; reports/2026/AVID-2026-R0421.json; reports/2026/AVID-2026-R0425.json; reports/2026/AVID-2026-R0436.json; reports/2026/AVID-2026-R1578.json; reports/2026/AVID-2026-R1707.json	playwright_or_mcp_family_analogues_only	not_promoted	Live AVID repo now contains several MCP-family or Playwright-adjacent reports, but none is keyed to the exact Playwright MCP DNS-rebinding CVE-2025-9611; the nearest hits concern different products, configuration-RCE routes, SSRF, or file-read paths.	Useful reviewer-facing proof that MCP ecosystem density should not be collapsed into a same-case AVID join.	mcp_family_guardrail; playwright_frontier	Require the exact Playwright MCP CVE or another same-incident identifier before any AVID promotion.	2026-06-07
SFE-002-010	LIMEN-000012	CVE-2025-9611	Playwright MCP	MITRE ATLAS	ATLAS.yaml; ATLAS-latest.yaml; v6/ATLAS-2025.11.yaml; v6/ATLAS-2025.12.yaml; v6/ATLAS-2026.03.yaml; v6/ATLAS-2026.04.yaml; v6/ATLAS-2026.05.yaml	mcp_ecosystem_context_only	not_promoted	Live ATLAS distributions now carry broader MCP ecosystem and poisoned-tool context, but no exact Playwright MCP case-study identifier or same-incident anchor for the DNS-rebinding row.	Supports cautious thesis/manuscript framing of Playwright MCP as an MCP trust-boundary exemplar without claiming direct ATLAS case identity.	mcp_context_guardrail; playwright_frontier	Keep this row at cautious MCP-context status unless a direct ATLAS case-study anchor appears.	2026-06-07
