queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
BTR-00433	LIMEN-SIGNAL-2AB8F7B9A728056A	translation_source_reviewed	nl/en	https://algoritmes.overheid.nl/en	Dutch Government Algorithm Register	Official register surface found; local English page warns descriptions are automatically translated and original Dutch is authoritative.	source-surface/context only; no case promotion	preserve Dutch original and extract only bounded register-surface metadata
BTR-00434	LIMEN-SIGNAL-2B1256D83FB7D00C	translation_source_reviewed	es	https://spdp.gob.ec/	Superintendencia de Protección de Datos Personales	Official Ecuador regulator website named locally; evidence supports institutional surface, not an algorithm-register case.	source-surface/context only	keep as Spanish regulator context; require original-language capture for any extracted claim
BTR-00435	LIMEN-SIGNAL-2B27A69594A78539	translation_source_reviewed	th	https://www.etda.or.th/th/pr-news/AI_Gov_Anual.aspx	ETDA Generative AI Governance Guideline for Organizations	Thai ETDA guidance surface is locally captured and relevant as governance vocabulary/context.	source-surface/context only	retain for translation-aware guidance extraction, not incident or policy-effect claim
BTR-00436	LIMEN-SIGNAL-2B7FF7A71A7344D3	source_surface_only_no_case	de	https://transparenz.hamburg.de/	Transparenzportal Hamburg	German official transparency portal surface exists, but local row says it is not AI-specific or a national algorithm register.	source-surface only; no edge-case claim	do not promote; keep only as public transparency context if needed
BTR-00437	LIMEN-SIGNAL-2C096EEE35AAC42B	cross_project_duplicate	fa	https://www.mehrnews.com/news/6141439/تصویب-کلیات-سند-تأسیس-سازمان-ملی-و-تشکیل-شورای-راهبری-هوش	Mehr News report on Iranian national AI document/body	Same Persian Mehr state-media policy report recurs in this batch/history; translation-needed context only.	duplicate source-surface/context only	deduplicate against BTR-00448 and any parent extraction before use
BTR-00438	LIMEN-SIGNAL-2C49A6E019A16D6F	cross_project_duplicate	nl/en	https://algoritmes.overheid.nl/en	Dutch Government Algorithm Register	Same Dutch register surface as other batch rows; local page includes automatic-translation warning.	duplicate source-surface/context only	deduplicate with BTR-00433/BTR-00439 and preserve Dutch original
BTR-00439	LIMEN-SIGNAL-2C4F7F74127DD041	machine_translation_hold	nl/en	https://algoritmes.overheid.nl/en	Dutch Government Algorithm Register	History row explicitly flags translation-needed and local snippet warns English descriptions are automatically translated.	machine-translation surface only; no factual case claim	hold case extraction until Dutch original descriptions are captured
BTR-00440	LIMEN-SIGNAL-2CF16BF85279E4BE	translation_source_reviewed	es	https://www.finanzaspopulares.gob.ec/wp-content/uploads/2021/07/ley_organica_de_proteccion_de_datos_personales.pdf	Ley Orgánica de Protección de Datos Personales	Spanish statute PDF row supports automated-decision/profiling transparency rights context, not a public register.	legal/source context only; no legal finding	retain as Spanish statutory context with original-language quotations only
BTR-00441	LIMEN-SIGNAL-2EF7F5EBE21140BA	translation_source_reviewed	es	https://ogtic.gob.do/wp-content/uploads/2023/10/ENIA-Estrategia-Nacional-de-Inteligencia-Artificial-de-la-Republica-Dominicana_compressed.pdf	Estrategia Nacional de Inteligencia Artificial de la República Dominicana	Official Spanish AI strategy PDF row describes a planned 2025 procurement-resolution action, not enacted procurement rule.	source-surface/context only; planned-action ceiling	extract only planned-action wording with Spanish provenance
BTR-00442	LIMEN-SIGNAL-304497A8E8CC486B	translation_source_reviewed	hu	https://www.naih.hu/europai-adatvedelmi-testulet-edpb/edpb-iranymutatasai/file/429-iranymutatas-az-automatizalt-donteshozatallal-es-a-profilalkotassal-kapcsolatbana-2016-679-rendelet-alkalmazasahoz-wp251	NAIH-hosted automated decision-making/profiling guidance	Hungarian NAIH-hosted guidance surface supports automated-decision/profiling baseline only.	source-surface/context only; not a Hungarian register	retain as DPA-hosted guidance context; no national-register claim
BTR-00443	LIMEN-SIGNAL-312B214DBCEA36F9	translation_source_reviewed	it	https://www.garanteprivacy.it/temi/intelligenza-artificiale	Garante Privacy: AI - Intelligenza artificiale	Italian regulator AI topic page is a direct official multilingual source surface for regulator vocabulary/context.	source-surface/context only	run bounded original-language extraction for regulator guidance terms
BTR-00444	LIMEN-SIGNAL-3282EA6ABCF809A5	source_surface_only_no_case	fr	https://bosa.belgium.be/fr/AI4Belgium/observatoire	AI4Belgium / Observatoire de l’IA et des nouvelles technologies digitales	French BOSA/AI4Belgium observatory page maps ecosystem/projects; local row says it is not an AI Act regulatory sandbox.	source-surface only; negative sandbox evidence	do not promote as sandbox; keep weak context only
BTR-00445	LIMEN-SIGNAL-329464DC59F7439D	candidate_for_parent_source_extraction	es	https://www.gob.pe/institucion/pcm/informes-publicaciones/6879780-catalogo-de-aplicaciones-con-inteligencia-artificial-en-el-estado-peruano	Catálogo de Aplicaciones con Inteligencia Artificial en el Estado Peruano	Spanish official catalog explicitly lists public-entity AI applications, but local row says it is not clearly a formal algorithm register.	catalog/source-surface ceiling; no formal-register claim	extract catalog fields from original PDF/page with transparency-catalog framing
BTR-00446	LIMEN-SIGNAL-329998E20317D221	source_surface_only_no_case	es	https://www.argentina.gob.ar/justicia/biblioteca-dr-raymundo-m-salvat/regulacion-de-la-inteligencia-artificial	Regulación de la inteligencia artificial	Spanish ministry-library bibliographic source only weakly indicates sandbox as a concept; local row warns not operational sandbox.	source-surface only; no sandbox claim	do not promote; retain only as secondary bibliographic context if needed
BTR-00447	LIMEN-SIGNAL-32C804C739D9DD8A	source_surface_only_no_case	fr	https://www.saint-pierre-et-miquelon.gouv.fr/Publications	Publications - Les services de l’État à Saint-Pierre et Miquelon	French prefecture publications page was checked locally and no AI-specific evidence lifecycle artifacts were found.	source-surface only; negative AI-evidence finding	do not score or promote; leave as checked negative local source
BTR-00448	LIMEN-SIGNAL-33BD4825588B5A7B	cross_project_duplicate	fa	https://www.mehrnews.com/news/6141439/تصویب-کلیات-سند-تأسیس-سازمان-ملی-و-تشکیل-شورای-راهبری-هوش	Mehr News report on Iranian national AI document/body	Same Persian Mehr policy-report surface as BTR-00437; translation-sensitive state-media context only.	duplicate source-surface/context only	deduplicate and require Persian original before any bounded extraction
