repair_id	target_file	line_number	repair_scope	stale_text	proposed_replacement	why_this_matters	evidence_basis
SPDR-047-001	dashboard/limen-dashboard-spec-v0.1.md	3	stale_status_header_bundle	reviewed duplicate-control package at 27 visible rows / 20 reviewed lineages, the refreshed publication-safe aggregate contract at 28 normalized rows / 21 collapsed lineages, the 17-row duplicate ledger, the 14-edge duplicate-review graph	reviewed duplicate-control package with 29 visible rows, 19 duplicate-review ledger rows, 14 duplicate-review graph edges, 22 stable-collapsed lineages, and a separate 29-normalized-row / 21-publication-safe-lineage aggregate contract	Hostile-reviewer surfaces still carry pre-growth duplicate denominators; exact replacement keeps raw rows, ledger rows, graph edges, stable-collapsed lineages, and publication-safe lineages visibly separate.	results/clusters/duplicate-clusters-v0.1.tsv; results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
SPDR-047-002	dashboard/limen-dashboard-spec-v0.1.md	31	stale_grounded_state_ledger	reviewed duplicate-control ledger: 17 rows	reviewed duplicate-control ledger: 19 rows	Hostile-reviewer surfaces still carry pre-growth duplicate denominators; exact replacement keeps raw rows, ledger rows, graph edges, stable-collapsed lineages, and publication-safe lineages visibly separate.	results/clusters/duplicate-clusters-v0.1.tsv; results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
SPDR-047-003	dashboard/limen-dashboard-spec-v0.1.md	33	stale_grounded_state_package	reviewed duplicate-controlled package: 27 visible local rows collapsing to 20 reviewed lineages	reviewed duplicate-controlled package: 29 visible local rows collapsing to 22 stable-collapsed lineages	Hostile-reviewer surfaces still carry pre-growth duplicate denominators; exact replacement keeps raw rows, ledger rows, graph edges, stable-collapsed lineages, and publication-safe lineages visibly separate.	results/clusters/duplicate-clusters-v0.1.tsv; results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
SPDR-047-004	dashboard/limen-dashboard-spec-v0.1.md	34	stale_publication_rows	refreshed publication-safe aggregate contract: 28 normalized rows collapsing to 21 publication-safe lineages	refreshed publication-safe aggregate contract: 29 normalized rows collapsing to 21 publication-safe lineages	Hostile-reviewer surfaces still carry pre-growth duplicate denominators; exact replacement keeps raw rows, ledger rows, graph edges, stable-collapsed lineages, and publication-safe lineages visibly separate.	results/clusters/duplicate-clusters-v0.1.tsv; results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
SPDR-047-005	dashboard/limen-dashboard-spec-v0.1.md	62	stale_layer_a_rows	- 27 visible rows;	- 29 visible rows;	Hostile-reviewer surfaces still carry pre-growth duplicate denominators; exact replacement keeps raw rows, ledger rows, graph edges, stable-collapsed lineages, and publication-safe lineages visibly separate.	results/clusters/duplicate-clusters-v0.1.tsv; results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
SPDR-047-006	dashboard/limen-dashboard-spec-v0.1.md	63	stale_layer_a_lineages	- 20 reviewed lineages;	- 22 stable-collapsed lineages;	Hostile-reviewer surfaces still carry pre-growth duplicate denominators; exact replacement keeps raw rows, ledger rows, graph edges, stable-collapsed lineages, and publication-safe lineages visibly separate.	results/clusters/duplicate-clusters-v0.1.tsv; results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
SPDR-047-007	dashboard/limen-dashboard-spec-v0.1.md	64	stale_layer_a_ledger	- 17 duplicate-review rows;	- 19 duplicate-review rows;	Hostile-reviewer surfaces still carry pre-growth duplicate denominators; exact replacement keeps raw rows, ledger rows, graph edges, stable-collapsed lineages, and publication-safe lineages visibly separate.	results/clusters/duplicate-clusters-v0.1.tsv; results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
SPDR-047-008	papers/article-architecture-v0.1.md	3	stale_status_header_bundle	reviewed duplicate-control package at 27 visible rows / 20 reviewed lineages, the refreshed publication-safe aggregate contract at 28 normalized rows / 21 collapsed lineages, the 17-row duplicate ledger, the 14-edge duplicate-review graph	reviewed duplicate-control package with 29 visible rows, 19 duplicate-review ledger rows, 14 duplicate-review graph edges, 22 stable-collapsed lineages, and a separate 29-normalized-row / 21-publication-safe-lineage aggregate contract	Hostile-reviewer surfaces still carry pre-growth duplicate denominators; exact replacement keeps raw rows, ledger rows, graph edges, stable-collapsed lineages, and publication-safe lineages visibly separate.	results/clusters/duplicate-clusters-v0.1.tsv; results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
SPDR-047-009	papers/article-architecture-v0.1.md	22	stale_evidence_base_duplicate_pkg	reviewed duplicate-control package: 17 review rows supporting a 27-visible-row / 20-reviewed-lineage state	reviewed duplicate-control package: 19 review rows over a 29-visible-row base with 22 stable-collapsed lineages and a narrower 14-edge graph export	Hostile-reviewer surfaces still carry pre-growth duplicate denominators; exact replacement keeps raw rows, ledger rows, graph edges, stable-collapsed lineages, and publication-safe lineages visibly separate.	results/clusters/duplicate-clusters-v0.1.tsv; results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
SPDR-047-010	papers/article-architecture-v0.1.md	23	stale_evidence_base_publication_rows	refreshed publication-safe aggregate contract: 28 normalized rows / 21 collapsed lineages	refreshed publication-safe aggregate contract: 29 normalized rows / 21 publication-safe lineages	Hostile-reviewer surfaces still carry pre-growth duplicate denominators; exact replacement keeps raw rows, ledger rows, graph edges, stable-collapsed lineages, and publication-safe lineages visibly separate.	results/clusters/duplicate-clusters-v0.1.tsv; results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/boost/limen-boost-011/normalized-join-key-ledger.tsv; results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
