cluster_id	cluster_status	member_count	preferred_representative_key	preferred_representative_title	authority_export_state	export_view_class	publication_action	language_normalization_status	member_language_values	representative_translation_status	member_translation_states	strongest_evidence_tier_in_members	strongest_publication_confidence_cap_in_members	join_key_contract	lineage_counting_rule	paper_or_thesis_use	dashboard_or_visual_hook	blocking_reason_or_limit
REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	3			not_applicable_collision_blocker	warning_only_never_default	schema_warning_only	mixed_code_and_language_name	it;English;en	mixed_or_not_applicable	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	never_join_on_bare_local_id	methods appendix on namespace collision and overcount prevention; bounded subtype-recurrence example without event collapse; methods note on workflow duplicates versus new evidence	join-safety warning card; schema blocker panel	requires file-qualified or globally normalized identifiers before any atlas-level join/count
REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	3			not_applicable_collision_blocker	warning_only_never_default	schema_warning_only	mixed_code_and_language_name	en;English	mixed_or_not_applicable	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	never_join_on_bare_local_id	methods appendix on namespace collision and overcount prevention; methods note on workflow duplicates versus new evidence	join-safety warning card; schema blocker panel	requires file-qualified or globally normalized identifiers before any atlas-level join/count
REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	2			not_applicable_collision_blocker	warning_only_never_default	schema_warning_only	mixed_code_and_language_name	en;English	mixed_or_not_applicable	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	never_join_on_bare_local_id	bounded subtype-recurrence example without event collapse; methods appendix on namespace collision and overcount prevention	join-safety warning card; schema blocker panel	requires file-qualified or globally normalized identifiers before any atlas-level join/count
REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	2			not_applicable_collision_blocker	warning_only_never_default	schema_warning_only	mixed_code_and_language_name	en;English	mixed_or_not_applicable	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	never_join_on_bare_local_id	bounded subtype-recurrence example without event collapse	join-safety warning card; schema blocker panel	requires file-qualified or globally normalized identifiers before any atlas-level join/count
REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	2			not_applicable_collision_blocker	warning_only_never_default	schema_warning_only	mixed_code_and_language_name	en;English	mixed_or_not_applicable	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	never_join_on_bare_local_id	methods appendix on namespace collision and overcount prevention; bounded subtype-recurrence example without event collapse	join-safety warning card; schema blocker panel	requires file-qualified or globally normalized identifiers before any atlas-level join/count
CLUSTER-DERIVATIVE-LMWCS-20260606-001	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	non_authoritative_representative_only	appendix_or_cautious_default_translation_caution	emit_representative_with_translation_caution_and_keep_members_hidden	normalized_or_single_value	fi	machine_read_direct_source_extraction_note	machine_read_direct_source_extraction_note;title_gloss_only	T1_single_public_source	low	normalized_record_key_canonical; bare_local_id_provenance_only	collapse_to_one_lineage_keep_all_members_for_provenance	methods note on workflow duplicates versus new evidence	duplicate-cluster graph representative; lineage-safe atlas export	keep derivative members visible for provenance; do not count as separate atlas events
CLUSTER-DERIVATIVE-LMWCS-20260606-003	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception	non_authoritative_representative_only	appendix_or_cautious_default_translation_caution	emit_representative_with_translation_caution_and_keep_members_hidden	normalized_or_single_value	lt	title_gloss_only	title_gloss_only	T1_single_public_source	low	normalized_record_key_canonical; bare_local_id_provenance_only	collapse_to_one_lineage_keep_all_members_for_provenance	methods note on workflow duplicates versus new evidence	duplicate-cluster graph representative; lineage-safe atlas export	keep derivative members visible for provenance; do not count as separate atlas events
CLUSTER-DERIVATIVE-LMWCS-20260606-004	stable_duplicate_cluster	3	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	authoritative_or_direct_source_representative_available	appendix_or_cautious_default_translation_caution	emit_representative_with_translation_caution_and_keep_members_hidden	normalized_or_single_value	sl	machine_read_direct_source_extraction_note	machine_read_direct_source_extraction_note;machine_assisted_partial_full_page_extraction	T3_authoritative_source_direct_url_resolved	high	normalized_record_key_canonical; bare_local_id_provenance_only	collapse_to_one_lineage_keep_all_members_for_provenance	methods note on workflow duplicates versus new evidence	duplicate-cluster graph representative; lineage-safe atlas export	keep derivative members visible for provenance; do not count as separate atlas events
CLUSTER-DERIVATIVE-LMWCS-20260606-005	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary	non_authoritative_representative_only	appendix_or_cautious_default_translation_caution	emit_representative_with_translation_caution_and_keep_members_hidden	normalized_or_single_value	sl	machine_read_direct_source_extraction_note	machine_read_direct_source_extraction_note;title_gloss_only	T1_single_public_source	low	normalized_record_key_canonical; bare_local_id_provenance_only	collapse_to_one_lineage_keep_all_members_for_provenance	methods note on workflow duplicates versus new evidence	duplicate-cluster graph representative; lineage-safe atlas export	keep derivative members visible for provenance; do not count as separate atlas events
CLUSTER-DERIVATIVE-LMWCS-20260606-006	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	non_authoritative_representative_only	appendix_or_cautious_default_translation_caution	emit_representative_with_translation_caution_and_keep_members_hidden	normalized_or_single_value	et	title_gloss_only	title_gloss_only	T1_single_public_source	low	normalized_record_key_canonical; bare_local_id_provenance_only	collapse_to_one_lineage_keep_all_members_for_provenance	methods note on workflow duplicates versus new evidence	duplicate-cluster graph representative; lineage-safe atlas export	keep derivative members visible for provenance; do not count as separate atlas events
CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	stable_duplicate_cluster	2	data/cases/authoritative-candidates.jsonl:LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	authoritative_or_direct_source_representative_available	default_view_representative_ok	emit_representative_only_keep_members_hidden_by_default	normalized_or_single_value	en	not_flagged	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	collapse_to_one_lineage_keep_all_members_for_provenance	methods note on workflow duplicates versus new evidence	duplicate-cluster graph representative; lineage-safe atlas export	keep derivative members visible for provenance; do not count as separate atlas events
CLUSTER-DERIVATIVE-SEC-GP-20260318	stable_duplicate_cluster	2	data/cases/authoritative-candidates.jsonl:LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	authoritative_or_direct_source_representative_available	default_view_representative_ok	emit_representative_only_keep_members_hidden_by_default	normalized_or_single_value	en	not_flagged	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	collapse_to_one_lineage_keep_all_members_for_provenance	methods note on workflow duplicates versus new evidence	duplicate-cluster graph representative; lineage-safe atlas export	keep derivative members visible for provenance; do not count as separate atlas events
REVIEW-NOMERGE-CODEEXEC-001	reviewed_not_duplicate	2			not_applicable_non_merge_package	overlay_only_keep_separate_lineages	separate_lineages_non_merge_overlay	normalized_or_single_value	English	mixed_or_not_applicable	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	keep_all_members_as_separate_lineages	bounded subtype-recurrence example without event collapse	non-merge recurrence overlay; subtype-pattern panel	same framework/regulator/failure mode does not justify event collapse
REVIEW-NOMERGE-CODEEXEC-002	reviewed_not_duplicate	2			not_applicable_non_merge_package	overlay_only_keep_separate_lineages	separate_lineages_non_merge_overlay	normalized_or_single_value	English	mixed_or_not_applicable	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	keep_all_members_as_separate_lineages	bounded subtype-recurrence example without event collapse	non-merge recurrence overlay; subtype-pattern panel	same framework/regulator/failure mode does not justify event collapse
REVIEW-NOMERGE-CREWAI-001	reviewed_not_duplicate	2			not_applicable_non_merge_package	overlay_only_keep_separate_lineages	separate_lineages_non_merge_overlay	normalized_or_single_value	English	mixed_or_not_applicable	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	keep_all_members_as_separate_lineages	bounded subtype-recurrence example without event collapse	non-merge recurrence overlay; subtype-pattern panel	same framework/regulator/failure mode does not justify event collapse
REVIEW-NOMERGE-ICO-001	reviewed_not_duplicate	2			not_applicable_non_merge_package	overlay_only_keep_separate_lineages	separate_lineages_non_merge_overlay	normalized_or_single_value	en	mixed_or_not_applicable	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	keep_all_members_as_separate_lineages	bounded subtype-recurrence example without event collapse	non-merge recurrence overlay; subtype-pattern panel	same framework/regulator/failure mode does not justify event collapse
REVIEW-NOMERGE-SEC-001	reviewed_not_duplicate	2			not_applicable_non_merge_package	overlay_only_keep_separate_lineages	separate_lineages_non_merge_overlay	normalized_or_single_value	en	mixed_or_not_applicable	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	keep_all_members_as_separate_lineages	methods note on workflow duplicates versus new evidence	non-merge recurrence overlay; subtype-pattern panel	same framework/regulator/failure mode does not justify event collapse
REVIEW-NOMERGE-LANGCHAIN-001	reviewed_not_duplicate	2			not_applicable_non_merge_package	overlay_only_keep_separate_lineages	separate_lineages_non_merge_overlay	normalized_or_single_value	English	mixed_or_not_applicable	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	keep_all_members_as_separate_lineages	bounded subtype-recurrence example without event collapse	non-merge recurrence overlay; subtype-pattern panel	same framework/regulator/failure mode does not justify event collapse
REVIEW-NOMERGE-FILEREAD-001	reviewed_not_duplicate	2			not_applicable_non_merge_package	overlay_only_keep_separate_lineages	separate_lineages_non_merge_overlay	normalized_or_single_value	English	mixed_or_not_applicable	not_flagged	T3_authoritative_source	high	normalized_record_key_canonical; bare_local_id_provenance_only	keep_all_members_as_separate_lineages	methods appendix on namespace collision and overcount prevention; bounded subtype-recurrence example without event collapse	non-merge recurrence overlay; subtype-pattern panel	same framework/regulator/failure mode does not justify event collapse
