check_id	checked_at_utc	url	host	source_family	local_shell_status	web_open_status	final_url_or_observed_route	content_type_or_surface	public_evidence_gained	limitation_or_blocker	no_bypass_note	next_safe_action
LINK-Z1-001	2026-06-07T11:58:20Z	https://www.ftc.gov/legal-library/browse/cases-proceedings/donotpay	www.ftc.gov	Regulator and enforcement sources	403	web_open_success_via_public_search	https://www.ftc.gov/legal-library/browse/cases-proceedings/donotpay	text/html via web open	Official FTC case page publicly lists DoNotPay summary and timeline including final order materials	Local curl returned 403, so this host cannot directly sample page without a different compliant route	No bypass attempted; no custom access-control evasion used	Read documents through public web/search route or later browser/manual workflow; record shell 403 if dashboard builder tests links
LINK-Z1-002	2026-06-07T11:58:20Z	https://www.ftc.gov/legal-library/browse/cases-proceedings/2323092-content-scale-ai	www.ftc.gov	Regulator and enforcement sources	403	web_open_success_via_public_search	https://www.ftc.gov/legal-library/browse/cases-proceedings/2323092-content-scale-ai	text/html via web open	Official FTC case page publicly lists Workado / Content at Scale AI summary and final-order materials	Local curl returned 403	No bypass attempted; no custom access-control evasion used	Use as source-checked candidate; confirm complaint/order document text before canonical row
LINK-Z1-003	2026-06-07T11:58:20Z	https://www.ftc.gov/legal-library/browse/cases-proceedings/232-3052-rytr-llc-matter	www.ftc.gov	Regulator and enforcement sources	403	web_open_success_via_public_search	https://www.ftc.gov/legal-library/browse/cases-proceedings/232-3052-rytr-llc-matter	text/html via web open	Official FTC case page publicly lists Rytr complaint/final-order/set-aside sequence	Local curl returned 403; complex posture requires document reading	No bypass attempted; no custom access-control evasion used	Read set-aside order before any count-bearing use
LINK-Z1-004	2026-06-07T11:58:20Z	https://www.ftc.gov/legal-library/browse/cases-proceedings/airai	www.ftc.gov	Regulator and enforcement sources	403	web_open_success_via_public_search	https://www.ftc.gov/legal-library/browse/cases-proceedings/airai	text/html via web open	Official FTC case page publicly lists Air.ai complaint and 2026 settlement/stipulated-order materials	Local curl returned 403; exact AI role needs document reading	No bypass attempted; no custom access-control evasion used	Read complaint/order before classification
LINK-Z1-005	2026-06-07T11:58:20Z	https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/jun/udvikling-af-ai-loesning-til-sagsbehandling-paa-su-omraadet	www.datatilsynet.dk	Public-sector regulator decision	200	web_open_success	https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/jun/udvikling-af-ai-loesning-til-sagsbehandling-paa-su-omraadet	text/html; charset=utf-8	Official Danish regulator decision page publicly accessible from shell and web; supports public-sector AI decision-support governance anchor	Translation review required; not a harm/misuse case by itself	Single public page sample only; no bulk scraping	Prepare translation-safe paraphrase and decide if anchor belongs in reviewed examples or public-sector source table
LINK-Z1-006	2026-06-07T11:16:11Z	https://doi.org/10.1056/NEJMc2605962	www.nejm.org	Academic and research-integrity sources	403	recorded_by_existing_frontier	https://www.nejm.org/doi/10.1056/NEJMc2605962	cloudflare_blocked_publisher_page	DOI/retraction metadata exists, but direct NEJM notice body was not captured	Publisher page access barrier prevents notice-text promotion in current lane	Do not repeat same blocked page as new evidence	Find materially different public publisher-facing surface or keep as DOI-level candidate
LINK-Z1-007	2026-06-07T11:16:11Z	https://link.springer.com/article/10.1007/s00134-024-07752-6	link.springer.com	Academic and research-integrity sources	200	recorded_by_existing_frontier	https://link.springer.com/article/10.1007/s00134-024-07752-6	publicly_reachable_reason_text_anchor	Direct publisher editor notice text recorded as present in shard frontier	Use notice-bounded rationale only; do not generalize across publishers or author intent	Single page route; no bulk retrieval	Promote as reviewed document-grade research-integrity anchor
LINK-Z1-008	2026-06-07T11:15:44Z	https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf	www.sec.gov	Regulator and enforcement sources	403	recorded_by_existing_audit	https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf	text/html / Forbidden	Existing local package has prior SEC order capture, but latest public-link audit saw shell 403	Public dashboard should preserve that current host access may differ from prior capture	Do not bypass 403 or retry aggressively	Use existing hash/capture refs; expose link-check status separately
LINK-Z1-009	2026-06-07T11:15:44Z	https://www.sec.gov/files/litigation/admin/2024/ia-6574.pdf	www.sec.gov	Regulator and enforcement sources	403	recorded_by_existing_audit	https://www.sec.gov/files/litigation/admin/2024/ia-6574.pdf	text/html / Forbidden	Existing local package has prior SEC order capture, but latest public-link audit saw shell 403	Public dashboard should preserve that current host access may differ from prior capture	Do not bypass 403 or retry aggressively	Use existing hash/capture refs; expose link-check status separately
LINK-Z1-010	2026-06-07T11:15:47Z	https://www.policija.si/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-4	www.policija.si	Public-sector and policing sources	200	recorded_by_existing_audit	https://www.policija.si/index.php?option=com_content&view=article&id=95798	text/html; charset=utf-8	Official Slovenian police ORION page remains public-link reachable	Translation caution and project-page proof ceiling remain active	Single public page sample only	Keep as official project-page anchor, not enforcement/procurement proof
