record_key	source_lineage_keys	record_status	evidence_tier	case_title_or_lead	jurisdictions	languages	source_family	source_url_or_artifact	category_tags	source_check_state	dedupe_or_collision_note	promotion_state	next_check_needed	dashboard_hook
LMWCS-20260606-001	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001; results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-001; results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-001	candidate	T1_single_public_source	AI-drafted Finnish police/legal complaints or appeals reportedly cited nonexistent cases	Finland	fi	public_broadcaster_news	https://yle.fi/a/74-20212545	legal_procedural_contamination; public_sector_misuse_or_gap; institutional_absurdity	direct Yle page recorded as reachable in current local frontier, but official police/court/ministry companion still absent	Derivative duplicate across multilingual and shard-008 queues; collapse to one lineage for dashboard counts	candidate_only	Find official Finnish police, court, ministry, or administrative-process companion; do not re-count derivative queue rows	authority_escalation_ladder; language_jurisdiction_map; procedural_contamination_panel
LMWCS-20260606-002	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	candidate	T1_single_public_source	Finnish intimate-image abuse lead involving alleged AI-falsified nude images	Finland	fi	local_news_indexed_by_google_news	Google News exact-title feed; direct Kaleva path not captured	deepfake_or_synthetic_identity; unlawful_or_allegedly_unlawful_use	Exact-title Google News/Kaleva trace found with dated pubDate; direct article body and police/public-record companion not captured	Standalone multilingual singleton; no same-event duplicate found	candidate_only	Resolve compliant direct article path or official police/public-record source; keep title-level limits visible	deepfake_source_depth_queue; hidden_to_visible_trigger_board
LMWCS-20260606-003	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003; results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-003	candidate	T1_single_public_source	Lithuanian police-warning / AI-assisted deception and gold-trading fraud lead	Lithuania	lt	news_or_public_warning_lead	data/cases/multilingual-candidates.jsonl	deepfake_or_synthetic_identity; unlawful_or_allegedly_unlawful_use; finance_insurance_or_market	Queue-only multilingual lead; direct official source unresolved	Derivative queue duplicate; collapse for lineage counts	candidate_only	Find compliant Lithuanian police or regulator warning page before using beyond limitations	map_undercovered_language_leads; scam_modality_queue
LMWCS-20260606-005	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005; results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-005	candidate	T1_single_public_source	Sveta Trojica municipal AI secretary / phone-routing lead	Slovenia	sl	regional_news	https://radioptuj.svet24.si/podravje-na-moji-dlani/lokalne-novice/10345-pri-sveti-trojici-namesto-tajnice-ze-umetna-inteligenca	institutional_absurdity; public_sector_misuse_or_gap; ai_washing_or_false_ai_claim	Direct local-news page captured; official municipal follow-up remained access-friction-limited in prior route matrix	Derivative queue duplicate; collapse for lineage counts	candidate_only	Find direct municipal page, procurement record, council minute, vendor page, or official correction with exact service-description language	nonfinance_ai_claim_route_scarcity; public_sector_theater_comparator
LMWCS-20260606-006	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006; results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-006	candidate	T1_single_public_source	Estonian education-governance anomaly involving an AI-linked exam-failure report	Estonia	et	challenge_gated_news_surface	Google News / TV3 lead in multilingual queue	education_workplace_or_hr; institutional_absurdity	Title-gloss / queue-only state; current host did not recover compliant article body	Derivative queue duplicate; collapse for lineage counts	candidate_only	Resolve compliant article body or official education/school/source companion before substantive use	education_anomaly_queue; high_undercovered_language_badge
LIMEN-008-LEAD-002	results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-002	candidate	T1_single_public_source	ChatGPT-updated references article with mediated editor statement	unknown_or_multijurisdictional	en	research_integrity_reporting; DOI metadata	https://retractionwatch.com/2024/05/20/journal-taking-corrective-actions-after-learning-author-used-chatgpt-to-update-references/	research_integrity; legal_procedural_contamination	Underlying article DOI identified in local source-delta; direct journal/publisher correction action not captured	No duplicate cluster recorded	candidate_only	Capture SAGE/journal correction, expression of concern, retraction, or direct editor/publisher notice	research_integrity_source_depth_ladder
LIMEN-008-LEAD-003	results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-003	candidate	T1_single_public_source	NEJM retraction lead involving AI-manipulated clinical imagery	unknown_or_multijurisdictional	en	research_integrity_reporting; DOI metadata	https://doi.org/10.1056/NEJMc2605962	research_integrity; legal_procedural_contamination; deepfake_or_synthetic_identity	DOI-level original/retraction metadata found; direct NEJM notice page blocked from lane with 403	No duplicate cluster recorded	candidate_only	Find a compliant public publisher-facing notice or equivalent public record; do not restate editorial reasoning from blocked page	synthetic_evidence_contamination_queue
LIMEN-008-LEAD-004	results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-004	candidate	T1_single_public_source	Historical computer-generated fake peer-review reporting	unknown_or_multijurisdictional	en	research_integrity_reporting	https://retractionwatch.com/2016/09/02/weve-seen-computer-generated-fake-papers-get-published-now-we-have-computer-generated-fake-peer-reviews/	research_integrity	Single specialist report; no direct publisher/institutional case packet captured in this continuation	No duplicate cluster recorded	candidate_only	Find publisher investigation, retraction bundle, institutional report, or public case packet if used beyond historical context	research_integrity_timeline
LIMEN-008-LEAD-006	results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-006	candidate	T1_single_public_source	Springer Nature machine-learning book with alleged made-up citations	unknown_or_multijurisdictional	en	research_integrity_reporting; publisher_status_page	https://link.springer.com/book/10.1007/978-981-97-9914-5	research_integrity; legal_procedural_contamination	Publisher book page reachable and retracted-status visible; direct reason text not captured	No duplicate cluster recorded	candidate_only	Capture public publisher notice or reason text before claiming made-up-citation rationale from publisher source	venue_type_depth_ladder
LIMEN-008-LEAD-007	results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-007	candidate	T1_single_public_source	Suspected network of fake articles detected through citation alerts	unknown_or_multijurisdictional	en	research_integrity_reporting	https://retractionwatch.com/2026/03/30/fake-articles-plagiarism-preprints-arxiv-ssrn-citation-network/	research_integrity; residual_unclassified	Single specialist report; no platform moderation/indexing action captured	No duplicate cluster recorded	candidate_only	Find platform, indexing-service, publisher, or institutional action document before cluster-level promotion	residual_cluster_queue; citation_network_panel
