note_id	record_key	source_date_fields	normalized_date_for_dashboard	date_confidence	date_note	what_not_to_do
DATE-Z1-001	LIMEN-000002	occurred_from=2020-01-01; occurred_to=2020-12-31; filed/reported=2022-05-05; settlement=2023-09-11	use timeline range plus two procedural milestones	medium	EEOC row needs both alleged rejection period and filing/settlement dates; do not collapse to one incident date	Do not present settlement date as occurrence date or merits judgment date
DATE-Z1-002	LIMEN-000004	ICO enforcement record=2024-07-22; newsroom=2024-07-23; reprimand PDF=2024-07-02	use document date plus public-action dates	high	Keep one-day newsroom/enforcement-record difference visible for exact public-record audit	Do not silently normalize all to 2024-07-23
DATE-Z1-003	LIMEN-000005	DOJ press release=2025-04-09; indictment PDF captured same date; OCR caption suffix incomplete	use 2025-04-09 as reported/charging public date	high for public date; low for exact docket suffix	Caption/date metadata remains normalization-limited because image-only PDF OCR did not recover full case number	Do not invent docket suffix or use the charge date as adjudication
DATE-Z1-004	LMWCS-20260606-002	Google News/Kaleva pubDate=2026-05-29T07:00:00Z	use 2026-05-29 as indexed publication date	medium	Exact-title feed confirms dated public record but not article body facts	Do not infer event date or official action date from feed pubDate
DATE-Z1-005	LIMEN-008-LEAD-003	Retraction Watch=2026-05-01; DOI metadata has original and retraction DOI pair	use 2026-05-01 for lead discovery/public report; record DOI dates separately when captured	medium	Publisher notice body blocked; DOI-level dates should stay metadata-only	Do not infer detailed editorial rationale from DOI title alone
DATE-Z1-006	Z1-FTC-DONOTPAY-2025	FTC case timeline=2024-09-25 complaint/proposed order; 2025-01-17 final order docs; 2025-02-11 final-order press release	use three-milestone timeline	medium_high	Official page exposes complaint/proposed-order and final-order milestones; local shell could not retrieve page without 403	Do not collapse proposed-order date into final-order date
DATE-Z1-007	Z1-FTC-WORKADO-2025	FTC proposed order=2025-04-28; final-order press release/case update=2025-08-28	use two-milestone timeline	medium_high	Official FTC page and press release support proposed-to-final sequence; read PDFs before exact order-date wording	Do not treat complaint allegations as final-order findings without document reading
DATE-Z1-008	Z1-FTC-RYTR-2024-2025	FTC complaint/proposed package=2024-09-25; final order=2024-12-18; set-aside order=2025-12-22	use three-milestone reversible-posture timeline	medium_high	Case is valuable precisely because current posture changed after final order	Do not count as current settled/final-order exemplar without set-aside caveat
DATE-Z1-009	Z1-FTC-AIRAI-2025-2026	FTC complaint=2025-08-25; settlement/stipulated order=2026-03-24	use two-milestone enforcement timeline	medium	Exact AI-claim substance still needs complaint/order reading	Do not infer AI-washing category solely from company name or page title
DATE-Z1-010	Z1-DK-DATATILSYNET-SU-AI-2024	Datatilsynet decision date=2024-06-12; request date=2024-01-11	use 2024-06-12 as decision date; keep request date in notes	high	Decision page explicitly shows Danish date and journal number	Do not treat decision date as deployment date or harm date
