anchor_id	record_key_or_case_id	anchor_status	source_family	authority_body_or_source	jurisdiction	language	published_or_decision_date	access_or_checked_date	source_url	source_check_result	strongest_supported_use	claim_ceiling_or_caution	dashboard_hook
AUTH-Z1-001	LIMEN-000001	existing_reviewed_anchor	Regulator and enforcement sources	Garante per la protezione dei dati personali	Italy	it	2023-03-30	2026-06-06	https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/9870832	existing local authoritative ledger row	Italian DPA ChatGPT urgent provisional limitation order text	Narrow regulator-order claims only; preserve Italian original and avoid generalized compliance conclusions	regulator_action_timeline
AUTH-Z1-002	LIMEN-000002	existing_reviewed_anchor_summary_limited	Regulator and enforcement sources; Court and tribunal records	U.S. Equal Employment Opportunity Commission	United States	en	2022-05-05; 2023-09-11	2026-06-07	https://www.eeoc.gov/newsroom/eeoc-sues-itutorgroup-age-discrimination	existing local authoritative ledger row	Agency filing and settlement progression in iTutorGroup automated hiring matter	Agency-summary support only; open court-originating complaint/decree/order still missing	agency_to_court_gap_facet
AUTH-Z1-003	LIMEN-000003	existing_reviewed_anchor	Regulator and enforcement sources	UK Information Commissioner's Office	United Kingdom	en	2024-02-19; 2024-02-23	2026-06-07	https://ico.org.uk/media2/woalogoc/20240219-serco-leisure-operating-limited-en.pdf	existing local authoritative ledger row	Direct enforcement-notice PDF for worker biometric attendance monitoring	Narrow notice/remedy text only; do not infer broader sector prevalence	biometric_workplace_document_grade
AUTH-Z1-004	LIMEN-000004	existing_reviewed_anchor	Regulator and enforcement sources	UK Information Commissioner's Office	United Kingdom	en	2024-07-02; 2024-07-23	2026-06-07	https://ico.org.uk/media2/migrated/4030350/20240702-cvhs-reprimand.pdf	existing local authoritative ledger row	Direct reprimand PDF for school facial-recognition canteen payments	Metadata-first because minors/school context; no broader school-sector inference	school_biometric_governance
AUTH-Z1-005	LIMEN-000005	existing_reviewed_anchor_normalization_limited	Court and tribunal records	U.S. Attorney's Office, Southern District of New York	United States	en	2025-04-09	2026-06-07	https://www.justice.gov/usao-sdny/pr/tech-ceo-charged-artificial-intelligence-investment-fraud-scheme	existing local authoritative ledger row	Charging-stage Nate AI-misstatement and hidden-human allegations plus DOJ-linked indictment presence	Accusation-stage and presumption-of-innocence boundary; exact docket caption still incomplete	charging_stage_hidden_human_panel
AUTH-Z1-006	LIMEN-000006	existing_reviewed_anchor	Regulator and enforcement sources	U.S. Securities and Exchange Commission	United States	en	2024-03-18	2026-06-07	https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf	existing local authoritative ledger row; current audit had 403 for SEC PDF in shell	SEC Delphia settled AI/machine-learning misstatement order and penalty	Settlement-order posture, not independent judicial fact-finding or cross-sector prevalence	settled_ai_washing_sanctions
AUTH-Z1-007	LIMEN-000007	existing_reviewed_anchor	Regulator and enforcement sources	U.S. Securities and Exchange Commission	United States	en	2024-03-18	2026-06-07	https://www.sec.gov/files/litigation/admin/2024/ia-6574.pdf	existing local authoritative ledger row; current audit had 403 for SEC PDF in shell	SEC Global Predictions settled AI branding/service misstatement order and penalty	Settlement-order posture; avoid generalizing to all AI financial advice	settled_ai_washing_sanctions
AUTH-Z1-008	LIMEN-000008	existing_reviewed_anchor	Regulator and enforcement sources	Federal Communications Commission	United States	en	2024-05-28; 2024-08-21	2026-06-07	https://docs.fcc.gov/public/attachments/DA-24-790A1.txt	existing local authoritative ledger row	FCC consent-decree/order stage for Lingo deepfake robocall settlement	Consent-decree settlement and telecom-authentication posture only; no criminal-guilt or prevalence conclusion	synthetic_voice_lifecycle
AUTH-Z1-009	LIMEN-000009	existing_authoritative_follow_through	Public-sector and policing sources	Policija / Ministry of the Interior, Police	Slovenia	sl	2026-01-07	2026-06-07	https://www.policija.si/delovna-podrocja/mednarodno-sodelovanje/crpanje-evropskih-sredstev/projekt-euccs-preparation-stage-4	existing local authoritative ledger row	Official Slovenian police ORION public project page with AI-assisted border-management language	Official project-existence/pilot-language only; no deployment, legality, proportionality, compliance, or effectiveness claims	non_us_uk_official_public_sector_anchor
AUTH-Z1-010	LIMEN-008-LEAD-005	promotion_ready_anchor	Academic and research-integrity sources	Springer / Intensive Care Medicine	unknown_or_multijurisdictional	en	2024 article / 2026 source-check	2026-06-07	https://link.springer.com/article/10.1007/s00134-024-07752-6	local frontier says 200 and direct publisher reason-text anchor	Direct publisher/editor retraction notice anchor for fake-reference / generative-AI reference-list case	Narrow publisher notice only; no author-intent or prevalence claims	research_integrity_document_grade
AUTH-Z1-011	Z1-FTC-DONOTPAY-2025	new_source_checked_anchor_candidate	Regulator and enforcement sources	Federal Trade Commission	United States	en	2024-09-25; 2025-02-11	2026-06-07	https://www.ftc.gov/legal-library/browse/cases-proceedings/donotpay	public via web search/open; local curl returned 403	Non-finance official AI-claim / AI-lawyer final-order candidate	Do not promote until complaint/order document text is read; FTC posture only	nonfinance_ai_claim_anchor
AUTH-Z1-012	Z1-FTC-WORKADO-2025	new_source_checked_anchor_candidate	Regulator and enforcement sources	Federal Trade Commission	United States	en	2025-04-28; 2025-08-28	2026-06-07	https://www.ftc.gov/legal-library/browse/cases-proceedings/2323092-content-scale-ai	public via web search/open; local curl returned 403	AI content-detector accuracy-claim final-order candidate	Do not independently characterize model accuracy; use only FTC complaint/order wording	ai_detector_claims_anchor
AUTH-Z1-013	Z1-FTC-RYTR-2024-2025	new_source_checked_complex_anchor	Regulator and enforcement sources	Federal Trade Commission	United States	en	2024-09-25; 2024-12-18; 2025-12-22	2026-06-07	https://www.ftc.gov/legal-library/browse/cases-proceedings/232-3052-rytr-llc-matter	public via web search/open; local curl returned 403	AI testimonial/review-generator case with complaint/final-order/set-aside chronology	Complex posture; do not count as current final order without reading set-aside order	regulatory_reversibility_anchor
AUTH-Z1-014	Z1-FTC-AIRAI-2025-2026	new_source_checked_candidate	Regulator and enforcement sources	Federal Trade Commission	United States	en	2025-08-25; 2026-03-24	2026-06-07	https://www.ftc.gov/legal-library/browse/cases-proceedings/airai	public via web search/open; local curl returned 403	AI-branded business-opportunity enforcement/settlement route candidate	AI role and claim substance require complaint/order reading before classification	business_opportunity_ai_claim_queue
AUTH-Z1-015	Z1-DK-DATATILSYNET-SU-AI-2024	new_source_checked_anchor_candidate	Public-sector registers and procurement; regulator decision	Datatilsynet	Denmark	da	2024-06-12	2026-06-07	https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/jun/udvikling-af-ai-loesning-til-sagsbehandling-paa-su-omraadet	local curl 200; web open successful	Official Danish public-sector AI decision-support governance anchor	Not a harm case by itself; do not infer misuse or compliance certification	public_sector_governance_language_diversity
