surface_id	target_surface	surface_kind	claimed_or_embedded_denominator	verified_live_value	verified_value_rule	status	recommended_denominator_layer	paper_thesis_use	dashboard_hook	next_smallest_publishability_move	evidence_basis_paths
DRC-035-001	live local package	counting_baseline	implicit across shard-local case inventories	29	raw visible rows across authoritative + security + multilingual + boost005 + boost009 inventories	aligned	raw_visible_rows_only	Methods appendix baseline showing the maximum visible local package before any duplicate or confidence gating.	Raw-package denominator badge distinct from reviewed or publication-safe layers.	Use only as provenance or QA baseline; never as headline figure denominator.	/srv/tyche/projects/limen-ai-edge-case-atlas/data/cases/authoritative-candidates.jsonl; /srv/tyche/projects/limen-ai-edge-case-atlas/data/cases/security-agentic-candidates.jsonl; /srv/tyche/projects/limen-ai-edge-case-atlas/data/cases/multilingual-candidates.jsonl; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-005/candidate-cases.jsonl; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-009/candidate-cases.jsonl
DRC-035-002	results/clusters/duplicate-clusters-v0.1.tsv	duplicate_review_ledger	live ledger rows	19	header-excluded TSV row count for duplicate review ledger	aligned	duplicate_review_ledger_rows	Join-safety and overcount-prevention methods evidence.	Duplicate-control ledger card.	Keep this count separate from graph edges and publication-safe lineages in all prose.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv
DRC-035-003	results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv	duplicate_review_graph	live graph edges	14	header-excluded TSV row count for duplicate-review graph edges	aligned_but_narrower_than_ledger	duplicate_review_graph_edges_only	Graph-ready edge layer for reviewed blockers and reviewed non-merges, not the full duplicate-control universe.	Duplicate graph edge counter with narrower-than-ledger warning.	Label explicitly as an edge export, not as the total reviewed duplicate ledger.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
DRC-035-004	results/clusters/status.md	stable_duplicate_collapsed_lineage_count	29 visible rows / 22 unique local lineages	22	29 visible rows minus 7 stable duplicate cluster representatives in publication-safe aggregate	aligned	stable_duplicate_collapsed_lineages	Reviewer-safe lineage denominator for duplicate-control discussion before confidence gating.	Lineage-collapse denominator badge for duplicate-control methods notes.	Use this denominator only when the claim is about stable-duplicate collapse rather than publication-safe inclusion.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/status.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
DRC-035-005	results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv	publication_safe_aggregate	28 normalized rows / 21 collapsed lineages	29 normalized rows / 21 publication-safe lineages	header-excluded row counts from normalized join-key ledger and publication-safe aggregate matrix	upstream_normalized_row_drift_but_lineage_layer_stable	publication_safe_lineages	Headline evidence-tier and authority-balance denominator after duplicate and confidence gating.	Figure 5 and Figure 7 denominator contract.	Keep the 21-lineage layer canonical, but queue a bounded sync note because upstream normalized-row wording has moved from 28 to 29.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
DRC-035-006	dashboard/limen-dashboard-spec-v0.1.md	shared_prose_header	reviewed duplicate-control package at 27 visible rows / 20 reviewed lineages, the refreshed publication-safe aggregate contract at 28 normalized rows / 21 collapsed lineages, the 17-row duplicate ledger, the 14-edge duplicate-review graph	should now distinguish 19 duplicate-ledger rows, 14 graph edges, 22 stable-collapsed lineages, and 21 publication-safe lineages	compare embedded header summary against live local ledger, graph, cluster, and shard-011 aggregate counts	stale_header_bundle	split_by_layer_not_single_bundle	Patch prerequisite note for reviewer-facing dashboard architecture prose.	Header repair queue.	Refresh the status sentence so it no longer repeats the older 27/20/17 bundle and instead names each denominator layer separately.	/srv/tyche/projects/limen-ai-edge-case-atlas/dashboard/limen-dashboard-spec-v0.1.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/status.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
DRC-035-007	papers/article-architecture-v0.1.md	shared_prose_header	reviewed duplicate-control package at 27 visible rows / 20 reviewed lineages, the refreshed publication-safe aggregate contract at 28 normalized rows / 21 collapsed lineages, the 17-row duplicate ledger, the 14-edge duplicate-review graph	should now distinguish 19 duplicate-ledger rows, 14 graph edges, 22 stable-collapsed lineages, and 21 publication-safe lineages	compare embedded header summary against live local ledger, graph, cluster, and shard-011 aggregate counts	stale_header_bundle	split_by_layer_not_single_bundle	Patch prerequisite note for reviewer-facing article architecture prose.	Architecture-header repair queue.	Refresh the status sentence so article architecture text names the current denominator layers separately instead of flattening them into one stale package summary.	/srv/tyche/projects/limen-ai-edge-case-atlas/papers/article-architecture-v0.1.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/status.md; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
DRC-035-008	results/boost/limen-boost-024/canonical-figure-table-registry.tsv :: LIMEN-VIS-004	figure_registry_row	14 graph edges (blocker=9; reviewed_not_duplicate=5); duplicate ledger rows=17	14 graph edges; 19 duplicate ledger rows	figure registry scope checked against live graph-edge count and current duplicate ledger count	needs_caption_sync_note	duplicate_review_graph_edges_only	Ensures Figure 4 is framed as a graph export, not a complete duplicate ledger or lineage denominator.	Figure 4 denominator legend repair queue.	Amend shared Figure 4 prose so it says the graph remains narrower than the 19-row live ledger and should not be used as the full duplicate-control denominator.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-024/canonical-figure-table-registry.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv
DRC-035-009	results/boost/limen-boost-024/canonical-figure-table-registry.tsv :: LIMEN-VIS-005	figure_registry_row	21 publication-safe lineages (T3=14; T3_direct_url_resolved=1; T1=6; confidence caps high=15 medium=0 low=6)	21 publication-safe lineages with 29 normalized rows upstream	figure registry scope checked against current shard-011 aggregate contract	lineage_contract_aligned_upstream_row_wording_needs_sync	publication_safe_lineages	Keeps the headline funnel tied to the reviewer-safe aggregate rather than staged or raw counts.	Figure 5 denominator contract.	Preserve the 21-lineage caption-control routing, but update any lingering 28-normalized-row wording when this row is next touched.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-024/canonical-figure-table-registry.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
DRC-035-010	results/boost/limen-boost-024/canonical-figure-table-registry.tsv :: LIMEN-VIS-010	figure_registry_row	21 publication-safe lineages (authority_anchor=7; technical_authority=7; translation_caution_authority=1; provisional_or_limitations_only=6)	21 publication-safe lineages	figure registry scope checked against current shard-011 authority-balance contract	aligned	publication_safe_lineages	Keeps the authority-balance panel denominator synchronized with the safe aggregate.	Figure 7 denominator contract.	Preserve current caption-control routing; no denominator change needed unless shard-011 counts move again.	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-024/canonical-figure-table-registry.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv
