as_of_utc	row_id	case_or_queue	package_bucket	count_surface_role	publication_confidence_cap	translation_flag	evidence_depth_or_posture	reviewer_safe_use	blocker_or_guardrail	figure_table_dashboard_hook	next_smallest_publishability_move	evidence_refs
2026-06-08T08:55:58Z	ACCB-035-001	package_core_summary	shared_authoritative_core	11_row_package_state_panel_only	mixed_high_with_posture_splits	mixed	11-row shared authoritative core with 8 direct-document rows, 1 summary-only row, 1 partial-document charging row, and 1 bounded official-project-page follow-through row	Use as the package-state front door for reviewer-safe authority heterogeneity, not as a flat denominator of equal strength.	Do not flatten Table 1A's 10-row default facet into the wider 11-row core or erase the LIMEN-000002 / LIMEN-000005 blocker pair.	Figure 8 geography panel; authoritative package-state panel; thesis authority-depth narrative	Keep package-state prose synchronized whenever the default Table 1A facet or non-core sidecars change.	results/dashboard/authoritative-package-state-panel.tsv:AUTHPANEL-001; results/dashboard-paper/authoritative-package-state-panel-v0.1.tsv:AUTHPANEL-001; results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv:LIMEN-C-010
2026-06-08T08:55:58Z	ACCB-035-002	default_facet_summary	shared_authoritative_default_facet	10_row_table1a_default	mixed_high_with_posture_splits	mixed	10-row default Table 1A facet with 7 direct-document rows, 1 follow-through row, 1 partial-document row, and 1 summary-only row	Use as the default count-bearing authoritative document-depth facet for manuscript/dashboard reuse.	Do not silently add Workado to the default facet or treat the Slovenian project page, Nate charging package, and EEOC summaries as equivalent to direct regulator/court document text.	Table 1A / LIMEN-VIS-007; authority-depth facet; caption control CCR-009	Only reopen the default facet after a synchronized denominator decision across caption, dashboard, and manuscript surfaces.	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-007
2026-06-08T08:55:58Z	ACCB-035-003	LIMEN-000001	shared_authoritative_core	default_facet_document_grade	high	not_translation_dependent	direct Italian regulator order text	Narrow order-bounded claims on provisional limitation and listed notice/legal-basis/accuracy/age-verification concerns are reviewer-safe.	Keep Italian-original legal nuance and avoid broader final-illegality or pan-EU overread.	Table 1A; Figure 8; privacy-enforcement and jurisdiction/language views	Add selective human-reviewed Italian anchor extraction for quote-ready manuscript reuse.	results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv:LIMEN-C-011; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv:LIMEN-000001; data/cases/authoritative-candidates.jsonl:LIMEN-000001
2026-06-08T08:55:58Z	ACCB-035-004	LIMEN-000002	shared_authoritative_core	default_facet_summary_grade	high	not_translation_dependent	agency-summary-only escalation package	Reviewer-safe use is limited to EEOC filing/settlement narration from agency pages plus explicit court-depth absence.	No court-originating complaint, decree, docket entry, or judicial order text is yet captured.	Table 1A blocker class; Figure 8 core blocker pair; court-depth methods note	Capture one open complaint, consent decree, docket entry, or judicial order from a court-facing or clearly labeled open public source.	results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv:LIMEN-C-010; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv:LIMEN-000002; results/authoritative-scout/authoritative-case-publication-routing-matrix-v0.1.tsv:LIMEN-000002
2026-06-08T08:55:58Z	ACCB-035-005	LIMEN-000003	shared_authoritative_core	default_facet_document_grade	high	not_translation_dependent	direct ICO enforcement-notice PDF text	Reviewer-safe use includes narrow notice-text claims on cited UK GDPR provisions, attendance-monitoring posture, and Annex 1 remedy terms.	Do not generalize one workplace biometric notice into sector prevalence or broader legality conclusions beyond the notice text.	Table 1A; biometric-governance table; remedy-type matrix	Extract a compact anchor set for manuscript-ready notice and remedy quotations.	results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv:LIMEN-C-012; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv:LIMEN-000003; results/authoritative-scout/authoritative-case-publication-routing-matrix-v0.1.tsv:LIMEN-000003
2026-06-08T08:55:58Z	ACCB-035-006	LIMEN-000004	shared_authoritative_core	default_facet_document_grade	high	not_translation_dependent	direct ICO reprimand PDF text	Reviewer-safe use includes narrow reprimand-text claims on missing DPIA, deployment timing, and invalid opt-out consent framing.	Preserve school/minors context and avoid sector-wide prevalence or generalized legality claims.	Table 1A; minors/public-interest table; Figure 8 UK branch	Extract a compact anchor set while keeping schoolchild context metadata-first.	results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv:LIMEN-C-013; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv:LIMEN-000004; results/authoritative-scout/authoritative-case-publication-routing-matrix-v0.1.tsv:LIMEN-000004
2026-06-08T08:55:58Z	ACCB-035-007	LIMEN-000005	shared_authoritative_core	default_facet_partial_document_grade	high	not_translation_dependent	charging-stage package with captured indictment PDF but partial caption normalization	Reviewer-safe use is accusation-stage wording plus document-presence methods claims only.	Exact caption/case-number metadata remain below quote-ready precision; do not invent unread docket fields.	Table 1A partial-document row; AI-washing posture ladder; court-normalization methods table	Use a materially different OCR stack or another exact-caption public source before promoting exact docket metadata.	results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv:LIMEN-C-016; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv:LIMEN-000005; results/authoritative-scout/authoritative-case-publication-routing-matrix-v0.1.tsv:LIMEN-000005
2026-06-08T08:55:58Z	ACCB-035-008	LIMEN-000006	shared_authoritative_core	default_facet_document_grade	high	not_translation_dependent	settled SEC administrative order text	Reviewer-safe use includes narrow settlement-order claims on AI/machine-learning misstatement substance and the USD 225000 penalty.	Do not overread settlement posture as judicial fact-finding or cross-sector prevalence evidence.	Table 1A; settled AI-washing table; sanctions matrix	Add selective order anchors for the most publication-useful misstatement and remedy passages.	results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv:LIMEN-C-014; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv:LIMEN-000006; results/authoritative-scout/authoritative-case-publication-routing-matrix-v0.1.tsv:LIMEN-000006
2026-06-08T08:55:58Z	ACCB-035-009	LIMEN-000007	shared_authoritative_core	default_facet_document_grade	high	not_translation_dependent	settled SEC administrative order text	Reviewer-safe use includes narrow settlement-order claims on false and misleading AI-adviser marketing statements and the USD 175000 penalty.	Do not generalize one SEC settlement package into wider market prevalence or merits adjudication.	Table 1A; settled AI-washing comparator panel; sanctions matrix	Add selective order anchors for the strongest marketing-claim passages.	results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv:LIMEN-C-015; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv:LIMEN-000007; results/authoritative-scout/authoritative-case-publication-routing-matrix-v0.1.tsv:LIMEN-000007
2026-06-08T08:55:58Z	ACCB-035-010	LIMEN-000008	shared_authoritative_core	default_facet_document_grade	high	not_translation_dependent	document-grade FCC enforcement lifecycle with allegation-stage and consent-decree texts	Reviewer-safe use includes stage-aware wording on spoofed deepfake robocalls, STIR/SHAKEN attestation posture, compliance-plan terms, and the USD 1000000 civil penalty.	Keep May allegation-stage and August consent-decree stages distinct; do not turn one FCC lifecycle into broad election-deepfake prevalence.	Table 1A; telecom-authentication lifecycle; synthetic-identity enforcement table	Extract a compact anchor set that keeps the stage split explicit.	results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv:LIMEN-C-017; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv:LIMEN-000008; results/authoritative-scout/authoritative-case-publication-routing-matrix-v0.1.tsv:LIMEN-000008
