row_id	analysis_scope	duplicate_control_state	publication_confidence_cap	translation_dependent_count	not_translation_dependent_count	lineage_count	recommended_join_rule_or_hazard	evidence_tier_profile	representative_keys	reviewer_safe_interpretation	claim_ceiling_or_caution	next_smallest_publishability_move	dashboard_hook
CCA-011-001	duplicate_control_x_confidence	identifier_collision_blocker	high	0	5	4			data/cases/authoritative-candidates.jsonl:LIMEN-000001;data/cases/authoritative-candidates.jsonl:LIMEN-000002;data/cases/authoritative-candidates.jsonl:LIMEN-000005;data/cases/security-agentic-candidates.jsonl:LIMEN-000003	High-confidence rows remain publishable only after normalized/file-qualified joins; bare local IDs are unsafe.	Do not overread counts into prevalence, legality, or completeness.	Normalize export-facing case keys in shared consumers before any count or graph reuse.	duplicate-cluster graph / evidence funnel / publication-safe aggregate
CCA-011-002	duplicate_control_x_confidence	identifier_collision_blocker	low	0	1	1			data/cases/security-agentic-candidates.jsonl:LIMEN-000002	This is the most fragile publishable state: low-confidence evidence plus known bare-ID collision risk.	Do not overread counts into prevalence, legality, or completeness.	Do not aggregate beyond methods/limitations until stronger source support lands.	duplicate-cluster graph / evidence funnel / publication-safe aggregate
CCA-011-003	duplicate_control_x_confidence	no_cluster_review_row	low	1	0	1			data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Low-confidence singletons remain limitations/queue material and should not strengthen headline claims.	Do not overread counts into prevalence, legality, or completeness.	Seek one stronger direct source or corroborating family before promotion.	duplicate-cluster graph / evidence funnel / publication-safe aggregate
CCA-011-004	duplicate_control_x_confidence	reviewed_not_duplicate	high	0	8	8			data/cases/authoritative-candidates.jsonl:LIMEN-000003;data/cases/authoritative-candidates.jsonl:LIMEN-000004;data/cases/security-agentic-candidates.jsonl:LIMEN-000001;data/cases/security-agentic-candidates.jsonl:LIMEN-000004;data/cases/security-agentic-candidates.jsonl:LIMEN-000005;data/cases/security-agentic-candidates.jsonl:LIMEN-000006;data/cases/security-agentic-candidates.jsonl:LIMEN-000007;data/cases/security-agentic-candidates.jsonl:LIMEN-000008	High-confidence recurrence/similarity packages are safe as subtype overlays, not same-event merges.	Do not overread counts into prevalence, legality, or completeness.	Preserve non-merge wording in subtype figures and manuscript captions.	duplicate-cluster graph / evidence funnel / publication-safe aggregate
CCA-011-005	duplicate_control_x_confidence	stable_duplicate_cluster	high	1	2	3			data/cases/authoritative-candidates.jsonl:LIMEN-000006;data/cases/authoritative-candidates.jsonl:LIMEN-000007;data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	High-confidence clusters already have reviewer-safe collapse rules and can feed figure denominators.	Do not overread counts into prevalence, legality, or completeness.	Keep canonical representative keys visible in figure/table exports.	duplicate-cluster graph / evidence funnel / publication-safe aggregate
CCA-011-006	duplicate_control_x_confidence	stable_duplicate_cluster	low	4	0	4			data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001;data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003;data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005;data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	Low-confidence multilingual derivative clusters are count-safe only after collapse and translation caution.	Do not overread counts into prevalence, legality, or completeness.	Upgrade one low-confidence multilingual cluster with direct authority or corroboration.	duplicate-cluster graph / evidence funnel / publication-safe aggregate
CCA-011-007	join_rule_x_confidence		high			3	collapse_cluster_to_one_lineage			Join-rule distribution shows which confidence bands still depend on normalization or cluster collapse before safe counting.	Never join on bare local IDs; collapse stable duplicates before denominator use.	Keep join-rule labels explicit in figure/table exports.	Figure 2 denominator control / publication-safe aggregate / methods appendix
CCA-011-008	join_rule_x_confidence		low			4	collapse_cluster_to_one_lineage			Join-rule distribution shows which confidence bands still depend on normalization or cluster collapse before safe counting.	Never join on bare local IDs; collapse stable duplicates before denominator use.	Keep join-rule labels explicit in figure/table exports.	Figure 2 denominator control / publication-safe aggregate / methods appendix
CCA-011-009	join_rule_x_confidence		high			8	file_qualified_key_ok			Join-rule distribution shows which confidence bands still depend on normalization or cluster collapse before safe counting.	Never join on bare local IDs; collapse stable duplicates before denominator use.	Keep join-rule labels explicit in figure/table exports.	Figure 2 denominator control / publication-safe aggregate / methods appendix
CCA-011-010	join_rule_x_confidence		low			1	file_qualified_key_ok			Join-rule distribution shows which confidence bands still depend on normalization or cluster collapse before safe counting.	Never join on bare local IDs; collapse stable duplicates before denominator use.	Keep join-rule labels explicit in figure/table exports.	Figure 2 denominator control / publication-safe aggregate / methods appendix
