row_type	stage_code	stage_label	lineage_count	share_of_safe_lineages	count_scope	join_status	publication_confidence_note
lineage_stage	T0_discovered_lead	T0 discovered lead	0	0.000	collapsed publication-safe lineages	safe_only_after_normalized_record_key_or_lineage_key_collapse	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.
lineage_stage	T1_single_public_source	T1 single public source	6	0.286	collapsed publication-safe lineages	safe_only_after_normalized_record_key_or_lineage_key_collapse	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.
lineage_stage	T2_corroborated_record	T2 corroborated record	0	0.000	collapsed publication-safe lineages	safe_only_after_normalized_record_key_or_lineage_key_collapse	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.
lineage_stage	T3_authoritative_source	T3 authoritative source	14	0.667	collapsed publication-safe lineages	safe_only_after_normalized_record_key_or_lineage_key_collapse	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.
lineage_stage	T3_authoritative_source_direct_url_resolved	T3 authoritative source (direct URL resolved)	1	0.048	collapsed publication-safe lineages	safe_only_after_normalized_record_key_or_lineage_key_collapse	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.
lineage_stage	T4_technically_validated_record	T4 technically validated record	0	0.000	collapsed publication-safe lineages	safe_only_after_normalized_record_key_or_lineage_key_collapse	Counts still require confidence-cap interpretation; do not equate lineages with equally strong article support.
confidence_cap	high	publication confidence cap: high	15	0.714	collapsed publication-safe lineages	safe_only_after_normalized_record_key_or_lineage_key_collapse	Use to separate manuscript-safe exemplars from provisional or limitations-only rows.
confidence_cap	medium	publication confidence cap: medium	0	0.000	collapsed publication-safe lineages	safe_only_after_normalized_record_key_or_lineage_key_collapse	Use to separate manuscript-safe exemplars from provisional or limitations-only rows.
confidence_cap	low	publication confidence cap: low	6	0.286	collapsed publication-safe lineages	safe_only_after_normalized_record_key_or_lineage_key_collapse	Use to separate manuscript-safe exemplars from provisional or limitations-only rows.
translation_band	not_translation_dependent	not translation dependent	15	0.714	collapsed publication-safe lineages	safe_only_after_normalized_record_key_or_lineage_key_collapse	Translation-dependent rows need explicit caution in map/funnel prose and should not harden into comparative legal claims.
translation_band	translation_dependent	translation dependent	6	0.286	collapsed publication-safe lineages	safe_only_after_normalized_record_key_or_lineage_key_collapse	Translation-dependent rows need explicit caution in map/funnel prose and should not harden into comparative legal claims.
