lineage_key	representative_key	record_title	primary_review_state	additional_join_hazard_state	state_transport_mode	evidence_tier	publication_confidence_cap	translation_flag	projected_visualization_band	current_lane011_export_state	projected_lane011_export_state	multistate_sidecar_required	safe_join_scope	counting_rule	dashboard_hook	paper_thesis_use
data/cases/authoritative-candidates.jsonl:LIMEN-000001	data/cases/authoritative-candidates.jsonl:LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	identifier_collision_blocker	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	authority_anchor	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/authoritative-candidates.jsonl:LIMEN-000002	data/cases/authoritative-candidates.jsonl:LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	identifier_collision_blocker	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	authority_anchor	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/authoritative-candidates.jsonl:LIMEN-000005	data/cases/authoritative-candidates.jsonl:LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	identifier_collision_blocker	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	authority_anchor	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/security-agentic-candidates.jsonl:LIMEN-000002	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	Langflow custom_component endpoint allows public candidate record for remote code execution risk	identifier_collision_blocker	identifier_collision_blocker	multistate	T1_single_public_source	low	not_translation_dependent	provisional_security	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/security-agentic-candidates.jsonl:LIMEN-000003	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	identifier_collision_blocker	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	technical_authority	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
REVIEW-NOMERGE-ICO-001	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	reviewed_not_duplicate	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	authority_anchor	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
REVIEW-NOMERGE-ICO-001	data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	reviewed_not_duplicate	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	authority_anchor	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
REVIEW-NOMERGE-CODEEXEC-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	reviewed_not_duplicate	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	technical_authority	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
REVIEW-NOMERGE-CREWAI-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000004	CrewAI JSON loader allowed arbitrary local file read on the server	reviewed_not_duplicate	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	technical_authority	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
REVIEW-NOMERGE-CREWAI-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000005	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	reviewed_not_duplicate	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	technical_authority	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
REVIEW-NOMERGE-CODEEXEC-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000006	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	reviewed_not_duplicate	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	technical_authority	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
REVIEW-NOMERGE-CODEEXEC-002	data/cases/security-agentic-candidates.jsonl:LIMEN-000007	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	reviewed_not_duplicate	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	technical_authority	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	no_cluster_review_row	none	single_state	T1_single_public_source	low	translation_dependent	translation_caution_provisional	present	include	no	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate provisional lineage using normalized_record_key	normal_duplicate_control_legend	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/security-agentic-candidates.jsonl:LIMEN-000008	data/cases/security-agentic-candidates.jsonl:LIMEN-000008	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	reviewed_not_duplicate	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	technical_authority	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms same-framework overlap is subtype recurrence, not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
CLUSTER-DERIVATIVE-SEC-DELPHIA-20260318	data/cases/authoritative-candidates.jsonl:LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	stable_duplicate_cluster	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	authority_anchor	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
CLUSTER-DERIVATIVE-SEC-GP-20260318	data/cases/authoritative-candidates.jsonl:LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	stable_duplicate_cluster	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	authority_anchor	present	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
CLUSTER-DERIVATIVE-LMWCS-20260606-001	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	stable_duplicate_cluster	none	single_state	T1_single_public_source	low	translation_dependent	translation_caution_provisional	present	include	no	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	normal_duplicate_control_legend	methods/data appendix on duplicate-aware denominator control and source-authority composition
CLUSTER-DERIVATIVE-LMWCS-20260606-003	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception	stable_duplicate_cluster	none	single_state	T1_single_public_source	low	translation_dependent	translation_caution_provisional	present	include	no	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	normal_duplicate_control_legend	methods/data appendix on duplicate-aware denominator control and source-authority composition
CLUSTER-DERIVATIVE-LMWCS-20260606-004	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	stable_duplicate_cluster	none	single_state	T3_authoritative_source_direct_url_resolved	high	translation_dependent	translation_caution_authority	present	include	no	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	normal_duplicate_control_legend	methods/data appendix on duplicate-aware denominator control and source-authority composition
CLUSTER-DERIVATIVE-LMWCS-20260606-005	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary	stable_duplicate_cluster	none	single_state	T1_single_public_source	low	translation_dependent	translation_caution_provisional	present	include	no	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	normal_duplicate_control_legend	methods/data appendix on duplicate-aware denominator control and source-authority composition
CLUSTER-DERIVATIVE-LMWCS-20260606-006	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	stable_duplicate_cluster	none	single_state	T1_single_public_source	low	translation_dependent	translation_caution_provisional	present	include	no	normalized_record_key_canonical; bare_local_id_provenance_only	collapse only for lineage counts; do not count both base and queue rows as separate cases	normal_duplicate_control_legend	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/authoritative-candidates.jsonl:LIMEN-000008	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	no_cluster_review_row	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	authority_anchor	omitted	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate reviewed singleton lineage using normalized_record_key	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/security-agentic-candidates.jsonl:LIMEN-000009	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	no_cluster_review_row	identifier_collision_blocker	multistate	T3_authoritative_source	high	not_translation_dependent	technical_authority	omitted	include	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate provisional lineage using normalized_record_key	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
