as_of_utc	lane_id	validator_row_key	lineage_key	representative_key	record_title	primary_review_cluster_id	primary_review_state	additional_join_hazard_cluster_id	additional_join_hazard_state	evidence_tier	publication_confidence_cap	translation_flag	current_lane011_publication_safe_aggregate_state	current_lane011_source_authority_balance_state	projected_multistate_safe_export_state	visualization_band_if_exported	multistate_sidecar_required	safe_join_scope	counting_rule	why_sidecar_needed	dashboard_hook	paper_thesis_use	evidence_basis_paths
2026-06-07T12:43:00Z	limen-boost-011	data/cases/authoritative-candidates.jsonl:LIMEN-000001||data/cases/authoritative-candidates.jsonl:LIMEN-000001	data/cases/authoritative-candidates.jsonl:LIMEN-000001	data/cases/authoritative-candidates.jsonl:LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	T3_authoritative_source	high	not_translation_dependent	present	present	include	authority_anchor	yes	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	primary_review_and_join_hazard_overlap	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv
2026-06-07T12:43:00Z	limen-boost-011	data/cases/authoritative-candidates.jsonl:LIMEN-000002||data/cases/authoritative-candidates.jsonl:LIMEN-000002	data/cases/authoritative-candidates.jsonl:LIMEN-000002	data/cases/authoritative-candidates.jsonl:LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	T3_authoritative_source	high	not_translation_dependent	present	present	include	authority_anchor	yes	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	primary_review_and_join_hazard_overlap	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv
2026-06-07T12:43:00Z	limen-boost-011	data/cases/authoritative-candidates.jsonl:LIMEN-000005||data/cases/authoritative-candidates.jsonl:LIMEN-000005	data/cases/authoritative-candidates.jsonl:LIMEN-000005	data/cases/authoritative-candidates.jsonl:LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	T3_authoritative_source	high	not_translation_dependent	present	present	include	authority_anchor	yes	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	primary_review_and_join_hazard_overlap	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv
2026-06-07T12:43:00Z	limen-boost-011	data/cases/security-agentic-candidates.jsonl:LIMEN-000002||data/cases/security-agentic-candidates.jsonl:LIMEN-000002	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	Langflow custom_component endpoint allows public candidate record for remote code execution risk	REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	T1_single_public_source	low	not_translation_dependent	present	present	include	provisional_security	yes	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	primary_review_and_join_hazard_overlap	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv
2026-06-07T12:43:00Z	limen-boost-011	data/cases/security-agentic-candidates.jsonl:LIMEN-000003||data/cases/security-agentic-candidates.jsonl:LIMEN-000003	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	T3_authoritative_source	high	not_translation_dependent	present	present	include	technical_authority	yes	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	primary_review_and_join_hazard_overlap	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv
2026-06-07T12:43:00Z	limen-boost-011	REVIEW-NOMERGE-ICO-001||data/cases/authoritative-candidates.jsonl:LIMEN-000003	REVIEW-NOMERGE-ICO-001	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	REVIEW-NOMERGE-ICO-001	reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	T3_authoritative_source	high	not_translation_dependent	present	present	include	authority_anchor	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	primary_review_and_join_hazard_overlap	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv
2026-06-07T12:43:00Z	limen-boost-011	REVIEW-NOMERGE-ICO-001||data/cases/authoritative-candidates.jsonl:LIMEN-000004	REVIEW-NOMERGE-ICO-001	data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	REVIEW-NOMERGE-ICO-001	reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	T3_authoritative_source	high	not_translation_dependent	present	present	include	authority_anchor	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	primary_review_and_join_hazard_overlap	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv
2026-06-07T12:43:00Z	limen-boost-011	REVIEW-NOMERGE-CODEEXEC-001||data/cases/security-agentic-candidates.jsonl:LIMEN-000001	REVIEW-NOMERGE-CODEEXEC-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	REVIEW-NOMERGE-CODEEXEC-001	reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	T3_authoritative_source	high	not_translation_dependent	present	present	include	technical_authority	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	primary_review_and_join_hazard_overlap	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv
2026-06-07T12:43:00Z	limen-boost-011	REVIEW-NOMERGE-CREWAI-001||data/cases/security-agentic-candidates.jsonl:LIMEN-000004	REVIEW-NOMERGE-CREWAI-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000004	CrewAI JSON loader allowed arbitrary local file read on the server	REVIEW-NOMERGE-CREWAI-001	reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	T3_authoritative_source	high	not_translation_dependent	present	present	include	technical_authority	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	primary_review_and_join_hazard_overlap	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv
2026-06-07T12:43:00Z	limen-boost-011	REVIEW-NOMERGE-CREWAI-001||data/cases/security-agentic-candidates.jsonl:LIMEN-000005	REVIEW-NOMERGE-CREWAI-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000005	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	REVIEW-NOMERGE-CREWAI-001	reviewed_not_duplicate	REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	T3_authoritative_source	high	not_translation_dependent	present	present	include	technical_authority	yes	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	primary_review_and_join_hazard_overlap	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv
