cluster_id	cluster_status	member_count	canonical_case_id	preferred_representative_key	preferred_representative_title	representative_selection_reason	authority_proxy	strongest_evidence_tier_in_members	strongest_publication_confidence_cap_in_members	representative_translation_status	export_counting_action	dashboard_or_table_use	blocker_or_limit
REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	3				raw local ID collides across distinct records, so cluster acts as a join blocker rather than a duplicate package	T3_authoritative_source	T3_authoritative_source	high	mixed_or_not_applicable	never_join_on_bare_local_id	join-safety warning card; schema blocker panel	requires file-qualified or globally normalized identifiers before any atlas-level join/count
REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	3				raw local ID collides across distinct records, so cluster acts as a join blocker rather than a duplicate package	T3_authoritative_source	T3_authoritative_source	high	mixed_or_not_applicable	never_join_on_bare_local_id	join-safety warning card; schema blocker panel	requires file-qualified or globally normalized identifiers before any atlas-level join/count
REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	2				raw local ID collides across distinct records, so cluster acts as a join blocker rather than a duplicate package	T3_authoritative_source	T3_authoritative_source	high	mixed_or_not_applicable	never_join_on_bare_local_id	join-safety warning card; schema blocker panel	requires file-qualified or globally normalized identifiers before any atlas-level join/count
REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	2				raw local ID collides across distinct records, so cluster acts as a join blocker rather than a duplicate package	T3_authoritative_source	T3_authoritative_source	high	mixed_or_not_applicable	never_join_on_bare_local_id	join-safety warning card; schema blocker panel	requires file-qualified or globally normalized identifiers before any atlas-level join/count
REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	2				raw local ID collides across distinct records, so cluster acts as a join blocker rather than a duplicate package	T3_authoritative_source	T3_authoritative_source	high	mixed_or_not_applicable	never_join_on_bare_local_id	join-safety warning card; schema blocker panel	requires file-qualified or globally normalized identifiers before any atlas-level join/count
CLUSTER-DERIVATIVE-LMWCS-20260606-001	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	AI now drafts completely absurd complaints; police lawyer frustrated: cases are cited that do not exist	canonical row retained because it already carries the strongest authority/claim package for this duplicate lineage	T1_single_public_source	T1_single_public_source	low	machine_read_direct_source_extraction_note	collapse_to_one_lineage_keep_all_members_for_provenance	duplicate-cluster graph representative; lineage-safe atlas export	keep derivative members visible for provenance; do not count as separate atlas events
CLUSTER-DERIVATIVE-LMWCS-20260606-003	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	Police warn about new fraud methods: gold trading offers and AI-assisted deception	canonical row retained because it already carries the strongest authority/claim package for this duplicate lineage	T1_single_public_source	T1_single_public_source	medium	title_gloss_only	collapse_to_one_lineage_keep_all_members_for_provenance	duplicate-cluster graph representative; lineage-safe atlas export	keep derivative members visible for provenance; do not count as separate atlas events
CLUSTER-DERIVATIVE-LMWCS-20260606-004	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	Project ORION: Artificial intelligence for safe border control	direct official/source-resolved member is the strongest publication-safe representative in this duplicate lineage	T3_authoritative_source_direct_url_resolved	T3_authoritative_source_direct_url_resolved	high	machine_read_direct_source_extraction_note	collapse_to_one_lineage_keep_all_members_for_provenance	duplicate-cluster graph representative; lineage-safe atlas export	keep derivative members visible for provenance; do not count as separate atlas events
CLUSTER-DERIVATIVE-LMWCS-20260606-005	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-005	In Sveta Trojica, artificial intelligence already stands in for a secretary	canonical row retained because it already carries the strongest authority/claim package for this duplicate lineage	T1_single_public_source	T1_single_public_source	low	machine_read_direct_source_extraction_note	collapse_to_one_lineage_keep_all_members_for_provenance	duplicate-cluster graph representative; lineage-safe atlas export	keep derivative members visible for provenance; do not count as separate atlas events
CLUSTER-DERIVATIVE-LMWCS-20260606-006	stable_duplicate_cluster	2	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-006	AI over the human brain? Artificial intelligence wrongly failed a Saaremaa gymnasium student on an exam	canonical row retained because it already carries the strongest authority/claim package for this duplicate lineage	T1_single_public_source	T1_single_public_source	low	title_gloss_only	collapse_to_one_lineage_keep_all_members_for_provenance	duplicate-cluster graph representative; lineage-safe atlas export	keep derivative members visible for provenance; do not count as separate atlas events
