as_of_utc	lane_id	audit_id	target_path	target_class	pre_sync_state	current_synced_state	action_taken	paper_thesis_use	visualization_dashboard_hook	uncertainty_or_limit	evidence_basis
2026-06-07T18:08:44Z	limen-boost-011	FIG4-SHARED-SYNC-001	papers/article-architecture-v0.1.md	shared_manuscript_control	Figure 4 prose still said 21 reviewed graph edges with 7 reviewed_not_duplicate edges.	Figure 4 prose now says 22 reviewed graph edges with 8 reviewed_not_duplicate edges.	patched_shared_surface	Keeps manuscript architecture prose aligned with the live duplicate-review export after the FTC non-finance recurrence package landed.	Figure 4 manuscript slot and reviewer-facing caption logic can now reuse the current bounded graph contract directly.	This sync updates wording only; it does not change duplicate verdicts or the underlying graph export.	results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T18:08:44Z	limen-boost-011	FIG4-SHARED-SYNC-002	dashboard/limen-dashboard-spec-v0.1.md	shared_dashboard_control	Dashboard spec still said 31 duplicate-control review rows, 21 reviewed graph edges, and 7 reviewed_not_duplicate edges.	Dashboard spec now says 32 duplicate-control review rows, 22 reviewed graph edges, and 8 reviewed_not_duplicate edges.	patched_shared_surface	Prevents dashboard prose from understating the current duplicate-review package after the new FTC reviewed non-merge row.	Figure 4 dashboard card, legend, and package-order prose now point to the live 22-edge scope.	This is control-surface synchronization, not a new observatory denominator.	results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T18:08:44Z	limen-boost-011	FIG4-SHARED-SYNC-003	results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-004	shared_priority_row	Priority row still advertised a 21-edge / 7 reviewed_not_duplicate graph.	Priority row now advertises a 22-edge / 8 reviewed_not_duplicate graph.	patched_shared_surface	Keeps shared figure-routing and manuscript prioritization aligned with the live Figure 4 export.	LIMEN-VIS-004 now has a current short-form dashboard/paper routing row.	Still requires CCR-018 to preserve graph-versus-ledger scope discipline.	results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv
2026-06-07T18:08:44Z	limen-boost-011	FIG4-SHARED-SYNC-004	results/dashboard-paper/publication-route-visual-bridge-v0.1.tsv:LIMEN-VIS-004	shared_visual_router	Visual bridge still routed Figure 4 as 21 edges / 7 reviewed_not_duplicate edges.	Visual bridge now routes Figure 4 as 22 edges / 8 reviewed_not_duplicate edges.	patched_shared_surface	Stops route-selection drift between dashboard/paper reuse and the live graph export.	The route bridge can feed figure-order and observatory-hook planning without stale Figure 4 counts.	Route logic remains bounded below the fuller duplicate ledger.	results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T18:08:44Z	limen-boost-011	FIG4-SHARED-SYNC-005	results/boost/limen-boost-024/canonical-figure-table-registry.tsv:LIMEN-VIS-004	canonical_registry_row	Canonical registry still encoded 21 graph edges over a 31-row duplicate-control ledger and still carried a stale repaired 20-edge note.	Canonical registry now encodes 22 graph edges over a 32-row duplicate-control ledger and a repaired 22-edge note.	patched_shared_surface	Restores one canonical figure-slot source for future manuscript/thesis reuse after the FTC recurrence row widened the live graph.	Canonical slot row now supports route-qualified figure governance and caption discipline.	This is a registry refresh only; no graph mechanics changed in this cycle.	results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T18:08:44Z	limen-boost-011	FIG4-SHARED-SYNC-006	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-018	shared_caption_control	CCR-018 still said Figure 4 materialized 21 graph-eligible reviewed edges and warned against hiding the difference between the 21-edge graph and the wider ledger.	CCR-018 now says Figure 4 materializes 22 graph-eligible reviewed edges and preserves the same non-recurrence and graph-versus-ledger cautions.	patched_shared_surface	Strengthens the reviewer-safe caption contract for Figure 4 after the new FTC reviewed non-merge package became graph-visible.	Caption, legend, and thesis methods reuse can now cite one current row instead of patching around stale counts.	Caption control remains a scope-ceiling artifact, not a recurrence claim.	results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T18:08:44Z	limen-boost-011	FIG4-SHARED-SYNC-007	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-007	shared_export_stub	Export stub still described Figure 4 as 21 review edges and a live 31-row ledger.	Export stub now describes Figure 4 as 22 review edges and a live 32-row ledger.	patched_shared_surface	Keeps any future results/dashboard promotion attempt aligned with the current duplicate-review package.	exp-007 now remains a dashboard-ready handoff despite host-level write blocking.	Shared export remains unpromoted because results/dashboard writes are still blocked on this host.	results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv
2026-06-07T18:08:44Z	limen-boost-011	FIG4-SHARED-SYNC-008	next.md	root_route_note	Root route note still said Figure 4 was caption-safe at 21 reviewed edges.	Root route note now says Figure 4 is caption-safe at 22 reviewed edges.	patched_shared_surface	Prevents the project's current next-step router from reintroducing stale Figure 4 shorthand into later cycles.	Route-selection notes now match the live Figure 4 control layer.	Historical journals may still mention earlier states and should remain as chronology, not current control.	results/clusters/status.md; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv
2026-06-07T18:08:44Z	limen-boost-011	FIG4-SHARED-SYNC-009	results/boost/limen-boost-047/figure4-control-travel-kit.tsv	residual_lane_local_helper	Shard-047 helper rows still describe 21 reviewed graph edges and a 31-row duplicate-control ledger.	No patch in this cycle; retain as residual lane-local helper drift pending explicit refresh or historical supersession.	unpatched_residual_drift_noted	Useful negative evidence about where older lane-local helper bundles can still lag current shared truth.	Can feed a future helper-only cleanup card if stale lane-local files begin to outrank shared controls.	These rows are outside the current shared control bundle patched here; treat results/clusters/status.md plus CCR-018 as higher authority.	results/boost/limen-boost-047/figure4-control-travel-kit.tsv; results/clusters/status.md; results/dashboard-paper/caption-control-register-v0.1.tsv
2026-06-07T18:08:44Z	limen-boost-011	FIG4-SHARED-SYNC-010	results/boost/limen-boost-047/status.md	residual_lane_local_status	Shard-047 status still describes a 21-edge graph over a 31-row ledger.	No patch in this cycle; retain as residual lane-local chronology until a dedicated shard-047 refresh happens.	unpatched_residual_drift_noted	Separates active shared publication controls from stale lane-local history without rewriting another lane's required status file.	Supports a future small cleanup pass if shard-047 remains in active routing use.	Lane-local status files can preserve earlier cycle truth; current shared reuse should privilege results/clusters/status.md plus patched shared controls.	results/boost/limen-boost-047/status.md; results/clusters/status.md; results/dashboard-paper/caption-control-register-v0.1.tsv
