row_id	representative_key	public_id	record_title_or_cluster	duplicate_control_state	visibility_gap_state	evidence_tier_ceiling	jurisdiction_scope	language_scope	lineage_counting_rule	graph_surface_note	review_notes	member_case_ids	next_smallest_publishability_move	dashboard_hook
VGB-011-001	data/cases/authoritative-candidates.jsonl:LIMEN-000008	LIMEN-000008	FCC / Lingo Telecom deepfake robocall enforcement matter	no_cluster_review_row	authoritative_core_not_in_publication_safe_aggregate	T3_authoritative_source	United States	en	count_as_singleton_lineage_pending_future_overlap_review	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	Keep as a standalone lineage counted by normalized_record_key. This row materially changes taxonomy counts and still lacks a reviewed same-event duplicate or actor-family recurrence package, but it now also sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000008` against the unrelated LangChain state-revival record; singleton handling and join-safety therefore both apply.	data/cases/authoritative-candidates.jsonl:LIMEN-000008	either add an explicit denominator bridge for this authoritative-core row or document why the publication-safe aggregate still excludes it	denominator_guardrail; duplicate-cluster graph; authority-depth panel; publication-safe aggregate legend
VGB-011-002	data/cases/authoritative-candidates.jsonl:LIMEN-000008	LIMEN-000008	FCC / Lingo Telecom deepfake robocall enforcement matter	stable_duplicate_cluster	authoritative_core_not_in_publication_safe_aggregate	T3_authoritative_source	United States	en	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they travel as collapse metadata rather than as graph edges.	Collapse for lineage counts, but preserve both provenance trails. The authoritative row is the canonical shared-project record, while the boost-007 row remains useful as workflow-history evidence showing how the shard-local FCC settlement package was absorbed into the atlas baseline. Do not count both rows as separate events or re-open the already-captured FCC closure as a second substantive result.	data/cases/authoritative-candidates.jsonl:LIMEN-000008;results/boost/limen-boost-007/candidate-cases.jsonl:LIMEN-007-CAND-003	either add an explicit denominator bridge for this authoritative-core row or document why the publication-safe aggregate still excludes it	denominator_guardrail; duplicate-cluster graph; authority-depth panel; publication-safe aggregate legend
VGB-011-003	data/cases/authoritative-candidates.jsonl:LIMEN-000009	LIMEN-000009	Project ORION / Slovenian police border-management pilot	stable_duplicate_cluster	authoritative_core_not_in_publication_safe_aggregate	T3_authoritative_source	Slovenia	sl	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	Stable duplicate clusters govern lineage collapse in the ledger; under the current Figure 4 contract they should travel as collapse metadata rather than as graph edges.	Collapse for lineage counts, but preserve all three provenance trails. The authoritative row is the richer representative for dashboard/manuscript reuse, while the multilingual base row and lane-005 queue copy remain useful for translation-caution and workflow-history audit. This canonical ORION row also sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000009`, so lineage collapse and join-safety must travel together.	data/cases/authoritative-candidates.jsonl:LIMEN-000009;data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-004	either add an explicit denominator bridge for this authoritative-core row or document why the publication-safe aggregate still excludes it	denominator_guardrail; duplicate-cluster graph; authority-depth panel; publication-safe aggregate legend
VGB-011-004	data/cases/authoritative-candidates.jsonl:LIMEN-000010	LIMEN-000010	FTC / DoNotPay AI-lawyer claims package	no_cluster_review_row	authoritative_core_not_in_publication_safe_aggregate	T3_authoritative_source	United States	en	count_as_singleton_lineage_pending_future_overlap_review	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	Keep as a standalone lineage counted by normalized_record_key. The row materially widens non-finance authoritative AI-claim coverage, but there is still no reviewed same-event duplicate or event-merge candidate; preserve FTC complaint/final-order posture and do not infer unauthorized-practice adjudication.	data/cases/authoritative-candidates.jsonl:LIMEN-000010	either add an explicit denominator bridge for this authoritative-core row or document why the publication-safe aggregate still excludes it	denominator_guardrail; duplicate-cluster graph; authority-depth panel; publication-safe aggregate legend
VGB-011-005	data/cases/authoritative-candidates.jsonl:LIMEN-000011	LIMEN-000011	FTC / Workado AI-detector accuracy claims package	no_cluster_review_row	authoritative_core_not_in_publication_safe_aggregate	T3_authoritative_source	United States	en	count_as_singleton_lineage_pending_future_overlap_review	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	Keep as a standalone lineage counted by normalized_record_key. The row strengthens non-finance AI-claim and detector-governance coverage, but there is still no same-event duplicate or reviewer-safe recurrence package; preserve FTC complaint/final-order posture and do not overread the order as a general scientific verdict on detectors.	data/cases/authoritative-candidates.jsonl:LIMEN-000011	either add an explicit denominator bridge for this authoritative-core row or document why the publication-safe aggregate still excludes it	denominator_guardrail; duplicate-cluster graph; authority-depth panel; publication-safe aggregate legend
VGB-011-006	data/cases/authoritative-candidates.jsonl:LIMEN-000012	LIMEN-000012	Datatilsynet / AI-supported disability-allowance screening opinion	no_cluster_review_row	bounded_shared_sidecar_not_in_publication_safe_aggregate	T3_authoritative_source	Denmark	da	count_as_singleton_lineage_pending_future_overlap_review	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	Keep as a standalone lineage counted by normalized_record_key. The row widens rare-language public-sector governance coverage and adds a second education/public-sector pairing, but it is still a bounded legal-basis opinion package rather than a harm finding or duplicate event. At the same time it now sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000012` against the unrelated Playwright MCP security row, so singleton handling and join-safety both apply.	data/cases/authoritative-candidates.jsonl:LIMEN-000012	keep sidecar role explicit on dashboard/manuscript/thesis surfaces and do not let it silently inflate the core denominator	denominator_guardrail; duplicate-cluster graph; authority-depth panel; publication-safe aggregate legend
VGB-011-007	data/cases/authoritative-candidates.jsonl:LIMEN-000013	LIMEN-000013	FTC / Rytr LLC AI-generated reviews chronology	no_cluster_review_row	extended_reviewed_local_surface_only	T3_authoritative_source	United States	en	extended_reviewed_local_surface_only_never_seeded_headline_counts	Extended-only sidecar rows remain ledger-only and are excluded from same-event, recurrence, and seeded-headline graph claims unless a later synchronized route explicitly says otherwise.	Admit only on the extended reviewed local surface as a count-silent complex-posture sidecar. Keep outside the seeded 34/37/27 headline package and use for methods/reviewer/thesis discussion of regulatory reversibility rather than as a stable current-order exemplar or prevalence support.	data/cases/authoritative-candidates.jsonl:LIMEN-000013	preserve extended-only status unless a synchronized route explicitly promotes it into a shared denominator-bearing package	denominator_guardrail; duplicate-cluster graph; authority-depth panel; publication-safe aggregate legend
VGB-011-008	data/cases/authoritative-candidates.jsonl:LIMEN-000014	LIMEN-000014	FTC / Air AI conversational-AI business-opportunity settlement chronology	no_cluster_review_row	extended_reviewed_local_surface_only	T3_authoritative_source	United States	en	extended_reviewed_local_surface_only_never_seeded_headline_counts	Extended-only sidecar rows remain ledger-only and are excluded from same-event, recurrence, and seeded-headline graph claims unless a later synchronized route explicitly says otherwise.	Admit only on the extended reviewed local surface as a count-silent bounded settlement sidecar. Keep outside the seeded 34/37/27 headline package and do not reuse as hidden-human closure, generic AI-washing prevalence, or default authoritative core support.	data/cases/authoritative-candidates.jsonl:LIMEN-000014	preserve extended-only status unless a synchronized route explicitly promotes it into a shared denominator-bearing package	denominator_guardrail; duplicate-cluster graph; authority-depth panel; publication-safe aggregate legend
VGB-011-009	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	LIMEN-000009	PraisonAI Platform ownership-assignment abuse	no_cluster_review_row	high_confidence_nonaggregate_row	T3_authoritative_source	Global	en	count_as_singleton_lineage_pending_future_overlap_review	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	Keep as a standalone lineage counted by normalized_record_key. The mechanism is reviewer-legible but still singleton-strength locally, so this row should remain a bounded watch state rather than a promoted subtype or duplicate cluster. At the same time it now sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000009` against the unrelated ORION public-sector row, so singleton handling and join-safety both apply.	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	keep the exclusion rule explicit and do not let bare public-id overlap masquerade as a denominator-bearing authoritative row	denominator_guardrail; duplicate-cluster graph; authority-depth panel; publication-safe aggregate legend
VGB-011-010	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	LIMEN-000012	Playwright MCP Server	no_cluster_review_row	high_confidence_nonaggregate_row	T3_authoritative_source	Global	en	count_as_singleton_lineage_pending_future_overlap_review	Singleton review rows remain ledger-only controls until a reviewed overlap package exists; they are visible for count governance, not for pairwise graph edges.	Keep as a standalone lineage counted by normalized_record_key. The row usefully seeds MCP/plugin-style trust-boundary coverage, but there is still no reviewed same-event duplicate, derivative queue copy, or bounded recurrence package; do not upgrade singleton-strength evidence into a broader prevalence claim.	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	keep the exclusion rule explicit and do not let bare public-id overlap masquerade as a denominator-bearing authoritative row	denominator_guardrail; duplicate-cluster graph; authority-depth panel; publication-safe aggregate legend
