  ┊ review diff
a/results/review-candidates/bulk-review-batches/parent-source-extraction/20260616T122916Z-lane10-dc2504ef/parent-source-extraction-results.tsv → b/results/review-candidates/bulk-review-batches/parent-source-extraction/20260616T122916Z-lane10-dc2504ef/parent-source-extraction-results.tsv
@@ -0,0 +1,25 @@
+queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
+BPSE-01105	LIMEN-SIGNAL-CF05619955511711	source_url_extracted	https://indotel.gob.do/sandbox-regulatorio/	Sandbox Regulatorio	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv:2209	Local source-refresh row names INDOTEL sandbox URL for DO I03.	source-surface existence only from local metadata/files	review extracted INDOTEL sectoral sandbox surface; do not overclaim AI-specific scope
+BPSE-01106	LIMEN-SIGNAL-CF25B9578B9E3069	source_url_extracted	https://laws.gov.ag/wp-content/uploads/2018/08/a2004-19.pdf	Freedom of Information Act 2004	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv:11	Local source pack names FOI Act as transparency-adjacent source; not an algorithm register.	source-surface existence only from local metadata/files	review only as adjacent transparency context; preserve no-algorithm-register ceiling
+BPSE-01107	LIMEN-SIGNAL-CF2B0782EDA6CCA0	parent_source_wrapper		Strict-window local v0.1 package	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md:196	Release package row aggregates many entries/source families and exposes no single parent URL.	source-surface existence only from local metadata/files	human choose a specific entry/source-family row before parent URL extraction
+BPSE-01108	LIMEN-SIGNAL-CF37A0678B1B64F1	source_surface_only_no_case		Retraction Watch precision diagnostics local path	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/preferred-candidate-release-summary.json:161-164	JSON points to local precision_diagnostics path only; no public parent URL is present.	source-surface existence only from local metadata/files	locate a concrete retained entry or raw-source manifest before extraction
+BPSE-01109	LIMEN-SIGNAL-CF4A636B40809411	source_surface_only_no_case		retraction-watch: data-results-or-methods-integrity chart label	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/source-family-cause-profile-v01-strict-window-label-repaired-20260522T161104Z.svg:35	SVG chart label is aggregate visualization text, not a reviewable source URL.	source-surface existence only from local metadata/files	select underlying entry or source-family manifest before extraction
+BPSE-01110	LIMEN-SIGNAL-CF4F4E9C54546C46	country_gap_no_parent_source		Northern Mariana Islands country profile gap	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md:1485-1490	Country profile/gap placeholder lists warnings/examples but no single parent source URL.	source-surface existence only from local metadata/files	use source-pack rows only after selecting a specific indicator/source
+BPSE-01111	LIMEN-SIGNAL-CF5B43B875EC790B	parent_source_wrapper		TED notice plus Dutch Algorithm Register guardrail	/srv/tyche/projects/public-ai-procurement-gap/data/pilot/authority-buyer-control-audit-v0.3.csv:13; source_basis_paths rows inspected	Audit row compares procurement and register records; local basis exposes multiple parent URLs requiring a scope choice.	source-surface existence only from local metadata/files	human choose TED notice vs Dutch register entry before single-source review
+BPSE-01112	LIMEN-SIGNAL-CF66512DCEF6FED9	country_gap_no_parent_source		Gibraltar observability research queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:58	Research queue row is a country query placeholder and contains no extracted parent source URL.	source-surface existence only from local metadata/files	perform bounded local source-pack selection before parent extraction
+BPSE-01113	LIMEN-SIGNAL-CF7846BFD6FD2768	reject_noise		vault-as-backbone fork pattern note	/srv/tyche/gaia/tyche-research-vault/notes/session-resume-2026-05-27-prep-wave-2-3-4-5.md:140	Session-resume infrastructure note is unrelated to a public parent source surface.	source-surface existence only from local metadata/files	drop from parent-source extraction queue
+BPSE-01114	LIMEN-SIGNAL-CF8399C1542B69D8	source_url_extracted	https://www.centralbank.cw/	Central Bank of Curaçao and Sint Maarten website	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv:252	Local source pack names CBCS regulator endpoint; warning says it was blocked and needs manual browser review.	source-surface existence only from local metadata/files	manual browser review only; do not infer sandbox status from blocked endpoint
