queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
BTR-00785	LIMEN-SIGNAL-7849C51059201F53	source_surface_only_no_case	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Datamask	Auto-translated Dutch sample row exposes register fields for Datamask, not an explicit LIMEN edge-case claim.	source-surface/context only; no reviewed-core promotion, incident, legal, safety, compliance, prevalence, or ranking claim	Keep as context; require original Dutch register text before any stronger claim.
BTR-00786	LIMEN-SIGNAL-79D27F9E66256C0A	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Datamask	Duplicate Datamask gap-map surface already represented in this batch/public-registry artifacts.	duplicate source-surface/context only; no case-level claim	Deduplicate to the Datamask source record; require Dutch original before promotion.
BTR-00787	LIMEN-SIGNAL-7E58711BA05A4544	candidate_for_parent_source_extraction	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/15583895	Module to screen for language bias	Accession-only local row explicitly names a language-bias screening module but lacks record-level text.	candidate extraction lead only; no truth, deployment, legality, safety, compliance, prevalence, or ranking claim	Extract/verify parent Dutch register record locally before any LIMEN claim.
BTR-00788	LIMEN-SIGNAL-81786FED9795C05F	source_surface_only_no_case	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Octobox Anonymisation	Auto-translated Dutch gap-map row exposes register fields for Octobox, not an explicit LIMEN edge-case claim.	source-surface/context only; no reviewed-core promotion, incident, legal, safety, compliance, prevalence, or ranking claim	Keep as context; require original Dutch register text before any stronger claim.
BTR-00789	LIMEN-SIGNAL-93052D1D4985EC64	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Datamask	Duplicate Datamask gap-map preview surface already represented in this batch/public-registry artifacts.	duplicate source-surface/context only; no case-level claim	Deduplicate to the Datamask source record; require Dutch original before promotion.
BTR-00790	LIMEN-SIGNAL-97E10F2248541250	source_surface_only_no_case	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Zylab Disclosure Support	Auto-translated Dutch sample row exposes register fields for Zylab, not an explicit LIMEN edge-case claim.	source-surface/context only; no reviewed-core promotion, incident, legal, safety, compliance, prevalence, or ranking claim	Keep as context; require original Dutch register text before any stronger claim.
BTR-00791	LIMEN-SIGNAL-9CF7D46734CCF867	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Octobox Anonymisation	Duplicate Octobox gap-map surface already represented in this batch/public-registry artifacts.	duplicate source-surface/context only; no case-level claim	Deduplicate to the Octobox source record; require Dutch original before promotion.
BTR-00792	LIMEN-SIGNAL-9D02E1EBB5E3B95F	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation	Octobox Anonymisation	Duplicate Octobox gap-map preview surface already represented in this batch/public-registry artifacts.	duplicate source-surface/context only; no case-level claim	Deduplicate to the Octobox source record; require Dutch original before promotion.
BTR-00793	LIMEN-SIGNAL-A91E685F987FFA94	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Zylab Disclosure Support	Duplicate Zylab sample surface already represented in this batch/public-registry artifacts.	duplicate source-surface/context only; no case-level claim	Deduplicate to the Zylab source record; require Dutch original before promotion.
BTR-00794	LIMEN-SIGNAL-B214D1B6A129A02E	cross_project_duplicate	English auto-translation from Dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Zylab Disclosure Support	Duplicate Zylab gap-map surface already represented in this batch/public-registry artifacts.	duplicate source-surface/context only; no case-level claim	Deduplicate to the Zylab source record; require Dutch original before promotion.
