signal_id	first_pass_verdict	candidate_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-0021903EE184A590	hold_low_relevance	scholarly_or_theory_context_lead	Row is scholarly or theory context rather than an official/regulator source surface, so it misses the P1 slice target.	Background-context value only until connected to an authoritative public source.	Keep only as context; do not spend direct source-review budget on it in the current P1 official/regulator batch.	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/corpus/v0.2-working/data/lanes/sandboxes-cases-latest.jsonl
LIMEN-SIGNAL-00307FFD5EC0ED32	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192817Z/claim-support-digest.json
LIMEN-SIGNAL-003350BEE7972EB1	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/country-readiness-world-matrix.json
LIMEN-SIGNAL-0034EBEF589ED180	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T192817Z/claim-support-digest.md
LIMEN-SIGNAL-0051138E69704320	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/gaia/tyche-research-vault/logs/ai-act-eidas-synthetic-lab-continuous/local-worktree/case-02-human-oversight-paper.log
LIMEN-SIGNAL-0054EDC56907C56C	promote_to_source_review	official_register_source_family	Snippet names an official public-sector AI register source family that can anchor a direct source review.	Source-family existence only; no claim yet about completeness, governance quality, or deployment prevalence.	Review the official Helsinki AI Register and linked governance pages as the primary source surface.	/srv/tyche/projects/public-ai-procurement-gap/results/boost/public-ai-procurement-gap-boost-007/helsinki-governance-source-family-v0.1.md
LIMEN-SIGNAL-0062F28CE30A41FF	promote_to_source_review	official_or_regulator_country_surface	Row names a concrete official or regulator surface tied to the review query, making it a plausible direct review target.	Surface existence or targeted negative-evidence lead only; not proof of legal status, adoption, or compliance.	Use the cited official/regulator URL as the next review surface and verify the precise register/sandbox/procurement claim.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_SOURCE_REFRESH.csv
LIMEN-SIGNAL-007B09815DD788EB	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md
LIMEN-SIGNAL-007E75AFF28254B2	promote_to_source_review	official_register_record_or_registry_table	Snippet points to a named public AI or algorithm register surface rather than an abstract claim digest.	Surface-level existence or record-presence only until the underlying official page is checked.	Open the cited register page or accession table directly and verify that the named record is real, public, and in scope for LIMEN reuse.	/srv/tyche/projects/public-ai-registry/results/deployed-source-families-20260607/build_deployed_only_all_records_v0_1.py
LIMEN-SIGNAL-00878D0BF063C00C	promote_to_source_review	official_or_regulator_country_surface	Row names a concrete official or regulator surface tied to the review query, making it a plausible direct review target.	Surface existence or targeted negative-evidence lead only; not proof of legal status, adoption, or compliance.	Use the cited official/regulator URL as the next review surface and verify the precise register/sandbox/procurement claim.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv
LIMEN-SIGNAL-008B76E4E283D5A4	reject_as_cross_project_noise	gaia_agent_or_law_surface	Row belongs to GAIA agent/law inventory material rather than a bounded LIMEN review-candidate surface.	At most a cross-project lead; not a LIMEN-reviewed source candidate in this batch.	Exclude from this LIMEN batch and leave any follow-up to the relevant GAIA or law-surface workflow.	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle-334-active-lanes-155-bhutan-samoa-small-state-agents/facts.jsonl
LIMEN-SIGNAL-0096D74B15E1BE8B	hold_low_relevance	scholarly_or_theory_context_lead	Row is scholarly or theory context rather than an official/regulator source surface, so it misses the P1 slice target.	Background-context value only until connected to an authoritative public source.	Keep only as context; do not spend direct source-review budget on it in the current P1 official/regulator batch.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/japanese-korean-language-latest.md
LIMEN-SIGNAL-0098A17DE173DAED	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/preprint-action-board-20260606T203930Z/preprint-action-board.md
LIMEN-SIGNAL-009D24A2B2EA7E95	promote_to_source_review	official_or_regulator_country_surface	Row names a concrete official or regulator surface tied to the review query, making it a plausible direct review target.	Surface existence or targeted negative-evidence lead only; not proof of legal status, adoption, or compliance.	Use the cited official/regulator URL as the next review surface and verify the precise register/sandbox/procurement claim.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv
LIMEN-SIGNAL-00A3D5004B2E50B7	hold_needs_direct_source	proxy_gap_or_seed_signal	Row is a proxy, gap note, seed, or weak source-pack row that still needs the directly named authoritative page.	Only a route-to-source hint; not enough for a reviewed-core claim or even a stable reviewed surface.	Resolve to the exact official/regulator page first, then re-enter source review with the direct record.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv
LIMEN-SIGNAL-00ACBB92C371FEB2	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/boost/atlas-boost-105/current-hash-carrythrough.json
LIMEN-SIGNAL-00B06AAD17574A29	promote_to_source_review	official_register_record_or_registry_table	Snippet points to a named public AI or algorithm register surface rather than an abstract claim digest.	Surface-level existence or record-presence only until the underlying official page is checked.	Open the cited register page or accession table directly and verify that the named record is real, public, and in scope for LIMEN reuse.	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-gap-map-v0.2.preview.csv
LIMEN-SIGNAL-00B30A130503D3F3	hold_needs_direct_source	proxy_gap_or_seed_signal	Row is a proxy, gap note, seed, or weak source-pack row that still needs the directly named authoritative page.	Only a route-to-source hint; not enough for a reviewed-core claim or even a stable reviewed surface.	Resolve to the exact official/regulator page first, then re-enter source review with the direct record.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-00B5ABACEA6B641E	merge_with_existing_surface	internal_derivative_or_packaging_artifact	This row is an internal digest, prompt, draft, matrix, code/config, or packaging artifact that points back to another source surface.	Derivative-work signal only; cannot independently support incident, legal, safety, or deployment claims.	Merge this candidate into the existing source family or reviewed surface it summarizes instead of opening a fresh LIMEN review thread.	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T192817Z/claim-support-digest.json
LIMEN-SIGNAL-00B6AB6BC8C34F85	promote_to_source_review	official_or_regulator_country_surface	Row names a concrete official or regulator surface tied to the review query, making it a plausible direct review target.	Surface existence or targeted negative-evidence lead only; not proof of legal status, adoption, or compliance.	Use the cited official/regulator URL as the next review surface and verify the precise register/sandbox/procurement claim.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv
LIMEN-SIGNAL-00BA304CBF6F7B42	promote_to_source_review	official_register_record_or_registry_table	Snippet points to a named public AI or algorithm register surface rather than an abstract claim digest.	Surface-level existence or record-presence only until the underlying official page is checked.	Open the cited register page or accession table directly and verify that the named record is real, public, and in scope for LIMEN reuse.	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/deployed-gap-map-field-coding-template-v0.1.csv
