query	path	line	snippet_hash	snippet
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/dashboard/legal-uncertainty-matrix.tsv	8	sha256:29de3f2c4498b67b6020cbd65e8987ac6d58847aa41d1dcc570c4cbb3441b200	legal_procedural_contamination Legal/procedural contamination 3 T1_single_public_source:1; T3_authoritative_source:1 High LQ-007 LQ-007: Legal/procedural contamination (fake citations, automated filings, contaminated records) LQ-007: A regulator order plus one
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-continuous-experiments/cpu-mining-exploitation-signal-composition-v0.1.tsv	13	sha256:55bfbb269920ea7730d3c876ab1b2b290cb8c524630f8b9b246ee808b0d87249	legal-research 20260607T195508Z fake citation 51 51 0 100.00 cpu_mining_recursive 47 recursive_mining_artifact 0 0 0 0 0 1 0 0 0 1 47 2 0 0.00 0.00 self_reference_heavy_hold query x shard saturation panel; candidate-case promotion queue; contamination-vs-signa
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-continuous-experiments/cycle-2026-06-07T20-05-00Z.md	36	sha256:93b0420f7a6cbdeadfc4a57da566be6a00dd04c2e51885cd6b5baa0454aad66a	- legal-research / AI evidence: only 1.60% LIMEN-local; dominant contamination root `/srv/tyche/atlas/tyche-thesis-atlas-factory` at 63.61%. Proposed narrower family: fake citation sanctions; AI filing sanction; hallucinated case citation.
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv	9	sha256:d6931fff27016109ab085bfff22ae1c75f0992c2d0680b23db4718ef40a3ef74	legal-research 20260607T195508Z AI evidence 3556 57 1.60 /srv/tyche/atlas/tyche-thesis-atlas-factory 2262 63.61 retune cross-project contamination dominates; broad query family should pause or be replaced fake citation sanctions; AI filing sanction; hallucinat
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-continuous-experiments/cpu-mining-query-contamination-retune-matrix-v0.1.tsv	30	sha256:d9715187b12c965bf962877cbb87f0ac3c45d6affb24d375683444cf91dd681e	legal-research 20260607T195508Z fake citation 51 51 100.00 0 0.00 keep high LIMEN-local share; exploitation is higher value than retune hallucinated filing sanction; fake citation court order; AI brief misconduct results/crosswalks/legal-uncertainty-queue.md:5
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-continuous-experiments/cpu-mining-keep-set-self-reference-drift-v0.1.tsv	15	sha256:7e05dfe920999701833a7ee4c31ccb764a1e85798b2d2bed3333b5128eb26ca5	legal-research fake citation 20260607T195508Z 20260608T021523Z 51 78 27 51 78 27 47 69 22 1 5 4 0 2 2 2.56 8.97 0 some_anchor_growth_but_still_thin bounded_reuse_only There is some new reusable signal, but the query remains too thin for corpus-growth claims.
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-continuous-experiments/cpu-mining-reopen-gate-board-v0.1.tsv	9	sha256:80b06e8a559bee14dd28b1358af6eff4d48cdc280f0784c48b9aff1b16ffe3dc	legal-research fake citation reopen_only_on_new_external_anchor some_anchor_growth_but_still_thin keep 2 2 2.56 8.97 4 22 hold_for_control_surface_only Reopen only if a future run adds at least one new external authority/source/data-cases anchor; unchanged rer
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/paper-snapshot-20260607/exports/legal-uncertainty-matrix.tsv	8	sha256:59afadbe6aaf37ed2cb799097a69618663020494a649b11eb4281f9511003c43	legal_procedural_contamination Legal/procedural contamination 2 T1_single_public_source:1; T3_authoritative_source:1 High LQ-007 LQ-007: Legal/procedural contamination (fake citations, automated filings, contaminated records) LQ-007: A regulator order plus one
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	8	sha256:29de3f2c4498b67b6020cbd65e8987ac6d58847aa41d1dcc570c4cbb3441b200	legal_procedural_contamination Legal/procedural contamination 3 T1_single_public_source:1; T3_authoritative_source:1 High LQ-007 LQ-007: Legal/procedural contamination (fake citations, automated filings, contaminated records) LQ-007: A regulator order plus one
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/taxonomy/taxonomy-v0.1.md	29	sha256:e5305ea42316cb45ea8e839901ced10b5c0879780af0528e28ffc93e36129878	| `legal_procedural_contamination` | Legal/procedural contamination | AI affects legal, administrative, expert, academic, or evidentiary process through fake citations, false records, automated filings, or provenance confusion. |
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/cpu-mining/legal-research/20260609T091853Z/summary.json	6	sha256:d8d645c471ef157feb34f998099d5bdd5d6abc860661c66010520534a3fafa5b	"fake citation": 202,
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/cpu-mining/legal-research/20260608T013016Z/summary.json	6	sha256:0abffb6804ce4210cdeffb9429eea8446142ee02ccc459feead2075b7a9df5b7	"fake citation": 75,
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/cpu-mining/legal-research/20260608T220608Z/summary.json	6	sha256:080f05b040eda120e28ae52f299f3489999e567ed02377b4a80a9321356ab8c7	"fake citation": 157,
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/cpu-mining/legal-research/20260612T060432Z/summary.json	6	sha256:f7e7ef32ff58a7e49d2960d0b1365678b1ca19402254a0e99e759ce7aff74a29	"fake citation": 476,
fake citation	/srv/tyche/projects/limen-ai-edge-case-atlas/results/cpu-mining/legal-research/20260610T035129Z/summary.json	6	sha256:26ce91cc8e2fb5ac1dfaf329d948e987fd7fba033a7915e21cbfaa70b1189941	"fake citation": 276,
