as_of_utc	artifact_path	artifact_family	liveness_class	stale_pattern_hits	stale_patterns_detected	reuse_rule	rationale
2026-06-07T10:06:38Z	results/dashboard-paper/caption-control-register-v0.1.tsv	live_shared_control	active_source_of_truth	2	medium=2; low=4	route through this file for current package truth	Shared caption-control registry for live visual guardrails
2026-06-07T10:06:38Z	results/dashboard-paper/figure-table-priority-register-v0.1.tsv	live_shared_control	active_source_of_truth	0	none_detected	route through this file for current package truth	Shared figure/table priority registry for live visual package state
2026-06-07T10:06:38Z	results/boost/limen-boost-024/canonical-figure-table-registry.tsv	live_shared_control	active_source_of_truth	0	none_detected	route through this file for current package truth	Canonical visual spine used by manuscript/dashboard planning
2026-06-07T10:06:38Z	results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv	live_metric_source	active_source_of_truth	0	none_detected	route through this file for current package truth	Current Figure 5 denominator and confidence source
2026-06-07T10:06:38Z	results/boost/limen-boost-011/source-authority-balance.tsv	live_metric_source	active_source_of_truth	0	none_detected	route through this file for current package truth	Current Figure 7 authority-composition source
2026-06-07T10:06:38Z	results/boost/limen-boost-012/manuscript-integration-register.tsv	live_lane_local_derivative	active_but_derived	0	none_detected	safe to reuse only after checking upstream live controls	Lane-local manuscript slot guide still reused by later shard-012 work
2026-06-07T10:06:38Z	results/boost/limen-boost-012/reviewer-caption-register.tsv	live_lane_local_derivative	active_but_derived	0	none_detected	safe to reuse only after checking upstream live controls	Lane-local caption text is still a copy-risk surface
2026-06-07T10:06:38Z	papers/article-architecture-v0.1.md	live_shared_prose	active_but_derived	0	none_detected	safe to reuse only after checking upstream live controls	Shared manuscript architecture still exposes count-bearing prose
2026-06-07T10:06:38Z	dashboard/limen-dashboard-spec-v0.1.md	live_shared_prose	active_but_derived	0	none_detected	safe to reuse only after checking upstream live controls	Shared dashboard spec still exposes count-bearing prose
2026-06-07T10:06:38Z	draft/preprint.md	live_shared_prose	active_but_derived	0	none_detected	safe to reuse only after checking upstream live controls	Preprint still carries reviewer-visible visual-package prose
2026-06-07T10:06:38Z	results/boost/limen-boost-011/downstream-drift-register.tsv	historical_drift_audit	archival_provenance_only	4	medium=2; low=4; translation_caution_authority=2; provisional_or_limitations_only=5	do not use as current package truth; keep for provenance and repair history	Records resolved stale states and should guide audits, not live counts
2026-06-07T10:06:38Z	results/boost/limen-boost-036/shared-figure-sync-delta.tsv	historical_drift_audit	archival_provenance_only	4	medium=2; low=4; translation_caution_authority=2; provisional_or_limitations_only=5	do not use as current package truth; keep for provenance and repair history	Captures resolved sync deltas for provenance and build-history only
2026-06-07T10:06:38Z	results/boost/limen-boost-047/shared-surface-sync.tsv	historical_drift_audit	archival_provenance_only	4	medium=2; low=4; translation_caution_authority=2; provisional_or_limitations_only=5	do not use as current package truth; keep for provenance and repair history	Repair log for previous shared-surface synchronization cycle
2026-06-07T10:06:38Z	results/boost/limen-boost-048/shared-visual-control-repair.tsv	historical_drift_audit	archival_provenance_only	2	translation_caution_authority=2; provisional_or_limitations_only=5	do not use as current package truth; keep for provenance and repair history	Repair log for control-id and count fixes
2026-06-07T10:06:38Z	results/boost/limen-boost-049/shared-caption-sync-audit.tsv	historical_drift_audit	archival_provenance_only	3	medium=2; low=4; translation_caution_authority=2	do not use as current package truth; keep for provenance and repair history	Audit log for resolved Figure 7 shared-caption drift
2026-06-07T10:06:38Z	results/boost/limen-boost-058/authority-balance-drift-repair.tsv	historical_drift_audit	archival_provenance_only	2	translation_caution_authority=2; provisional_or_limitations_only=5	do not use as current package truth; keep for provenance and repair history	Historical audit that still preserves superseded target-state text
2026-06-07T10:06:38Z	results/boost/limen-boost-012/manuscript-wide-quant-control.tsv	historical_lane_audit	archival_provenance_only	3	seeded=12; queue_only=1; planned=2; document_grade=3; summary_grade=1; 17 file-qualified local records	do not use as current package truth; keep for provenance and repair history	Earlier shard-012 package snapshot before later denominator upgrades
2026-06-07T10:06:38Z	results/boost/limen-boost-012/hostile-reviewer-consistency-audit.tsv	historical_lane_audit	archival_provenance_only	2	seeded=12; queue_only=1; planned=2; seeded=11; queue_only=2; planned=2	do not use as current package truth; keep for provenance and repair history	Earlier shard-012 source-family repair log preserved as provenance
2026-06-07T10:06:38Z	results/boost/limen-boost-060/active-surface-drift-closure.tsv	current_cycle_audit	current_cycle_reference	2	medium=2; translation_caution_authority=2	route through this file for current package truth	Current-cycle closure artifact for active-surface stale-string QA
