public_id	paper_layer	review_verdict	title	jurisdiction	language	evidence_tier	confidence_cap	translation_status	source_family	publication_role	candidate_status	source_review_basis	claim_scope_review	flags	next_action
LIMEN-AUTH-000001	reviewed_core	ready_bounded_core	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	Italy	it	T3_authoritative_source	high	not_translation_dependent	Regulator and enforcement sources	core_case	not_in_candidate_queue	anchor_rows:1	Narrow source-supported description of regulator order; no compliance or legal-prevalence generalization.	none	Use as reviewed-core example with stated claim scope.
LIMEN-AUTH-000002	reviewed_core	ready_bounded_core	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	United States	en	T3_authoritative_source	high	not_translation_dependent	Regulator and enforcement sources	core_case	not_in_candidate_queue	anchor_rows:1	Agency summary and settlement posture only; no court-text or merits overread.	none	Use as reviewed-core example with stated claim scope.
LIMEN-AUTH-000003	reviewed_core	ready_bounded_core	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	United States	en	T3_authoritative_source	high	not_translation_dependent	Court and tribunal records	core_case	not_in_candidate_queue	anchor_rows:1	Charging-stage allegations only; no guilt, liability, or hidden-human prevalence claim.	none	Use as reviewed-core example with stated claim scope.
LIMEN-SEC-000001	reviewed_core	limited_core_keep_for_methods_or_coverage	Langflow custom_component endpoint allows public candidate record for remote code execution risk	Global	en	T1_single_public_source	low	not_translation_dependent	Security research and advisories	core_low_confidence	not_in_candidate_queue	no_anchor_or_source_note_in_snapshot_exports	Methods/limitations only unless stronger direct support is added.	low_confidence_cap	Keep in low-confidence or methods layer; seek official or second public source before stronger use.
LIMEN-SEC-000002	reviewed_core	ready_bounded_core	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	Global	en	T3_authoritative_source	high	not_translation_dependent	Company and platform notices; Security research and advisories	core_case	not_in_candidate_queue	no_anchor_or_source_note_in_snapshot_exports	Bounded public notice/advisory posture; no prevalence or deployment-impact claim.	no_authoritative_anchor_row_in_anchor_export	Use as reviewed-core example with stated claim scope.
LIMEN-AUTH-000004	reviewed_core	ready_bounded_core	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	United Kingdom	en	T3_authoritative_source	high	not_translation_dependent	Regulator and enforcement sources	core_case	not_in_candidate_queue	anchor_rows:1	ICO notice/order posture; no generalized workplace-biometrics prevalence claim.	none	Use as reviewed-core example with stated claim scope.
LIMEN-AUTH-000005	reviewed_core	ready_bounded_core	UK ICO reprimands Essex school over facial-recognition canteen payments	United Kingdom	en	T3_authoritative_source	high	not_translation_dependent	Regulator and enforcement sources	core_case	not_in_candidate_queue	anchor_rows:1	ICO reprimand posture; school/minor context metadata-first.	none	Use as reviewed-core example with stated claim scope.
LIMEN-SEC-000003	reviewed_core	ready_bounded_core	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	Global	en	T3_authoritative_source	high	not_translation_dependent	Security research and advisories	core_case	not_in_candidate_queue	no_anchor_or_source_note_in_snapshot_exports	Mechanism exemplar only; no exploit prevalence or deployment harm claim.	no_authoritative_anchor_row_in_anchor_export	Use as reviewed-core example with stated claim scope.
LIMEN-SEC-000004	reviewed_core	ready_bounded_core	CrewAI JSON loader allowed arbitrary local file read on the server	Global	en	T3_authoritative_source	high	not_translation_dependent	Security research and advisories	core_case	not_in_candidate_queue	no_anchor_or_source_note_in_snapshot_exports	Mechanism exemplar only; keep distinct from CrewAI SSRF row.	no_authoritative_anchor_row_in_anchor_export	Use as reviewed-core example with stated claim scope.
LIMEN-SEC-000005	reviewed_core	ready_bounded_core	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	Global	en	T3_authoritative_source	high	not_translation_dependent	Security research and advisories	core_case	not_in_candidate_queue	no_anchor_or_source_note_in_snapshot_exports	Mechanism exemplar only; keep distinct from CrewAI local-file row.	no_authoritative_anchor_row_in_anchor_export	Use as reviewed-core example with stated claim scope.
LIMEN-SEC-000006	reviewed_core	ready_bounded_core	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	Global	en	T3_authoritative_source	high	not_translation_dependent	Security research and advisories	core_case	not_in_candidate_queue	no_anchor_or_source_note_in_snapshot_exports	Mechanism exemplar only; no general LangChain safety prevalence claim.	no_authoritative_anchor_row_in_anchor_export	Use as reviewed-core example with stated claim scope.
LIMEN-SEC-000007	reviewed_core	ready_bounded_core	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	Global	en	T3_authoritative_source	high	not_translation_dependent	Security research and advisories	core_case	not_in_candidate_queue	no_anchor_or_source_note_in_snapshot_exports	Mechanism exemplar only; no general LlamaIndex safety prevalence claim.	no_authoritative_anchor_row_in_anchor_export	Use as reviewed-core example with stated claim scope.
