signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-DA2140684D3B8012	needs_named_source_extraction	wrapper_or_proxy	translation-sensitive bridge row names a use case, not a named direct source surface yet	translation-safe source review only; no legal or policy conclusion from machine translation	extract named direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-018/rare-language-bridge-mini-batch-v0.1.csv
LIMEN-SIGNAL-DA25C544CD89F1A7	merge_existing_surface	existing_modeled_surface	existing local Government of Canada AI Register surface already modeled	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	dedupe to existing surface	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-DA2CC08C65109149	needs_named_source_extraction	wrapper_or_proxy	history wrapper names an index entry, not a direct source surface	must resolve direct public source before promotion	extract named direct source	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-governanceMonitors-history.jsonl
LIMEN-SIGNAL-DA347E339347917B	reject_noise	internal_noise	internal code comment, not a source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/atlas_v021_finalize.py
LIMEN-SIGNAL-DA38C3EC104CA342	merge_existing_surface	existing_modeled_surface	existing Dutch Algorithm Register record surface already modeled locally	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to existing surface	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-011/dutch-record-detail-candidate-v0.1.csv
LIMEN-SIGNAL-DA56AE408D16FE9A	needs_named_source_extraction	wrapper_or_proxy	translation route protocol is a template, not a named source surface	translation-safe source review only; no legal or policy conclusion from machine translation	extract named direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.json
LIMEN-SIGNAL-DA5DDE08350FA258	reject_noise	internal_noise	internal code markers, not a source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/hermes_multilingual_exploitation.py
LIMEN-SIGNAL-DA650A74C0FD9BA1	merge_existing_surface	existing_modeled_surface	existing Dutch Algorithm Register surface already modeled locally	must resolve the underlying source before any reviewed example or paper claim	dedupe to existing surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-DA66762AD694CC1E	negative_evidence_candidate	negative_evidence_surface	official portal row records a checked no-register result	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	retain as negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_SOURCE_REFRESH.csv
LIMEN-SIGNAL-DA67E49C80AC95CB	needs_named_source_extraction	wrapper_or_proxy	claim-support digest lists artifacts and URLs but not one bounded target surface	must resolve the underlying source before any reviewed example or paper claim	extract named direct source	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T193210Z/claim-support-digest.json
LIMEN-SIGNAL-DA6E2EC4C55ADE54	needs_named_source_extraction	wrapper_or_proxy	country matrix summary points toward sources but is not itself a named source surface	must resolve the underlying source before any reviewed example or paper claim	extract named direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/country-readiness-world-matrix.json
