source_cluster_key	case_extraction_verdict	source_url_or_locator	source_name	source_host	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	source_record_date	jurisdiction	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	required_before_reviewed_core	required_before_obscure_ai	next_action
https://doi.org/10.37676/jambd.v5i1.10297	closed_noncase_source_surface	https://doi.org/10.37676/jambd.v5i1.10297	doi.org	doi.org	Noncase source surface: DOI/index wrapper for public sector AI	none_noncase	source_surface_accounting			The row identifies a scholarly DOI/index or wrapper surface, not a standalone concrete AI edge-case record.	Disposition only: the listed surface is not a case candidate on this record.	Do not infer incident truth, legality, safety, compliance, deployment, prevalence, guilt, or ranking from this DOI/index surface.	Input metadata characterizes this as a scholarly/index wrapper without a named direct reviewable source surface; no concrete event/action/vulnerability/finding is exposed in the row.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No promotion; keep as source-family/accounting noncase unless a direct concrete source is separately supplied.
https://doi.org/10.37749/2308-9639-2026-5(281)-14	closed_noncase_source_surface	https://doi.org/10.37749/2308-9639-2026-5(281)-14	doi.org	doi.org	Noncase source surface: DOI/index wrapper for automated decision	none_noncase	source_surface_accounting			The row identifies a scholarly DOI/index or wrapper surface, not a standalone concrete AI edge-case record.	Disposition only: the listed surface is not a case candidate on this record.	Do not infer incident truth, legality, safety, compliance, deployment, prevalence, guilt, or ranking from this DOI/index surface.	Input metadata characterizes this as a scholarly/index wrapper without a named direct reviewable source surface; no concrete event/action/vulnerability/finding is exposed in the row.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No promotion; keep as source-family/accounting noncase unless a direct concrete source is separately supplied.
https://doi.org/10.3917/dpo.031.0012	closed_noncase_source_surface	https://doi.org/10.3917/dpo.031.0012	doi.org	doi.org	Noncase source surface: DOI/index wrapper for algorithm register	none_noncase	source_surface_accounting			The row identifies a scholarly DOI/index or wrapper surface, not a standalone concrete AI edge-case record.	Disposition only: the listed surface is not a case candidate on this record.	Do not infer incident truth, legality, safety, compliance, deployment, prevalence, guilt, or ranking from this DOI/index surface.	Input metadata characterizes this as a scholarly/report wrapper rather than a direct source surface; no concrete case-level AI edge-case record is exposed.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No promotion; keep as source-family/accounting noncase unless a direct concrete source is separately supplied.
https://doi.org/10.3917/pouv.170.0043	closed_noncase_source_surface	https://doi.org/10.3917/pouv.170.0043	doi.org	doi.org	Noncase source surface: DOI/index wrapper for algorithm register	none_noncase	source_surface_accounting			The row identifies a scholarly DOI/index or wrapper surface, not a standalone concrete AI edge-case record.	Disposition only: the listed surface is not a case candidate on this record.	Do not infer incident truth, legality, safety, compliance, deployment, prevalence, guilt, or ranking from this DOI/index surface.	Input metadata characterizes this as a scholarly/index wrapper without a named direct reviewable source surface; no concrete event/action/vulnerability/finding is exposed in the row.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No promotion; keep as source-family/accounting noncase unless a direct concrete source is separately supplied.
https://doi.org/10.3940/rina.bc.2009.16	closed_noncase_source_surface	https://doi.org/10.3940/rina.bc.2009.16	doi.org	doi.org	Noncase source surface: DOI/index wrapper for AI evidence	none_noncase	source_surface_accounting			The row identifies a scholarly DOI/index or wrapper surface, not a standalone concrete AI edge-case record.	Disposition only: the listed surface is not a case candidate on this record.	Do not infer incident truth, legality, safety, compliance, deployment, prevalence, guilt, or ranking from this DOI/index surface.	Input metadata characterizes this as a scholarly/index wrapper without a named direct reviewable source surface; no concrete event/action/vulnerability/finding is exposed in the row.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No promotion; keep as source-family/accounting noncase unless a direct concrete source is separately supplied.
https://doi.org/10.3940/rina.ds.2015.08	closed_noncase_source_surface	https://doi.org/10.3940/rina.ds.2015.08	doi.org	doi.org	Noncase source surface: DOI/index wrapper for AI evidence	none_noncase	source_surface_accounting			The row identifies a scholarly DOI/index or wrapper surface, not a standalone concrete AI edge-case record.	Disposition only: the listed surface is not a case candidate on this record.	Do not infer incident truth, legality, safety, compliance, deployment, prevalence, guilt, or ranking from this DOI/index surface.	Input metadata characterizes this as a scholarly/index wrapper without a named direct reviewable source surface; no concrete event/action/vulnerability/finding is exposed in the row.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No promotion; keep as source-family/accounting noncase unless a direct concrete source is separately supplied.
https://doi.org/10.4000/books.oep.1761	closed_noncase_source_surface	https://doi.org/10.4000/books.oep.1761	doi.org	doi.org	Noncase source surface: DOI/index wrapper for regulatory sandbox	none_noncase	source_surface_accounting			The row identifies a scholarly DOI/index or wrapper surface, not a standalone concrete AI edge-case record.	Disposition only: the listed surface is not a case candidate on this record.	Do not infer incident truth, legality, safety, compliance, deployment, prevalence, guilt, or ranking from this DOI/index surface.	Input metadata characterizes this as a scholarly/index wrapper without a named direct reviewable source surface; no concrete event/action/vulnerability/finding is exposed in the row.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No promotion; keep as source-family/accounting noncase unless a direct concrete source is separately supplied.
https://doi.org/10.4018/978-1-5225-3731-1.ch002	closed_noncase_source_surface	https://doi.org/10.4018/978-1-5225-3731-1.ch002	doi.org	doi.org	Noncase source surface: DOI/index wrapper for public sector AI	none_noncase	source_surface_accounting			The row identifies a scholarly DOI/index or wrapper surface, not a standalone concrete AI edge-case record.	Disposition only: the listed surface is not a case candidate on this record.	Do not infer incident truth, legality, safety, compliance, deployment, prevalence, guilt, or ranking from this DOI/index surface.	Input metadata characterizes this as a scholarly/index wrapper without a named direct reviewable source surface; no concrete event/action/vulnerability/finding is exposed in the row.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No promotion; keep as source-family/accounting noncase unless a direct concrete source is separately supplied.
https://doi.org/10.4018/978-1-5225-3731-1.ch009	closed_noncase_source_surface	https://doi.org/10.4018/978-1-5225-3731-1.ch009	doi.org	doi.org	Noncase source surface: DOI/index wrapper for public sector AI	none_noncase	source_surface_accounting			The row identifies a scholarly DOI/index or wrapper surface, not a standalone concrete AI edge-case record.	Disposition only: the listed surface is not a case candidate on this record.	Do not infer incident truth, legality, safety, compliance, deployment, prevalence, guilt, or ranking from this DOI/index surface.	Input metadata characterizes this as a scholarly/index wrapper without a named direct reviewable source surface; no concrete event/action/vulnerability/finding is exposed in the row.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No promotion; keep as source-family/accounting noncase unless a direct concrete source is separately supplied.
https://doi.org/10.4018/979-8-3693-9251-5.ch002	closed_noncase_source_surface	https://doi.org/10.4018/979-8-3693-9251-5.ch002	doi.org	doi.org	Noncase source surface: DOI/index wrapper for public sector AI	none_noncase	source_surface_accounting			The row identifies a scholarly DOI/index or wrapper surface, not a standalone concrete AI edge-case record.	Disposition only: the listed surface is not a case candidate on this record.	Do not infer incident truth, legality, safety, compliance, deployment, prevalence, guilt, or ranking from this DOI/index surface.	Input metadata characterizes this as a scholarly/index wrapper without a named direct reviewable source surface; no concrete event/action/vulnerability/finding is exposed in the row.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	No promotion; keep as source-family/accounting noncase unless a direct concrete source is separately supplied.
