row_id	signal_id	promotion_gate	promotion_priority	source_surface_class	source_review_role	shards	queries	source_path	source_line	title_or_snippet	source_review_reason	claim_ceiling	required_hardening_step	forbidden_overread
SRPH-01185	LIMEN-SIGNAL-5DEAF6AEE8B637BB	needs_named_url_extraction	P3	regulator_or_public_authority	direct_source_surface	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/official/aesia/text/16-checklist-manual-for-requirements-guidelines.txt	79	Regulatory sandboxes play a key role in the experimentation and validation of regulatory	AESIA checklist/manual file is a bounded official sandbox-guidance surface.	surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01186	LIMEN-SIGNAL-690EADDA21635B49	needs_named_url_extraction	P3	regulator_or_public_authority	institutional guidance	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/official/aesia/text/16-checklist-manual-for-requirements-guidelines.txt	26	of the Spanish AI regulatory sandbox pilot, in collaboration between the	official Spanish AI sandbox manual is explicit in local text	bounded existence/relevance of source surface only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01187	LIMEN-SIGNAL-76BDC1A06C9C273E	needs_named_url_extraction	P3	regulator_or_public_authority	existing_register_surface	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/seeds/hermes-v02-expansion-seeds.json	3210	"why: ""City-level algorithm register useful as a field-level transparency comparator."""	Inspected local seed line names the Amsterdam Algorithm Register surface directly.	Surface existence/posture only from local metadata.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01188	LIMEN-SIGNAL-7B9B07711C68EED2	needs_named_url_extraction	P3	regulator_or_public_authority	official_guidance_surface	security-agentic	model poisoning	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/official/aesia/text/09-accuracy-guideline.txt	398	components used in training (model poisoning), inputs designed to cause the AI	Local official guidance text is a concrete reviewable source surface.	source-surface existence only; no incident/compliance/safety inference	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01189	LIMEN-SIGNAL-7FC6615927D8DA5B	needs_named_url_extraction	P3	regulator_or_public_authority	named_official_surface	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv	275	"13,CH,Switzerland,I05,,1,M,2,M,,true,,""New official March 2026 Federal Administration AI project database materially improves transparency evidence. Candidate increase is limited because it is a project inventory, not clearly a statutory pu"	Row names a concrete Swiss Federal Administration AI project database surface.	bounded source-surface existence review only; no truth/legal/compliance inference.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01190	LIMEN-SIGNAL-84BFA156DD9FC105	needs_named_url_extraction	P3	regulator_or_public_authority	named_official_source_surface	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_CANDIDATE_MATRIX_DELTA.csv	46	"be-source-hardening,BE,Belgium,I05,1,M,2,M,score_increase,""BOSA/AI4Belgium observatory states that a cartography inventories AI projects in the Belgian public sector and is regularly updated. This is partial transparency/inventory evidence,"	Local metadata names the BOSA/AI4Belgium public-sector AI cartography observatory, a concrete official inventory surface.	source posture only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01191	LIMEN-SIGNAL-8725A1D03DCF12B9	needs_named_url_extraction	P3	regulator_or_public_authority	official_project_database	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_13_COUNTRY_SCORE_DELTA.csv	16	"CH,I05,1,M,2,M,""New official March 2026 Federal Administration AI project database materially improves transparency evidence. Candidate increase is limited because it is a project inventory, not clearly a statutory public algorithm register"	Swiss Federal Administration AI project database is a concrete official transparency surface.	bounded source-surface existence/posture only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01192	LIMEN-SIGNAL-98B92BD287C24548	needs_named_url_extraction	P3	regulator_or_public_authority	direct_source_surface	public-sector	procurement AI	/srv/tyche/gaia/tyche-research-vault/sites/gaia-agent-atlas/public/data/facts.json	27313	"claim: ""Zip says its procurement AI agents are powered by data from 60+ integrations and guide decisions across intake, approvals, and other critical workflows."","	local metadata exposes a concrete official/provider source title or document surface	existence of named source surface only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01193	LIMEN-SIGNAL-A5B51B90C9E2BB29	needs_named_url_extraction	P3	regulator_or_public_authority	policy_comparator_surface	public-sector	automated decision	/srv/tyche/projects/public-ai-registry/data/README.md	31	Small comparator table for non-register policy/assessment-tool sources. v0.4 adds Canada’s reachable Directive on Automated Decision-Making as `CA-DADM-2025` and records why it should support a law/policy-to-evidence crosswalk rather than t	local comparator README names the exact Canada Directive on Automated Decision-Making policy surface.	source-surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01194	LIMEN-SIGNAL-AA411BADC45EBD55	needs_named_url_extraction	P3	regulator_or_public_authority	named_direct_source_surface	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1963	14,GR,Greece,I08,,2,M,2,H,,true,,Official Gazette Article 7 strengthens AI procurement/contractor-obligation evidence. It supports score 2 but does not by itself demonstrate mature AI procurement assurance/audit workflows sufficient for sco	Official Gazette Article 7 is a concrete official source surface.	must resolve direct public source before promotion	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01195	LIMEN-SIGNAL-B8518F00DD3A1B86	needs_named_url_extraction	P3	regulator_or_public_authority	official_policy_instrument	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/sites/gaia-agent-atlas/public/data/country-legislation.json	790	Directive on Automated Decision-Making,	Local row names a concrete directive surface for automated decision-making.	surface existence and title only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01196	LIMEN-SIGNAL-B884468A9C7A1E90	needs_named_url_extraction	P3	regulator_or_public_authority	concrete_named_surface	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_12_CANDIDATE_MATRIX_DELTA.csv	159	"us-source-hardening,US,United States,I08,2,H,2,H,none,""M-25-22 remains strong federal AI procurement governance evidence; scope is federal procurement, not whole-market AI conformity."",true"	M-25-22 is a concrete named official procurement source surface in local metadata.	surface existence only; no incident/compliance/prevalence claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01197	LIMEN-SIGNAL-C089E962481209BF	needs_named_url_extraction	P3	regulator_or_public_authority	named_official_source_surface	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv	307	"16,BE,Belgium,I05,,1,M,2,M,,true,,""BOSA/AI4Belgium observatory states that a cartography inventories AI projects in the Belgian public sector and is regularly updated. This is partial transparency/inventory evidence, not a full national alg"	Local metadata names a concrete official source surface (AI4Belgium) suitable for bounded surface review.	Surface existence and source posture only from local metadata; no broader inference.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
