cluster_id	cluster_status	cluster_basis	canonical_case_id	member_case_ids	member_source_ids	shared_event_or_actor	shared_failure_mode	cross_source_overlap	evidence_tier_ceiling	jurisdiction_scope	language_scope	review_notes	provenance_inputs	updated_at_utc	lineage_counting_rule	namespace_collision_flag	overlap_control_states	supports_multi_state_control
REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	same_case_id_string_across_distinct_events		data/cases/authoritative-candidates.jsonl:LIMEN-000001;data/cases/security-agentic-candidates.jsonl:LIMEN-000001;results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000001	SRC-AUTH-0001;LIMEN-S-006;SRC-SEC-2024-36	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across three distinct lineages	T3_authoritative_source	Global;Italy;US;CA	English;it;en	Do not merge. Bare case_id reuse now spans regulator, security, and SEC AI-washing packages; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl	2026-06-07T06:09:00Z	block_bare_id_joins_use_file_qualified_or_global_id	yes	stable_duplicate_cluster,reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	same_case_id_string_across_distinct_events		data/cases/authoritative-candidates.jsonl:LIMEN-000002;data/cases/security-agentic-candidates.jsonl:LIMEN-000002;results/boost/limen-boost-009/candidate-cases.jsonl:LIMEN-000002	SRC-AUTH-0002;SRC-AUTH-0005;LIMEN-S-007;SRC-SEC-2024-36	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across three distinct lineages	T3_authoritative_source	Global;United States	English;en	Do not merge. One bare ID now points to EEOC hiring-discrimination, Langflow RCE, and SEC AI-washing records; this is a schema blocker, not event duplication.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl; results/boost/limen-boost-009/candidate-cases.jsonl	2026-06-07T06:09:00Z	block_bare_id_joins_use_file_qualified_or_global_id	yes	stable_duplicate_cluster,reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	same_case_id_string_across_distinct_events		data/cases/authoritative-candidates.jsonl:LIMEN-000003;data/cases/security-agentic-candidates.jsonl:LIMEN-000003	SRC-AUTH-0003;SRC-AUTH-0006;LIMEN-S-008	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across shard files	T3_authoritative_source	Global;United Kingdom	English;en	Do not merge. File-qualified IDs show distinct biometric-governance and coding-agent exfiltration events.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl	2026-06-07T06:09:00Z	block_bare_id_joins_use_file_qualified_or_global_id	yes	reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	same_case_id_string_across_distinct_events		data/cases/authoritative-candidates.jsonl:LIMEN-000004;data/cases/security-agentic-candidates.jsonl:LIMEN-000004	SRC-AUTH-0004;SRC-AUTH-0007;LIMEN-S-009	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across shard files	T3_authoritative_source	Global;United Kingdom	English;en	Do not merge. File-qualified IDs show distinct school biometrics and CrewAI local-file-read events.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl	2026-06-07T06:09:00Z	block_bare_id_joins_use_file_qualified_or_global_id	yes	reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	same_case_id_string_across_distinct_events		data/cases/authoritative-candidates.jsonl:LIMEN-000005;data/cases/security-agentic-candidates.jsonl:LIMEN-000005	SRC-AUTH-0010;SRC-AUTH-0011;LIMEN-S-010	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across two distinct lineages	T3_authoritative_source	United States;Global	en	Do not merge. Bare case_id reuse now points to a DOJ charging-stage alleged AI-misstatement / hidden-human-processing matter and a CrewAI SSRF/internal-content-acquisition vulnerability; this is a schema blocker, not event duplication.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl	2026-06-07T06:09:00Z	block_bare_id_joins_use_file_qualified_or_global_id	yes	reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-IDCOLLISION-LIMEN-000006	identifier_collision_blocker	same_case_id_string_across_distinct_events		data/cases/authoritative-candidates.jsonl:LIMEN-000006;data/cases/security-agentic-candidates.jsonl:LIMEN-000006	SRC-AUTH-0012;SRC-AUTH-0013;LIMEN-S-032	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across distinct finance-enforcement and agent-security lineages	T3_authoritative_source	United States;Global	en;English	Do not merge. Bare case_id reuse now points to a settled SEC AI-washing matter (Delphia) and a separate LangChain LLMMathChain execution-surface vulnerability; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl	2026-06-07T10:34:39Z	block_bare_id_joins_use_file_qualified_or_global_id	yes	stable_duplicate_cluster,reviewed_not_duplicate,identifier_collision_blocker	yes
REVIEW-IDCOLLISION-LIMEN-000007	identifier_collision_blocker	same_case_id_string_across_distinct_events		data/cases/authoritative-candidates.jsonl:LIMEN-000007;data/cases/security-agentic-candidates.jsonl:LIMEN-000007	SRC-AUTH-0014;SRC-AUTH-0015;LIMEN-S-036	none; shared local identifier only	none confirmed	not a duplicate cluster; namespace collision across distinct finance-enforcement and agent-security lineages	T3_authoritative_source	United States;Global	en;English	Do not merge. Bare case_id reuse now points to a settled SEC AI-washing matter (Global Predictions) and a separate LlamaIndex safe_eval command-injection vulnerability; downstream joins must use file-qualified or globally normalized IDs.	data/cases/authoritative-candidates.jsonl; data/cases/security-agentic-candidates.jsonl	2026-06-07T10:34:39Z	block_bare_id_joins_use_file_qualified_or_global_id	yes	stable_duplicate_cluster,reviewed_not_duplicate,identifier_collision_blocker	yes
CLUSTER-DERIVATIVE-LMWCS-20260606-001	stable_duplicate_cluster	shared_candidate_id_and_selected_from_linkage	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-001	yle-direct-base; stale-lane-005-queue-copy	AI-assisted procedural contamination in a police/legal workflow	derivative queue duplicate with evidence-state divergence; base row now has a resolved direct Yle article while the lane-005 queue copy still reflects an older unresolved queue state	T1_single_public_source	Finland	fi	Collapse for lineage counts, but keep the evidence-state asymmetry visible. The base multilingual row is now a resolved direct Yle article with bounded extraction notes, while the lane-005 queue copy still preserves the older pre-resolution verification state; do not count both rows separately or treat the queue copy as fresher evidence.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl	2026-06-07T06:09:00Z		collapse_to_canonical_lineage_for_counts_preserve_member_provenance	no	stable_duplicate_cluster	no
CLUSTER-DERIVATIVE-LMWCS-20260606-003	stable_duplicate_cluster	shared_candidate_id_and_selected_from_linkage	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-003;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-003	google-news-15min-lt-lead	Lithuanian police-warning / scam lead	AI-assisted deception / scam-modality queue	derivative queue duplicate; same lead copied into verification queue	T1_single_public_source	Lithuania	lt	Collapse only for counting lineages. The lane-005 row is a selected-work queue entry, not a new case.	data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl	2026-06-07T06:09:00Z	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	no	stable_duplicate_cluster	no
CLUSTER-DERIVATIVE-LMWCS-20260606-004	stable_duplicate_cluster	shared_candidate_id_and_selected_from_linkage	data/cases/authoritative-candidates.jsonl:LIMEN-000009	data/cases/authoritative-candidates.jsonl:LIMEN-000009;data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004;results/boost/limen-boost-005/candidate-cases.jsonl:LMWCS-20260606-004	SRC-AUTH-0019;official-police-source / ORION	Project ORION / Slovenian police border-management pilot	same underlying public-sector governance lineage preserved across multilingual scouting, queue handling, and authoritative follow-through promotion	cross-inventory derivative duplicate with evidence-state upgrade: authoritative follow-through row now promotes the same official Slovenian police page previously carried in multilingual and lane-005 queue surfaces	T3_authoritative_source	Slovenia	sl	Collapse for lineage counts, but preserve all three provenance trails. The authoritative row is the richer representative for dashboard/manuscript reuse, while the multilingual base row and lane-005 queue copy remain useful for translation-caution and workflow-history audit. This canonical ORION row also sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000009`, so lineage collapse and join-safety must travel together.	data/cases/authoritative-candidates.jsonl; data/cases/multilingual-candidates.jsonl; results/boost/limen-boost-005/candidate-cases.jsonl	2026-06-07T12:21:51Z	collapse_to_canonical_lineage_for_counts_preserve_member_provenance	yes	stable_duplicate_cluster,identifier_collision_blocker	yes
