row_id	signal_id	completion_disposition	completion_state	obscure_ai_posture	promotion_gate	promotion_priority	url_extraction_verdict	source_url	source_host	source_surface_class	source_review_role	dedupe_key	cluster_size	title_or_snippet	claim_ceiling	completion_reason	next_bulk_action	forbidden_overread
SRPH-00009	LIMEN-SIGNAL-98AE9E763AD171CE	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://arxiv.org/abs/2605.18991	arxiv.org	regulator_or_public_authority	direct_source_surface	https://arxiv.org/abs/2605.18991	1	SEC-SCH-006 LIMEN-S-064 Agent Security is a Systems Problem public_scholarly_preprint_text_with_attack_specific_claude_code_section LIMEN-000003 Claude Code; DNS exfiltration; approval boundary; agent systems exact_incident_nar	existence of named source surface only	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00005	LIMEN-SIGNAL-0BD16BC620C2ECA4	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://docs.fcc.gov/public/	docs.fcc.gov	regulator_or_public_authority	direct_surface_candidate	https://docs.fcc.gov/public/	2	SRC-AUTH-0016 LIMEN-000008 authoritative_allegation_stage T3_authoritative_source Federal Communications Commission United States en FCC notice of apparent liability high allegation_stage_document_text_present 2024-05-28 2026-06-07	Source-surface existence and posture only; no incident truth, legality, compliance, prevalence, or ranking claim.	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00001	LIMEN-SIGNAL-1162B0452856FBFE	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://docs.fcc.gov/public/attachments/FCC-24-60A1.txt	docs.fcc.gov	regulator_or_public_authority	direct_regulator_document	https://docs.fcc.gov/public/attachments/FCC-24-60A1.txt	1	| LIMEN-S-029 | FCC Notice of Apparent Liability FCC 24-60: Lingo Telecom deepfake robocall attestations matter | ` | public federal regulator enforcement document | United States | English | 2026-06-07 |	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claims	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00003	LIMEN-SIGNAL-191A47D308182B47	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	docs.fcc.gov	regulator_or_public_authority	named_direct_source_surface	https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	3	SRC-AUTH-0018 LIMEN-000008 authoritative_followup T3_authoritative_source Federal Communications Commission United States en FCC media release high agency_release_summary 2024-08-21 2026-06-07 Regulator	Supports only source-surface existence and narrow descriptive posture from the local record, not incident truth, legality, compliance, deployment certainty, prevalence, or ranking.	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00002	LIMEN-SIGNAL-515C569688F9A5A9	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	docs.fcc.gov	regulator_or_public_authority	regulator_release_surface	https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	3	SRC-AUTH-0018 LIMEN-000008 authoritative_followup T3_authoritative_source Federal Communications Commission United States en FCC media release high agency_release_summary 2024-08-21 2026-06-07 Regulator	surface existence only; do not infer enforcement, prevalence, or policy impact	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00004	LIMEN-SIGNAL-83E78EA70A6926EB	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	docs.fcc.gov	regulator_or_public_authority	official_named_surface	https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	3	SRC-AUTH-0018 LIMEN-000008 authoritative_followup T3_authoritative_source Federal Communications Commission United States en FCC media release high agency_release_summary 2024-08-21 2026-06-07 Regulator	surface existence only; no incident truth, legality, compliance, safety, prevalence, or ranking claim	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00008	LIMEN-SIGNAL-E58D1126F0A67B12	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://docs.fcc.gov/public/attachments/DA-24-790	docs.fcc.gov	regulator_or_public_authority	authoritative_order_surface	https://docs.fcc.gov/public/attachments/DA-24-790	1	SRC-AUTH-0017 LIMEN-000008 authoritative_followup T3_authoritative_source Federal Communications Commission United States en FCC consent-decree order high consent_decree_order_text_present 2024-08-21 2026-06-07	bounded existence of named direct source surface only	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00006	LIMEN-SIGNAL-FC9E12190A990592	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://docs.fcc.gov/public/	docs.fcc.gov	regulator_or_public_authority	direct_source_surface	https://docs.fcc.gov/public/	2	SRC-AUTH-0016 LIMEN-000008 authoritative_allegation_stage T3_authoritative_source Federal Communications Commission United States en FCC notice of apparent liability high allegation_stage_document_text_present 2024-05-28 2026-06-07	source-surface existence only	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00007	LIMEN-SIGNAL-7C4489A741D66AEA	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://nvd.nist.gov/vuln/detail/CVE-2025-9611	nvd.nist.gov	security_advisory_or_vulnerability	official_direct_surface	https://nvd.nist.gov/vuln/detail/CVE-2025-9611	1	LIMEN-000012 CVE-2025-9611 authoritative T3_authoritative_source Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40 LIMEN-S-051 2026-06-07 English Global	Existence of the named source surface only.	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
SRPH-00015	LIMEN-SIGNAL-0A97FC1316473388	closed_existing_reviewed_core_or_duplicate	complete_no_new_case	do_not_add_duplicate	already_reviewed_core_lineage	closed		https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2025/55xxx	raw.githubusercontent.com	security_advisory_or_vulnerability	named_direct_source_surface	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2025/55xxx	1	LIMEN-000003 CVE-2025-55284 authoritative T3_authoritative_source Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update LIMEN-S-008	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	Already linked to reviewed core or duplicate lineage; keep only as dedupe/source-lineage evidence.	none	Completion closes source-surface routing only; it is not reviewed-core promotion, incident truth, legality, safety, compliance, prevalence, or ranking.
