lineage_key	representative_key	record_title	source_family_bucket	authority_class	evidence_tier	publication_confidence_cap	translation_flag	duplicate_control_state	member_count	derivative_queue_rows_excluded	reviewer_safe_paper_use	visualization_band	join_hazard	review_gate	claim_ceiling_restatement	paper_claim_ceiling	raw_source_paths
data/cases/authoritative-candidates.jsonl:LIMEN-000001	data/cases/authoritative-candidates.jsonl:LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	regulator_or_prosecutor_authority	authoritative_public_authority	T3_authoritative_source	high	not_translation_dependent	identifier_collision_blocker	1	0	main_text_exemplar_ok	authority_anchor	never_join_on_bare_local_id	source_scope_still_bounds_claim_language	narrow_authority_supported_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/authoritative-candidates.jsonl
data/cases/authoritative-candidates.jsonl:LIMEN-000002	data/cases/authoritative-candidates.jsonl:LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	regulator_or_prosecutor_authority	authoritative_public_authority	T3_authoritative_source	high	not_translation_dependent	identifier_collision_blocker	1	0	main_text_exemplar_ok	authority_anchor	never_join_on_bare_local_id	source_scope_still_bounds_claim_language	narrow_authority_supported_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/authoritative-candidates.jsonl
data/cases/authoritative-candidates.jsonl:LIMEN-000005	data/cases/authoritative-candidates.jsonl:LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	regulator_or_prosecutor_authority	authoritative_public_authority	T3_authoritative_source	high	not_translation_dependent	identifier_collision_blocker	1	0	main_text_exemplar_ok	authority_anchor	never_join_on_bare_local_id	source_scope_still_bounds_claim_language	narrow_authority_supported_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/authoritative-candidates.jsonl
data/cases/security-agentic-candidates.jsonl:LIMEN-000002	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	Langflow custom_component endpoint allows public candidate record for remote code execution risk	security_public_cve_single_source	single_public_technical_source	T1_single_public_source	low	not_translation_dependent	identifier_collision_blocker	1	0	limitations_or_queue_only	provisional_security	never_join_on_bare_local_id	source_scope_still_bounds_claim_language	methods_only_until_corroborated	Use only for bounded methods/limitations discussion until stronger direct-source or corroborating support arrives.	data/cases/security-agentic-candidates.jsonl
data/cases/security-agentic-candidates.jsonl:LIMEN-000003	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	security_public_cve_or_advisory	technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	identifier_collision_blocker	1	0	bounded_security_exemplar_ok	technical_authority	never_join_on_bare_local_id	source_scope_still_bounds_claim_language	narrow_hazard_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/security-agentic-candidates.jsonl
REVIEW-NOMERGE-ICO-001	data/cases/authoritative-candidates.jsonl:LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	regulator_or_prosecutor_authority	authoritative_public_authority	T3_authoritative_source	high	not_translation_dependent	reviewed_not_duplicate	1	0	main_text_exemplar_ok	authority_anchor	keep_separate_cases_despite_shared_subtype	source_scope_still_bounds_claim_language	narrow_authority_supported_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/authoritative-candidates.jsonl
REVIEW-NOMERGE-ICO-001	data/cases/authoritative-candidates.jsonl:LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	regulator_or_prosecutor_authority	authoritative_public_authority	T3_authoritative_source	high	not_translation_dependent	reviewed_not_duplicate	1	0	main_text_exemplar_ok	authority_anchor	keep_separate_cases_despite_shared_subtype	source_scope_still_bounds_claim_language	narrow_authority_supported_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/authoritative-candidates.jsonl
REVIEW-NOMERGE-CODEEXEC-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	security_public_cve_or_advisory	technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	reviewed_not_duplicate	1	0	bounded_security_exemplar_ok	technical_authority	keep_separate_cases_despite_shared_subtype	source_scope_still_bounds_claim_language	narrow_hazard_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/security-agentic-candidates.jsonl
REVIEW-NOMERGE-CREWAI-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000004	CrewAI JSON loader allowed arbitrary local file read on the server	security_public_cve_or_advisory	technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	reviewed_not_duplicate	1	0	bounded_security_exemplar_ok	technical_authority	keep_separate_cases_despite_shared_subtype	source_scope_still_bounds_claim_language	narrow_hazard_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/security-agentic-candidates.jsonl
REVIEW-NOMERGE-CREWAI-001	data/cases/security-agentic-candidates.jsonl:LIMEN-000005	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	security_public_cve_or_advisory	technical_authority_or_curated_public_advisory	T3_authoritative_source	high	not_translation_dependent	reviewed_not_duplicate	1	0	bounded_security_exemplar_ok	technical_authority	keep_separate_cases_despite_shared_subtype	source_scope_still_bounds_claim_language	narrow_hazard_descriptive_claims	Use for narrow source-supported descriptive claims within stated evidence tier and join limits.	data/cases/security-agentic-candidates.jsonl
