signal_id	bulk_route	source_review_verdict	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
LIMEN-SIGNAL-00FFFFC1C70C4926	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/record-level-depth-audit-v0.11.csv	12	Snippet points to a surface that is already modeled in another local registry/atlas/resolution artifact, so promoting it again would duplicate an existing surface.	Can support only bounded linkage to an already captured surface or derived local record.	Merge/deduplicate against the existing surface record and carry forward the stronger local source anchor.
LIMEN-SIGNAL-01445E55A2212A1F	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1461	Snippet points to a surface that is already modeled in another local registry/atlas/resolution artifact, so promoting it again would duplicate an existing surface.	Can support only bounded linkage to an already captured surface or derived local record.	Merge/deduplicate against the existing surface record and carry forward the stronger local source anchor.
LIMEN-SIGNAL-01447BF19706B61B	closed_merge_existing_surface	merge_existing_surface	adjacent_transparency_proxy	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	663	World source-pack row captures an adjacent transparency or portal surface rather than a clearly direct AI/algorithm register surface.	Only adjacent transparency context; not strong enough as a standalone direct-source example.	Merge into the broader country evidence surface and avoid separate promotion as a direct reviewed example.
LIMEN-SIGNAL-0202801C30831A55	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-source-resolution-log-all-priorities-20260607.csv	2	Snippet points to a surface that is already modeled in another local registry/atlas/resolution artifact, so promoting it again would duplicate an existing surface.	Can support only bounded linkage to an already captured surface or derived local record.	Merge/deduplicate against the existing surface record and carry forward the stronger local source anchor.
LIMEN-SIGNAL-031F378BC1E2561B	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-acquisition-queue-v0.3.csv	2	Snippet points to a surface that is already modeled in another local registry/atlas/resolution artifact, so promoting it again would duplicate an existing surface.	Can support only bounded linkage to an already captured surface or derived local record.	Merge/deduplicate against the existing surface record and carry forward the stronger local source anchor.
LIMEN-SIGNAL-053F8879B7CCAD00	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv	84	Row points to an already-modeled public AI/algorithm register surface and should be deduplicated rather than promoted again.	Supports only bounded linkage to an already captured local surface; not a fresh direct-source promotion.	Merge/deduplicate against the stronger existing local source anchor and keep this row only as provenance.
LIMEN-SIGNAL-055535D3C493A5D0	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv	73	Row points to an already-modeled public AI/algorithm register surface and should be deduplicated rather than promoted again.	Supports only bounded linkage to an already captured local surface; not a fresh direct-source promotion.	Merge/deduplicate against the stronger existing local source anchor and keep this row only as provenance.
LIMEN-SIGNAL-0570AB4885BCEC4D	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-record-sampling-quota-v0.3.csv	2	Row points to an already-modeled public AI/algorithm register surface and should be deduplicated rather than promoted again.	Supports only bounded linkage to an already captured local surface; not a fresh direct-source promotion.	Merge/deduplicate against the stronger existing local source anchor and keep this row only as provenance.
LIMEN-SIGNAL-057AFAE7ACB308E6	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	24	Row points to an already-modeled public AI/algorithm register surface and should be deduplicated rather than promoted again.	Supports only bounded linkage to an already captured local surface; not a fresh direct-source promotion.	Merge/deduplicate against the stronger existing local source anchor and keep this row only as provenance.
LIMEN-SIGNAL-05A966D2FCBE0D99	closed_merge_existing_surface	merge_existing_surface	already_modeled_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	38	Row points to an already-modeled public AI/algorithm register surface and should be deduplicated rather than promoted again.	Supports only bounded linkage to an already captured local surface; not a fresh direct-source promotion.	Merge/deduplicate against the stronger existing local source anchor and keep this row only as provenance.
