row_id	signal_id	promotion_gate	promotion_priority	promotion_resolution	linked_reviewed_case_id	linked_source_id	linked_source_role	hardening_score	dedupe_key	duplicate_url_count	source_url	url_recovery_status	url_recovery_source	source_host	source_surface_class	source_review_role	review_priority	shards	queries	source_path	source_line	title_or_snippet	source_review_reason	claim_ceiling	next_action	required_hardening_step	forbidden_overread
SRPH-00001	LIMEN-SIGNAL-1162B0452856FBFE	already_reviewed_core_lineage	closed	linked_existing_reviewed_core	LIMEN-AUTH-000008	SRC-AUTH-0016	FCC notice of apparent liability	19	https://docs.fcc.gov/public/attachments/FCC-24-60A1.txt	1	https://docs.fcc.gov/public/attachments/FCC-24-60A1.txt	snippet_or_result	source_review_input	docs.fcc.gov	regulator_or_public_authority	direct_regulator_document	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/projects/limen-ai-edge-case-atlas/sources/sources.md	38	| LIMEN-S-029 | FCC Notice of Apparent Liability FCC 24-60: Lingo Telecom deepfake robocall attestations matter | ` | public federal regulator enforcement document | United States | English | 2026-06-07 |	Local source catalog names a concrete FCC enforcement document.	source-surface existence only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claims	queue bounded source-surface review	No reviewed-core promotion needed; this source surface is already linked to LIMEN-AUTH-000008. Keep it as source-lineage/dedupe evidence.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00002	LIMEN-SIGNAL-515C569688F9A5A9	already_reviewed_core_lineage	closed	linked_existing_reviewed_core	LIMEN-AUTH-000008	SRC-AUTH-0018	FCC media release	11	https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	3	https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	snippet_or_result	source_review_input	docs.fcc.gov	regulator_or_public_authority	regulator_release_surface	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/projects/limen-ai-edge-case-atlas/sources/authoritative-source-ledger.tsv	19	SRC-AUTH-0018 LIMEN-000008 authoritative_followup T3_authoritative_source Federal Communications Commission United States en FCC media release high agency_release_summary 2024-08-21 2026-06-07 Regulator	ledger names FCC media release	surface existence only; do not infer enforcement, prevalence, or policy impact	open bounded source packet from ledger entry	No reviewed-core promotion needed; this source surface is already linked to LIMEN-AUTH-000008. Keep it as source-lineage/dedupe evidence.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00003	LIMEN-SIGNAL-191A47D308182B47	already_reviewed_core_lineage	closed	linked_existing_reviewed_core	LIMEN-AUTH-000008	SRC-AUTH-0018	FCC media release	10	https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	3	https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	snippet_or_result	source_review_input	docs.fcc.gov	regulator_or_public_authority	named_direct_source_surface	P1_official_or_regulator_review	identity-provenance	voice cloning	/srv/tyche/projects/limen-ai-edge-case-atlas/results/paper-snapshot-20260607/sources/authoritative-source-ledger.tsv	19	SRC-AUTH-0018 LIMEN-000008 authoritative_followup T3_authoritative_source Federal Communications Commission United States en FCC media release high agency_release_summary 2024-08-21 2026-06-07 Regulator	Local row names a concrete official, regulator, institutional, or legal source surface suitable for bounded direct-source review.	Supports only source-surface existence and narrow descriptive posture from the local record, not incident truth, legality, compliance, deployment certainty, prevalence, or ranking.	Carry into reviewed-core triage with bounded wording and keep the local row as provenance anchor.	No reviewed-core promotion needed; this source surface is already linked to LIMEN-AUTH-000008. Keep it as source-lineage/dedupe evidence.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00004	LIMEN-SIGNAL-83E78EA70A6926EB	already_reviewed_core_lineage	closed	linked_existing_reviewed_core	LIMEN-AUTH-000008	SRC-AUTH-0018	FCC media release	10	https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	3	https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	snippet_or_result	source_review_input	docs.fcc.gov	regulator_or_public_authority	official_named_surface	P1_official_or_regulator_review	identity-provenance	voice cloning	/srv/tyche/projects/limen-ai-edge-case-atlas/sources/authoritative-source-ledger.tsv	19	SRC-AUTH-0018 LIMEN-000008 authoritative_followup T3_authoritative_source Federal Communications Commission United States en FCC media release high agency_release_summary 2024-08-21 2026-06-07 Regulator	Local metadata names a concrete official or institutional source surface suitable for bounded source-surface review.	surface existence only; no incident truth, legality, compliance, safety, prevalence, or ranking claim	queue bounded source-surface review	No reviewed-core promotion needed; this source surface is already linked to LIMEN-AUTH-000008. Keep it as source-lineage/dedupe evidence.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00005	LIMEN-SIGNAL-0BD16BC620C2ECA4	already_reviewed_core_lineage	closed	linked_existing_reviewed_core	LIMEN-AUTH-000008	SRC-AUTH-0016	FCC notice of apparent liability	9	https://docs.fcc.gov/public/	2	https://docs.fcc.gov/public/	snippet_or_result	source_review_input	docs.fcc.gov	regulator_or_public_authority	direct_surface_candidate	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/projects/limen-ai-edge-case-atlas/sources/authoritative-source-ledger.tsv	17	SRC-AUTH-0016 LIMEN-000008 authoritative_allegation_stage T3_authoritative_source Federal Communications Commission United States en FCC notice of apparent liability high allegation_stage_document_text_present 2024-05-28 2026-06-07	Names a concrete direct source surface: SRC-AUTH-0016 LIMEN-000008 authoritative_allegation_stage T3_authoritative_source Federal .	Source-surface existence and posture only; no incident truth, legality, compliance, prevalence, or ranking claim.	retain for bounded direct-source surface review	No reviewed-core promotion needed; this source surface is already linked to LIMEN-AUTH-000008. Keep it as source-lineage/dedupe evidence.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00006	LIMEN-SIGNAL-FC9E12190A990592	already_reviewed_core_lineage	closed	linked_existing_reviewed_core	LIMEN-AUTH-000008	SRC-AUTH-0016	FCC notice of apparent liability	9	https://docs.fcc.gov/public/	2	https://docs.fcc.gov/public/	snippet_or_result	source_review_input	docs.fcc.gov	regulator_or_public_authority	direct_source_surface	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/projects/limen-ai-edge-case-atlas/results/paper-snapshot-20260607/sources/authoritative-source-ledger.tsv	17	SRC-AUTH-0016 LIMEN-000008 authoritative_allegation_stage T3_authoritative_source Federal Communications Commission United States en FCC notice of apparent liability high allegation_stage_document_text_present 2024-05-28 2026-06-07	Names a concrete reviewable source surface: Federal Communications Commission notice surface.	source-surface existence only	queue bounded source review	No reviewed-core promotion needed; this source surface is already linked to LIMEN-AUTH-000008. Keep it as source-lineage/dedupe evidence.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00007	LIMEN-SIGNAL-7C4489A741D66AEA	already_reviewed_core_lineage	closed	linked_existing_reviewed_core	LIMEN-000012			8	https://nvd.nist.gov/vuln/detail/CVE-2025-9611	1	https://nvd.nist.gov/vuln/detail/CVE-2025-9611	snippet_or_result	source_review_input	nvd.nist.gov	security_advisory_or_vulnerability	official_direct_surface	P1_official_or_regulator_review	security-agentic	tool misuse	/srv/tyche/projects/limen-ai-edge-case-atlas/results/security/security-agentic-watch-v0.1.tsv	11	LIMEN-000012 CVE-2025-9611 authoritative T3_authoritative_source Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40 LIMEN-S-051 2026-06-07 English Global	Local metadata names a concrete official/regulator/institutional source surface suitable for bounded source-surface review.	Existence of the named source surface only.	Keep for bounded source review.	No reviewed-core promotion needed; this source surface is already linked to LIMEN-000012. Keep it as source-lineage/dedupe evidence.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00008	LIMEN-SIGNAL-E58D1126F0A67B12	already_reviewed_core_lineage	closed	linked_existing_reviewed_core	LIMEN-AUTH-000008	SRC-AUTH-0017	FCC consent-decree order	7	https://docs.fcc.gov/public/attachments/DA-24-790	1	https://docs.fcc.gov/public/attachments/DA-24-790	snippet_or_result	source_review_input	docs.fcc.gov	regulator_or_public_authority	authoritative_order_surface	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/projects/limen-ai-edge-case-atlas/sources/authoritative-source-ledger.tsv	18	SRC-AUTH-0017 LIMEN-000008 authoritative_followup T3_authoritative_source Federal Communications Commission United States en FCC consent-decree order high consent_decree_order_text_present 2024-08-21 2026-06-07	Ledger row names a concrete FCC consent-decree order with a direct docs.fcc.gov URL.	bounded existence of named direct source surface only	pin or carry this named source surface into the next direct-source packet	No reviewed-core promotion needed; this source surface is already linked to LIMEN-AUTH-000008. Keep it as source-lineage/dedupe evidence.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00009	LIMEN-SIGNAL-98AE9E763AD171CE	already_reviewed_core_lineage	closed	linked_existing_reviewed_core	LIMEN-000003			5	https://arxiv.org/abs/2605.18991	1	https://arxiv.org/abs/2605.18991	snippet_or_result	source_review_input	arxiv.org	regulator_or_public_authority	direct_source_surface	P2_article_relevance_review	security-agentic	agent security	/srv/tyche/projects/limen-ai-edge-case-atlas/results/security/security-agentic-scholarly-screening-v0.1.tsv	7	SEC-SCH-006 LIMEN-S-064 Agent Security is a Systems Problem public_scholarly_preprint_text_with_attack_specific_claude_code_section LIMEN-000003 Claude Code; DNS exfiltration; approval boundary; agent systems exact_incident_nar	local metadata names a concrete publication/record surface sufficient for bounded review	existence of named source surface only	queue bounded source-surface review	No reviewed-core promotion needed; this source surface is already linked to LIMEN-000003. Keep it as source-lineage/dedupe evidence.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-00010	LIMEN-SIGNAL-4DB5E3804CD9EF30	already_reviewed_core_lineage	closed	linked_existing_reviewed_core	LIMEN-000004			5	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/2xxx/CVE-2026-2285.json	1	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/2xxx/CVE-2026-2285.json	snippet_or_result	source_review_input	raw.githubusercontent.com	security_advisory_or_vulnerability	authoritative_vulnerability_record	P2_article_relevance_review	security-agentic	tool misuse	/srv/tyche/projects/limen-ai-edge-case-atlas/results/security/security-agentic-watch-v0.1.tsv	5	LIMEN-000004 CVE-2026-2285 authoritative T3_authoritative_source CrewAI JSON loader allowed arbitrary local file read on the server LIMEN-S-009 2026-06-06 English Glo	Local watch row already names an authoritative CVE JSON source surface.	Source-surface existence only.	Queue bounded direct-source review on the named authoritative record.	No reviewed-core promotion needed; this source surface is already linked to LIMEN-000004. Keep it as source-lineage/dedupe evidence.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
