family_id	source_family	priority	saturation_state	dashboard_readiness	authority_profile	language_scope	jurisdiction_scope	evidence_strength_for_claims	next_verification_move	figure1_role	route_rank	thin_family_flag	claim_role_bucket	safe_claim_posture_now	unsafe_overread_to_avoid	exact_upgrade_trigger	negative_evidence_class	best_current_negative_artifact	must_travel_with	dashboard_hook	local_artifact_anchors	provenance_note
sf01	AI Incident Database (AIID)	P0	seeded	grounded_now	Curated incident database with strong discovery/comparison value, but not a final authority for legal status or incident truth	English-facing interface with global incident coverage	Global, multi-jurisdiction	Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims	Verify one snapshot-manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting	maintenance_comparator	13	no	methods_or_comparator_only	Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	Do not treat as final authority on allegation truth, legal status, or completeness. Also keep source-crosswalk ceiling: public comparator with one direct machine-readable page-data route, not yet a bulk/API feed	Verify one snapshot manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting.			results/crosswalks/source-crosswalk-v0.1.tsv ; results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf01 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf01	Source-family saturation map; comparator-overlap panel; interoperability readiness board	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	Grounded in bounded 2026-06-07 local verification of public cite-page and snapshot surfaces; GraphQL POST remained origin-restricted
sf02	OECD AI Incidents Monitor (OECD AIM)	P0	seeded	grounded_now	Official institutional monitor with strong policy-facing authority for public incident indexing and controlled vocabularies, but not itself a final authority on underlying allegations	English-facing interface with international article references and platform vocabularies	Global, multi-jurisdiction	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset	maintenance_comparator	12	no	methods_or_comparator_only	Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	Do not treat as final authority on allegation truth, legal status, or completeness. Also keep source-crosswalk ceiling: public comparator with exact detail-page fields and vocab facets, but reuse/export remains bounded	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset.			results/crosswalks/source-crosswalk-v0.1.tsv ; results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf02 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf02	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	Grounded in 2026-06-07 local detail-page and facet-endpoint checks; page footer still signals OECD rights reservation
sf03	AI Vulnerability Database (AVID)	P0	seeded	grounded_now	High structured technical authority for public AI vulnerability/report metadata when IDs and references are preserved	Primarily English technical reporting	Global	Strong for technical mechanism, vulnerability metadata, and two exact security-row bridges; weak for general incident census or treating placeholder rows as solved joins.	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	maintenance_comparator	9	no	indirect_shared_package_support_only	May support shared package explanation or comparator context, but should not stand alone as a shared empirical claim anchor.	Do not collapse placeholder/context rows into solved joins or complete incident counts. Also keep source-crosswalk ceiling: machine-ready vulnerability/report bridge with permissive structured reuse	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.			results/crosswalks/source-crosswalk-v0.1.tsv ; results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf03 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf03	Security-edge-case bridge; technique/report join board; reviewer-safe machine-readable sample appendix	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	Grounded in 2026-06-08 bounded live crosswalk/security-package verification of two exact AVID joins plus previously confirmed MIT license
sf04	MITRE ATLAS	P0	seeded	grounded_now	High structured authority for adversarial-ML and agentic-security techniques, mitigations, and case-study relations	English technical/security knowledge base	Global	Strong for security-technique structure, mitigation framing, and operational technique-context joins; weak for non-security completeness or direct case-study equivalence claims.	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	maintenance_comparator	8	no	indirect_shared_package_support_only	May support shared package explanation or comparator context, but should not stand alone as a shared empirical claim anchor.	Do not claim ATLAS case-study equivalence where only technique context exists. Also keep source-crosswalk ceiling: machine-ready security graph bridge for techniques/mitigations/case studies	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.			results/crosswalks/source-crosswalk-v0.1.tsv ; results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf04 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf04	Security/agentic crosswalk; mitigation graph; attack-pattern overlay	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv	Grounded in prior bounded local parse of distributed ATLAS YAML and current crosswalk references
sf05	MIT AI Risk Repository	P0	seeded	grounded_now	Secondary but important structured authority for risk and harm definitions; not an incident-truth source	English-facing taxonomy surface	Global / framework-defined	Strong for methods, taxonomy, and harm-definition claims; invalid as event evidence	Extract one compact manual risk-category bridge for the most used LIMEN harm labels before any stronger comparative language	maintenance_comparator	10	no	methods_or_comparator_only	Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	Do not use as event evidence. Also keep source-crosswalk ceiling: licensed risk-definition/taxonomy bridge, not a verified anonymous bulk-record feed	Extract one compact manual risk-category bridge for the most used LIMEN harm labels before any stronger comparative language.			results/crosswalks/source-crosswalk-v0.1.tsv ; results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf05 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf05	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; methods/crosswalk-method-note-v0.1.md	Grounded in 2026-06-07 homepage-level verification including a visible CC BY 4.0 publishing-principles signal
sf06	CSET AI Harm taxonomy / overview	P1	seeded	grounded_now	Secondary conceptual authority for harm framing and related-work comparison, but not machine-ready incident evidence	English	Global / conceptual	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed	route_a_guardrail	5	no	methods_or_comparator_only	Use only for methods, taxonomy, comparator, or related-work framing; not a shared empirical claim family now.	Do not present as ingest-ready row-level evidence. Also keep source-crosswalk ceiling: conceptual harm bridge for manual mapping, not a machine-ingest source	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.			results/crosswalks/source-crosswalk-v0.1.tsv ; results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf06 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf06 ; results/boost/limen-boost-037/source-family-route-impact-matrix.tsv	Harm-taxonomy note; conceptual-support panel; related-work table	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/cset-harm-bridge.tsv; results/boost/limen-boost-002/cset-coding-rules.tsv; methods/crosswalk-method-note-v0.1.md	Grounded in 2026-06-07 public article retrieval, exact public PDF/README anchors, and local manual bridge/coding-rule artifacts; reuse remains citation/manual only
sf07	Regulator and enforcement sources	P0	seeded	grounded_now	High authority for official actions, allegations, orders, fines, guidance, and procedural posture within issuing jurisdiction	Multilingual depending on regulator	Jurisdiction-specific; collectively global	Best current family for upgrading weak media or company claims into paper-grade bounded statements	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate	supporting_empirical_or_discovery_layer	6	no	direct_shared_claim_anchor	May support bounded shared empirical claims when exact cited source limits remain attached.	Do not generalize beyond the issuing authority text or jurisdictional scope.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.			results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf07 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf07 ; results/source-map/source-family-shared-claim-coverage-matrix-v0.1.tsv:sf07	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/status.md	Grounded in local authoritative ledger rows with explicit posture and provenance controls; 2026-06-07 promotion added two settled SEC order exemplars from the previously shard-local AI-washing package
sf08	Court and tribunal records	P0	seeded	grounded_now	Highest authority for filings, judgments, consent decrees, and procedural posture when records are official and public	Highly multilingual	Jurisdiction-specific	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin	Reopen only if one genuinely different public court-facing/open-mirror route or materially different OCR source appears; otherwise keep the blocker explicit and count the negative result as stable methods evidence.	route_b_blocker	1	yes	direct_shared_claim_anchor	May support bounded shared empirical claims when exact cited source limits remain attached.	Do not treat EEOC/DOJ summary pages, reachable PACER/iQuery shells, or blocked CourtListener access as court-text substitutes or as proof that no public court record exists.	One genuinely different public court-facing or clearly labeled open-mirror complaint/decree/docket/order text for LIMEN-000002, or one materially different OCR/public-caption source that stabilizes LIMEN-000005 exact caption metadata.	caption_normalization_failure_on_captured_document	results/authoritative-scout/nate-case-number-ocr-stress-test-v0.1.tsv ; results/boost/limen-boost-025/source-family-blocker-observatory-cells.tsv	results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf08 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf08 ; results/boost/limen-boost-037/source-family-route-impact-matrix.tsv ; results/boost/limen-boost-037/source-family-threshold-register.tsv ; results/boost/limen-boost-037/source-family-negative-evidence-register.tsv ; results/boost/limen-boost-049/source-family-front-door-bundle.tsv ; results/source-map/source-family-publication-gate-board-v0.1.tsv:SFG-001 ; results/authoritative-scout/court-anchor-progress-matrix-v0.1.tsv ; results/boost/limen-boost-049/source-host-friction-matrix.tsv ; results/boost/limen-boost-025/source-family-blocker-observatory-cells.tsv:SFOC-025-001..002	Regulator-to-court escalation matrix; procedural-posture timeline	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/ocr-readiness-matrix-v0.1.tsv; results/authoritative-scout/status.md; results/boost/limen-regulator-cour... [truncated]	
sf09	Public-sector registers and procurement	P1	seeded	grounded_now	Medium-to-high authority for what a public body disclosed or procured; weak for deployment impact, legality, or efficacy unless corroborated	Often local-language first	Country, regional, and municipal public-sector jurisdictions	Strong for disclosure-surface heterogeneity and public-body-existence claims; still weak for buyer-side traceability, capability, legality, or impact claims	Prefer Amsterdam only where a genuinely different static official route is plausible; otherwise freeze Helsinki unless a page-specific companion appears first.	route_b_blocker	2	yes	direct_shared_claim_anchor	May support bounded shared empirical claims when exact cited source limits remain attached.	Do not count governance fields, same-buyer procurement continuity, or repeated municipal search-shell reachability as exact row-linked buyer-side proof.	One static official buyer-side tender/award/contract/DPIA/impact-assessment companion tied directly to Amsterdam, or one page-specific Helsinki companion explicitly tied to the parking-chatbot row.	family_level_procurement_continuity_without_page_specific_companion	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv	results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf09 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf09 ; results/boost/limen-boost-037/source-family-route-impact-matrix.tsv ; results/boost/limen-boost-037/source-family-threshold-register.tsv ; results/boost/limen-boost-037/source-family-negative-evidence-register.tsv ; results/boost/limen-boost-049/source-family-front-door-bundle.tsv ; results/source-map/source-family-publication-gate-board-v0.1.tsv:SFG-002 ; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv ; results/boost/limen-boost-006/buyer-side-trace-audit.tsv ; results/boost/limen-boost-025/source-family-blocker-observatory-cells.tsv:SFOC-025-003..004	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel	results/boost/limen-continuous-experiments/public-sector-disclosure-field-completeness-v0.1.tsv; results/boost/limen-continuous-experiments/orion-disclosure-schema-probe-v0.1.tsv; results/boost/limen-boost-006/comparator-freeze-matrix.tsv; results/dashboard-paper/public-sector-disclosure-asymmetry-v0.1.md	Grounded in 2026-06-07 Dutch and Hels... [truncated]
sf10	Company and platform notices	P1	seeded	grounded_now	Primary only for what the issuer disclosed; self-interested and incomplete for broader truth claims	Mostly English with some localized notices	Global firm/platform scope	Useful for timing and remediation claims; should rarely stand alone for incident characterization	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction	supporting_empirical_or_discovery_layer	11	no	indirect_shared_package_support_only	May support shared package explanation or comparator context, but should not stand alone as a shared empirical claim anchor.	Do not rely on issuer notices alone for full incident characterization.	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction.			results/source-map/source-family-evidence-policy-matrix-v0.1.tsv:sf10 ; results/source-map/source-family-claim-coverage-v0.1.tsv:sf10	Remediation timeline overlay; issuer-vs-independent-source comparison table	sources/issuer-notice-ledger.tsv; results/boost/limen-boost-004/notice-verification.tsv; results/security/security-agentic-mitigation-visibility-v0.1.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv	Grounded in public GitHub advisories/issues, release-note metadata, and CERT/CC-linked coordination evidence already normalized locally
