packet_id	source_lane	signal_id	queue_id	review_status	promotion_readiness	reviewed_core_posture	obscure_ai_posture	dedupe_status	source_cluster_key	cluster_size	source_url_or_locator	normalized_source_url	source_host	source_name	language_reviewed	review_priority	shards	queries	hardening_gate	hardening_priority	source_path	source_line	title_or_snippet	claim_ceiling	next_action	required_before_reviewed_core	required_before_obscure_ai	forbidden_overread
RCPP-00001	bulk_parent_source_extraction	LIMEN-SIGNAL-19C6C72147492591	BPSE-00024	source_url_extracted	duplicate_existing_reviewed_core	do_not_promote_duplicate	do_not_add_duplicate	exact_reviewed_core_url_match	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	7	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	corteconstitucional.gov.co	T-323/24 / Corte Constitucional de Colombia		P1_official_or_regulator_review	legal-research	court AI			/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/site/gaia-agent-atlas/public/data/foreign-language-digest.json	8367	Foreign-language digest preserves original court URL for the PretorIA row.	source posture only; translation human-review needed, no legal/compliance finding	Open bounded direct source review with Spanish/human-review gate.	Already represented by LIMEN-WEB3-037: Colombian Constitutional Court T-323/24 reviews judicial ChatGPT use and due-process criteria	Do not add to ObscureAI; preserve as source-lineage/dedupe evidence only.	Packet row only; no reviewed-core promotion, ObscureAI addition, incident truth, legal finding, safety finding, compliance finding, prevalence, or ranking claim.
RCPP-00002	bulk_translation_parent_source_extraction	LIMEN-SIGNAL-0FA568E29D79A38A	BTPS-00006	source_url_extracted	duplicate_existing_reviewed_core	do_not_promote_duplicate	do_not_add_duplicate	exact_reviewed_core_url_match	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	7	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	corteconstitucional.gov.co	Colombian Constitutional Court		P1_official_or_regulator_review	legal-research	court AI			/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json	8702	Local digest object line 8733 gives original judgment URL; human review remains needed.	candidate public source context only; no legal conclusion or promoted case claim	extract original Spanish judgment/source passage and review before parent-source use	Already represented by LIMEN-WEB3-037: Colombian Constitutional Court T-323/24 reviews judicial ChatGPT use and due-process criteria	Do not add to ObscureAI; preserve as source-lineage/dedupe evidence only.	Packet row only; no reviewed-core promotion, ObscureAI addition, incident truth, legal finding, safety finding, compliance finding, prevalence, or ranking claim.
RCPP-00003	bulk_translation_parent_source_extraction	LIMEN-SIGNAL-3DE3A550596A3811	BTPS-00013	source_url_extracted	duplicate_existing_reviewed_core	do_not_promote_duplicate	do_not_add_duplicate	exact_reviewed_core_url_match	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	7	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	corteconstitucional.gov.co	Colombian Constitutional Court		P1_official_or_regulator_review	legal-research	court AI			/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	8702	Local digest object line 8733 gives original judgment URL; Spanish verification caveat retained.	Candidate source-level court-AI surface only; no legal holding, due-process finding, deployment status, or promotion claim.	Extract as parent/source candidate with Spanish original-language verification and explicit citation caveat.	Already represented by LIMEN-WEB3-037: Colombian Constitutional Court T-323/24 reviews judicial ChatGPT use and due-process criteria	Do not add to ObscureAI; preserve as source-lineage/dedupe evidence only.	Packet row only; no reviewed-core promotion, ObscureAI addition, incident truth, legal finding, safety finding, compliance finding, prevalence, or ranking claim.
RCPP-00004	bulk_translation_parent_source_extraction	LIMEN-SIGNAL-52A8DA87885822CC	BTPS-00017	source_url_extracted	duplicate_existing_reviewed_core	do_not_promote_duplicate	do_not_add_duplicate	exact_reviewed_core_url_match	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	7	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	corteconstitucional.gov.co	T-323/24 — Colombian Constitutional Court		P1_official_or_regulator_review	legal-research	court AI			/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	8739	Local digest object names T-323/24 and explicit court URL; translation_status human_review_needed.	Concrete source-surface candidate only; no legal, due-process, compliance, or incident truth claim from translation.	Extract and human-review original Spanish parent source before any case-level use.	Already represented by LIMEN-WEB3-037: Colombian Constitutional Court T-323/24 reviews judicial ChatGPT use and due-process criteria	Do not add to ObscureAI; preserve as source-lineage/dedupe evidence only.	Packet row only; no reviewed-core promotion, ObscureAI addition, incident truth, legal finding, safety finding, compliance finding, prevalence, or ranking claim.
RCPP-00005	bulk_translation_parent_source_extraction	LIMEN-SIGNAL-A57C9EC8F4FDD87B	BTPS-00032	source_url_extracted	duplicate_existing_reviewed_core	do_not_promote_duplicate	do_not_add_duplicate	exact_reviewed_core_url_match	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	7	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	corteconstitucional.gov.co	T-323/24 — Colombian Constitutional Court		P1_official_or_regulator_review	legal-research	court AI			/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1516EEST/daily/gaia-foreign-language-digest-latest.json	8739	Local digest object repeats T-323/24 and explicit court URL; translation-mediated evidence only.	direct source-surface candidate only; no legal, safety, compliance, or incident finding	if used, extract from the original Spanish court source or local snapshot with human translation review	Already represented by LIMEN-WEB3-037: Colombian Constitutional Court T-323/24 reviews judicial ChatGPT use and due-process criteria	Do not add to ObscureAI; preserve as source-lineage/dedupe evidence only.	Packet row only; no reviewed-core promotion, ObscureAI addition, incident truth, legal finding, safety finding, compliance finding, prevalence, or ranking claim.
RCPP-00006	bulk_translation_source_review	LIMEN-SIGNAL-2356D1EC57985A81	BTR-00049	translation_source_reviewed	duplicate_existing_reviewed_core	do_not_promote_duplicate	do_not_add_duplicate	exact_reviewed_core_url_match	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	7	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	corteconstitucional.gov.co	T-323/24 - Corte Constitucional de Colombia	es local metadata plus quote-safe paraphrase	P1_official_or_regulator_review	legal-research	court AI			/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	8407	Spanish official-court surface is locally captured with archive hash and human-review-needed flag; it names PretorIA but remains translation-bounded.	source-surface/context only; no legal finding or reviewed-core promotion	extract parent source only after original-language citation check	Already represented by LIMEN-WEB3-037: Colombian Constitutional Court T-323/24 reviews judicial ChatGPT use and due-process criteria	Do not add to ObscureAI; preserve as source-lineage/dedupe evidence only.	Packet row only; no reviewed-core promotion, ObscureAI addition, incident truth, legal finding, safety finding, compliance finding, prevalence, or ranking claim.
RCPP-00007	bulk_translation_source_review	LIMEN-SIGNAL-6527CA713338FAA8	BTR-00133	translation_source_reviewed	duplicate_existing_reviewed_core	do_not_promote_duplicate	do_not_add_duplicate	exact_reviewed_core_url_match	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	7	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	https://corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	corteconstitucional.gov.co	T-323/24	es	P1_official_or_regulator_review	legal-research	court AI			/srv/tyche/gaia/tyche-research-vault/sites/gaia-agent-atlas/public/downloads/gaia-agent-atlas-source-documents-v0.1.csv	10	Local Spanish-source metadata names an official Colombian court judgment discussing judicial generative AI use and PretorIA, with human review still needed.	translation-safe source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Route to Spanish-aware source extraction before any legal or case-level claim.	Already represented by LIMEN-WEB3-037: Colombian Constitutional Court T-323/24 reviews judicial ChatGPT use and due-process criteria	Do not add to ObscureAI; preserve as source-lineage/dedupe evidence only.	Packet row only; no reviewed-core promotion, ObscureAI addition, incident truth, legal finding, safety finding, compliance finding, prevalence, or ranking claim.
RCPP-00008	bulk_parent_source_extraction	LIMEN-SIGNAL-676F1390E18321D1	BPSE-00652	source_url_extracted	duplicate_existing_reviewed_core	do_not_promote_duplicate	do_not_add_duplicate	exact_reviewed_core_url_match	https://crfm.stanford.edu/2023/03/13/alpaca.html	1	https://crfm.stanford.edu/2023/03/13/alpaca.html	https://crfm.stanford.edu/2023/03/13/alpaca.html	crfm.stanford.edu	Stanford CRFM Alpaca page		P2_article_relevance_review	legal-research	retraction			/srv/tyche/gaia/tyche-research-vault/notes/session-resume-2026-05-23-evening.md	87	Session note names Stanford Alpaca; local Nekropolis SOURCES ledger gives the CRFM public page URL.	source-near demo-lifecycle/access-discontinuation surface only	review Stanford CRFM page as direct source if still needed	Already represented by LIMEN-WEB5-001: Stanford CRFM disabled Alpaca public demo citing hosting costs and inadequate content filters	Do not add to ObscureAI; preserve as source-lineage/dedupe evidence only.	Packet row only; no reviewed-core promotion, ObscureAI addition, incident truth, legal finding, safety finding, compliance finding, prevalence, or ranking claim.
RCPP-00009	bulk_named_source_autoresolve	LIMEN-SIGNAL-557B7A504A13D153		url_found_near_source_line	duplicate_existing_reviewed_core	do_not_promote_duplicate	do_not_add_duplicate	exact_reviewed_core_url_match	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	6	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	raw.githubusercontent.com	raw.githubusercontent.com		P2_article_relevance_review	security-agentic	tool misuse			/srv/tyche/projects/limen-ai-edge-case-atlas/data/cases/security-agentic-candidates.jsonl	4	Case metadata cites a vulnerability topic, but the named advisory/CVE source surface is not extracted here.	do not promote until a named direct source surface is extracted	extract named direct source from local pack/metadata	Already represented by LIMEN-000001: Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	Do not add to ObscureAI; preserve as source-lineage/dedupe evidence only.	Packet row only; no reviewed-core promotion, ObscureAI addition, incident truth, legal finding, safety finding, compliance finding, prevalence, or ranking claim.
RCPP-00010	bulk_named_source_autoresolve	LIMEN-SIGNAL-7F092CE0E978C0CE		url_found_near_source_line	duplicate_existing_reviewed_core	do_not_promote_duplicate	do_not_add_duplicate	exact_reviewed_core_url_match	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	6	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	raw.githubusercontent.com	raw.githubusercontent.com		P2_article_relevance_review	security-agentic	memory poisoning			/srv/tyche/projects/limen-ai-edge-case-atlas/data/cases/security-agentic-candidates.jsonl	8	Case metadata cites public CVE/vendor advisory only indirectly; the named source surface is not isolated here.	underlying named source still unresolved.	extract named source from local artifact	Already represented by LIMEN-000001: Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	Do not add to ObscureAI; preserve as source-lineage/dedupe evidence only.	Packet row only; no reviewed-core promotion, ObscureAI addition, incident truth, legal finding, safety finding, compliance finding, prevalence, or ranking claim.
RCPP-00011	bulk_named_source_autoresolve	LIMEN-SIGNAL-CF96AEE44C7F9F6E		url_found_near_source_line	duplicate_existing_reviewed_core	do_not_promote_duplicate	do_not_add_duplicate	exact_reviewed_core_url_match	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	6	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	raw.githubusercontent.com	raw.githubusercontent.com		P2_article_relevance_review	security-agentic	prompt injection			/srv/tyche/projects/limen-ai-edge-case-atlas/data/cases/security-agentic-candidates.jsonl	8	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	source-surface existence only from local metadata/files	extract the named source surface from local materials	Already represented by LIMEN-000001: Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	Do not add to ObscureAI; preserve as source-lineage/dedupe evidence only.	Packet row only; no reviewed-core promotion, ObscureAI addition, incident truth, legal finding, safety finding, compliance finding, prevalence, or ranking claim.
RCPP-00012	bulk_named_source_autoresolve	LIMEN-SIGNAL-EC4517656B2D9AFC		url_found_near_source_line	duplicate_existing_reviewed_core	do_not_promote_duplicate	do_not_add_duplicate	exact_reviewed_core_url_match	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	6	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	raw.githubusercontent.com	raw.githubusercontent.com		P2_article_relevance_review	security-agentic	prompt injection			/srv/tyche/projects/limen-ai-edge-case-atlas/data/cases/security-agentic-candidates.jsonl	3	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	source-surface existence only from local metadata/files	extract the named source surface from local materials	Already represented by LIMEN-000001: Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	Do not add to ObscureAI; preserve as source-lineage/dedupe evidence only.	Packet row only; no reviewed-core promotion, ObscureAI addition, incident truth, legal finding, safety finding, compliance finding, prevalence, or ranking claim.
RCPP-00013	bulk_named_source_autoresolve	LIMEN-SIGNAL-ED274B27F662A033		url_found_near_source_line	duplicate_existing_reviewed_core	do_not_promote_duplicate	do_not_add_duplicate	exact_reviewed_core_url_match	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	6	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2023/37xxx/CVE-2023-37274.json	raw.githubusercontent.com	raw.githubusercontent.com		P2_article_relevance_review	security-agentic	tool misuse			/srv/tyche/projects/limen-ai-edge-case-atlas/data/cases/security-agentic-candidates.jsonl	7	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	source-surface existence only from local metadata/files	extract the named source surface from local materials	Already represented by LIMEN-000001: Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	Do not add to ObscureAI; preserve as source-lineage/dedupe evidence only.	Packet row only; no reviewed-core promotion, ObscureAI addition, incident truth, legal finding, safety finding, compliance finding, prevalence, or ranking claim.
