dashboard_view	row_key	source_id_or_path	access_date	rights_terms_note	language	jurisdiction	join_confidence	rollup_policy	human_review_needed	join_basis	dashboard_source_path	public_dashboard_action	claim_ceiling
source_family_saturation	sf01	results/crosswalks/source-crosswalk-v0.1.tsv	2026-06-08	Do not mirror weekly snapshots or automate bulk pulls until snapshot semantics and rate/terms posture are documented.	English-facing interface with global incident coverage.	Global, multi-jurisdiction.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
source_family_saturation	sf02	results/crosswalks/source-crosswalk-v0.1.tsv	2026-06-08	Keep use metadata-first and citation-oriented until list/detail discovery mechanics and rights posture are documented more fully.	English-facing interface with international article references and platform vocabularies.	Global, multi-jurisdiction.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
source_family_saturation	sf03	results/crosswalks/source-crosswalk-v0.1.tsv	2026-06-08	MIT-licensed structured metadata lowers reuse friction, but import should stay bounded to IDs, dates, metrics, references, and linked report/vulnerability objects.	Primarily English technical reporting.	Global.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
source_family_saturation	sf04	results/crosswalks/source-crosswalk-v0.1.tsv	2026-06-08	Apache-2.0 lowers reuse friction for technique/mitigation/case-study metadata; do not overstate case studies as exhaustive incident coverage.	English technical/security knowledge base.	Global.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
source_family_saturation	sf05	results/crosswalks/source-crosswalk-v0.1.tsv	2026-06-08	Use as attributed taxonomy/definition layer only; verified Google Sheets workbook export allows bounded structured tab/slice reuse, but mirror-specific access and row-level event equivalence claims remain out of scope.	English-facing taxonomy surface.	Global / framework-defined.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
source_family_saturation	sf06	results/crosswalks/source-crosswalk-v0.1.tsv	2026-06-08	Use citation/manual mapping only; no explicit open machine-reuse grant or row-level public dataset route was verified locally.	English.	Global / conceptual.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
source_family_saturation	sf07	sources/authoritative-source-ledger.tsv	2026-06-08	Public-document use only; preserve original-language nuance and narrow posture-based wording.	Multilingual depending on regulator.	Jurisdiction-specific; collectively global.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
source_family_saturation	sf08	sources/authoritative-source-ledger.tsv	2026-06-08	Respect access limits; no scraping behind logins, paywalls, sealed, or private attachments.	Highly multilingual.	Jurisdiction-specific.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
source_family_saturation	sf09	results/source-map/source-family-sf09-official-route-no-yield-audit-v0.1.tsv	2026-06-08	Metadata-first extraction; do not infer deployment, legality, or AI capability beyond source text.	Often local-language first.	Country, regional, and municipal public-sector jurisdictions.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
source_family_saturation	sf10	sources/issuer-notice-ledger.tsv	2026-06-08	Public notices only; no private support content or hidden dashboards.	Mostly English with some localized notices.	Global firm/platform scope.	family_ledger_exact_id_not_row_source	family_rollup_not_single_source	yes_before_row_level_badges	family_id exact match to sources/source-family-ledger.tsv; access_date derived from last_checked_utc, not individual source access date	results/dashboard/source-family-coverage.tsv	show_family_level_reuse_note_only_block_per_source_badges	provenance-label discipline only; not completeness/prevalence/legal-compliance/safety/deployment/country-ranking/source-truth
