signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-5CCF11F9E80E2E89	source_reviewed_candidate	direct_source_surface	AESIA guides seed names a bounded official sandbox-guidance surface.	surface existence only	queue bounded source review	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/seeds/hermes-v02-expansion-seeds.json
LIMEN-SIGNAL-5CD08CA4B558561D	source_reviewed_candidate	direct_source_surface	African Union Data Policy Framework is a named official source surface.	surface existence only	queue bounded source review	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-history.jsonl
LIMEN-SIGNAL-5CD0ADD66B596EFE	merge_existing_surface	existing_modeled_surface	Dutch Algorithm Register sample already points to a modeled local register surface.	dedupe only; no new surface claim	link to existing modeled surface	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-015/normalized-long-export-pilot-v0.1.csv
LIMEN-SIGNAL-5CE10D6BF402ADEE	reject_noise	internal_or_derived_artifact	Scholarly index row, not a direct official source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-5CE2327C75256FD0	negative_evidence_candidate	negative_evidence_surface	Country matrix row records no confirmed algorithm register and related gaps.	absence finding only	queue bounded negative-source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-5CE3019F4D94931C	reject_noise	internal_or_derived_artifact	Internal journal note, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/journal.md
LIMEN-SIGNAL-5CEA3ADB56386ABF	needs_named_source_extraction	source_pack_wrapper	Gap-sprint source list names a source class but no bounded named surface.	named surface not yet extracted	extract exact named source from local wrapper	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/v02-gap-sprint.json
LIMEN-SIGNAL-5CF2BC323E87D5F2	reject_noise	internal_or_derived_artifact	Project README, not a reviewable source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/projects/public-ai-registry/data/README.md
LIMEN-SIGNAL-5CF33559B9F459E8	negative_evidence_candidate	negative_evidence_surface	Confidence-change row records only weak negative sandbox evidence.	absence finding only	queue bounded negative-source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-5CFAAB60EAC7BC6A	negative_evidence_candidate	negative_evidence_surface	Hardening summary row records missing official register and related evidence.	absence finding only	queue bounded negative-source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_HARDENING_SUMMARY.csv
LIMEN-SIGNAL-5CFB133E5947A8C2	merge_existing_surface	existing_modeled_surface	Helsinki AI Register sample already points to a modeled local register surface.	dedupe only; no new surface claim	link to existing modeled surface	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-015/normalized-long-export-pilot-v0.1.csv
LIMEN-SIGNAL-5CFE2471531C5C2C	negative_evidence_candidate	negative_evidence_surface	Targeted public checks did not verify any sandbox in this row.	absence finding only	queue bounded negative-source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-5D074BDACB9FFC71	needs_named_source_extraction	source_pack_wrapper	Claim-support digest points to package artifacts but not one named source surface.	named surface not yet extracted	extract exact named source from local wrapper	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192929Z/claim-support-digest.csv
LIMEN-SIGNAL-5D0C5D5B46D5A79D	reject_noise	internal_or_derived_artifact	Journal-targeting note, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/journal-targeting-matrix-2026-05-21.md
LIMEN-SIGNAL-5D13539E195B7BAB	reject_noise	internal_or_derived_artifact	Backup Python file text, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/hermes_patent_power_lane.py.partial-proxy-20260530T140843Z.bak
LIMEN-SIGNAL-5D13A93D49806E62	negative_evidence_candidate	negative_evidence_surface	World matrix row records no public algorithm register and related gaps.	absence finding only	queue bounded negative-source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-5D18C10F95A2C324	merge_existing_surface	existing_modeled_surface	Helsinki registry gap-map row duplicates an already modeled local register surface.	dedupe only; no new surface claim	link to existing modeled surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-gap-map-v0.2.csv
LIMEN-SIGNAL-5D20A11F54F2346D	reject_noise	internal_or_derived_artifact	Semantic-links row cites a scholarly DOI, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/country-readiness/pallas-country-ai-readiness-semantic-links-v0.2.jsonl
LIMEN-SIGNAL-5D22162F32450A7A	negative_evidence_candidate	negative_evidence_surface	Official-portal checks in this row did not verify a public algorithm register.	absence finding only	queue bounded negative-source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_15_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-5D2668A970899D73	merge_existing_surface	existing_modeled_surface	Netherlands Algorithm Register is already modeled locally.	dedupe only; no new surface claim	link to existing modeled surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/sandboxes-cases-latest.jsonl
LIMEN-SIGNAL-5D28A9475A0C7D09	reject_noise	internal_or_derived_artifact	Project claims note, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/projects/public-ai-registry/claims.md
LIMEN-SIGNAL-5D2F627C26EFDBCF	reject_noise	internal_or_derived_artifact	Internal claims bundle, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/trace-x/CLAIMS.md
LIMEN-SIGNAL-5D3124D82DE70BF4	needs_named_source_extraction	source_pack_wrapper	Claim-support digest wraps package evidence rather than one bounded source surface.	named surface not yet extracted	extract exact named source from local wrapper	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-cross-20260605T192929Z/claim-support-digest.csv
LIMEN-SIGNAL-5D318C80AEDB823A	reject_noise	internal_or_derived_artifact	Caption sidecar assignment note, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-105/caption-sidecar.json
LIMEN-SIGNAL-5D3560F194C74E7C	needs_named_source_extraction	source_pack_wrapper	Summary row points toward CNPD and LIST sources but does not isolate one named surface.	named surface not yet extracted	extract exact named source from local wrapper	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-5D367A2FE8E44E78	reject_noise	internal_or_derived_artifact	Research-queue prompt, not a named source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-5D3B906FBED64ADC	merge_existing_surface	existing_modeled_surface	Helsinki export row duplicates an already modeled local register surface.	dedupe only; no new surface claim	link to existing modeled surface	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/eu-agent-atlas-v0.1/exports/eu-agent-atlas-v0.1.csv
LIMEN-SIGNAL-5D3ECAA70E208BD9	reject_noise	internal_or_derived_artifact	Paper-draft prose, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-count-consistency-20260519T174226Z.md
LIMEN-SIGNAL-5D4201FB70AE8146	reject_noise	internal_or_derived_artifact	Claims JSON prose, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/claims.json
LIMEN-SIGNAL-5D426A7603870626	negative_evidence_candidate	negative_evidence_surface	Weak-source warning row records no dedicated AI register or related sources.	absence finding only	queue bounded negative-source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-5D429A868D1AC2F3	reject_noise	internal_or_derived_artifact	Scholarly index row, not a direct official source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/spanish-portuguese-language-history.jsonl
LIMEN-SIGNAL-5D48E797BA68F84C	reject_noise	internal_or_derived_artifact	Paper-readiness planning note, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/paper-readiness-v0.2.md
LIMEN-SIGNAL-5D4BB2CBA17520FC	reject_noise	internal_or_derived_artifact	External-index error row, not a source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/russian-language-history.jsonl
LIMEN-SIGNAL-5D4D4E2497CFBDCB	reject_noise	internal_or_derived_artifact	Preprint prose, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/03-theexperiment-method/paper/venue/theexperiment-data-policy-preprint.md
LIMEN-SIGNAL-5D4D6F2DAD2C4D1D	reject_noise	internal_or_derived_artifact	App label/config text, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-5D4E97E0F42A90E4	source_reviewed_candidate	direct_source_surface	Latvijas Banka regulatory sandbox portal is a bounded official source surface.	surface existence only	queue bounded source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_11_SOURCE_REFRESH.csv
LIMEN-SIGNAL-5D512802E677DEF7	reject_noise	internal_or_derived_artifact	Internal source-family consolidation note, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/projects/public-ai-procurement-gap/results/boost/public-ai-procurement-gap-boost-007/dutch-algorithm-register-source-family-v0.1.json
LIMEN-SIGNAL-5D5ADDDD735EAF71	reject_noise	internal_or_derived_artifact	Program summary prose, not a direct source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_GRAND_PROGRAM_RESULTS.md
LIMEN-SIGNAL-5D63CD5514CCB9F7	reject_noise	internal_or_derived_artifact	Prior batch input row is queue plumbing, not a source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/source-review-batches/20260614T0830Z/source-review-input.tsv
LIMEN-SIGNAL-5D64106AE645D089	reject_noise	internal_or_derived_artifact	Prior batch input row is queue plumbing, not a source surface.	none; derived artifact only	drop from direct-source queue	/srv/tyche/projects/limen-ai-edge-case-atlas/results/review-candidates/source-review-batches/20260614T0830Z/source-review-input.tsv
LIMEN-SIGNAL-5D688FF2DC5DA731	needs_named_source_extraction	source_pack_wrapper	Hardening summary mentions refreshed source rows but no exact named surface.	named surface not yet extracted	extract exact named source from local wrapper	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_11_HARDENING_SUMMARY.csv
