as_of_utc	family_id	source_family	priority	route_rank	figure1_role	thin_family_flag	authority_band	coverage_breadth_band	reuse_friction_band	update_cadence_band	language_signal	jurisdiction_signal	saturation_state	dashboard_readiness	publication_route_priority_note	exact_upgrade_trigger	paper_safe_claim_now	figure_caption_note	dashboard_hook
2026-06-07T23:27:09Z	sf01	AI Incident Database (AIID)	P0	13	maintenance_comparator	no	secondary_or_low	global_english_led	bounded_or_manual_reuse	continuous_or_rolling	english_led	global	seeded	grounded_now	maintain_current_bounded_use	Verify one snapshot manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting.	Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims.	Show as a maintained comparator/control surface; do not imply current backlog priority from seeded status alone.	Source-family saturation map; comparator-overlap panel; interoperability readiness board.
2026-06-07T23:27:09Z	sf02	OECD AI Incidents Monitor (OECD AIM)	P0	12	maintenance_comparator	no	high_or_official	global_english_led	bounded_or_manual_reuse	continuous_or_rolling	english_led	global	seeded	grounded_now	maintain_current_bounded_use	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset.	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims.	Show as a maintained comparator/control surface; do not imply current backlog priority from seeded status alone.	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board.
2026-06-08T10:58:00Z	sf03	AI Vulnerability Database (AVID)	P0	9	maintenance_comparator	no	secondary_or_low	global_english_led	structured_open_reuse	continuous_or_rolling	english_led	global	seeded	grounded_now	hold_as_reviewer_safe_control_surface	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Strong for technical mechanism, vulnerability metadata, and two exact security-row bridges; weak for general incident census or treating placeholder rows as solved joins.	Show as a maintained comparator/control surface; do not imply current backlog priority from seeded status alone.	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.
2026-06-07T23:27:09Z	sf04	MITRE ATLAS	P0	8	maintenance_comparator	no	secondary_or_low	global_english_led	bounded_or_manual_reuse	periodic	english_led	global	seeded	grounded_now	hold_as_reviewer_safe_control_surface	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Strong for security-technique structure, mitigation framing, and operational technique-context joins; weak for non-security completeness or direct case-study equivalence claims.	Show as a maintained comparator/control surface; do not imply current backlog priority from seeded status alone.	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.
2026-06-08T15:58:24Z	sf05	MIT AI Risk Repository	P0	10	maintenance_comparator	no	medium_to_high	global_english_led	bounded_or_manual_reuse	periodic	english_led	global	seeded	grounded_now	maintain_current_bounded_use_with_verified_workbook_export	Import one deliberately tiny MIT AI Risk workbook tab or taxonomy slice with explicit provenance, sheet naming, and CC BY note; keep SharePoint-gated mirror asymmetry and row-level incident non-equivalence explicit.	Strong for methods, taxonomy, and harm-definition claims; now also supports a bounded structured workbook/taxonomy overlay description, but remains invalid as event evidence.	Show as a maintained comparator/control surface with a verified workbook-export route; do not imply event authority, backlog priority, or blanket mirroring permission from seeded status alone.	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators; workbook-route readiness note.
2026-06-07T23:27:09Z	sf06	CSET AI Harm taxonomy / overview	P1	5	route_a_guardrail	no	secondary_or_low	global_english_led	bounded_or_manual_reuse	irregular_or_event_driven	english_led	global	seeded	grounded_now	appendix_only_freeze_priority	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator.	Show as a methods/limitations support family, not as missing empirical event coverage.	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.
2026-06-07T23:27:09Z	sf07	Regulator and enforcement sources	P0	6	supporting_empirical_or_discovery_layer	no	high_or_official	global_multilingual	public_document_reuse	irregular_or_event_driven	multilingual	global	seeded	grounded_now	maintain_current_bounded_use	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Best current family for upgrading weak media or company claims into paper-grade bounded statements.	Show as a supporting empirical/discovery layer with bounded claim ceilings and family-specific authority notes.	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.
2026-06-07T23:27:09Z	sf08	Court and tribunal records	P0	1	route_b_blocker	yes	high_or_official	jurisdiction_specific	public_document_reuse	irregular_or_event_driven	multilingual	jurisdiction_specific	seeded	grounded_now	highest_blocker_for_route_b	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix.	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin.	Show as thin-family overlay in Figure 1 and annotate with the exact blocker trigger rather than with family count rhetoric.	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.
2026-06-07T23:27:09Z	sf09	Public-sector registers and procurement	P1	2	route_b_blocker	yes	high_or_official	jurisdiction_specific	bounded_or_manual_reuse	periodic	mixed_or_other	jurisdiction_specific	seeded	grounded_now	highest_blocker_for_route_b	Add one buyer-side tender, award, contract, or public impact-assessment companion for either register row, or keep the family bounded at register-plus-non-register disclosure surfaces.	Strong for disclosure-surface heterogeneity and public-body-existence claims; still weak for buyer-side traceability, capability, legality, or impact claims.	Show as thin-family overlay in Figure 1 and annotate with the exact blocker trigger rather than with family count rhetoric.	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel.
2026-06-07T23:27:09Z	sf10	Company and platform notices	P1	11	supporting_empirical_or_discovery_layer	no	secondary_or_low	global_english_led	public_document_reuse	irregular_or_event_driven	english_led	global	seeded	grounded_now	maintain_current_bounded_use	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction.	Useful for timing and remediation claims; should rarely stand alone for incident characterization.	Show as a supporting empirical/discovery layer with bounded claim ceilings and family-specific authority notes.	Remediation timeline overlay; issuer-vs-independent-source comparison table.
