objective_id	as_of_utc	family_id	source_family	objective_role	priority	route_rank	coverage_class	thin_family_flag	authority_profile	access_method	reuse_constraints	language_scope	jurisdiction_scope	update_cadence	likely_case_types	saturation_metric	saturation_state	paper_safe_role_now	next_verification_move	dashboard_hook
SFOC-008	2026-06-08T06:54:55Z	sf08	Court and tribunal records	Public court and tribunal records	P0	1	route_b_blocker_family	yes	Highest authority for filings, judgments, consent decrees, and procedural posture when records are official and public.	Public court databases, judgment portals, tribunal repositories, or official DOJ/agency-linked docket materials.	Respect access limits; no scraping behind logins, paywalls, sealed, or private attachments.	Highly multilingual.	Jurisdiction-specific.	Event-driven / irregular.	Litigation, injunctions, complaints, decrees, judgments, and review of automated/public AI decisions.	1 DOJ-linked indictment PDF remains image-only with partial caption OCR plus 1 EEOC filing/settlement pair exposing Civil Action No. 1:22-cv-02565 in agency summaries, but there is still no open court-originating complaint, decree, docket entry, or judicial order text.	seeded	Top-priority hostile-reviewer blocker because stronger court text would immediately harden the authoritative shared claims layer.	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix.	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.
SFOC-009	2026-06-08T12:47:34Z	sf09	Public-sector registers and procurement	Public-sector registers and procurement	P1	2	route_b_blocker_family	yes	Medium-to-high authority for what a public body disclosed or procured; weak for deployment impact, legality, or efficacy unless corroborated.	Official registers, procurement portals, tender notices, award pages, contract pages, and public-body project pages.	Metadata-first extraction; do not infer deployment, legality, or AI capability beyond source text.	Often local-language first.	Country, regional, and municipal public-sector jurisdictions.	Periodic / batch releases varying by portal.	Algorithm registers, procurement anomalies, AI system disclosures, and public deployment surfaces.	2 municipal public AI register rows still anchor the family, but the bounded non-register side now also includes 1 Slovenian police-plus-CORDIS official companion pair, 2 UK regulator-document packages, 1 Danish Datatilsynet governance row plus 2 exact-row Retsinformation legal-basis companions and 1 official UFSN taskforce-report companion, 1 Helsinki same-buyer procurement companion, and Amsterdam's explicit same-buyer Azure/Public Cloud family bridge; buyer-side/public-impact proof is still missing.	seeded	Core public-sector disclosure family for the shared public-sector package, now spanning register, regulator-document, official project-plus-EU companion, exact-row legal-basis-chain, and exact-row official planning-document subtypes.	Add one buyer-side tender, award, contract, or public impact-assessment companion for Amsterdam or Helsinki, or one later official operational, DPIA, procurement, implementation, or outcome surface for the Danish AI-SU chain, while keeping the family bounded at disclosure-surface heterogeneity rather than procurement/deployment proof.	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel; public-sector proof-ceiling comparator; governance/planning follow-through note.
SFOC-010	2026-06-08T17:07:37Z	sf11	Security research and advisories	Security research and advisories	P1	3	route_b_blocker_family	yes	Variable authority; strongest when tied to CERTs, established labs, coordinated disclosure, or peer-reviewed work.	Public blogs, conference papers, CERT notes, vendor advisories, and coordinated-disclosure pages.	Preserve bounded metadata and defensive lessons only; exclude exploit payloads and dangerous reproduction detail.	Mostly English with some multilingual advisories.	Global.	Continuous.	Prompt injection, exfiltration, model inversion, unsafe agent tooling, red-team findings, and coordinated disclosures.	11-row live security package now sits at 3 core / 8 appendix / 1 gap with the explicit supply-chain/plugin zero state retired; Claude Code still has two public exact scholarly incident signals below closure threshold, the trust-boundary slice remains a bounded three-row surface spanning ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row, and 1 explicit peer-reviewed gap row still remains.	seeded	Core security family for the shared agentic-security package and a Route-B blocker with one remaining family-level peer-reviewed gap plus a bounded three-row trust-boundary slice and still-thin non-MCP breadth beyond that slice.	Close `GAP-peer_reviewed_security_case_support` first with one incident-specific peer-reviewed, workshop, or conference-grade technical case attachment to a live row; after that, pursue either broader trust-boundary authority beyond the current MCP/deployment pair or a stronger independent/scholarly attachment for the memory/state-contamination slice, while keeping the current three-row trust-boundary slice explicitly bounded at ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row until one of those threshold events lands.	Security-source authority matrix; advisory-to-CVE linkage graph; remediation-visibility overlay; Route-B security hardening panel.
SFOC-007	2026-06-08T06:54:55Z	sf07	Regulator and enforcement sources	Regulator/enforcement authoritative official-action family	P0	6	authoritative_shared_anchor	no	High authority for official actions, allegations, orders, fines, guidance, and procedural posture within issuing jurisdiction.	Official regulator portals, enforcement pages, press releases, decisions, and linked official documents.	Public-document use only; preserve original-language nuance and narrow posture-based wording.	Multilingual depending on regulator.	Jurisdiction-specific; collectively global.	Irregular, high-value discrete updates.	Enforcement actions, deceptive-marketing cases, privacy breaches, official warnings, and procedural escalations.	11-row shared authoritative core now counts 8 direct-document-grade rows across Italy, the United States, the United Kingdom, and promoted FTC non-finance official rows, while the court-family blocker remains tracked separately under sf08.	seeded	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response and detector-governance claims.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.
SFOC-011	2026-06-08T06:54:55Z	sf12	Reputable multilingual media and investigations	Reputable multilingual media and investigations	P1	7	multilingual_upgrade_feeder	no	Secondary corroborative authority valuable for discovery, local context, and timeline stitching, but weaker than official sources.	Public news sites, investigative outlets, archives, and broadcaster pages.	Use quotations sparingly; preserve outlet/date/URL and do not treat visibility as prevalence.	Multilingual, including underrepresented and local-language reporting.	Global.	Continuous.	Discovery leads, local context, public reactions, timeline stitching, and cases absent from English summaries.	6 local leads across Finland, Lithuania, Slovenia, and Estonia; 1 lead already upgraded from media/discovery friction to a direct official source.	seeded	Core multilingual discovery-and-coverage family for the shared multilingual package, with explicit translation-review caution.	Resolve one additional direct source from Finland, Lithuania, or Estonia and record whether the stronger authority comes from broadcaster, police, court, or agency sources.	Jurisdiction/language map; lead-to-authority upgrade funnel; rare-language methods note.
SFOC-012	2026-06-08T06:54:55Z	sf13	Academic and research-integrity sources	Academic and research-integrity sources	P1	4	research_integrity_depth_anchor	yes	Medium-to-high authority for retractions, correction notices, benchmark-integrity notes, and scholarly dispute records depending on source.	Public journal notices, publisher pages, DOI registries, retraction databases, and institutional reports.	Public/citation-ready sources preferred; preserve publisher-specific reuse terms.	Mostly English with some multilingual notices.	Global scholarly ecosystem.	Continuous / irregular.	Retracted AI papers, benchmark contamination, fabricated evaluation claims, and research-integrity anomalies.	7 locally classified rows still split into 4 evidence-depth classes, now with blocked-notice public-index corroboration showing NEJM retraction/original role links in PubMed and SAGE corrigendum relation metadata in Crossref while direct journal notice text remains partially blocked.	seeded	Core research-integrity/procedural-contamination family for the shared source-depth package.	Probe one blocked or mediated row for direct publisher notice text while preserving the four current family-depth classes and keeping weak specialist/platform-gated rows explicitly below direct-notice grade.	Research-integrity dashboard facet; publisher-notice upgrade funnel; scholarly-integrity timeline; Route-A limitations panel.
SFOC-006	2026-06-08T06:54:55Z	sf06	CSET AI Harm taxonomy / overview	CSET AI Harm conceptual harm framing	P1	5	comparator_methods_seed	no	Secondary conceptual authority for harm framing and related-work comparison, but not machine-ready incident evidence.	Public Georgetown CSET article surface plus exact public PDF/README anchors captured in local bridge work.	Use citation/manual mapping only; no explicit open machine-reuse grant or row-level public dataset route was verified locally.	English.	Global / conceptual.	Irregular article/report updates.	Harm framing, interpretive taxonomy support, and related-work positioning.	Fresh bounded live check still returns the public CSET overview article shell; the family remains manual-citation-only with no improved permissive reuse signal.	seeded	Appendix-only methods/related-work support; not a shared empirical claim family.	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.
SFOC-003	2026-06-08T06:54:55Z	sf03	AI Vulnerability Database (AVID)	AVID permissive structured security metadata	P0	9	structured_security_context	no	High structured technical authority for public AI vulnerability/report metadata when exact IDs and references are preserved.	Public website plus openly downloadable GitHub raw JSON and repository contents.	MIT-licensed structured metadata lowers reuse friction, but import should stay bounded to IDs, dates, metrics, references, and linked report/vulnerability objects.	Primarily English technical reporting.	Global.	Rolling/continuous.	AI vulnerabilities, security edge cases, technical misuse, and failure reports.	Fresh bounded live check still returns public raw report JSON with stable AVID report ID/date fields; the live local package now exposes two exact AVID joins while permissive structured metadata posture remains intact.	seeded	Reviewer-safe interoperability/control surface for security and comparator writing, but no current shared claim ID depends on AVID alone.	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.
SFOC-004	2026-06-08T06:54:55Z	sf04	MITRE ATLAS	MITRE ATLAS security-technique context and case-study graph	P0	8	structured_security_context	no	High structured authority for adversarial-ML and agentic-security techniques, mitigations, and case-study relations.	Public website plus Apache-licensed GitHub YAML/data distribution.	Apache-2.0 lowers reuse friction for technique/mitigation/case-study metadata; do not overstate case studies as exhaustive incident coverage.	English technical/security knowledge base.	Global.	Periodic framework/data releases.	Adversarial techniques, mitigations, case-study relations, and agentic/security anomaly structure.	Fresh bounded live check still returns public distributed ATLAS YAML; the deprecation banner remains visible and `version: 5.6.0` still appears, so structured reuse stays valid but version status must travel with citations.	seeded	Technique-context comparator support for security writing, but no current shared claim ID depends on ATLAS alone.	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.
SFOC-005	2026-06-08T06:54:55Z	sf05	MIT AI Risk Repository	MIT AI Risk taxonomy/definition overlay	P0	10	comparator_methods_seed	no	Secondary but important structured authority for risk and harm definitions; not an incident-truth source.	Public website and navigator-style interface.	Use as attributed taxonomy/definition layer only; bulk export route not yet verified locally.	English-facing taxonomy surface.	Global / framework-defined.	Periodic revisions.	Risk classes, hazard definitions, and residual-category comparison support.	Fresh bounded live check still returns the public MIT AI Risk /risks page with visible taxonomy/CC BY 4.0 signals; anonymous object-level export remains unverified.	seeded	Methods/taxonomy support only; not yet elevated to the shared claims layer.	Extract one compact manual risk-category bridge for the most used LIMEN harm labels before any stronger comparative language.	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators.
