as_of_utc	brief_priority_order	family_id	source_family	priority	route_rank	required_family_named_in_lane_brief	thin_family_flag	coverage_class	saturation_state	evidence_strength_for_claims	claim_support_role	shared_claim_targets	dashboard_view_count	dashboard_views	view_support_states	family_role_now	current_claim_ceiling	paper_safe_claim_now	threshold_event_needed	next_verification_move	dashboard_hook	manuscript_or_visual_targets	recommended_reuse_bundle	route_decision_note
2026-06-08T17:12:57Z	1	sf08	Court and tribunal records	P0	1	yes	yes	route_b_blocker_family	seeded	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin.	Top-priority hostile-reviewer blocker because stronger court text would immediately harden the authoritative shared claims layer.	LIMEN-C-010	4	source_family_saturation_map; jurisdiction_language_map; legal_uncertainty_matrix; evidence_tier_funnel	thin_high_friction	Top-priority hostile-reviewer blocker because stronger court text would immediately harden the authoritative shared claims layer.	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin.	highest_blocker_for_route_b	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix; reuse the existing negative-result ledgers so failed EEOC newsroom/node/search, named public-mirror, CourtListener, and Bing browser-UI challenge paths are not repeated.	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix; reuse the existing negative-result ledgers so failed EEOC newsroom/node/search, named public-mirror, CourtListener, and Bing browser-UI challenge paths are not repeated.	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.	Table 1A; Figure 8; procedural-posture timeline	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/court-anchor-progress-matrix-v0.1.tsv; results/authoritative-scout/eeoc-itutorgroup-open-court-probe-v0.1.tsv; results/authoritative-scout/nate-case-number-ocr-stress-test-v0.1.tsv; results/authoritative-scout/ocr-readiness-matrix-v0.1.tsv; results/authoritative-scout/status.md; results/boost/limen-boost-049/source-family-nonrepeat-upgrade-matrix.tsv; results/boost/limen-boost-001/publication-yield-route-board.tsv; results/boost/limen-continuous-experiments/route-b-next-experiment-priority-matrix-v0.1.tsv; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	highest_blocker_for_route_b
2026-06-08T12:47:34Z	2	sf09	Public-sector registers and procurement	P1	2	yes	yes	route_b_blocker_family	seeded	Strong for disclosure-surface heterogeneity, multilingual public-body-existence claims, and bounded governance/legal-basis/planning narration; still weak for buyer-side traceability, capability, legality, deployment, or impact claims.	Core public-sector disclosure family for the shared public-sector package, now spanning register, regulator-document, official project-plus-EU companion, exact-row legal-basis-chain, and exact-row official planning-document subtypes.	LIMEN-C-012	4	source_family_saturation_map; jurisdiction_language_map; legal_uncertainty_matrix; evidence_tier_funnel	thin_high_friction	Core public-sector disclosure family for the shared public-sector package, now spanning register, regulator-document, official project-plus-EU companion, exact-row legal-basis-chain, and exact-row official planning-document subtypes.	Strong for disclosure-surface heterogeneity, multilingual public-body-existence claims, and bounded governance/legal-basis/planning narration; still weak for buyer-side traceability, capability, legality, deployment, or impact claims.	Strong for disclosure-surface heterogeneity, multilingual public-body-existence claims, and bounded governance/legal-basis/planning narration; still weak for buyer-side traceability, capability, legality, deployment, or impact claims.	Add one buyer-side tender, award, contract, or public impact-assessment companion for Amsterdam or Helsinki, or one later official operational, DPIA, procurement, implementation, or outcome surface for the Danish AI-SU chain, while keeping the family bounded at disclosure-surface heterogeneity rather than procurement/deployment proof.	Add one buyer-side tender, award, contract, or public impact-assessment companion for Amsterdam or Helsinki, or one later official operational, DPIA, procurement, implementation, or outcome surface for the Danish AI-SU chain, while keeping the family bounded at disclosure-surface heterogeneity rather than procurement/deployment proof.	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel; public-sector proof-ceiling comparator; governance/planning follow-through note.	Table 1B; public-sector disclosure asymmetry panel	results/boost/limen-continuous-experiments/public-sector-disclosure-field-completeness-v0.1.tsv; results/boost/limen-continuous-experiments/orion-disclosure-schema-probe-v0.1.tsv; results/boost/limen-boost-006/comparator-freeze-matrix.tsv; results/boost/limen-boost-006/buyer-side-trace-audit.tsv; results/boost/limen-continuous-experiments/sf09-helsinki-procurement-detail-probe-v0.1.tsv; results/authoritative-scout/orion-cordis-companion-audit-v0.1.tsv; results/authoritative-scout/danish-ai-su-legal-basis-companion-audit-v0.1.tsv; results/authoritative-scout/danish-ai-su-taskforce-companion-audit-v0.1.tsv; sources/authoritative-source-ledger.tsv; results/dashboard-paper/public-sector-disclosure-asymmetry-v0.1.md; results/source-map/source-family-sf09-governance-companion-currentness-audit-v0.1.tsv; results/source-map/source-family-sf09-taskforce-followthrough-currentness-audit-v0.1.tsv	highest_blocker_for_route_b
2026-06-08T17:07:37Z	3	sf11	Security research and advisories	P1	3	yes	yes	route_b_blocker_family	seeded	Useful for mechanism discovery, source-independence comparison, coordination posture, and remediation-visibility comparisons when vendor/CERT/release-note/independent-lab roles stay explicit; still weak for prevalence or complete remediation claims.	Core security family for the shared agentic-security package and a Route-B blocker with the supply-chain/plugin zero state retired, one remaining family-level peer-reviewed gap, and a bounded three-row trust-boundary slice rather than singleton-only breadth.	LIMEN-C-007	3	source_family_saturation_map; security_agentic_crosswalk; evidence_tier_funnel	thin_high_friction	Core security family for the shared agentic-security package and a Route-B blocker with one remaining family-level peer-reviewed gap plus a bounded three-row trust-boundary slice spanning ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row.	Useful for mechanism discovery, source-independence comparison, coordination posture, and remediation-visibility comparisons when vendor/CERT/release-note/independent-lab roles stay explicit; still weak for prevalence or complete remediation claims.	third_blocker_for_route_b_peer_review_gap_first	Close `GAP-peer_reviewed_security_case_support` first with one incident-specific peer-reviewed, workshop, or conference-grade technical case attachment to a live row; after that, pursue either broader trust-boundary authority beyond the current MCP/deployment pair or a stronger independent/scholarly attachment for the memory/state-contamination slice, while keeping the current three-row trust-boundary slice explicitly bounded at ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row until one of those threshold events lands.	Close `GAP-peer_reviewed_security_case_support` first with one incident-specific peer-reviewed, workshop, or conference-grade technical case attachment to a live row; after that, pursue either broader trust-boundary authority beyond the current MCP/deployment pair or a stronger independent/scholarly attachment for the memory/state-contamination slice, while keeping the current three-row trust-boundary slice explicitly bounded at ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row until one of those threshold events lands.	Security-source authority matrix; advisory-to-CVE linkage graph; remediation-visibility overlay; Route-B security hardening panel.	Table 6; security authority-balance and remediation-visibility panels	results/security/security-agentic-next-route-board-v0.1.tsv; results/security/security-agentic-gap-closure-register-v0.1.tsv; results/security/security-agentic-reviewer-panels-v0.1.tsv; results/security/security-agentic-framework-verification-v0.1.tsv; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv; results/security/status.md; results/boost/limen-boost-049/source-family-nonrepeat-upgrade-matrix.tsv; results/boost/limen-boost-001/publication-yield-route-board.tsv; results/boost/limen-continuous-experiments/route-b-next-experiment-priority-matrix-v0.1.tsv; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv; results/source-map/source-family-visual-provenance-currentness-audit-v0.1.tsv; results/source-map/source-family-sf11-helper-sync-repair-v0.1.tsv	third_blocker_for_route_b_peer_review_gap_first
2026-06-08T01:18:27Z	4	sf13	Academic and research-integrity sources	P1	4	yes	yes	research_integrity_depth_anchor	seeded	Strong for bounded claims about article identification, retraction/correction surfaces, publisher-notice depth, and source-resolution friction; weaker for editorial reasoning where direct notice text is blocked or absent.	Core research-integrity/procedural-contamination family for the shared source-depth package.	LIMEN-C-008	3	source_family_saturation_map; jurisdiction_language_map; evidence_tier_funnel	thin_high_friction	Core research-integrity/procedural-contamination family for the shared source-depth package.	Strong for bounded claims about article identification, retraction/correction surfaces, publisher-notice depth, and source-resolution friction; weaker for editorial reasoning where direct notice text is blocked or absent.	methods_limitations_balance_priority	Probe one blocked or mediated row for direct publisher notice text while preserving the four current family-depth classes and keeping weak specialist/platform-gated rows explicitly below direct-notice grade.	Probe one blocked or mediated row for direct publisher notice text while preserving the four current family-depth classes and keeping weak specialist/platform-gated rows explicitly below direct-notice grade.	Research-integrity dashboard facet; publisher-notice upgrade funnel; scholarly-integrity timeline; Route-A limitations panel.	Table 1E; research-integrity source-depth panel	results/source-map/research-integrity-family-inventory-v0.1.tsv; results/boost/limen-boost-008/document-depth-matrix.tsv; results/boost/limen-boost-008/notice-text-evidence.tsv; results/boost/limen-boost-008/source-delta.tsv; results/boost/limen-boost-008/status.md; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	methods_limitations_balance_priority
2026-06-07T21:06:57Z	5	sf06	CSET AI Harm taxonomy / overview	P1	5	yes	no	comparator_methods_seed	seeded	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator.	Appendix-only methods/related-work support; not a shared empirical claim family.		2	source_family_saturation_map; taxonomy_heatmap	methods_or_queue_only	Appendix-only methods/related-work support; not a shared empirical claim family.	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator.	appendix_only_freeze_priority	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.	Related-work appendix; harm-taxonomy note	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/cset-harm-bridge.tsv; results/boost/limen-boost-002/cset-coding-rules.tsv; methods/crosswalk-method-note-v0.1.md; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	appendix_only_freeze_priority
2026-06-08T01:06:59Z	6	sf07	Regulator and enforcement sources	P0	6	yes	no	authoritative_shared_anchor	seeded	Best current family for upgrading weak media or company claims into paper-grade bounded statements.	Core authoritative-event family for the shared authoritative package; also spills into narrower slice claims where regulator text is the top authority.	LIMEN-C-010; LIMEN-C-011	4	source_family_saturation_map; jurisdiction_language_map; legal_uncertainty_matrix; evidence_tier_funnel	direct_or_seeded_support	Core authoritative-event family for the shared authoritative package; also spills into narrower slice claims where regulator text is the top authority.	Best current family for upgrading weak media or company claims into paper-grade bounded statements.	maintain_current_bounded_use	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Table 1A; Figure 8; authoritative evidence matrix	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/status.md; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	maintain_current_bounded_use
2026-06-07T21:06:57Z	7	sf12	Reputable multilingual media and investigations	P1	7	yes	no	multilingual_upgrade_feeder	seeded	Strong for discovery, coverage-gap analysis, and rare-language methods; still weak alone for strong legal or normative claims.	Core multilingual discovery-and-coverage family for the shared multilingual package, with explicit translation-review caution.	LIMEN-C-013	5	source_family_saturation_map; jurisdiction_language_map; legal_uncertainty_matrix; residual_category_queue; evidence_tier_funnel	direct_or_seeded_support	Core multilingual discovery-and-coverage family for the shared multilingual package, with explicit translation-review caution.	Strong for discovery, coverage-gap analysis, and rare-language methods; still weak alone for strong legal or normative claims.	maintain_current_bounded_use	Resolve one additional direct source from Finland, Lithuania, or Estonia and record whether the stronger authority comes from broadcaster, police, court, or agency sources.	Resolve one additional direct source from Finland, Lithuania, or Estonia and record whether the stronger authority comes from broadcaster, police, court, or agency sources.	Jurisdiction/language map; lead-to-authority upgrade funnel; rare-language methods note.	Table 1D; Figure 6; language-coverage methods note	sources/multilingual-outlet-authority-matrix.tsv; results/multilingual/multilingual-weird-case-queue.tsv; results/boost/limen-boost-005/source-resolution-log.tsv; data/cases/multilingual-candidates.jsonl; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	maintain_current_bounded_use
2026-06-07T21:06:57Z	8	sf04	MITRE ATLAS	P0	8	yes	no	structured_security_context	seeded	Strong for security-technique structure, mitigation framing, and operational technique-context joins; weak for non-security completeness or direct case-study equivalence claims.	Technique-context comparator support for security writing, but no current shared claim ID depends on ATLAS alone.		2	source_family_saturation_map; security_agentic_crosswalk	indirect_support	Technique-context comparator support for security writing, but no current shared claim ID depends on ATLAS alone.	Strong for security-technique structure, mitigation framing, and operational technique-context joins; weak for non-security completeness or direct case-study equivalence claims.	hold_as_reviewer_safe_control_surface	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.	Table 6A comparator package; security/agentic crosswalk heatmap	results/crosswalks/source-crosswalk-v0.1.tsv; results/crosswalks/seed-import-join-prototype-v0.1.tsv; results/crosswalks/atlas-technique-context-appendix-v0.1.tsv; results/crosswalks/field-map-appendix-v0.1.tsv; results/security/security-agentic-publication-routing-matrix-v0.1.tsv; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	hold_as_reviewer_safe_control_surface
2026-06-08T10:58:00Z	9	sf03	AI Vulnerability Database (AVID)	P0	9	yes	no	structured_security_context	seeded	Strong for technical mechanism, vulnerability metadata, and two exact security-row bridges; weak for general incident census or treating placeholder rows as solved joins.	Reviewer-safe interoperability/control surface for security and comparator writing, but no current shared claim ID depends on AVID alone.		2	source_family_saturation_map; security_agentic_crosswalk	indirect_support	Reviewer-safe interoperability/control surface for security and comparator writing, but no current shared claim ID depends on AVID alone.	Strong for technical mechanism, vulnerability metadata, and two exact security-row bridges; weak for general incident census or treating placeholder rows as solved joins.	hold_as_reviewer_safe_control_surface	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.	Table 6A comparator package; security interoperability appendix	results/crosswalks/source-crosswalk-v0.1.tsv; results/crosswalks/seed-import-join-prototype-v0.1.tsv; results/crosswalks/avid-direct-join-appendix-v0.1.tsv; results/crosswalks/field-map-appendix-v0.1.tsv; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv; results/boost/limen-boost-038/source-family-avid-currentness-audit.tsv	hold_as_reviewer_safe_control_surface
2026-06-08T15:58:24Z	10	sf05	MIT AI Risk Repository	P0	10	yes	no	comparator_methods_seed	seeded	Strong for methods, taxonomy, and harm-definition claims; now also supports a bounded structured workbook/taxonomy overlay description, but remains invalid as event evidence.	Methods/taxonomy support only; now safe for bounded structured workbook/taxonomy overlay description, but still not elevated to the shared claims layer.		2	source_family_saturation_map; taxonomy_heatmap	methods_or_queue_only	Methods/taxonomy support only; now safe for bounded structured workbook/taxonomy overlay description, but still not elevated to the shared claims layer.	Strong for methods, taxonomy, and harm-definition claims; now also supports a bounded structured workbook/taxonomy overlay description, but remains invalid as event evidence.	maintain_current_bounded_use_with_verified_workbook_export	Import one deliberately tiny MIT AI Risk workbook tab or taxonomy slice with explicit provenance, sheet naming, and CC BY note; keep SharePoint-gated mirror asymmetry and row-level incident non-equivalence explicit.	Import one deliberately tiny MIT AI Risk workbook tab or taxonomy slice with explicit provenance, sheet naming, and CC BY note; keep SharePoint-gated mirror asymmetry and row-level incident non-equivalence explicit.	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators; workbook-route readiness note.	Taxonomy heatmap methods note; residual-category overlay; workbook-route readiness note	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; methods/crosswalk-method-note-v0.1.md; results/source-map/source-family-sf05-workbook-route-currentness-audit-v0.1.tsv; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	maintain_current_bounded_use_with_verified_workbook_export
