as_of_utc	claim_id	claim_confidence	primary_family_id	primary_source_family	supporting_family_ids	supporting_source_families	shared_family_count	primary_route_rank	primary_route_id	primary_package_id	primary_package_label	claim_text	current_claim_ceiling	primary_linkage_role	primary_threshold_event_needed	all_family_threshold_moves	observatory_hooks	manuscript_or_visual_targets	recommended_reuse_bundle	reviewer_safe_note
2026-06-08T08:52:47Z	LIMEN-C-005	high	sf07	Regulator and enforcement sources			1	6	ROUTE-B	PKG-003	governance_security_empirical_article	LIMEN now has two authoritative AI-washing exemplars, but current settled/regulator-final support is still narrow to SEC findings in regulated finance and does not justify prevalence or cross-sector generalization by itself.	Best current family for upgrading weak media or company claims into paper-grade bounded statements.	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response, disposition-stage, AI-washing, and detector-governance claims.	maintain_current_bounded_use_with_claim-layer_router_refresh	sf07: Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	sf07: Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	sf07: Table 1A; Figure 8; authoritative evidence matrix	claims.md; sources/source-family-ledger.tsv; results/source-map/source-family-publication-package-bridge-v0.1.tsv; results/source-map/source-family-shared-claim-coverage-matrix-v0.1.tsv; source-family row sf07	Cite as SEC settlement/enforcement findings about marketing and capability misstatements, not as judicial merits findings or cross-sector prevalence evidence.
2026-06-08T08:52:47Z	LIMEN-C-007	high	sf11	Security research and advisories	sf10	Company and platform notices	2	3	ROUTE-B	PKG-003	governance_security_empirical_article	LIMEN's current public agentic-security package supports a bounded claim about evidence-layer asymmetry: exact external interoperability, remediation visibility, vendor-authored notice depth, source independence, and mechanism coverage still do not move together across the eleven seeded rows, so the package is presently strongest as a claim-ceiling, source-role, and publication-routing demonstration rather than as a prevalence or comparative-safety dataset.	Useful for mechanism discovery, source-independence comparison, coordination posture, and remediation-visibility comparisons when vendor/CERT/release-note/independent-lab roles stay explicit; still weak for prevalence or complete remediation claims.	Core security family for the shared agentic-security package and a Route-B blocker with the supply-chain/plugin zero state retired, one remaining family-level peer-reviewed gap, and singleton-only trust-boundary breadth.	third_blocker_for_route_b_peer_review_gap_first	sf11: Close `GAP-peer_reviewed_security_case_support` first with one incident-specific peer-reviewed, workshop, or conference-grade technical case attachment to a live row; after that, treat Langflow exact-vendor-remediation notice depth as the fastest same-row hardening move and keep LIMEN-000012 explicitly singleton-only until a second exemplar or stronger independent attachment appears. || sf10: Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction.	sf11: Security-source authority matrix; advisory-to-CVE linkage graph; remediation-visibility overlay; Route-B security hardening panel. || sf10: Remediation timeline overlay; issuer-vs-independent-source comparison table.	sf11: Table 6; security authority-balance and remediation-visibility panels || sf10: Table 6 remediation timeline overlay; issuer-vs-independent-source comparison	claims.md; sources/source-family-ledger.tsv; results/source-map/source-family-publication-package-bridge-v0.1.tsv; results/source-map/source-family-shared-claim-coverage-matrix-v0.1.tsv; source-family row sf11	Do not convert this into a claim that agentic systems are broadly insecure, that exact AVID joins imply stronger remediation authority, or that one identity-boundary row plus two independent-lab exemplars resolves the package's remaining validation gaps; the present package remains small, authority-uneven, and publication-routed rather than denominator-ready.
2026-06-08T08:52:47Z	LIMEN-C-008	high	sf13	Academic and research-integrity sources			1	4	ROUTE-A	PKG-001	observatory_dataset_preprint	LIMEN's current legal/procedural contamination package is strongest as a source-depth and claim-ceiling demonstration: it spans one document-grade Italian regulator-order row, one direct-source-resolved Finnish broadcaster row naming public institutions and workload effects, and a research-integrity shadow package ranging from mediated editor statement to direct publisher notice text. That research-integrity slice is locally non-empty and publication-usable in Table 1E, but it remains zero-seed in Figure 2 / Table 2 until a case-specific row is strong enough for explicit shared-spine admission.	Strong for bounded claims about article identification, retraction/correction surfaces, publisher-notice depth, and source-resolution friction; weaker for editorial reasoning where direct notice text is blocked or absent.	Core research-integrity/procedural-contamination family for the shared source-depth package.	methods_limitations_balance_priority	sf13: Probe one blocked or mediated row for direct publisher notice text while preserving the four current family-depth classes and keeping weak specialist/platform-gated rows explicitly below direct-notice grade.	sf13: Research-integrity dashboard facet; publisher-notice upgrade funnel; scholarly-integrity timeline; Route-A limitations panel.	sf13: Table 1E; research-integrity source-depth panel	claims.md; sources/source-family-ledger.tsv; results/source-map/source-family-publication-package-bridge-v0.1.tsv; results/source-map/source-family-shared-claim-coverage-matrix-v0.1.tsv; source-family row sf13	Supports evidence-infrastructure and methods/results framing only; do not restate this as prevalence, misconduct, sanction, system-wide legal-process evidence, or automatic seeded-count readiness.
2026-06-08T08:52:47Z	LIMEN-C-009	high	sf07	Regulator and enforcement sources			1	6	ROUTE-B	PKG-003	governance_security_empirical_article	LIMEN's UK biometric-governance slice now supports a narrow document-grade comparative claim: direct ICO notice/reprimand texts, not just summary pages, expose distinct governance failure modes across workplace attendance monitoring and school canteen payments. The Serco notice cites Articles 5(1)(a), 6, and 9 UK GDPR and Annex 1 cessation/destruction remedies, while the Chelmer reprimand cites Article 35(1), March 2023 deployment without a prior DPIA, and invalid opt-out consent framing.	Best current family for upgrading weak media or company claims into paper-grade bounded statements.	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response, disposition-stage, AI-washing, and detector-governance claims.	maintain_current_bounded_use_with_claim-layer_router_refresh	sf07: Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	sf07: Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	sf07: Table 1A; Figure 8; authoritative evidence matrix	claims.md; sources/source-family-ledger.tsv; results/source-map/source-family-publication-package-bridge-v0.1.tsv; results/source-map/source-family-shared-claim-coverage-matrix-v0.1.tsv; source-family row sf07	Supports comparative methods/results framing and document-depth tables only; do not convert it into sector-wide prevalence, harmonized liability, or broader legality conclusions beyond the ICO documents.
2026-06-08T08:52:47Z	LIMEN-C-010	high	sf08	Court and tribunal records	sf07	Regulator and enforcement sources	2	1	ROUTE-B	PKG-003	governance_security_empirical_article	LIMEN's current authoritative package supports a bounded methods claim about document-depth heterogeneity: eight rows are now selective-anchor-ready (`LIMEN-000001`, `LIMEN-000003`, `LIMEN-000004`, `LIMEN-000006`, `LIMEN-000007`, `LIMEN-000008`, `LIMEN-000010`, `LIMEN-000011`), while `LIMEN-000002` remains blocked by absent court-facing text and `LIMEN-000005` remains usable only for accusation-stage wording until caption normalization improves.	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin.	Top-priority hostile-reviewer blocker because stronger court text would immediately harden the authoritative shared claims layer.	highest_blocker_for_route_b	sf08: Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix. || sf07: Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	sf08: Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel. || sf07: Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	sf08: Table 1A; Figure 8; procedural-posture timeline || sf07: Table 1A; Figure 8; authoritative evidence matrix	claims.md; sources/source-family-ledger.tsv; results/source-map/source-family-publication-package-bridge-v0.1.tsv; results/source-map/source-family-shared-claim-coverage-matrix-v0.1.tsv; source-family row sf08	Supports evidence-depth and publication-readiness interpretation only; do not flatten the package into one uniform authoritative class or imply that the blocked rows are quote-ready.
2026-06-08T08:52:47Z	LIMEN-C-011	high	sf07	Regulator and enforcement sources			1	6	ROUTE-B	PKG-003	governance_security_empirical_article	LIMEN's direct-document authoritative rows now support narrow source-bounded prose at the shared claims layer: the Italian Garante order states a provisional limitation and lists notice/legal-basis/accuracy/age-verification concerns; the ICO Serco and Chelmer texts expose cited UK GDPR provisions plus remedy or DPIA/consent failures; the settled SEC Delphia and Global Predictions orders expose exact AI-misstatement substance with USD 225,000 and USD 175,000 penalties respectively; and the FCC Lingo Telecom consent-decree order exposes a document-grade synthetic-identity / telecom-enforcement exemplar with a USD 1,000,000 civil penalty plus explicit compliance-plan terms.	Best current family for upgrading weak media or company claims into paper-grade bounded statements.	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response, disposition-stage, AI-washing, and detector-governance claims.	maintain_current_bounded_use_with_claim-layer_router_refresh	sf07: Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	sf07: Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	sf07: Table 1A; Figure 8; authoritative evidence matrix	claims.md; sources/source-family-ledger.tsv; results/source-map/source-family-publication-package-bridge-v0.1.tsv; results/source-map/source-family-shared-claim-coverage-matrix-v0.1.tsv; source-family row sf07	Keep the source posture explicit: provisional regulator order, regulator notice/reprimand, and settled regulator administrative orders are not interchangeable with judicial merits findings, sector prevalence evidence, or generalized legality conclusions.
2026-06-08T08:52:47Z	LIMEN-C-012	high	sf09	Public-sector registers and procurement			1	2	ROUTE-B	PKG-003	governance_security_empirical_article	LIMEN's current public-sector mini-corpus is strongest as a disclosure-surface heterogeneity claim rather than as a simple count of public-sector AI cases: the five-row panel spans one official project page, two direct regulator-document packages, and two municipal public AI-register rows, with Amsterdam bounded as an exact-row-rich register exemplar whose tested public routes still show no exact-name procurement hit while a same-buyer Azure/Public Cloud procurement-family bridge is publicly visible below exact row-linked buyer-side or public-companion proof and Helsinki elevated only to a family-level same-buyer supplier-consistent award state below exact row-linked procurement proof.	Strong for disclosure-surface heterogeneity and public-body-existence claims; still weak for buyer-side traceability, capability, legality, or impact claims.	Core public-sector disclosure family for the shared public-sector package.	highest_blocker_for_route_b	sf09: Add one buyer-side tender, award, contract, or public impact-assessment companion for either register row, or keep the family bounded at register-plus-non-register disclosure surfaces.	sf09: Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel.	sf09: Table 1B; public-sector disclosure asymmetry panel	claims.md; sources/source-family-ledger.tsv; results/source-map/source-family-publication-package-bridge-v0.1.tsv; results/source-map/source-family-shared-claim-coverage-matrix-v0.1.tsv; source-family row sf09	Supports methods/results and dashboard/thesis interpretation about disclosure-surface heterogeneity only; do not convert it into procurement-transparency ranking, prevalence denominator, exact contract-linkage proof for Helsinki, or procurement-absence claims for Amsterdam.
2026-06-08T08:52:47Z	LIMEN-C-013	high	sf12	Reputable multilingual media and investigations			1	7	ROUTE-A	PKG-001	observatory_dataset_preprint	LIMEN's current multilingual package now supports one bounded shared-claims-layer statement about uneven evidence maturity across under-covered languages: among 6 non-English leads, 1 Slovenian row is direct official and usable as the only substantive multilingual exemplar, 2 rows (Finnish Yle and Slovenian Radio Ptuj) are bounded appendix/methods comparators, 3 rows remain queue-only limitations, and all 6 still require translation-review metadata.	Strong for discovery, coverage-gap analysis, and rare-language methods; still weak alone for strong legal or normative claims.	Core multilingual discovery-and-coverage family for the shared multilingual package, with explicit translation-review caution.	maintain_current_bounded_use	sf12: Resolve one additional direct source from Finland, Lithuania, or Estonia and record whether the stronger authority comes from broadcaster, police, court, or agency sources.	sf12: Jurisdiction/language map; lead-to-authority upgrade funnel; rare-language methods note.	sf12: Table 1D; Figure 6; language-coverage methods note	claims.md; sources/source-family-ledger.tsv; results/source-map/source-family-publication-package-bridge-v0.1.tsv; results/source-map/source-family-shared-claim-coverage-matrix-v0.1.tsv; source-family row sf12	Supports bounded methods/results, appendix, dashboard-legend, and thesis claim-support prose only; do not restate it as multilingual prevalence, cross-country readiness, legal/policy conclusion, or proof that the two high-undercovered rows are substantively resolved.
2026-06-08T08:52:47Z	LIMEN-C-015	high	sf07	Regulator and enforcement sources			1	6	ROUTE-B	PKG-003	governance_security_empirical_article	LIMEN's current shard-009 package now supports one bounded official non-finance diversification claim: the FTC DoNotPay complaint-plus-final-order materials provide an official non-finance AI-claim exemplar for legal-service automation, now strong enough to sit in the shared authoritative core while still not resolving hidden-human closure, unauthorized-practice adjudication, or cross-sector prevalence support.	Best current family for upgrading weak media or company claims into paper-grade bounded statements.	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response, disposition-stage, AI-washing, and detector-governance claims.	maintain_current_bounded_use_with_claim-layer_router_refresh	sf07: Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	sf07: Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	sf07: Table 1A; Figure 8; authoritative evidence matrix	claims.md; sources/source-family-ledger.tsv; results/source-map/source-family-publication-package-bridge-v0.1.tsv; results/source-map/source-family-shared-claim-coverage-matrix-v0.1.tsv; source-family row sf07	Use only for bounded official non-finance diversification at the claims layer; do not convert it into hidden-human queue closure, unauthorized-practice adjudication, product-truth proof, or general cross-sector maturity/prevalence claims.
2026-06-08T08:52:47Z	LIMEN-C-017	high	sf07	Regulator and enforcement sources			1	6	ROUTE-B	PKG-003	governance_security_empirical_article	LIMEN's shared authoritative core now includes one bounded non-finance FTC row in addition to the settled SEC finance rows: the DoNotPay complaint-plus-final-order package supplies direct official text on marketed AI-lawyer / robot-lawyer claims, a final-order prohibition on human-lawyer-equivalence representations, and USD 193000 in monetary relief.	Best current family for upgrading weak media or company claims into paper-grade bounded statements.	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response, disposition-stage, AI-washing, and detector-governance claims.	maintain_current_bounded_use_with_claim-layer_router_refresh	sf07: Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	sf07: Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	sf07: Table 1A; Figure 8; authoritative evidence matrix	claims.md; sources/source-family-ledger.tsv; results/source-map/source-family-publication-package-bridge-v0.1.tsv; results/source-map/source-family-shared-claim-coverage-matrix-v0.1.tsv; source-family row sf07	Use only for bounded authority-diversification and legal-service-automation framing; do not convert it into unauthorized-practice adjudication, hidden-human final-authority closure, product-truth proof, or cross-sector prevalence evidence.
