as_of_utc	family_id	source_family	claim_coverage_state	shared_claim_targets	manuscript_or_visual_targets	claim_support_role	route_rank	thin_family_flag	dashboard_view_class	exact_upgrade_trigger	next_verification_move	dashboard_hook
2026-06-08T09:46:33Z	sf08	Court and tribunal records	direct_shared_claim_anchor	LIMEN-C-010	Table 1A; Figure 8; procedural-posture timeline	Top-priority hostile-reviewer blocker because stronger court text would immediately harden the authoritative shared claims layer.	1	yes	route_b_blocker_core	open_iTutorGroup_court_document_or_materially_different_public_exact_caption_source_added	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix.	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel; exact blocker-cell contracts (results/boost/limen-boost-025/source-family-blocker-observatory-cells.tsv:SFOC-025-001..002).
2026-06-08T17:47:23Z	sf09	Public-sector registers and procurement	direct_shared_claim_anchor	LIMEN-C-012	Table 1B; public-sector disclosure asymmetry panel	Core public-sector disclosure family for the shared public-sector package, now spanning register, regulator-document, official project-plus-EU companion, exact-row legal-basis-chain, exact-row readable legal-text verification, and exact-row official planning-document subtypes.	2	yes	route_b_blocker_core	buyer_side_tender_award_contract_or_public_impact_assessment_companion_added	Add one buyer-side tender, award, contract, or public impact-assessment companion for Amsterdam or Helsinki, or one later official operational, DPIA, procurement, implementation, or outcome surface for the Danish AI-SU chain, while keeping the family bounded at disclosure-surface heterogeneity rather than procurement/deployment proof.	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel; public-sector proof-ceiling comparator; governance/planning follow-through note; rare-language legal-text readability control; exact blocker-cell contracts (results/boost/limen-boost-025/source-family-blocker-observatory-cells.tsv:SFOC-025-003..004).
2026-06-08T12:00:37Z	sf11	Security research and advisories	direct_shared_claim_anchor	LIMEN-C-007	Table 6; security authority-balance and remediation-visibility panels	Core security family for the shared agentic-security package and a Route-B blocker with one remaining family-level peer-reviewed gap plus a bounded three-row trust-boundary slice spanning ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row.	3	yes	route_b_blocker_core	peer_reviewed_security_case_support_added	Close `GAP-peer_reviewed_security_case_support` first with one incident-specific peer-reviewed, workshop, or conference-grade technical case attachment to a live row; after that, treat Langflow exact-vendor-remediation notice depth as the fastest same-row hardening move and keep the current three-row trust-boundary slice explicitly bounded at ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row until a second non-MCP exemplar or stronger independent attachment appears.	Security-source authority matrix; advisory-to-CVE linkage graph; remediation-visibility overlay; Route-B security hardening panel; exact blocker-cell contracts (results/boost/limen-boost-025/source-family-blocker-observatory-cells.tsv:SFOC-025-005).
2026-06-08T09:46:33Z	sf13	Academic and research-integrity sources	direct_shared_claim_anchor	LIMEN-C-008	Table 1E; research-integrity source-depth panel	Core research-integrity/procedural-contamination family for the shared source-depth package.	4	yes	methods_or_limitations_support	compact_family_inventory_separating_notice_types_added	Probe one blocked or mediated row for direct publisher notice text while preserving the four current family-depth classes and keeping weak specialist/platform-gated rows explicitly below direct-notice grade.	Research-integrity dashboard facet; publisher-notice upgrade funnel; scholarly-integrity timeline; Route-A limitations panel; exact blocker-cell contracts (results/boost/limen-boost-025/source-family-blocker-observatory-cells.tsv:SFOC-025-006).
2026-06-07T21:06:57Z	sf06	CSET AI Harm taxonomy / overview	no_shared_claim_yet_methods_or_comparator_only		Related-work appendix; harm-taxonomy note	Appendix-only methods/related-work support; not a shared empirical claim family.	5	no	methods_or_limitations_support	second_low_drift_review_pass_or_explicit_appendix_only_freeze_recorded	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.
2026-06-08T05:43:24Z	sf07	Regulator and enforcement sources	direct_shared_claim_anchor	LIMEN-C-004A; LIMEN-C-004B; LIMEN-C-005; LIMEN-C-009; LIMEN-C-010; LIMEN-C-011; LIMEN-C-015; LIMEN-C-017; LIMEN-C-018	Table 1A; Figure 8; authoritative evidence matrix	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response, disposition-stage, AI-washing, and detector-governance claims.	6	no	empirical_support_and_upgrade_feeder	one_non_US_non_UK_follow_through_row_added	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.
2026-06-07T21:06:57Z	sf12	Reputable multilingual media and investigations	direct_shared_claim_anchor	LIMEN-C-013	Table 1D; Figure 6; language-coverage methods note	Core multilingual discovery-and-coverage family for the shared multilingual package, with explicit translation-review caution.	7	no	empirical_support_and_upgrade_feeder	one_additional_direct_source_resolved_row_added	Resolve one additional direct source from Finland, Lithuania, or Estonia and record whether the stronger authority comes from broadcaster, police, court, or agency sources.	Jurisdiction/language map; lead-to-authority upgrade funnel; rare-language methods note.
2026-06-07T21:06:57Z	sf04	MITRE ATLAS	indirect_shared_package_support		Table 6A comparator package; security/agentic crosswalk heatmap	Technique-context comparator support for security writing, but no current shared claim ID depends on ATLAS alone.	8	no	maintained_comparator_or_context	defensible_exact_case_study_ID_or_stronger_cautious_row_anchor_added	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.
2026-06-08T10:58:00Z	sf03	AI Vulnerability Database (AVID)	indirect_shared_package_support		Table 6A comparator package; security interoperability appendix	Reviewer-safe interoperability/control surface for security and comparator writing, but no current shared claim ID depends on AVID alone.	9	no	maintained_comparator_or_context	third_canonical_AVID_join_or_exact_negative_match_rule_added	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.
2026-06-07T21:06:57Z	sf05	MIT AI Risk Repository	no_shared_claim_yet_methods_or_comparator_only		Taxonomy heatmap methods note; residual-category overlay	Methods/taxonomy support only; not yet elevated to the shared claims layer.	10	no	maintained_comparator_or_context	manual_risk_category_bridge_for_core_LIMEN_labels_added	Extract one compact manual risk-category bridge for the most used LIMEN harm labels before any stronger comparative language.	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators.
2026-06-07T21:06:57Z	sf10	Company and platform notices	indirect_shared_package_support	LIMEN-C-007	Table 6 remediation timeline overlay; issuer-vs-independent-source comparison	Supports the security shared claim through remediation and disclosure-timing context, but remains below independent-event authority.	11	no	maintained_comparator_or_context	missing_direct_vendor_remediation_details_verified_for_Langflow_or_CrewAI	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction.	Remediation timeline overlay; issuer-vs-independent-source comparison table.
2026-06-07T21:06:57Z	sf02	OECD AI Incidents Monitor (OECD AIM)	no_shared_claim_yet_methods_or_comparator_only		Table 6A comparator appendix; country/language comparison note	Comparator baseline and vocabulary bridge support only; not yet elevated to the shared claims layer.	12	no	maintained_comparator_or_context	stable_list_to_detail_discovery_route_documented	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset.	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board.
2026-06-07T21:06:57Z	sf01	AI Incident Database (AIID)	no_shared_claim_yet_methods_or_comparator_only		Table 6A comparator appendix; source-family saturation map	Comparator baseline and methods support only; not yet elevated to the shared claims layer.	13	no	maintained_comparator_or_context	one_snapshot_or_field-manifest_appendix_verified	Verify one snapshot manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting.	Source-family saturation map; comparator-overlap panel; interoperability readiness board.
2026-06-08T15:54:42Z	sf14	Social and web lead sources	planned_no_shared_claim		Lead queue only	Implemented corroboration-first frontier queue now has 1 governed row, but the family still cannot support shared claims while that row remains below seeded use.	14	no	planned_frontier_queue	same_lineage_higher_authority_corroboration_or_second_governed_row_without_seeded_promotion	Use the governed LinkedIn-based lead row as the live control surface and count further progress only if same-lineage higher-authority corroboration lands or a materially different second governed row is added without widening seeded use.	Lead queue; corroboration backlog; source-upgrade funnel.
