audit_id	as_of_utc	priority_group	mapped_family_ids	coverage_status	coverage_class	thin_family_flag	shared_claim_targets	next_verification_move	observatory_hook	interpretation_note
PRIO-01	2026-06-07T21:06:57Z	AIID	sf01	covered	comparator_methods_seed	no		Verify one snapshot manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting.	Source-family saturation map; comparator-overlap panel; interoperability readiness board.	Required comparator/incident monitor named in lane brief.
PRIO-02	2026-06-07T21:06:57Z	OECD AIM	sf02	covered	comparator_methods_seed	no		Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset.	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board.	Required comparator/incident monitor named in lane brief.
PRIO-03	2026-06-08T10:58:00Z	AVID	sf03	covered	structured_security_context	no		Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.	Required structured AI vulnerability source named in lane brief.
PRIO-04	2026-06-07T21:06:57Z	MITRE ATLAS	sf04	covered	structured_security_context	no		Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.	Required adversarial/security comparator named in lane brief.
PRIO-05	2026-06-08T10:56:24Z	MIT AI Risk Repository	sf05	covered	comparator_methods_seed	no		Import one deliberately tiny MIT AI Risk workbook tab or taxonomy slice with explicit provenance, sheet naming, and CC BY note; keep mirror-specific access asymmetry and row-level incident non-equivalence explicit.	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators; workbook-route readiness note.	Required taxonomy/risk comparator named in lane brief.
PRIO-06	2026-06-07T21:06:57Z	CSET AI Harm	sf06	covered	comparator_methods_seed	no		Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.	Required harm comparator named in lane brief.
PRIO-07	2026-06-08T01:06:59Z	Regulator and enforcement sources	sf07	covered	authoritative_shared_anchor	no	LIMEN-C-010; LIMEN-C-011	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Required official-action family named in lane brief.
PRIO-08	2026-06-08T01:06:59Z	Public court sources	sf08	covered	route_b_blocker_family	yes	LIMEN-C-010	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix.	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.	Required highest-authority procedural family named in lane brief.
PRIO-09	2026-06-08T01:27:51Z	Public-sector registers	sf09	covered	route_b_blocker_family	yes	LIMEN-C-012	Add one buyer-side tender, award, contract, or public impact-assessment companion for either register row, or keep the family bounded at register-plus-non-register disclosure surfaces.	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel.	Required public-sector disclosure family named in lane brief.
PRIO-10	2026-06-08T12:00:37Z	Security advisories	sf11	covered	route_b_blocker_family	yes	LIMEN-C-007	Close `GAP-peer_reviewed_security_case_support` first with one incident-specific peer-reviewed, workshop, or conference-grade technical case attachment to a live row; after that, treat Langflow exact-vendor-remediation notice depth as the fastest same-row hardening move and keep the current trust-boundary slice explicitly bounded at ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row until a second non-MCP exemplar or stronger independent attachment appears.	Security-source authority matrix; advisory-to-CVE linkage graph; remediation-visibility overlay; Route-B security hardening panel.	Required security-advisory family named in lane brief; helper surfaces resynchronized to the live three-row trust-boundary state.
PRIO-11	2026-06-07T21:06:57Z	Reputable multilingual media	sf12	covered	multilingual_upgrade_feeder	no	LIMEN-C-013	Resolve one additional direct source from Finland, Lithuania, or Estonia and record whether the stronger authority comes from broadcaster, police, court, or agency sources.	Jurisdiction/language map; lead-to-authority upgrade funnel; rare-language methods note.	Required multilingual discovery/corroboration family named in lane brief.
PRIO-12	2026-06-08T01:18:27Z	Research-integrity sources	sf13	covered	research_integrity_depth_anchor	yes	LIMEN-C-008	Probe one blocked or mediated row for direct publisher notice text while preserving the four current family-depth classes and keeping weak specialist/platform-gated rows explicitly below direct-notice grade.	Research-integrity dashboard facet; publisher-notice upgrade funnel; scholarly-integrity timeline; Route-A limitations panel.	Required scholarly/retraction anomaly family named in lane brief.
