audit_id	as_of_utc	family_id	source_family	required_by_lane_brief	present_in_ledger	present_in_priority_objective_table	required_field_completeness	missing_required_fields	route_rank	priority	thin_family_flag	coverage_class	saturation_state	authority_shape	access_shape	reuse_shape	scope_shape	cadence_shape	case_type_shape	saturation_shape	best_current_role	observatory_hook	paper_readiness_interpretation	next_smallest_move
SFLBCA-001	2026-06-08T17:07:37Z	sf08	Court and tribunal records	yes	yes	yes	8/8		1	P0	yes	route_b_blocker_family	seeded	Highest authority for filings, judgments, consent decrees, and procedural posture when records are official and public.	Public court databases, judgment portals, tribunal repositories, or official DOJ/agency-linked docket materials.	Respect access limits; no scraping behind logins, paywalls, sealed, or private attachments.	Highly multilingual. / Jurisdiction-specific.	Event-driven / irregular.	Litigation, injunctions, complaints, decrees, judgments, and review of automated/public AI decisions.	1 DOJ-linked indictment PDF remains image-only with partial caption OCR plus 1 EEOC filing/settlement pair exposing Civil Action No. 1:22-cv-02565 in agency summaries, but there is still no open court-originating complaint, decree, docket entry, or judicial order text.				
SFLBCA-002	2026-06-08T17:07:37Z	sf09	Public-sector registers and procurement	yes	yes	yes	8/8		2	P1	yes	route_b_blocker_family	seeded	Medium-to-high authority for what a public body disclosed or procured; weak for deployment impact, legality, or efficacy unless corroborated.	Official registers, procurement portals, tender notices, award pages, contract pages, and public-body project pages.	Metadata-first extraction; do not infer deployment, legality, or AI capability beyond source text.	Often local-language first. / Country, regional, and municipal public-sector jurisdictions.	Periodic / batch releases varying by portal.	Algorithm registers, procurement anomalies, AI system disclosures, and public deployment surfaces.	2 municipal public AI register rows still anchor the family, but the bounded non-register side now also includes 1 Slovenian police-plus-CORDIS official companion pair, 2 UK regulator-document packages, 1 Danish Datatilsynet governance row plus 2 exact-row Retsinformation legal-basis companions and 1 official UFSN taskforce-report companion, 1 Helsinki same-buyer procurement companion, and Amsterdam's explicit same-buyer Azure/Public Cloud family bridge; buyer-side/public-impact proof is still missing.				
SFLBCA-003	2026-06-08T17:07:37Z	sf11	Security research and advisories	yes	yes	yes	8/8		3	P1	yes	route_b_blocker_family	seeded	Variable authority; strongest when tied to CERTs, established labs, coordinated disclosure, or peer-reviewed work.	Public blogs, conference papers, CERT notes, vendor advisories, and coordinated-disclosure pages.	Preserve bounded metadata and defensive lessons only; exclude exploit payloads and dangerous reproduction detail.	Mostly English with some multilingual advisories. / Global.	Continuous.	Prompt injection, exfiltration, model inversion, unsafe agent tooling, red-team findings, and coordinated disclosures.	11-row live security package now sits at 3 core / 8 appendix / 1 gap with the explicit supply-chain/plugin zero state retired; the trust-boundary slice remains a bounded three-row surface (ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row), while 1 explicit peer-reviewed gap row still remains and required-brief plus claim-routing helper consumers now inherit that live split.				
SFLBCA-004	2026-06-08T17:07:37Z	sf13	Academic and research-integrity sources	yes	yes	yes	8/8		4	P1	yes	research_integrity_depth_anchor	seeded	Medium-to-high authority for retractions, correction notices, benchmark-integrity notes, and scholarly dispute records depending on source.	Public journal notices, publisher pages, DOI registries, retraction databases, and institutional reports.	Public/citation-ready sources preferred; preserve publisher-specific reuse terms.	Mostly English with some multilingual notices. / Global scholarly ecosystem.	Continuous / irregular.	Retracted AI papers, benchmark contamination, fabricated evaluation claims, and research-integrity anomalies.	7 locally classified rows now split into 5 evidence-depth classes: three direct publisher-originating notice-text exemplars across archive-resolved NEJM plus two Springer surfaces, one archived residual platform-action exemplar tied to an exact SSRN/arXiv pair, one mediated SAGE row, and two still-weak specialist/discovery rows.				
SFLBCA-005	2026-06-08T17:07:37Z	sf06	CSET AI Harm taxonomy / overview	yes	yes	yes	8/8		5	P1	no	comparator_methods_seed	seeded	Secondary conceptual authority for harm framing and related-work comparison, but not machine-ready incident evidence.	Public Georgetown CSET article surface plus exact public PDF/README anchors captured in local bridge work.	Use citation/manual mapping only; no explicit open machine-reuse grant or row-level public dataset route was verified locally.	English. / Global / conceptual.	Irregular article/report updates.	Harm framing, interpretive taxonomy support, and related-work positioning.	Fresh bounded live check still returns the public CSET overview article shell; the family remains manual-citation-only with no improved permissive reuse signal.			Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evi... [truncated]	
SFLBCA-006	2026-06-08T17:07:37Z	sf07	Regulator and enforcement sources	yes	yes	yes	8/8		6	P0	no	authoritative_shared_anchor	seeded	High authority for official actions, allegations, orders, fines, guidance, and procedural posture within issuing jurisdiction.	Official regulator portals, enforcement pages, press releases, decisions, and linked official documents.	Public-document use only; preserve original-language nuance and narrow posture-based wording.	Multilingual depending on regulator. / Jurisdiction-specific; collectively global.	Irregular, high-value discrete updates.	Enforcement actions, deceptive-marketing cases, privacy breaches, official warnings, and procedural escalations.	11-row shared authoritative core now counts 8 direct-document-grade rows across Italy, the United States, the United Kingdom, and promoted FTC non-finance official rows, while the court-family blocker remains tracked separately under sf08.				
SFLBCA-007	2026-06-08T17:07:37Z	sf12	Reputable multilingual media and investigations	yes	yes	yes	8/8		7	P1	no	multilingual_upgrade_feeder	seeded	Secondary corroborative authority valuable for discovery, local context, and timeline stitching, but weaker than official sources.	Public news sites, investigative outlets, archives, and broadcaster pages.	Use quotations sparingly; preserve outlet/date/URL and do not treat visibility as prevalence.	Multilingual, including underrepresented and local-language reporting. / Global.	Continuous.	Discovery leads, local context, public reactions, timeline stitching, and cases absent from English summaries.	6 local leads across Finland, Lithuania, Slovenia, and Estonia; 1 lead already upgraded from media/discovery friction to a direct official source.			Strong for discovery, coverage-gap analysis, and rare-language methods;... [truncated]	
SFLBCA-008	2026-06-08T17:07:37Z	sf04	MITRE ATLAS	yes	yes	yes	8/8		8	P0	no	structured_security_context	seeded	High structured authority for adversarial-ML and agentic-security techniques, mitigations, and case-study relations.	Public website plus Apache-licensed GitHub YAML/data distribution.	Apache-2.0 lowers reuse friction for technique/mitigation/case-study metadata; do not overstate case studies as exhaustive incident coverage.	English technical/security knowledge base. / Global.	Periodic framework/data releases.	Adversarial techniques, mitigations, case-study relations, and agentic/security anomaly structure.	Fresh bounded live check still returns public distributed ATLAS YAML; the deprecation banner remains visible and `version: 5.6.0` still appears, so structured reuse stays valid but version status must travel with citations.				
SFLBCA-009	2026-06-08T17:07:37Z	sf03	AI Vulnerability Database (AVID)	yes	yes	yes	8/8		9	P0	no	structured_security_context	seeded	High structured technical authority for public AI vulnerability/report metadata when exact IDs and references are preserved.	Public website plus openly downloadable GitHub raw JSON and repository contents.	MIT-licensed structured metadata lowers reuse friction, but import should stay bounded to IDs, dates, metrics, references, and linked report/vulnerability objects.	Primarily English technical reporting. / Global.	Rolling/continuous.	AI vulnerabilities, security edge cases, technical misuse, and failure reports.	Fresh bounded live check still returns public raw report JSON with stable AVID report ID/date fields; permissive structured metadata posture remains intact.			Strong for technical mechanism, vulnerabi... [truncated]	
SFLBCA-010	2026-06-08T17:07:37Z	sf05	MIT AI Risk Repository	yes	yes	yes	8/8		10	P0	no	comparator_methods_seed	seeded	Secondary but important structured authority for risk and harm definitions; not an incident-truth source.	Public website and navigator-style interface.	Use as attributed taxonomy/definition layer only; verified Google Sheets workbook export allows bounded structured tab/slice reuse, but mirror-specific access and row-level event equivalence claims remain out of scope.	English-facing taxonomy surface. / Global / framework-defined.	Periodic revisions.	Risk classes, hazard definitions, and residual-category comparison support.	Fresh bounded live check plus crosswalk verification now confirms the public /risks page exposes CC BY 4.0 dataset metadata and at least one anonymously downloadable Google workbook/CSV export, while the named SharePoint mirror remains sign-in gated.				
