audit_id	audit_timestamp_utc	family_id	source_family	old_as_of_utc	new_as_of_utc	changed_fields	drift_reason	paper_readiness_delta
SFCV2-001	2026-06-08T14:44:55Z	sf01	AI Incident Database (AIID)	2026-06-08T09:25:29Z	2026-06-08T06:16:55Z	as_of_utc;paper_safe_role_now;next_verification_move;dashboard_hook;reviewer_safe_interpretation	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-002	2026-06-08T14:44:55Z	sf02	OECD AI Incidents Monitor (OECD AIM)	2026-06-08T09:25:29Z	2026-06-08T06:16:55Z	as_of_utc;paper_safe_role_now;next_verification_move;dashboard_hook;reviewer_safe_interpretation	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-003	2026-06-08T14:44:55Z	sf03	AI Vulnerability Database (AVID)	2026-06-08T09:25:29Z	2026-06-08T06:16:55Z	as_of_utc;saturation_metric;paper_safe_role_now;next_verification_move;dashboard_hook;reviewer_safe_interpretation	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-004	2026-06-08T14:44:55Z	sf04	MITRE ATLAS	2026-06-08T09:25:29Z	2026-06-08T06:16:55Z	as_of_utc;paper_safe_role_now;next_verification_move;dashboard_hook;reviewer_safe_interpretation	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-005	2026-06-08T14:44:55Z	sf05	MIT AI Risk Repository	2026-06-08T10:56:24Z	2026-06-08T10:56:24Z	paper_safe_role_now;next_verification_move;dashboard_hook;reviewer_safe_interpretation	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-006	2026-06-08T14:44:55Z	sf06	CSET AI Harm taxonomy / overview	2026-06-08T09:25:29Z	2026-06-08T06:16:55Z	as_of_utc;paper_safe_role_now;next_verification_move;dashboard_hook;reviewer_safe_interpretation	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-007	2026-06-08T14:44:55Z	sf07	Regulator and enforcement sources	2026-06-08T09:25:29Z	2026-06-08T08:52:47Z	as_of_utc;paper_safe_role_now;next_verification_move;dashboard_hook;reviewer_safe_interpretation	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-008	2026-06-08T14:44:55Z	sf08	Court and tribunal records	2026-06-08T09:25:29Z	2026-06-08T08:52:47Z	as_of_utc;paper_safe_role_now;next_verification_move;dashboard_hook;reviewer_safe_interpretation	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-009	2026-06-08T14:44:55Z	sf09	Public-sector registers and procurement	2026-06-08T12:47:34Z	2026-06-08T12:47:34Z	paper_safe_role_now;next_verification_move;dashboard_hook;reviewer_safe_interpretation	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-010	2026-06-08T14:44:55Z	sf10	Company and platform notices	2026-06-08T09:25:29Z	2026-06-08T08:52:47Z	as_of_utc;paper_safe_role_now;next_verification_move;dashboard_hook	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-011	2026-06-08T14:44:55Z	sf11	Security research and advisories	2026-06-08T11:25:26Z	2026-06-08T12:00:37Z	as_of_utc;paper_safe_role_now;next_verification_move;dashboard_hook;reviewer_safe_interpretation	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-012	2026-06-08T14:44:55Z	sf12	Reputable multilingual media and investigations	2026-06-08T09:25:29Z	2026-06-08T08:52:47Z	as_of_utc;paper_safe_role_now;next_verification_move;dashboard_hook;reviewer_safe_interpretation	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-013	2026-06-08T14:44:55Z	sf13	Academic and research-integrity sources	2026-06-08T13:21:39Z	2026-06-08T13:21:39Z	saturation_metric;paper_safe_role_now;next_verification_move;dashboard_hook;reviewer_safe_interpretation	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-014	2026-06-08T14:44:55Z	sf14	Social and web lead sources	2026-06-08T09:25:29Z	2026-06-07T21:06:57Z	as_of_utc;paper_safe_role_now;next_verification_move;dashboard_hook	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
SFCV2-015	2026-06-08T14:44:55Z	sf15	Creative/absurd and normative outlier sources	2026-06-08T09:25:29Z	2026-06-07T23:20:03Z	as_of_utc;paper_safe_role_now;next_verification_move;dashboard_hook;reviewer_safe_interpretation	compact-coverage-front-door lagged canonical source-family ledger state	coverage-map consumers now inherit the current canonical family state rather than older synthesis wording
