as_of_utc	family_id	source_family	priority	saturation_state	dashboard_readiness	route_rank	authority_profile_short	language_scope	jurisdiction_scope	update_cadence	likely_case_types	coverage_signal	thin_family_flag	exact_upgrade_trigger	next_verification_move	dashboard_hook	paper_safe_claim_now
2026-06-07T21:06:57Z	sf01	AI Incident Database (AIID)	P0	seeded	grounded_now	13	Curated incident database with strong discovery and comparison value, but not a final authority for legal status or allegation truth.	English-facing interface with global incident coverage.	Global, multi-jurisdiction.	Rolling/continuous.	Public incident reports, deployment failures, misuse, and controversy traces.	1 stable public incident page sample plus one appendix row verified; public backup discoverability confirmed; bulk/API semantics still partial.	no	Verify one snapshot manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting.	Verify one snapshot manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting.	Source-family saturation map; comparator-overlap panel; interoperability readiness board.	Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims.
2026-06-07T21:06:57Z	sf02	OECD AI Incidents Monitor (OECD AIM)	P0	seeded	grounded_now	12	Official institutional monitor with strong policy-facing authority for incident indexing and controlled vocabularies, but not itself a final authority on underlying allegations.	English-facing interface with international article references and platform vocabularies.	Global, multi-jurisdiction.	Rolling/continuous.	Public incident summaries, article-linked records, and policy-facing monitoring rows.	1 stable public detail-page sample plus live country/language/concept endpoint evidence verified locally; record-discovery route still partial.	no	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset.	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset.	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board.	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims.
2026-06-08T10:58:00Z	sf03	AI Vulnerability Database (AVID)	P0	seeded	grounded_now	9	High structured technical authority for public AI vulnerability/report metadata when exact IDs and references are preserved.	Primarily English technical reporting.	Global.	Rolling/continuous.	AI vulnerabilities, security edge cases, technical misuse, and failure reports.	11 live seeded security rows now carry 2 canonical direct AVID joins plus 9 explicit non-match/context-control rows in the reviewer-safe appendix.	no	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.	Strong for technical mechanism, vulnerability metadata, and two exact security-row bridges; weak for general incident census or treating placeholder rows as solved joins.
2026-06-07T21:06:57Z	sf04	MITRE ATLAS	P0	seeded	grounded_now	8	High structured authority for adversarial-ML and agentic-security techniques, mitigations, and case-study relations.	English technical/security knowledge base.	Global.	Periodic framework/data releases.	Adversarial techniques, mitigations, case-study relations, and agentic/security anomaly structure.	ATLAS technique context appears across all 9 current security rows with 12 technique-ID occurrences; the appendix separates generalized case-context, no-direct-case-study, and cautious-context-only states.	no	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.	Strong for security-technique structure, mitigation framing, and operational technique-context joins; weak for non-security completeness or direct case-study equivalence claims.
2026-06-07T21:06:57Z	sf05	MIT AI Risk Repository	P0	seeded	grounded_now	10	Secondary but important structured authority for risk and harm definitions; not an incident-truth source.	English-facing taxonomy surface.	Global / framework-defined.	Periodic revisions.	Risk classes, hazard definitions, and residual-category comparison support.	Homepage-level reuse signal and taxonomy role verified; no bulk export route yet documented.	no	Extract one compact manual risk-category bridge for the most used LIMEN harm labels before any stronger comparative language.	Extract one compact manual risk-category bridge for the most used LIMEN harm labels before any stronger comparative language.	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators.	Strong for methods, taxonomy, and harm-definition claims; invalid as event evidence.
2026-06-07T21:06:57Z	sf06	CSET AI Harm taxonomy / overview	P1	seeded	grounded_now	5	Secondary conceptual authority for harm framing and related-work comparison, but not machine-ready incident evidence.	English.	Global / conceptual.	Irregular article/report updates.	Harm framing, interpretive taxonomy support, and related-work positioning.	Public article plus exact PDF/README anchors verified; 7-row local harm bridge and 5-rule coding memo exist; machine-ingest path remains absent.	no	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator.
2026-06-08T01:06:59Z	sf07	Regulator and enforcement sources	P0	seeded	grounded_now	6	High authority for official actions, allegations, orders, fines, guidance, and procedural posture within issuing jurisdiction.	Multilingual depending on regulator.	Jurisdiction-specific; collectively global.	Irregular, high-value discrete updates.	Enforcement actions, deceptive-marketing cases, privacy breaches, official warnings, and procedural escalations.	11-row shared authoritative core now counts 8 direct-document-grade rows across Italy, the United States, the United Kingdom, and promoted FTC non-finance official rows, while the court-family blocker remains tracked separately under sf08.	no	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Best current family for upgrading weak media or company claims into paper-grade bounded statements.
2026-06-08T01:06:59Z	sf08	Court and tribunal records	P0	seeded	grounded_now	1	Highest authority for filings, judgments, consent decrees, and procedural posture when records are official and public.	Highly multilingual.	Jurisdiction-specific.	Event-driven / irregular.	Litigation, injunctions, complaints, decrees, judgments, and review of automated/public AI decisions.	1 DOJ-linked indictment PDF remains image-only with partial caption OCR plus 1 EEOC filing/settlement pair exposing Civil Action No. 1:22-cv-02565 in agency summaries, but there is still no open court-originating complaint, decree, docket entry, or judicial order text.	yes	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix.	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix.	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin.
2026-06-08T01:27:51Z	sf09	Public-sector registers and procurement	P1	seeded	grounded_now	2	Medium-to-high authority for what a public body disclosed or procured; weak for deployment impact, legality, or efficacy unless corroborated.	Often local-language first.	Country, regional, and municipal public-sector jurisdictions.	Periodic / batch releases varying by portal.	Algorithm registers, procurement anomalies, AI system disclosures, and public deployment surfaces.	2 municipal public AI register rows, 1 Slovenian official police project-page row, 2 UK regulator-document anchors, and 1 Helsinki same-buyer procurement companion still stand, with Amsterdam now carrying an explicit same-buyer Azure/Public Cloud family bridge while remaining below exact buyer-side or public-companion proof.	yes	Add one buyer-side tender, award, contract, or public impact-assessment companion for either register row, or keep the family bounded at register-plus-non-register disclosure surfaces.	Add one buyer-side tender, award, contract, or public impact-assessment companion for either register row, or keep the family bounded at register-plus-non-register disclosure surfaces.	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel.	Strong for disclosure-surface heterogeneity and public-body-existence claims; still weak for buyer-side traceability, capability, legality, or impact claims.
2026-06-07T21:06:57Z	sf10	Company and platform notices	P1	seeded	grounded_now	11	Primary only for what the issuer disclosed; self-interested and incomplete for broader truth claims.	Mostly English with some localized notices.	Global firm/platform scope.	Irregular / incident-driven.	Outages, rollbacks, remediation notices, policy changes, and deployment pauses.	5 metadata-normalized issuer/coordinator notice rows exist locally for Auto-GPT, Langflow, Claude Code, and CrewAI-linked cases.	no	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction.	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction.	Remediation timeline overlay; issuer-vs-independent-source comparison table.	Useful for timing and remediation claims; should rarely stand alone for incident characterization.
