board_id	as_of_utc	family_id	source_family	priority	route_rank	coverage_class	thin_family_flag	family_role_now	shared_claim_targets	current_claim_ceiling	threshold_event_needed	paper_or_visual_gain_if_upgraded	dashboard_hook	best_local_anchor	recommended_reuse_bundle	route_decision_note
SFG-001	2026-06-08T01:06:59Z	sf08	Court and tribunal records	P0	1	route_b_blocker_family	yes	Top-priority hostile-reviewer blocker because stronger court text would immediately harden the authoritative shared claims layer.	LIMEN-C-010	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin.	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix.	Table 1A; Figure 8; procedural-posture timeline	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.	sources/authoritative-source-ledger.tsv	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/court-anchor-progress-matrix-v0.1.tsv; results/authoritative-scout/eeoc-itutorgroup-open-court-probe-v0.1.tsv; results/authoritative-scout/nate-case-number-ocr-stress-test-v0.1.tsv; results/authoritative-scout/ocr-readiness-matrix-v0.1.tsv; results/authoritative-scout/status.md; results/boost/limen-boost-049/source-family-front-door-bundle.tsv; results/boost/limen-boost-049/source-family-nonrepeat-upgrade-matrix.tsv; results/boost/limen-boost-001/publication-yield-route-board.tsv; results/boost/limen-continuous-experiments/route-b-next-experiment-priority-matrix-v0.1.tsv; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	highest_blocker_for_route_b
SFG-002	2026-06-08T12:47:34Z	sf09	Public-sector registers and procurement	P1	2	route_b_blocker_family	yes	Core public-sector disclosure family for the shared public-sector package, now spanning register, regulator-document, official project-plus-EU companion, exact-row legal-basis-chain, and exact-row official planning-document subtypes.	LIMEN-C-012	Strong for disclosure-surface heterogeneity, multilingual public-body-existence claims, and bounded governance/legal-basis/planning narration; still weak for buyer-side traceability, capability, legality, deployment, or impact claims.	Add one buyer-side tender, award, contract, or public impact-assessment companion for Amsterdam or Helsinki, or one later official operational, DPIA, procurement, implementation, or outcome surface for the Danish AI-SU chain, while keeping the family bounded at disclosure-surface heterogeneity rather than procurement/deployment proof.	Table 1B; public-sector disclosure asymmetry panel; governance/legal-basis/planning comparator; buyer-side traceability ladder	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel; public-sector proof-ceiling comparator; governance/planning follow-through note.	results/boost/limen-continuous-experiments/public-sector-disclosure-field-completeness-v0.1.tsv	results/boost/limen-continuous-experiments/public-sector-disclosure-field-completeness-v0.1.tsv; results/boost/limen-continuous-experiments/orion-disclosure-schema-probe-v0.1.tsv; results/boost/limen-boost-006/comparator-freeze-matrix.tsv; results/boost/limen-boost-006/buyer-side-trace-audit.tsv; results/boost/limen-continuous-experiments/sf09-helsinki-procurement-detail-probe-v0.1.tsv; results/authoritative-scout/orion-cordis-companion-audit-v0.1.tsv; results/authoritative-scout/danish-ai-su-legal-basis-companion-audit-v0.1.tsv; results/authoritative-scout/danish-ai-su-taskforce-companion-audit-v0.1.tsv; sources/authoritative-source-ledger.tsv; results/dashboard-paper/public-sector-disclosure-asymmetry-v0.1.md; results/source-map/source-family-sf09-governance-companion-currentness-audit-v0.1.tsv; results/source-map/source-family-sf09-taskforce-followthrough-currentness-audit-v0.1.tsv	highest_blocker_for_route_b
SFG-003	2026-06-08T15:25:34Z	sf11	Security research and advisories	P1	3	route_b_blocker_family	yes	Core security family for the shared agentic-security package and a Route-B blocker with one remaining family-level peer-reviewed gap plus a bounded three-row trust-boundary slice spanning ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row.	LIMEN-C-007	Useful for mechanism discovery, source-independence comparison, coordination posture, and remediation-visibility comparisons when vendor/CERT/release-note/independent-lab roles stay explicit; still weak for prevalence or complete remediation claims.	Close `GAP-peer_reviewed_security_case_support` first with one incident-specific peer-reviewed, workshop, or conference-grade technical case attachment to a live row; after that, pursue either broader trust-boundary authority beyond the current MCP/deployment pair or a stronger independent/scholarly attachment for the memory/state-contamination slice, while keeping the current three-row trust-boundary slice explicitly bounded at ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row until one of those threshold events lands.	Table 6; security authority-balance and remediation-visibility panels	Security-source authority matrix; advisory-to-CVE linkage graph; remediation-visibility overlay; Route-B security hardening panel.	results/security/security-agentic-next-route-board-v0.1.tsv	results/security/security-agentic-next-route-board-v0.1.tsv; results/security/security-agentic-gap-closure-register-v0.1.tsv; results/security/security-agentic-reviewer-panels-v0.1.tsv; results/security/security-agentic-framework-verification-v0.1.tsv; results/security/security-agentic-crosswalk-strength-matrix-v0.1.tsv; results/security/status.md; results/boost/limen-boost-049/source-family-front-door-bundle.tsv; results/boost/limen-boost-049/source-family-nonrepeat-upgrade-matrix.tsv; results/boost/limen-boost-001/publication-yield-route-board.tsv; results/boost/limen-continuous-experiments/route-b-next-experiment-priority-matrix-v0.1.tsv; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv; results/source-map/source-family-visual-provenance-currentness-audit-v0.1.tsv; results/source-map/source-family-sf11-helper-sync-repair-v0.1.tsv	third_blocker_for_route_b_peer_review_gap_first
SFG-004	2026-06-08T09:42:43Z	sf13	Academic and research-integrity sources	P1	4	research_integrity_depth_anchor	yes	Core research-integrity/procedural-contamination family for the shared source-depth package.	LIMEN-C-008	Strong for bounded claims about article identification, retraction/correction surfaces, archive-resolved and live publisher-notice depth, and source-resolution friction; weaker for editorial reasoning where direct notice text is absent or archive-only.	Capture one direct SAGE journal or publisher notice text, or another non-archived cross-publisher scholarly action record, while preserving the four current family-depth classes and the archive-resolved-versus-live split.	Table 1E; research-integrity source-depth panel	Research-integrity dashboard facet; publisher-notice upgrade funnel; scholarly-integrity timeline; Route-A limitations panel.	results/source-map/research-integrity-family-inventory-v0.1.tsv	results/source-map/research-integrity-family-inventory-v0.1.tsv; results/boost/limen-boost-008/nejm-wayback-notice-audit.tsv; results/boost/limen-boost-008/document-depth-matrix.tsv; results/boost/limen-boost-008/notice-text-evidence.tsv; results/boost/limen-boost-008/status.md; results/boost/limen-boost-049/source-family-front-door-bundle.tsv; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	methods_limitations_balance_priority
SFG-005	2026-06-07T21:06:57Z	sf06	CSET AI Harm taxonomy / overview	P1	5	comparator_methods_seed	no	Appendix-only methods/related-work support; not a shared empirical claim family.		Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator.	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Related-work appendix; harm-taxonomy note	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.	results/crosswalks/source-crosswalk-v0.1.tsv	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/cset-harm-bridge.tsv; results/boost/limen-boost-002/cset-coding-rules.tsv; methods/crosswalk-method-note-v0.1.md; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	appendix_only_freeze_priority
SFG-006	2026-06-08T05:43:24Z	sf07	Regulator and enforcement sources	P0	6	authoritative_shared_anchor	no	Core authoritative-event family for the shared authoritative package; also carries multiple shard-specific official-response, disposition-stage, AI-washing, and detector-governance claims.	LIMEN-C-004A; LIMEN-C-004B; LIMEN-C-005; LIMEN-C-009; LIMEN-C-010; LIMEN-C-011; LIMEN-C-015; LIMEN-C-017; LIMEN-C-018	Best current family for upgrading weak media or company claims into paper-grade bounded statements.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Table 1A; Figure 8; authoritative evidence matrix	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	sources/authoritative-source-ledger.tsv	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/status.md; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	maintain_current_bounded_use
SFG-007	2026-06-07T21:06:57Z	sf12	Reputable multilingual media and investigations	P1	7	multilingual_upgrade_feeder	no	Core multilingual discovery-and-coverage family for the shared multilingual package, with explicit translation-review caution.	LIMEN-C-013	Strong for discovery, coverage-gap analysis, and rare-language methods; still weak alone for strong legal or normative claims.	Resolve one additional direct source from Finland, Lithuania, or Estonia and record whether the stronger authority comes from broadcaster, police, court, or agency sources.	Table 1D; Figure 6; language-coverage methods note	Jurisdiction/language map; lead-to-authority upgrade funnel; rare-language methods note.	sources/multilingual-outlet-authority-matrix.tsv	sources/multilingual-outlet-authority-matrix.tsv; results/multilingual/multilingual-weird-case-queue.tsv; results/boost/limen-boost-005/source-resolution-log.tsv; data/cases/multilingual-candidates.jsonl; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	maintain_current_bounded_use
SFG-008	2026-06-07T21:06:57Z	sf04	MITRE ATLAS	P0	8	structured_security_context	no	Technique-context comparator support for security writing, but no current shared claim ID depends on ATLAS alone.		Strong for security-technique structure, mitigation framing, and operational technique-context joins; weak for non-security completeness or direct case-study equivalence claims.	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Table 6A comparator package; security/agentic crosswalk heatmap	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.	results/crosswalks/source-crosswalk-v0.1.tsv	results/crosswalks/source-crosswalk-v0.1.tsv; results/crosswalks/seed-import-join-prototype-v0.1.tsv; results/crosswalks/atlas-technique-context-appendix-v0.1.tsv; results/crosswalks/field-map-appendix-v0.1.tsv; results/security/security-agentic-publication-routing-matrix-v0.1.tsv; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	hold_as_reviewer_safe_control_surface
SFG-009	2026-06-08T10:58:00Z	sf03	AI Vulnerability Database (AVID)	P0	9	structured_security_context	no	Reviewer-safe interoperability/control surface for security and comparator writing, but no current shared claim ID depends on AVID alone.		Strong for technical mechanism, vulnerability metadata, and two exact security-row bridges with explicit non-match controls; weak for general incident census or treating placeholder rows as solved joins.	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Table 6A comparator package; security interoperability appendix	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.	results/crosswalks/source-crosswalk-v0.1.tsv	results/crosswalks/source-crosswalk-v0.1.tsv; results/crosswalks/seed-import-join-prototype-v0.1.tsv; results/crosswalks/avid-direct-join-appendix-v0.1.tsv; results/crosswalks/field-map-appendix-v0.1.tsv; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv; results/boost/limen-boost-038/source-family-avid-currentness-audit.tsv	hold_as_reviewer_safe_control_surface
SFG-010	2026-06-08T15:58:24Z	sf05	MIT AI Risk Repository	P0	10	comparator_methods_seed	no	Methods/taxonomy support only; now safe for bounded structured workbook/taxonomy overlay description, but still not elevated to the shared claims layer.		Strong for methods, taxonomy, and harm-definition claims; now also supports a bounded structured workbook/taxonomy overlay description, but remains invalid as event evidence.	Import one deliberately tiny MIT AI Risk workbook tab or taxonomy slice with explicit provenance, sheet naming, and CC BY note; keep SharePoint-gated mirror asymmetry and row-level incident non-equivalence explicit.	Taxonomy heatmap methods note; residual-category overlay; workbook-route readiness note	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators; workbook-route readiness note.	results/crosswalks/source-crosswalk-v0.1.tsv	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; methods/crosswalk-method-note-v0.1.md; results/source-map/source-family-sf05-workbook-route-currentness-audit-v0.1.tsv; results/source-map/source-family-helper-surface-sync-audit-v0.1.tsv	maintain_current_bounded_use_with_verified_workbook_export
