route_rank	family_id	source_family	priority	saturation_state	dashboard_readiness	reviewer_control_state	paper_safe_claim_now	exact_upgrade_trigger	next_verification_move	dashboard_hook	publication_value_if_upgraded	route_note
1	sf08	Court and tribunal records	P0	seeded	grounded_now	freeze_until_open_court_text_or_materially_different_caption_source	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin; current court depth is split between one document-captured charging row and one agency-summary row with stable case-number metadata but no court-originating text	open_iTutorGroup_court_document_or_materially_different_public_exact_caption_source_added	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix.	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.	Reduces the thinnest high-authority blocker in hostile-reviewer review and turns the court-family backlog from a generic weak spot into a cleaner source-absence-versus-normalization comparison table.	Prefer existing public-record hardening over new harvesting, keep the iTutorGroup source-absence blocker separate from the Nate normalization blocker, and treat sf08 as the first blocker for Route B.
2	sf09	Public-sector registers and procurement	P1	seeded	grounded_now	freeze_until_buyer_side_or_second_register_upgrade	Strong for disclosure-surface heterogeneity and public-body-existence claims; still weak for buyer-side traceability, capability, legality, or impact claims	buyer_side_tender_award_contract_or_public_impact_assessment_companion_added	Add one buyer-side tender, award, contract, or public impact-assessment companion for either register row, or keep the family bounded at register-plus-non-register disclosure surfaces.	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel.	Moves the family from a same-buyer procurement companion with supplier-consistent award metadata toward an exact row-linked public-sector traceability figure/table candidate.	Prefer one exact-row buyer-side or public-impact companion over more register-like examples, and treat sf09 as the second blocker for Route B.
3	sf11	Security research and advisories	P1	seeded	grounded_now	bounded_singleton_supply_chain_and_peer_review_gap_now	Useful for mechanism discovery, source-independence comparison, coordination posture, and remediation-visibility comparisons when vendor/CERT/release-note/independent-lab roles stay explicit; still weak for prevalence or complete remediation claims	peer_reviewed_security_case_support_added	Close `GAP-peer_reviewed_security_case_support` first with one incident-specific peer-reviewed, workshop, or conference-grade technical case attachment to a live row; after that, treat Langflow exact-vendor-remediation notice depth as the fastest same-row hardening move and keep LIMEN-000012 explicitly singleton-only until a second exemplar or stronger independent attachment appears.	Security-source authority matrix; advisory-to-CVE linkage graph; remediation-visibility overlay; Route-B security hardening panel.	Removes the only remaining explicit family-level zero state and strengthens security-family authority balance without pretending that singleton MCP/plugin coverage is already broad.	Prefer peer-reviewed closure first, then Langflow notice-depth repair, and keep LIMEN-000012 framed as singleton-only until a second exemplar or stronger independent attachment appears.
4	sf13	Academic and research-integrity sources	P1	seeded	grounded_now	bounded_research_integrity_use_now	Strong for bounded claims about article identification, retraction/correction surfaces, and source-resolution friction; weaker for editorial reasoning unless notice text is captured	compact_family_inventory_separating_notice_types_added	Probe one blocked or mediated row for direct publisher notice text while preserving the four current family-depth classes and keeping weak specialist/platform-gated rows explicitly below direct-notice grade.	Research-integrity dashboard facet; publisher-notice upgrade funnel; scholarly-integrity timeline; Route-A limitations panel.	Improves research-integrity source-depth balance and strengthens limitations/methods language.	Prefer one direct publisher notice-text upgrade over more mediated/specialist rows, and treat sf13 as a Route-A limitations-balance family rather than a general event family.
5	sf06	CSET AI Harm taxonomy / overview	P1	seeded	grounded_now	appendix_only_manual_overlay_now	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator	second_low_drift_review_pass_or_explicit_appendix_only_freeze_recorded	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.	Makes the source map match the existing local concept-bridge package and keeps taxonomy prose from understating or overreading CSET.	Prefer explicit appendix-only manual-overlay wording over any ingest-style language, and keep sf06 as a Route-A methods/related-work layer rather than an empirical-count family.
6	sf07	Regulator and enforcement sources	P0	seeded	grounded_now	bounded_authoritative_claims_now	Best current family for upgrading weak media or company claims into paper-grade bounded statements	one_non_US_non_UK_follow_through_row_added	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Reduces geography skew in authoritative enforcement examples.	Hold or maintain until higher-ranked blockers move.
7	sf12	Reputable multilingual media and investigations	P1	seeded	grounded_now	bounded_discovery_and_methods_use_now	Strong for discovery, coverage-gap analysis, and rare-language methods; still weak alone for strong legal or normative claims	one_additional_direct_source_resolved_row_added	Resolve one additional direct source from Finland, Lithuania, or Estonia and record whether the stronger authority comes from broadcaster, police, court, or agency sources.	Jurisdiction/language map; lead-to-authority upgrade funnel; rare-language methods note.	Adds one more direct-source multilingual upgrade path for the language/jurisdiction map.	Hold or maintain until higher-ranked blockers move.
8	sf04	MITRE ATLAS	P0	seeded	grounded_now	reviewer_safe_appendix_now_hold_until_exact_case_study_or_stronger_anchor	Strong for security-technique structure, mitigation framing, and already-operational technique-context joins; weak for non-security completeness or direct case-study equivalence claims	defensible_exact_case_study_ID_or_stronger_cautious_row_anchor_added	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.	Makes the security graph bridge easier for reviewers to see directly and preserves the crucial distinction between widespread technique-context coverage and still-missing case-study IDs.	ATLAS now has a reviewer-safe appendix and should be treated as a maintained control surface, not as an immediate backlog item unless an exact case-study ID or stronger anchor becomes available.
9	sf03	AI Vulnerability Database (AVID)	P0	seeded	grounded_now	reviewer_safe_appendix_now_hold_until_third_direct_join_or_exact_negative_rule	Strong for technical mechanism, vulnerability metadata, and two already-populated exact security-row bridges with explicit non-match controls; not a general incident census and not a license to collapse placeholder rows into solved joins	third_canonical_AVID_join_or_exact_negative_match_rule_added	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.	Keeps AVID as a compact reviewer-visible replicated-but-thin direct-join demonstration, which strengthens interoperability and methods language without broad harvesting.	AVID now has a reviewer-safe direct-versus-placeholder appendix and should be treated as a maintained control surface, not as an immediate backlog item unless a third exact join or negative-match rule is found.
10	sf05	MIT AI Risk Repository	P0	seeded	grounded_now	methods_taxonomy_plus_verified_workbook_route_now	Strong for methods, taxonomy, and harm-definition claims; now also supports a bounded structured workbook/taxonomy overlay description, but remains invalid as event evidence	tiny_named_workbook_tab_or_taxonomy_slice_imported_with_CC_BY_and_non_equivalence_cautions_preserved	Import one deliberately tiny MIT AI Risk workbook tab or taxonomy slice with explicit provenance, sheet naming, and CC BY note; keep SharePoint-gated mirror asymmetry and row-level incident non-equivalence explicit.	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators; workbook-route readiness note.	Maintain current bounded use with verified workbook export; only spend more effort after higher-value thin-family blockers or if one tiny named workbook slice is needed for methods prose.	Hold or maintain until higher-ranked blockers move; reopen for one deliberately tiny named workbook slice only if a methods/table consumer needs it.
