as_of_utc	family_id	source_family	priority	last_checked_utc	representative_local_anchor	local_seed_evidence	reuse_constraints	language_scope	jurisdiction_scope	update_cadence	likely_case_types	local_artifact_anchors	provenance_note	next_verification_move	dashboard_hook
2026-06-07T23:27:09Z	sf01	AI Incident Database (AIID)	P0	2026-06-07T16:42:45Z	results/crosswalks/source-crosswalk-v0.1.tsv	Stable public cite-page sample with visible incident ID, date, and report-count labels.	Do not mirror weekly snapshots or automate bulk pulls until snapshot semantics and rate/terms posture are documented.	English-facing interface with global incident coverage.	Global, multi-jurisdiction.	Rolling/continuous.	Public incident reports, deployment failures, misuse, and controversy traces.	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	Grounded in bounded 2026-06-07 local verification of public cite-page and snapshot surfaces; GraphQL POST remained origin-restricted.	Verify one snapshot manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting.	Source-family saturation map; comparator-overlap panel; interoperability readiness board.
2026-06-07T23:27:09Z	sf02	OECD AI Incidents Monitor (OECD AIM)	P0	2026-06-07T16:42:45Z	results/crosswalks/source-crosswalk-v0.1.tsv	Stable slugged public detail page with embedded structured JSON and live facet endpoints.	Keep use metadata-first and citation-oriented until list/detail discovery mechanics and rights posture are documented more fully.	English-facing interface with international article references and platform vocabularies.	Global, multi-jurisdiction.	Rolling/continuous.	Public incident summaries, article-linked records, and policy-facing monitoring rows.	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/sample-bridge-appendix.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv	Grounded in 2026-06-07 local detail-page and facet-endpoint checks; page footer still signals OECD rights reservation.	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset.	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board.
2026-06-07T23:27:09Z	sf03	AI Vulnerability Database (AVID)	P0	2026-06-07T16:42:45Z	results/crosswalks/source-crosswalk-v0.1.tsv	Canonical direct local security-row joins verified for LIMEN-000002 and LIMEN-000016; placeholder/context-only rows remain explicit rather than overstated as solved links.	MIT-licensed structured metadata lowers reuse friction, but import should stay bounded to IDs, dates, metrics, references, and linked report/vulnerability objects.	Primarily English technical reporting.	Global.	Rolling/continuous.	AI vulnerabilities, security edge cases, technical misuse, and failure reports.	results/crosswalks/source-crosswalk-v0.1.tsv; results/crosswalks/seed-import-join-prototype-v0.1.tsv; results/crosswalks/avid-direct-join-appendix-v0.1.tsv; results/crosswalks/field-map-appendix-v0.1.tsv	Grounded in 2026-06-08 bounded live crosswalk/security-package verification of two exact AVID joins plus public raw GitHub JSON controls.	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.
2026-06-07T23:27:09Z	sf04	MITRE ATLAS	P0	2026-06-07T16:42:45Z	results/crosswalks/source-crosswalk-v0.1.tsv	Local security rows already use ATLAS technique context broadly, but exact case-study equivalence remains limited.	Apache-2.0 lowers reuse friction for technique/mitigation/case-study metadata; do not overstate case studies as exhaustive incident coverage.	English technical/security knowledge base.	Global.	Periodic framework/data releases.	Adversarial techniques, mitigations, case-study relations, and agentic/security anomaly structure.	results/crosswalks/source-crosswalk-v0.1.tsv; results/crosswalks/seed-import-join-prototype-v0.1.tsv; results/crosswalks/atlas-technique-context-appendix-v0.1.tsv; results/crosswalks/field-map-appendix-v0.1.tsv; results/security/security-agentic-publication-routing-matrix-v0.1.tsv	Grounded in bounded local parsing of the public ATLAS distributions and the current security crosswalk package.	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.
2026-06-08T15:58:24Z	sf05	MIT AI Risk Repository	P0	2026-06-08T10:56:24Z	results/crosswalks/source-crosswalk-v0.1.tsv	Crosswalk package now verifies one anonymous Google workbook export with named structured tabs (`Causal Taxonomy of AI Risks v1`, `Domain Taxonomy of AI Risks v1`, `AI Risk Database v4`, `Included resources`) while keeping SharePoint-gated mirrors and row-level event joins explicitly out of scope.	Use as attributed taxonomy/definition layer only; verified Google Sheets workbook export allows bounded structured tab/slice reuse, but mirror-specific access and row-level event equivalence claims remain out of scope.	English-facing taxonomy surface.	Global / framework-defined.	Periodic revisions.	Risk classes, hazard definitions, and residual-category comparison support.	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/framework-field-bridge.tsv; methods/crosswalk-method-note-v0.1.md; results/source-map/source-family-sf05-workbook-route-currentness-audit-v0.1.tsv	Grounded in 2026-06-08 public /risks page plus anonymous Google workbook export verification with visible CC BY 4.0 dataset metadata, while the named SharePoint mirror remains sign-in gated.	Import one deliberately tiny MIT AI Risk workbook tab or taxonomy slice with explicit provenance, sheet naming, and CC BY note; keep SharePoint-gated mirror asymmetry and row-level incident non-equivalence explicit.	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators; workbook-route readiness note.
2026-06-07T23:27:09Z	sf06	CSET AI Harm taxonomy / overview	P1	2026-06-07T16:42:45Z	results/crosswalks/source-crosswalk-v0.1.tsv	Local CSET bridge and coding-rule artifacts support an appendix-only concept-bridge family rather than a queue placeholder.	Use citation/manual mapping only; no explicit open machine-reuse grant or row-level public dataset route was verified locally.	English.	Global / conceptual.	Irregular article/report updates.	Harm framing, interpretive taxonomy support, and related-work positioning.	results/crosswalks/source-crosswalk-v0.1.tsv; results/boost/limen-boost-002/cset-harm-bridge.tsv; results/boost/limen-boost-002/cset-coding-rules.tsv; methods/crosswalk-method-note-v0.1.md	Grounded in 2026-06-07 public article retrieval, exact public PDF/README anchors, and local manual bridge/coding-rule artifacts; reuse remains citation/manual only.	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.
2026-06-07T23:27:09Z	sf07	Regulator and enforcement sources	P0	2026-06-07T16:42:45Z	sources/authoritative-source-ledger.tsv	Hashed regulator-source rows and direct order/PDF follow-ups now include Italian DPA order text, ICO PDF-backed biometric cases, EEOC summary-level escalation, DOJ charging-stage-plus-indictment, and SEC administrative orders.	Public-document use only; preserve original-language nuance and narrow posture-based wording.	Multilingual depending on regulator.	Jurisdiction-specific; collectively global.	Irregular, high-value discrete updates.	Enforcement actions, deceptive-marketing cases, privacy breaches, official warnings, and procedural escalations.	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/status.md	Grounded in local authoritative ledger rows with explicit posture and provenance controls.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.
2026-06-08T18:38:45Z	sf08	Court and tribunal records	P0	2026-06-08T17:12:57Z	sources/authoritative-source-ledger.tsv	The iTutorGroup row still has agency-summary-level civil-action metadata without captured court text after bounded EEOC newsroom/node/site-search, named public-mirror, CourtListener, and Bing browser-UI challenge probes, while the Nate row now has bounded proof that the locally captured DOJ-linked indictment is image-only on this host and still yields only partial caption OCR (`25 Cr.` only).	Respect access limits; no scraping behind logins, paywalls, sealed, or private attachments.	Highly multilingual.	Jurisdiction-specific.	Event-driven / irregular.	Litigation, injunctions, complaints, decrees, judgments, and review of automated/public AI decisions.	sources/authoritative-source-ledger.tsv; results/authoritative-scout/regulator-court-escalation-matrix.tsv; results/authoritative-scout/court-anchor-progress-matrix-v0.1.tsv; results/authoritative-scout/eeoc-itutorgroup-open-court-probe-v0.1.tsv; results/authoritative-scout/nate-case-number-ocr-stress-test-v0.1.tsv; results/authoritative-scout/ocr-readiness-matrix-v0.1.tsv; results/authoritative-scout/status.md; results/boost/limen-boost-049/source-family-nonrepeat-upgrade-matrix.tsv; results/boost/limen-boost-001/publication-yield-route-board.tsv; results/boost/limen-continuous-experiments/route-b-next-experiment-priority-matrix-v0.1.tsv; results/authoritative-scout/eeoc-itutorgroup-bing-browser-challenge-audit-v0.1.tsv; results/authoritative-scout/eeoc-itutorgroup-alternative-open-mirror-probe-v0.1.tsv; results/authoritative-scout/nate-indictment-pdf-structure-audit-v0.1.tsv	Grounded in local court-anchor progress, OCR-readiness, image-only PDF structure, open-court probe, named mirror, and Bing browser-challenge artifacts through 2026-06-08T17:12:57Z. Shared source-map package resynchronized at 2026-06-08T18:38:45Z.	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix; reuse the existing negative-result ledgers so failed EEOC newsroom/node/search, named public-mirror, CourtListener, and Bing browser-UI challenge paths are not repeated.	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.
2026-06-08T14:07:46Z	sf09	Public-sector registers and procurement	P1	2026-06-08T12:47:34Z	results/source-map/source-family-coverage-map-v0.2.tsv	The shared package now preserves a five-row public-sector denominator plus strengthened exact-row support: ORION carries a police-plus-CORDIS HTML/XML companion chain, while the Danish AI-SU row carries a Datatilsynet governance pair, two Retsinformation legal-basis companions, and one official UFSN taskforce/planning document.	Metadata-first extraction; do not infer deployment, legality, or AI capability beyond source text.	Often local-language first.	Country, regional, and municipal public-sector jurisdictions.	Periodic / batch releases varying by portal.	Algorithm registers, procurement anomalies, AI system disclosures, and public deployment surfaces.	results/source-map/source-family-coverage-map-v0.2.tsv; results/source-map/source-family-sf09-governance-companion-currentness-audit-v0.1.tsv; results/source-map/source-family-sf09-taskforce-followthrough-currentness-audit-v0.1.tsv; results/authoritative-scout/orion-cordis-companion-audit-v0.1.tsv; results/authoritative-scout/orion-cordis-xml-structured-companion-audit-v0.1.tsv; results/authoritative-scout/danish-ai-su-legal-basis-companion-audit-v0.1.tsv; results/authoritative-scout/danish-ai-su-taskforce-companion-audit-v0.1.tsv; results/authoritative-scout/status.md; results/boost/limen-continuous-experiments/public-sector-disclosure-field-completeness-v0.1.tsv	Grounded in the shared disclosure-surface package plus 2026-06-08 authoritative follow-through artifacts for the ORION CORDIS HTML/XML companion chain and the Danish governance-plus-legal-basis-plus-official-planning sidecar; repeated same-shell procurement probing should not be treated as progress.	Add one buyer-side tender, award, contract, or public impact-assessment companion for Amsterdam or Helsinki, or one later official operational, DPIA, procurement, implementation, or outcome surface for the Danish AI-SU chain, while keeping the family bounded at disclosure-surface heterogeneity rather than procurement/deployment proof.	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Rout... [truncated]
2026-06-07T23:27:09Z	sf10	Company and platform notices	P1	2026-06-07T16:42:45Z	sources/issuer-notice-ledger.tsv	Dedicated issuer/coordinator subledger separates formal advisories, repo issues, and coordination notices for current security rows.	Public notices only; no private support content or hidden dashboards.	Mostly English with some localized notices.	Global firm/platform scope.	Irregular / incident-driven.	Outages, rollbacks, remediation notices, policy changes, and deployment pauses.	sources/issuer-notice-ledger.tsv; results/boost/limen-boost-004/notice-verification.tsv; results/security/security-agentic-mitigation-visibility-v0.1.tsv; results/security/security-agentic-notice-depth-matrix-v0.1.tsv	Grounded in public GitHub advisories/issues, release-note metadata, and CERT/CC-linked coordination evidence already normalized locally.	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction.	Remediation timeline overlay; issuer-vs-independent-source comparison table.
2026-06-08T16:26:19Z	sf11	Security research and advisories	P1	2026-06-08T15:58:40Z	results/security/status.md	The live security package remains an 11-row `3 core / 8 appendix / 1 gap` surface with two exact AVID joins (Langflow and ToolHive), a bounded three-row trust-boundary slice (ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row), and broader negative-evidence controls on the still-open peer-reviewed gap.	Preserve bounded metadata and defensive lessons only; exclude exploit payloads and dangerous reproduction detail.	Mostly English with some multilingual advisories.	Global.	Continuous.	Prompt injection, exfiltration, model inversion, unsafe agent tooling, red-team findings, and coordinated disclosures.	results/security/status.md; results/security/security-agentic-technical-fit-frontier-v0.1.tsv; results/security/security-agentic-fallback-route-bibliography-audit-v0.1.tsv; results/boost/limen-security-agentic-watch/langflow-advisory-promotion-currentness-audit-2026-06-08T13-25-29Z.tsv; results/source-map/source-family-sf11-helper-sync-repair-v0.1.tsv; results/source-map/source-family-publication-gate-board-v0.1.tsv; results/source-map/source-family-required-brief-route-board-v0.1.tsv; results/source-map/source-family-shared-claims-visual-router-v0.1.tsv	Grounded in the local security package after the ToolHive promotion, the Langflow formal-advisory follow-through, and the later multi-registry negative-evidence hardening for the `LIMEN-000007` fallback route; the peer-reviewed incident-case gap remains the only explicit family-level zero state.	Close `GAP-peer_reviewed_security_case_support` first with one incident-specific peer-reviewed, workshop, or conference-grade technical case attachment to a live row; after that, keep Langflow and CrewAI vendor-depth work as same-row hardening and hold the trust-boundary slice explicitly at ToolHive plus Playwright MCP/deployment plus one seeded non-MCP PraisonAI row until a second non-MCP exemplar or stronger independent attachment appears.	
