as_of_utc	family_id	source_family	priority	route_rank	coverage_class	thin_family_flag	primary_package_id	primary_package_label	primary_route_id	secondary_package_ids	package_use_note	shared_claim_targets	manuscript_or_visual_targets	dashboard_hook	current_claim_ceiling	threshold_event_needed	next_verification_move	blocker_state	observatory_interpretation	best_local_anchor
2026-06-08T08:16:01Z	sf01	AI Incident Database (AIID)	P0	13	comparator_methods_seed	no	PKG-002	data_methods_workshop_paper	ROUTE-A	PKG-001; PKG-006	Comparator/control family for observatory methods and interoperability appendix; useful for explaining what LIMEN captures that broad incident monitors flatten or miss.		Table 6A comparator appendix; source-family saturation map	Source-family saturation map; comparator-overlap panel; interoperability readiness board.	Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims.	maintain_current_bounded_use	Verify one snapshot manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting.	AIID	For PKG-002 / ROUTE-A, use this family to support Comparator baseline and methods support only; not yet elevated to the shared claims layer. while keeping AIID explicit.	results/crosswalks/source-crosswalk-v0.1.tsv
2026-06-08T08:16:01Z	sf02	OECD AI Incidents Monitor (OECD AIM)	P0	12	comparator_methods_seed	no	PKG-002	data_methods_workshop_paper	ROUTE-A	PKG-001; PKG-006	Comparator/control family for policy-facing incident-monitor vocabulary and cross-country context; useful in methods and dashboard comparison notes.		Table 6A comparator appendix; country/language comparison note	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board.	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims.	maintain_current_bounded_use	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset.	OECD_AIM	For PKG-002 / ROUTE-A, use this family to support Comparator baseline and vocabulary bridge support only; not yet elevated to the shared claims layer. while keeping OECD AIM explicit.	results/crosswalks/source-crosswalk-v0.1.tsv
2026-06-08T08:16:01Z	sf03	AI Vulnerability Database (AVID)	P0	9	structured_security_context	no	PKG-002	data_methods_workshop_paper	ROUTE-A	PKG-003; PKG-006	Structured security interoperability family for exact external-ID joins, reviewer-safe negative matches, and Table 6A comparator controls.		Table 6A comparator package; security interoperability appendix	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix.	Strong for technical mechanism, vulnerability metadata, and two exact security-row bridges; weak for general incident census or treating placeholder rows as solved joins.	hold_as_reviewer_safe_control_surface	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join or exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening.	AVID	For PKG-002 / ROUTE-A, use this family to support Reviewer-safe interoperability/control surface for security and comparator writing, but no current shared claim ID depends on AVID alone. while keeping AVID explicit.	results/crosswalks/avid-direct-join-appendix-v0.1.tsv
2026-06-08T08:16:01Z	sf04	MITRE ATLAS	P0	8	structured_security_context	no	PKG-002	data_methods_workshop_paper	ROUTE-A	PKG-003; PKG-006	Security-technique context family for mapping seeded rows into ATLAS-style adversarial and agentic technique language without overstating same-case identity.		Table 6A comparator package; security/agentic crosswalk heatmap	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel.	Strong for security-technique structure, mitigation framing, and operational technique-context joins; weak for non-security completeness or direct case-study equivalence claims.	hold_as_reviewer_safe_control_surface	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening.	MITRE_ATLAS	For PKG-002 / ROUTE-A, use this family to support Technique-context comparator support for security writing, but no current shared claim ID depends on ATLAS alone. while keeping MITRE ATLAS explicit.	results/crosswalks/source-crosswalk-v0.1.tsv
2026-06-08T08:16:01Z	sf05	MIT AI Risk Repository	P0	10	comparator_methods_seed	no	PKG-002	data_methods_workshop_paper	ROUTE-A	PKG-001; PKG-006	Risk-definition family for taxonomy heatmap methods, residual-category interpretation, and careful harm-label translation into reviewer-safe definitions.		Taxonomy heatmap methods note; residual-category overlay	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators.	Strong for methods, taxonomy, and harm-definition claims; invalid as event evidence.	maintain_current_bounded_use	Extract one compact manual risk-category bridge for the most used LIMEN harm labels before any stronger comparative language.	MIT_AI_Risk_Repository	For PKG-002 / ROUTE-A, use this family to support Methods/taxonomy support only; not yet elevated to the shared claims layer. while keeping MIT AI Risk Repository explicit.	results/crosswalks/source-crosswalk-v0.1.tsv
2026-06-08T08:16:01Z	sf06	CSET AI Harm taxonomy / overview	P1	5	comparator_methods_seed	no	PKG-002	data_methods_workshop_paper	ROUTE-A	PKG-001; PKG-006	Appendix-only harm-framework family for related-work positioning and cautious concept bridge text rather than event evidence.		Related-work appendix; harm-taxonomy note	Harm-taxonomy note; conceptual-support panel; related-work table; Route-A appendix-only methods note.	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator.	appendix_only_freeze_priority	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed.	CSET_AI_Harm	For PKG-002 / ROUTE-A, use this family to support Appendix-only methods/related-work support; not a shared empirical claim family. while keeping CSET AI Harm explicit.	results/crosswalks/source-crosswalk-v0.1.tsv
2026-06-08T08:16:01Z	sf07	Regulator and enforcement sources	P0	6	authoritative_shared_anchor	no	PKG-003	governance_security_empirical_article	ROUTE-B	PKG-001; PKG-006	Official-action family for document-grade governance, enforcement, detector, and telecom claims that can survive hostile-reviewer scrutiny.	LIMEN-C-004A; LIMEN-C-004B; LIMEN-C-005; LIMEN-C-009; LIMEN-C-010; LIMEN-C-011; LIMEN-C-015; LIMEN-C-017; LIMEN-C-018	Table 1A; Figure 8; authoritative evidence matrix	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Best current family for upgrading weak media or company claims into paper-grade bounded statements.	maintain_current_bounded_use_with_claim-layer_router_refresh	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	shared_authoritative_anchor	For PKG-003 / ROUTE-B, use this family to support Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response and detector-governance claims. while keeping regulator enforcement explicit.	sources/authoritative-source-ledger.tsv
2026-06-08T17:12:57Z	sf08	Court and tribunal records	P0	1	route_b_blocker_family	yes	PKG-003	governance_security_empirical_article	ROUTE-B	PKG-001; PKG-006	Court-depth family for escalation posture, open-proceeding text, and the highest-friction authority upgrades that move Route B beyond regulator-summary dependence.	LIMEN-C-010	Table 1A; Figure 8; procedural-posture timeline	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin.	highest_blocker_for_route_b	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix; reuse the existing negative-result ledgers so failed EEOC newsroom/node/search, named public-mirror, CourtListener, and Bing browser-UI challenge paths are not repeated.	route_b_blocker_rank_1	For PKG-003 / ROUTE-B, use this family to support Top-priority hostile-reviewer blocker because stronger court text would immediately harden the authoritative shared claims layer while keeping the split explicit between the image-only Nate charging-document artifact and the still-open iTutorGroup court-text gap.	sources/authoritative-source-ledger.tsv
2026-06-08T08:16:01Z	sf09	Public-sector registers and procurement	P1	2	route_b_blocker_family	yes	PKG-003	governance_security_empirical_article	ROUTE-B	PKG-001; PKG-006	Public-sector disclosure and procurement family for tracing what public bodies disclosed, bought, or linked to a deployment while preserving buyer-side caution.	LIMEN-C-012	Table 1B; public-sector disclosure asymmetry panel	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel.	Strong for disclosure-surface heterogeneity and public-body-existence claims; still weak for buyer-side traceability, capability, legality, or impact claims.	highest_blocker_for_route_b	Add one buyer-side tender, award, contract, or public impact-assessment companion for either register row, or keep the family bounded at register-plus-non-register disclosure surfaces.	route_b_blocker_rank_2	For PKG-003 / ROUTE-B, use this family to support Core public-sector disclosure family for the shared public-sector package. while keeping public sector registers procurement explicit.	results/boost/limen-continuous-experiments/public-sector-disclosure-field-completeness-v0.1.tsv
2026-06-08T08:16:01Z	sf10	Company and platform notices	P1	11	structured_security_context	no	PKG-003	governance_security_empirical_article	ROUTE-B	PKG-001; PKG-006	Issuer-disclosure family for remediation timing, release-note visibility, and advisory-versus-issue distinctions inside the security package.	LIMEN-C-007	Table 6 remediation timeline overlay; issuer-vs-independent-source comparison	Remediation timeline overlay; issuer-vs-independent-source comparison table.	Useful for timing and remediation claims; should rarely stand alone for incident characterization.	maintain_current_bounded_use	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction.	vendor_platform_notices	For PKG-003 / ROUTE-B, use this family to support Supports the security shared claim through remediation and disclosure-timing context, but remains below independent-event authority. while keeping vendor platform notices explicit.	sources/issuer-notice-ledger.tsv
