map_id	as_of_utc	family_id	source_family	route_rank	claim_id	claim_text	linkage_role	thin_family_flag	manuscript_or_visual_targets	dashboard_hook	next_verification_move	router_note
SFCM-001	2026-06-08T17:12:57Z	sf08	Court and tribunal records	1	LIMEN-C-010	LIMEN's current authoritative package supports a bounded methods claim about document-depth heterogeneity: eight rows are now selective-anchor-ready (`LIMEN-000001`, `LIMEN-000003`, `LIMEN-000004`, `LIMEN-000006`, `LIMEN-000007`, `LIMEN-000008`, `LIMEN-000010`, `LIMEN-000011`), while `LIMEN-000002` remains blocked by absent court-facing text and `LIMEN-000005` remains usable only for accusation-stage wording until caption normalization improves.	Top-priority hostile-reviewer blocker because stronger court text would immediately harden the authoritative shared claims layer.	yes	Table 1A; Figure 8; procedural-posture timeline	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel.	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix; reuse the existing negative-result ledgers so failed EEOC newsroom/node/search, named public-mirror, CourtListener, and Bing browser-UI challenge paths are not repeated.	Direct shared-claim family-to-claim link for manuscript, dashboard, reviewer-response, and thesis reuse.
SFCM-002	2026-06-08T05:43:24Z	sf09	Public-sector registers and procurement	2	LIMEN-C-012	LIMEN's current public-sector mini-corpus is strongest as a disclosure-surface heterogeneity claim rather than as a simple count of public-sector AI cases: the five-row panel spans one official project page, two direct regulator-document packages, and two municipal public AI-register rows, with Amsterdam bounded as an exact-row-rich register exemplar whose tested public routes still show no exact-name procurement hit while a same-buyer Azure/Public Cloud procurement-family bridge is publicly visible below exact row-linked buyer-side or public-companion proof, and Helsinki elevated only to a family-level same-buyer supplier-consistent award state below exact row-linked procurement proof.	Core public-sector disclosure family for the shared public-sector package.	yes	Table 1B; public-sector disclosure asymmetry panel	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel; Route-B blocker panel.	Add one buyer-side tender, award, contract, or public impact-assessment companion for either register row, or keep the family bounded at register-plus-non-register disclosure surfaces.	Direct shared-claim family-to-claim link for manuscript, dashboard, reviewer-response, and thesis reuse.
SFCM-003	2026-06-08T17:07:37Z	sf11	Security research and advisories	3	LIMEN-C-007	LIMEN's current public agentic-security package supports a bounded claim about evidence-layer asymmetry: exact external interoperability, remediation visibility, vendor-authored notice depth, source independence, and mechanism coverage still do not move together across the eleven seeded rows, so the package is presently strongest as a claim-ceiling, source-role, and publication-routing demonstration rather than as a prevalence or comparative-safety dataset.	Core security family for the shared agentic-security package and a Route-B blocker with one remaining family-level peer-reviewed gap plus a bounded three-row trust-boundary slice spanning ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row.	yes	Table 6; security authority-balance and remediation-visibility panels	Security-source authority matrix; advisory-to-CVE linkage graph; remediation-visibility overlay; Route-B security hardening panel.	Close `GAP-peer_reviewed_security_case_support` first with one incident-specific peer-reviewed, workshop, or conference-grade technical case attachment to a live row; after that, pursue either broader trust-boundary authority beyond the current MCP/deployment pair or a stronger independent/scholarly attachment for the memory/state-contamination slice, while keeping the current three-row trust-boundary slice explicitly bounded at ToolHive, Playwright MCP/deployment, and one seeded non-MCP PraisonAI row until one of those threshold events lands.	Direct shared-claim family-to-claim link for manuscript, dashboard, reviewer-response, and thesis reuse; keep the live three-row trust-boundary slice and the remaining peer-reviewed gap explicit.
SFCM-004	2026-06-08T05:43:24Z	sf13	Academic and research-integrity sources	4	LIMEN-C-008	LIMEN's current legal/procedural contamination package is strongest as a source-depth and claim-ceiling demonstration: it now spans one document-grade Italian regulator-order row, one direct-source-resolved Finnish broadcaster row naming public institutions and workload effects, and research-integrity rows ranging from mediated editor statement to direct publisher notice text.	Core research-integrity/procedural-contamination family for the shared source-depth package.	yes	Table 1E; research-integrity source-depth panel	Research-integrity dashboard facet; publisher-notice upgrade funnel; scholarly-integrity timeline; Route-A limitations panel.	Probe one blocked or mediated row for direct publisher notice text while preserving the four current family-depth classes and keeping weak specialist/platform-gated rows explicitly below direct-notice grade.	Direct shared-claim family-to-claim link for manuscript, dashboard, reviewer-response, and thesis reuse.
SFCM-005	2026-06-08T05:43:24Z	sf07	Regulator and enforcement sources	6	LIMEN-C-004A	Public U.S. institutional-response sources now support a narrow shard-007 claim that AI voice impersonation and broader AI impersonation were treated in early 2024 as consumer-protection, election-misinformation, caller/issuer-attribution, and telecom-authentication problems by a multistate attorney-general coalition, the FTC, and the FCC.	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response, disposition-stage, AI-washing, and detector-governance claims.	no	Table 1A; Figure 8; authoritative evidence matrix	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Direct shared-claim family-to-claim link for manuscript, dashboard, reviewer-response, and thesis reuse.
SFCM-006	2026-06-08T05:43:24Z	sf07	Regulator and enforcement sources	6	LIMEN-C-004B	LIMEN now has one direct disposition-stage shard-007 telecom-governance cluster: FCC public texts support a bounded lifecycle claim from rule anchor to allegation-stage enforcement to consent-decree closure, including a $1,000,000 civil penalty and explicit KYC/KYUP plus STIR/SHAKEN compliance-plan terms in the Lingo Telecom matter.	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response, disposition-stage, AI-washing, and detector-governance claims.	no	Table 1A; Figure 8; authoritative evidence matrix	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Direct shared-claim family-to-claim link for manuscript, dashboard, reviewer-response, and thesis reuse.
SFCM-007	2026-06-08T05:43:24Z	sf07	Regulator and enforcement sources	6	LIMEN-C-005	LIMEN now has two authoritative AI-washing exemplars, but current settled/regulator-final support is still narrow to SEC findings in regulated finance and does not justify prevalence or cross-sector generalization by itself.	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response, disposition-stage, AI-washing, and detector-governance claims.	no	Table 1A; Figure 8; authoritative evidence matrix	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Direct shared-claim family-to-claim link for manuscript, dashboard, reviewer-response, and thesis reuse.
SFCM-008	2026-06-08T05:43:24Z	sf07	Regulator and enforcement sources	6	LIMEN-C-009	LIMEN's UK biometric-governance slice now supports a narrow document-grade comparative claim: direct ICO notice/reprimand texts, not just summary pages, expose distinct governance failure modes across workplace attendance monitoring and school canteen payments. The Serco notice cites Articles 5(1)(a), 6, and 9 UK GDPR and Annex 1 cessation/destruction remedies, while the Chelmer reprimand cites Article 35(1), March 2023 deployment without a prior DPIA, and invalid opt-out consent framing.	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response, disposition-stage, AI-washing, and detector-governance claims.	no	Table 1A; Figure 8; authoritative evidence matrix	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Direct shared-claim family-to-claim link for manuscript, dashboard, reviewer-response, and thesis reuse.
SFCM-009	2026-06-08T05:43:24Z	sf07	Regulator and enforcement sources	6	LIMEN-C-010	LIMEN's current authoritative package supports a bounded methods claim about document-depth heterogeneity: eight rows are now selective-anchor-ready (`LIMEN-000001`, `LIMEN-000003`, `LIMEN-000004`, `LIMEN-000006`, `LIMEN-000007`, `LIMEN-000008`, `LIMEN-000010`, `LIMEN-000011`), while `LIMEN-000002` remains blocked by absent court-facing text and `LIMEN-000005` remains usable only for accusation-stage wording until caption normalization improves.	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response, disposition-stage, AI-washing, and detector-governance claims.	no	Table 1A; Figure 8; authoritative evidence matrix	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Direct shared-claim family-to-claim link for manuscript, dashboard, reviewer-response, and thesis reuse.
SFCM-010	2026-06-08T05:43:24Z	sf07	Regulator and enforcement sources	6	LIMEN-C-011	LIMEN's direct-document authoritative rows now support narrow source-bounded prose at the shared claims layer: the Italian Garante order states a provisional limitation and lists notice/legal-basis/accuracy/age-verification concerns; the ICO Serco and Chelmer texts expose cited UK GDPR provisions plus remedy or DPIA/consent failures; the settled SEC Delphia and Global Predictions orders expose exact AI-misstatement substance with USD 225,000 and USD 175,000 penalties respectively; and the FCC Lingo Telecom consent-decree order exposes a document-grade synthetic-identity / telecom-enforcement exemplar with a USD 1,000,000 civil penalty plus explicit compliance-plan terms.	Core authoritative-event family for the shared authoritative package plus multiple shard-specific official-response, disposition-stage, AI-washing, and detector-governance claims.	no	Table 1A; Figure 8; authoritative evidence matrix	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map.	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate.	Direct shared-claim family-to-claim link for manuscript, dashboard, reviewer-response, and thesis reuse.
