as_of_utc	cell_family	dimension_x	dimension_y	family_count	family_ids	source_families	dashboard_view	safe_interpretation	caution
2026-06-07T23:27:09Z	dashboard_view_class_x_saturation_state	empirical_support_and_upgrade_feeder	seeded	2	sf07,sf12	Regulator and enforcement sources | Reputable multilingual media and investigations	source-family saturation map / package-shape board	2 family/families currently sit in empirical_support_and_upgrade_feeder × seeded; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Use only for family-level routing and dashboard framing; do not translate family counts into incident counts.
2026-06-07T23:27:09Z	dashboard_view_class_x_saturation_state	maintained_comparator_or_context	seeded	6	sf04,sf03,sf05,sf10,sf02,sf01	MITRE ATLAS | AI Vulnerability Database (AVID) | MIT AI Risk Repository | Company and platform notices | OECD AI Incidents Monitor (OECD AIM) | AI Incident Database (AIID)	source-family saturation map / package-shape board	6 family/families currently sit in maintained_comparator_or_context × seeded; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Use only for family-level routing and dashboard framing; do not translate family counts into incident counts.
2026-06-07T23:27:09Z	dashboard_view_class_x_saturation_state	methods_or_limitations_support	seeded	2	sf13,sf06	Academic and research-integrity sources | CSET AI Harm taxonomy / overview	source-family saturation map / package-shape board	2 family/families currently sit in methods_or_limitations_support × seeded; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Use only for family-level routing and dashboard framing; do not translate family counts into incident counts.
2026-06-08T21:15:53Z	dashboard_view_class_x_saturation_state	planned_frontier_queue	planned	2	sf14,sf15	Social and web lead sources | Creative/absurd and normative outlier sources	source-family saturation map / package-shape board	2 family/families currently sit in planned_frontier_queue × planned; sf14 now has one governed corroboration-first lead row and sf15 has one governed residual queue row, with both families still held below seeded use and shared claims.	Use only for family-level routing and dashboard framing; do not translate governed planned-frontier queue state into seeded evidence, incident counts, or shared-claim support.
2026-06-07T23:27:09Z	dashboard_view_class_x_saturation_state	route_b_blocker_core	seeded	3	sf08,sf09,sf11	Court and tribunal records | Public-sector registers and procurement | Security research and advisories	source-family saturation map / package-shape board	3 family/families currently sit in route_b_blocker_core × seeded; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Use only for family-level routing and dashboard framing; do not translate family counts into incident counts.
2026-06-07T23:27:09Z	dashboard_view_class_x_thin_family_flag	empirical_support_and_upgrade_feeder	no	2	sf07,sf12	Regulator and enforcement sources | Reputable multilingual media and investigations	thin-family overlay / blocker legend	2 family/families currently sit in empirical_support_and_upgrade_feeder × no; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Thin-family yes/no is a paper-risk flag about authority depth, not an overall quality verdict on the family.
2026-06-07T23:27:09Z	dashboard_view_class_x_thin_family_flag	maintained_comparator_or_context	no	6	sf04,sf03,sf05,sf10,sf02,sf01	MITRE ATLAS | AI Vulnerability Database (AVID) | MIT AI Risk Repository | Company and platform notices | OECD AI Incidents Monitor (OECD AIM) | AI Incident Database (AIID)	thin-family overlay / blocker legend	6 family/families currently sit in maintained_comparator_or_context × no; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Thin-family yes/no is a paper-risk flag about authority depth, not an overall quality verdict on the family.
2026-06-07T23:27:09Z	dashboard_view_class_x_thin_family_flag	methods_or_limitations_support	no	1	sf06	CSET AI Harm taxonomy / overview	thin-family overlay / blocker legend	1 family/families currently sit in methods_or_limitations_support × no; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Thin-family yes/no is a paper-risk flag about authority depth, not an overall quality verdict on the family.
2026-06-07T23:27:09Z	dashboard_view_class_x_thin_family_flag	methods_or_limitations_support	yes	1	sf13	Academic and research-integrity sources	thin-family overlay / blocker legend	1 family/families currently sit in methods_or_limitations_support × yes; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Thin-family yes/no is a paper-risk flag about authority depth, not an overall quality verdict on the family.
2026-06-07T23:27:09Z	dashboard_view_class_x_thin_family_flag	planned_frontier_queue	no	2	sf14,sf15	Social and web lead sources | Creative/absurd and normative outlier sources	thin-family overlay / blocker legend	2 family/families currently sit in planned_frontier_queue × no; this means the novelty frontier is governed but not flagged as a thin-family authority blocker, not that it is empirically mature.	Thin-family yes/no is a paper-risk flag about authority depth, not a promotion signal; sf15's one governed row remains count-silent and methods-facing.
2026-06-07T23:27:09Z	dashboard_view_class_x_thin_family_flag	route_b_blocker_core	yes	3	sf08,sf09,sf11	Court and tribunal records | Public-sector registers and procurement | Security research and advisories	thin-family overlay / blocker legend	3 family/families currently sit in route_b_blocker_core × yes; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Thin-family yes/no is a paper-risk flag about authority depth, not an overall quality verdict on the family.
2026-06-07T23:27:09Z	priority_x_dashboard_view_class	P0	empirical_support_and_upgrade_feeder	1	sf07	Regulator and enforcement sources	priority-versus-role heatmap	1 family/families currently sit in P0 × empirical_support_and_upgrade_feeder; this is a source-family package-shape statement, not a claim about case prevalence or severity.	Priority labels summarize current publication value and route urgency, not legal weight or moral significance.
