as_of_utc	control_id	shared_artifact_id	shared_slot	lane_guardrail_source	shared_control_use	caption_safe_clause	forbidden_overread	remaining_gate	paper_thesis_use	dashboard_hook
2026-06-07T21:55:18Z	CCR-001	LIMEN-VIS-002	Figure 2 taxonomy support heatmap	results/boost/limen-boost-046/figure2-question-router.tsv; results/boost/limen-boost-010/taxonomy-visual-guardrails.tsv:TVG-010-001..TVG-010-002; results/boost/limen-boost-034/taxonomy-promotion-frontier.tsv:TPF-034-001..TPF-034-007; results/boost/limen-boost-058/taxonomy-subtype-readiness-board.tsv; results/boost/limen-boost-058/taxonomy-authority-fragility-matrix.tsv; results/boost/limen-boost-022/zero-seed-differentiation-matrix.tsv; results/boost/limen-boost-022/zero-seed-currentness-audit.tsv; results/boost/limen-boost-060/figure2-refresh-bundle-contract.tsv; results/dashboard-paper/figure2-live-denominator-drift-audit-v0.1.tsv	Shared caption control for taxonomy-support counts, residual-pressure framing, and bounded fragility interpretation, with the shard-046 question router as the first front door for choosing which caution bundle applies.	State that the live duplicate/taxonomy core is now `39 review rows / 38 governed records / 28 stable-or-standalone lineages`, while the canonical boost-local Figure 2 mechanical source still carries 12 seeded categories out of 15 with 3 explicit zero-seed local gaps split `11 authority-backed / 1 candidate-only / 3 zero-seed` on an older `35 visible / 27 lineage` base; route denominator truth through `results/dashboard-paper/figure2-live-denominator-drift-audit-v0.1.tsv` and route zero-state, residual, research-integrity, overlay, and shared-export questions through `figure2-question-router.tsv` first, then keep the `7/23` security overlay, the `3/23` AI-misstatement panel, and the `2/23` biometric comparator visible while also stating that these slices remain publication-useful only because their fragility is explicit and bounded (security remains globally concentrated with one single-source row, AI-washing remains finance-heavy and posture-mixed, and the biometric comparator remains a small same-regulator pair rather than an international pattern).	Do not read seeded-category counts as prevalence, completeness, or proof that zero-seed rows mark real-world absence, do not flatten overlay-ready frontier rows together with queue-only or singleton-watch rows, and do not skip the router by answering denominator, zero-state, or residual questions from a single helper file alone.	The local shared `results/dashboard/taxonomy-heatmap.tsv` copy is now materialized on this host, but the Figure 2 mechanical source itself still needs a true denominator refresh; until then every reuse must carry the live-versus-mechanical split, router-first discipline, fragility, subtype-route, and typed zero-state sidecars rather than narrating either local copy as denominator-current.	Supports hostile-reviewer methods/results text and thesis figure-caption discipline for category counts with bounded maturity language.	Figure 2 tooltip/caption control for support-state plus fragility overlays.
2026-06-07T21:55:18Z	CCR-002	LIMEN-VIS-002	Table 2 category support matrix	results/boost/limen-boost-046/figure2-question-router.tsv; results/boost/limen-boost-010/taxonomy-visual-guardrails.tsv:TVG-010-001..TVG-010-002; results/boost/limen-boost-034/taxonomy-promotion-frontier.tsv:TPF-034-001..TPF-034-007; results/boost/limen-boost-058/taxonomy-subtype-readiness-board.tsv; results/boost/limen-boost-058/taxonomy-authority-fragility-matrix.tsv; results/boost/limen-boost-022/zero-seed-differentiation-matrix.tsv; results/boost/limen-boost-022/zero-seed-currentness-audit.tsv; results/boost/limen-boost-060/figure2-refresh-bundle-contract.tsv; results/dashboard-paper/figure2-live-denominator-drift-audit-v0.1.tsv	Shared table-caption control for category maturity claims and row-level fragility separation, with the shard-046 question router as the front door for exact reuse questions.	Keep the live `39 / 38 / 28` duplicate/taxonomy core separate from the still-materialized `35 / 27` Figure 2 mechanical source, and keep authority-backed support, candidate-only seeded support, zero-seed or limitations-only states, and frontier-routed overlay-ready versus queue-only/singleton-watch subtype pressures visibly separate so the table reads as quality control rather than as a flat category census; for rows already in the authority-backed band, keep visible whether maturity is still capped by translation caution, sector concentration, authority-thin dependence, or singleton pressure, and route exact denominator, zero-state, residual, research-integrity, and export-state questions through `figure2-question-router.tsv` plus `results/dashboard-paper/figure2-live-denominator-drift-audit-v0.1.tsv` before selecting the supporting sidecars.	Do not collapse authoritative, candidate-only, queue-only, and singleton-watch rows into one support bucket, reuse the table as a prevalence ranking, imply that all authority-backed rows are equally mature once fragility flags are ignored, or answer typed zero-seed questions from headline counts alone.	The local shared `results/dashboard/taxonomy-heatmap.tsv` copy is now materialized on this host, but the count-bearing mechanical source still lags the live core denominator, so propagate the same support-state split plus the live-versus-mechanical warning, fragility, subtype-route, typed zero-state sidecars, and router-first discipline into any shared dashboard or manuscript Table 2 reuse.	Supports hostile-reviewer methods/results text and thesis claim-support mapping for category maturity ceilings.	Reviewer control panel keyed to support state, routing gate, stronger-source need, and fragility flag.
2026-06-07T20:08:32Z	CCR-003	LIMEN-VIS-009	Table 1C AI-washing posture ladder	results/boost/limen-boost-009/shared-caption-propagation.tsv:SCP-009-002; results/boost/limen-boost-009/reviewer-posture-matrix.tsv:RPM-009-001..RPM-009-004; results/dashboard-paper/ai-washing-authority-diversification-panel-v0.1.tsv:AWADP-009-005..AWADP-009-006; results/boost/limen-boost-045/ai-washing-hostile-reviewer-response-kit.tsv:AWHRRK-045-002..AWHRRK-045-006	Shared posture-aware caption control for the AI-washing exemplar ladder	Keep the two settled SEC rows, the Nate authoritative charging-stage row, and the explicit final-authority queue row visibly separate, keep settled-finance concentration visible, and when the table is discussed with broader subtype breadth name DoNotPay only as a bounded official non-finance sidecar outside the default core ladder.	Do not flatten settled and charging-stage rows into one count, imply adjudicated hidden-human-as-AI proof, hide the queue row when the panel is re-used, treat the two settled SEC rows as cross-sector support, or silently let the DoNotPay sidecar become a fifth default Table 1C row.	Need one regulator-final or adjudicated hidden-human-as-AI exemplar for stronger hidden-human rhetoric, fuller exact docket metadata beyond `25 Cr.` where possible, and one explicit synchronized denominator decision before any sidecar-to-core Table 1C revision.	Supports methods/results discussion of procedural-posture ceilings inside one subtype package and thesis reuse of charge-stage caution logic.	Posture-aware exemplar ladder; settled-vs-accusation panel with visible queue state and bounded diversification-sidecar cue.
2026-06-08T07:54:38Z	CCR-004	LIMEN-VIS-008	Table 1B companion or boxed comparison	results/boost/limen-boost-010/taxonomy-visual-guardrails.tsv:TVG-010-004; results/boost/limen-boost-010/official-biometric-governance-ladder.tsv:OBGL-010-001..OBGL-010-004	Deferred promotion note for the posture-separated biometric-governance ladder	The mature same-regulator core is still the two UK ICO biometric rows, but shared reuse should now carry the four-row posture-separated ladder explicitly: keep ORION as a bounded public-authority pilot/governance sidecar and the French CNIL row as a bounded non-public-authority legality-warning sidecar when a boxed comparator or appendix companion is opened.	Do not force the ladder into an unrelated shared table, imply cross-jurisdiction recurrence, flatten warning-page, pilot, reprimand, and enforcement postures into one comparator class, or treat the French warning page as public-authority deployment proof.	Need one dedicated shared manuscript slot plus either one additional non-UK/non-Slovenian public-authority biometric lineage or one case-specific CNIL/court-facing document-grade companion before stronger promotion.	Keeps a paper-usable bounded comparator on the queue while preserving the new four-row authority-breadth gain without overclaiming package readiness.	Taxonomy heatmap overlay, public-sector/regulator comparison card, and Figure 8 boxed-comparator helper.
2026-06-08T10:21:17Z	CCR-009	LIMEN-VIS-007	Table 1A authoritative document-depth facet	results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv:LIMEN-C-010..LIMEN-C-018; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv; results/dashboard-paper/authoritative-package-state-panel-v0.1.tsv:AUTHPANEL-001..AUTHPANEL-005; results/authoritative-scout/orion-cordis-companion-audit-v0.1.tsv:ORIONCORDIS-001..003	Shared caption control for authoritative support-depth heterogeneity after DoNotPay and Workado promotion into the shared authoritative core	State that the current authoritative Table 1A facet contains 10 rows split into 7 direct-document rows, 1 bounded multilingual police-plus-CORDIS follow-through row, 1 captured-document-but-normalization-limited charging-stage row, and 1 summary-only official row; keep the two settled SEC orders, the FCC lifecycle row, the DoNotPay non-finance FTC row, the Slovenian bounded follow-through row, the Nate charging-stage row, and the EEOC summary-only row visibly distinct, and note separately that the wider shared authoritative core is now 11 rows because Workado travels through the package-state panel rather than this default facet.	Do not flatten all T3 authoritative rows into one support class, imply that the Nate indictment is fully normalized, treat the Slovenian police-plus-CORDIS companion pair as equivalent to regulator/court text, or convert the FTC complaint-plus-final-order rows into judicial fact-finding or general detector-validity proof.	Need one captured court-facing complaint/decree/order for LIMEN-000002 and one cleaner exact-caption public source or materially different OCR success for LIMEN-000005 before stronger court-depth rhetoric; any future Workado move into the default Table 1A facet still requires a synchronized denominator decision rather than silent drift.	Supports Table 1A reuse in the first LIMEN paper, methods/results prose on document-chain heterogeneity, and thesis claim-support mapping for authority posture.	Document-depth facet; authority-posture legend; blocker-class dashboard slicer.
2026-06-07T09:24:15Z	CCR-006	LIMEN-VIS-011	Table 1D multilingual evidence-quality ladder	results/boost/limen-boost-017/multilingual-shared-table-register.tsv:MLTS-017-001..MLTS-017-004; results/boost/limen-boost-041/multilingual-rare-language-publication-overlay.tsv:MRPO-041-001..MRPO-041-006; results/boost/limen-multilingual-weird-case-scout/multilingual-caption-control-register.tsv	Shared caption control for multilingual evidence-quality, blocker-class routing, and rare-language-priority visibility	State that the current multilingual package contains 1 bounded substantive direct-official row, 2 bounded appendix/methods direct-non-official rows, and 3 queue-only limitations rows, keep six-of-six translation-review-required metadata visible in any shared table or legend, and show that the live rare-language-priority split is `medium_undercovered=4` versus `high_undercovered=2` with the high-undercovered band still queue-only.	Do not treat the table as a country ranking, prevalence surface, legal/compliance comparison, proof that unresolved rows are substantively validated, or proof that the highest-undercovered rows have already been upgraded.	Any future promotion still needs a clearly compliant direct-source upgrade or human-reviewed translation pass; shared dashboard export remains blocked on this host.	Supports a reviewer-safe multilingual methods/results table and thesis exhibit on evidence ceilings under non-English source conditions.	Jurisdiction/language map legend; authority-upgrade funnel; blocker-class matrix.
2026-06-07T20:24:33Z	CCR-014	LIMEN-VIS-010	Figure 7 authority-balance composition panel	results/boost/limen-boost-013/authority-balance-shared-surface-repair.tsv:ABR-013-001..ABR-013-003; results/boost/limen-boost-058/authority-balance-drift-repair.tsv:ABR-058-001..ABR-058-004; results/boost/limen-boost-011/source-authority-balance.tsv; results/boost/limen-boost-011/source-authority-balance-summary.md; results/boost/limen-boost-011/singleton-multistate-propagation.tsv; results/boost/limen-boost-011/figure5-figure7-multistate-export-contract.tsv; results/boost/limen-boost-011/figure5-figure7-multistate-export-sample.tsv; results/boost/limen-boost-011/figure5-figure7-multistate-export-acceptance.md	Shared caption control for denominator-safe authority-balance composition, legacy single-state caution, and multilingual authority caution	State that the current Figure 7 panel is a bounded legacy single-state export covering 21 publication-safe lineages split authority_anchor=7, technical_authority=7, translation_caution_authority=1, and provisional_or_limitations_only=6; keep visible that ORION is currently the only authority-backed translation-caution lineage, add that the validator-backed local contract now defines how two authoritative singleton-plus-collision rows (`LIMEN-000008` and `LIMEN-000009`) would travel as a bounded 23-lineage projection without bare-ID joins or dropped warning badges, and keep explicit that the FTC non-finance authoritative-core rows `LIMEN-000010` and `LIMEN-000011` remain outside both the live 21-lineage panel and the shared 23-lineage sidecar because they currently travel only through authoritative-core subtype notes.	Do not restate the panel as if it were the final live 23-lineage authority distribution, do not present the omitted singleton rows as already synchronized into Figure 7, do not rank social importance or severity by authority class, and do not fold low-cap title-gloss multilingual rows into the authority-backed band.	Recompute only after a shared count-bearing consumer explicitly implements the validator-backed local contract, or if another translation-dependent direct official/public-authority lineage is promoted or a current low-cap multilingual row is upgraded beyond limitations-only use.	Supports hostile-reviewer denominator control, multilingual caution discipline, and thesis-ready figure legend reuse.	Stacked composition bar or waffle chart with explicit 21-lineage badge plus projected-state warning.
2026-06-07T15:58:00Z	CCR-008	LIMEN-VIS-001	Figure 1 source-family saturation map	results/boost/limen-boost-025/source-family-shared-caption-bridge.tsv:SFCB-025-001; results/source-map/source-family-hardening-priority-v0.1.tsv; results/boost/limen-boost-001/source-family-figure-guardrails.tsv; results/boost/limen-boost-001/blocked-source-priority-register.tsv; results/boost/limen-boost-049/source-family-table1-claim-ceilings.tsv; results/boost/limen-boost-037/route-b-blocker-register.tsv; results/boost/limen-boost-049/source-host-friction-matrix.tsv; results/boost/limen-boost-013/blocked-source-state-typology-v0.1.tsv; results/boost/limen-boost-013/blocked-source-claim-wording-contract.tsv	Shared caption control for source-family denominator discipline, thin-family blocker visibility, typed blocked-source semantics, and Figure 1 / Table 1 helper-bundle closure.	State that the current local source-family package covers 15 declared families split into 13 seeded and 2 planned families, and that seeded means locally grounded for bounded use rather than equally authoritative, complete, or publication-ready support. Keep the thin-family blocker stack visible: sf08 court depth, sf09 buyer-side/public-impact traceability, sf11 independence depth, sf13 notice-depth balance, and sf06 appendix-only/manual-overlay posture. When Figure 1 is reused, carry the blocked-source priority register, the typed Table 1 claim-ceiling bundle, the ranked Route-B blocker register, the host-friction overlay, and the shard-013 blocker typology plus wording contract so shell blockage, open-court absence, OCR normalization failure, buyer-side traceability gaps, peer-reviewed-gap states, and archive-versus-live-or-mediated notice ceilings stay explicitly separate.	Do not narrate the seeded-family count as corpus completeness, a flat authority ranking, or proof that every seeded family is publication-ready at the same evidentiary depth, and do not drop the blocked-source register, ranked Route-B blocker register, host-friction overlay, or shard-013 typed blocker bundle when Figure 1 is reused in manuscript or dashboard slices.	Patch Figure 1 denominator/caption text together with the staged `source-family-coverage.tsv` export whenever a family changes state again, and keep the blocked-source priority register, typed Table 1 claim-ceiling bundle, ranked Route-B blocker register, host-friction overlay, and shard-013 blocker typology plus wording contract attached when shared Figure 1 / Table 1 wording is refreshed.	Supports the first LIMEN methods/data figure, shared observability-boundary prose, and thesis discussion of source-strategy breadth without overclaiming evidence depth.	Source-family saturation map; blocker legend; observability-boundary p... [truncated]
2026-06-07T20:13:22Z	CCR-010	LIMEN-VIS-012	Table 1E companion / appendix panel	results/boost/limen-boost-044/shared-caption-propagation.tsv:SCP-044-001; results/boost/limen-boost-008/caption-safe-claim-register.tsv; results/boost/limen-boost-008/reviewer-evidence-panel.tsv; results/boost/limen-boost-032/residual-escape-audit.tsv:REA-032-001..REA-032-003	Shared caption control for legal/procedural contamination and research-integrity source-depth states	Keep the Italian document-grade anchor, the Finnish broadcaster-plus-official-probe ladder, the SAGE mediated-statement row, the archive-resolved NEJM direct-notice row, the two Springer direct-notice exemplars, and the mixed residual bucket with one archived SSRN platform-action escape plus two remaining weak rows visibly separate inside one panel.	Do not reuse the panel as an incident-count table, a misconduct tally, a sanction inventory, a prevalence proxy, a system-wide legal-process claim, or proof that one residual escape resolves the whole residual bucket.	The remaining blocker is no longer publisher-diverse direct-notice absence: Table 1E now has one archived NEJM direct notice plus two Springer direct-notice exemplars and one residual platform-action escape, but it still lacks one second document-grade process-integrity family and any explicit seeded-row admission decision before stronger panel rhetoric is justified.	Supports hostile-reviewer appendix/table packaging, shared methods/results wording, and thesis claim-support mapping for legal/procedural contamination as an evidence-depth package.	Procedural-contamination ladder; research-integrity notice-depth panel; residual-escape sidecar; reviewer-safe appendix export.
2026-06-08T10:21:17Z	CCR-011	LIMEN-VIS-013	Figure 8 authority-geography concentration panel	results/boost/limen-boost-027/authority-geography-currentness-audit.tsv:AGCA-027-001..002; results/boost/limen-boost-027/authority-geography-panel.tsv:AGP-027-001..008; results/boost/limen-boost-027/authority-geography-route-matrix.tsv; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv; results/dashboard-paper/authoritative-package-state-panel-v0.1.tsv:AUTHPANEL-001..005; results/boost/limen-boost-010/figure8-biometric-sidecar-currentness-audit.tsv:F8BSCA-010-001..003; results/authoritative-scout/orion-cordis-companion-audit-v0.1.tsv:ORIONCORDIS-001..003	Shared caption control for geography-concentration and support-depth caution inside the live authoritative package, with a linked non-core biometric-governance sidecar note	State that Figure 8 currently carries an 11-row authoritative-package geography panel split United States=7, United Kingdom=2, Italy=1, and Slovenia=1; keep explicit that only Italy is currently a non-U.S./non-UK direct-document anchor, that Slovenia enters only as a bounded multilingual police-plus-CORDIS follow-through row, and that the French CNIL row travels separately as a bounded non-English biometric-governance and legality-warning sidecar outside the 11-row core denominator; the remaining blocker pair inside the core is still LIMEN-000002 plus LIMEN-000005 while Table 1A remains the narrower 10-row document-depth facet.	Do not narrate the panel as balanced international coverage, court-depth completeness, or prevalence evidence; do not flatten the 11-row Figure 8 package, the 10-row Table 1A facet, the French sidecar, and the support-depth heterogeneity inside the authoritative core into one denominator; and do not treat the Slovenian police-plus-CORDIS companion pair as a second direct-document anchor or the French warning page as a second multilingual direct-official core row.	Need one additional clearly public non-U.S./non-UK regulator-review, court-facing, or other document-grade follow-through row plus the existing LIMEN-000002 court-text and LIMEN-000005 caption-normalization upgrades before stronger geography rhetoric is justified; any stronger France use still needs a case-specific warning decision, sanction, Legifrance,
