objection_id	likely_reviewer_objection	response_artifact	short_response	remaining_risk
ROA-001	Is this just an anecdote list?	README.md; methodology-boundary-notes.md; paper-claim-register-v0.1.tsv	The contribution is the evidence infrastructure: tiers, source families, duplicate controls, legal uncertainty, translation caution, and claim ceilings.	Needs concise framing in abstract.
ROA-002	Why no prevalence estimates?	paper-claim-register-v0.1.tsv; review/negative-results-table.tsv	Public-source discovery is not a sampling frame; the paper explicitly refuses prevalence claims.	Reviewers may still ask for external validation.
ROA-003	Why include low-confidence rows?	exports/evidence-funnel.tsv; exports/cases.tsv; figure-plan-v0.1.md	Low-cap rows are included to show discovery and observability limits, not to support strong claims.	Must avoid visually over-weighting low-cap rows.
ROA-004	Why not make legal conclusions from regulator/court sources?	exports/legal-uncertainty-matrix.tsv; methodology-boundary-notes.md	Official sources support source-posture claims; legal conclusions require more than public-source classification.	Need careful wording around final orders and settlements.
ROA-005	How are duplicates controlled?	exports/duplicate-graph.tsv; stable-public-id-alias-map.tsv	Public IDs, file-qualified legacy aliases, stable duplicate clusters, and reviewed non-merges prevent false joins.	Need clear Figure 3 legend.
ROA-006	How reliable is the coding?	review/coding-protocol-v0.1.md; review/reliability-audit-v0.1.tsv	This snapshot includes an internal dry-run and an explicit protocol; submission should add true second-coder audit or label audit without kappa.	Current audit is not a completed inter-rater study.
ROA-007	Why use a dashboard as research artifact?	exports/*; paper/methods-and-limitations-skeleton-v0.1.md	The dashboard makes uncertainty inspectable rather than hiding claim ceilings in prose.	Need stable public export bundle.
ROA-008	Why not scrape more sources?	methodology-boundary-notes.md; review/negative-results-table.tsv	The boundary forbids bypassing barriers; negative results are recorded rather than forced.	May need appendix explaining robots/paywall/access stance.
ROA-009	Does T3 mean everything is equally authoritative?	exports/source-depth-ladder.tsv; figure-plan-v0.1.md	No; the source-depth ladder explicitly separates agency summaries, order PDFs, charging docs, publisher notices, and complaint/order packages.	Make T3 substructure visible in Figure 5.
ROA-010	Does the taxonomy imply AI Act compliance or illegality?	exports/legal-uncertainty-matrix.tsv; methodology-boundary-notes.md	No; taxonomy labels structure observability and governance relevance, not compliance or illegality findings.	Need repeated caption warnings in heatmap.
ROA-011	Why hold DoNotPay and Workado outside the denominator?	status.md; provenance/taxonomy-post-ftc-drift-register.tsv; paper/promoted-anchor-readiness-v0.1.tsv; results/dashboard-paper/figure7-sidecar-consumption-matrix-v0.1.tsv	They were added after the synchronized aggregate; freezing avoids denominator drift and allows sidecar use while keeping the visible `21`-lineage panel separate from the projected `23`-lineage sidecar and the broader `25`-lineage family.	Manuscript must not mix the `21 / 23 / 25` denominator stack without explicit explanation and sidecar-aware routing.
ROA-012	Why include negative results?	review/negative-results-table.tsv	They show where public evidence prevents responsible claims and make the method falsifiable/auditable.	Keep negative table concise enough for main paper or appendix.
ROA-013	Does Figure 2 / Table 2 overstate taxonomy maturity or imply new categories?	results/boost/limen-boost-046/figure2-question-router.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-001..CCR-002; results/boost/limen-boost-058/taxonomy-subtype-readiness-board.tsv; results/boost/limen-boost-058/taxonomy-snapshot-currentness-hold-register.tsv; results/boost/limen-boost-022/zero-seed-currentness-audit.tsv	No; the taxonomy package is routing-first, not category-expansion-first: route each Figure 2 / Table 2 question through the shard-046 router first, keep the live `35 visible / 27 lineage` control separate from the frozen paper-snapshot `31 / 23` export via the shard-058 hold register, and then keep overlay-ready, boxed-comparator, appendix-nested, queue/singleton-watch, authority-thin, and typed zero-seed methods-guardrail states explicitly separate, so Figure 2 / Table 2 do not justify new top-level labels, prevalence claims, or residual-category promotion.	Reviewer appendix row is now currentness-safe on the frozen-vs-live split, but later reuse still needs the live 35/27 contract and typed zero-state controls to travel with it so residual pressure is not flattened back into generic category-growth language.
