claim_id	claim_text	supporting_artifact	confidence	posture	allowed_use	forbidden_overread
PCR-001	LIMEN demonstrates a reproducible public-source method for structuring heterogeneous AI edge-case evidence under explicit claim ceilings.	README.md; methodology-boundary-notes.md; exports/*	high	methods_claim	Abstract, introduction, conclusion.	Do not call this a complete incident atlas or prevalence estimate.
PCR-002	The frozen paper denominator contains 21 publication-safe lineages from the synchronized boost-011 aggregate.	exports/publication-safe-aggregate-matrix.tsv; exports/evidence-funnel.tsv	high	denominator_claim	Methods/data snapshot description.	Do not silently add DoNotPay/Workado/Springer/Datatilsynet to this denominator.
PCR-003	The snapshot includes 15 high confidence-cap and 6 low confidence-cap lineages.	exports/evidence-funnel.tsv; exports/category-source-family-counts.tsv	high	descriptive_count	Methods/results funnel.	Do not equate confidence cap with legal certainty or factual finality.
PCR-004	The snapshot includes 6 translation-dependent lineages.	exports/cases.tsv; exports/category-source-family-counts.tsv	high	descriptive_count	Translation methods/results.	Do not treat translated title-gloss leads as full-source equivalents.
PCR-005	Stable public IDs are required because bare LIMEN IDs collide across local shards.	stable-public-id-alias-map.tsv; exports/duplicate-graph.tsv	high	methods_control	Duplicate/collision methods and Figure 3.	Do not join or cite by bare local ID.
PCR-006	`T3_authoritative_source` is not one uniform document-depth class.	exports/source-depth-ladder.tsv; exports/authoritative-source-anchors.tsv	high	methods_result	Figure 5 and limitations.	Do not collapse agency summary, final order, charging document, and publisher notice into one claim ceiling.
PCR-007	Springer direct notices supply bounded research-integrity source-depth exemplars.	sources/research-integrity-notice-text-evidence.tsv; exports/authoritative-source-anchors.tsv	high	source_depth_anchor	Table/Figure 5 source-depth discussion.	Do not infer prevalence, author intent, misconduct, or cross-publisher practice.
PCR-008	DoNotPay and Workado are official-text non-finance AI-claim sidecars, not headline-denominator rows in this freeze.	sources/ftc-nonfinance-promotion-matrix.tsv; exports/cases.tsv	high	post_freeze_sidecar_claim	Appendix, sidecar, future-work note.	Do not use them as silent denominator-changing promotions.
PCR-009	Datatilsynet SU AI is a governance/public-sector anchor, not a harm case.	exports/candidate-examples-table.tsv; exports/public-link-source-check-notes.tsv	high	source_role_claim	Public-sector governance/source-depth panel.	Do not claim harm, illegality, compliance, certification, or deployment failure.
PCR-010	Negative results are part of the observability method.	review/negative-results-table.tsv	high	methods_claim	Limitations/results table.	Do not treat missing public access as evidence that an event did or did not happen.
PCR-011	The live duplicate/taxonomy surface has drifted beyond the frozen denominator after FTC additions.	provenance/taxonomy-post-ftc-drift-register.tsv; status.md	high	drift_claim	Status/methods provenance note.	Do not mix live 33/25 with frozen 21-lineage figures without recomputation.
